date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.0,0.0,0.0,-1.57
2016-09-09T21:00:00,2.26,0.0,0.0,-3.84
2016-09-16T21:00:00,3.64,-1.4,0.0,-5.23
2016-09-23T21:00:00,3.27,-1.05,0.0,-4.87
2016-09-30T21:00:00,3.27,-1.05,0.0,-7.03
2016-10-07T21:00:00,3.27,-1.05,0.0,-7.87
2016-10-14T21:00:00,3.27,-1.05,0.0,-7.76
2016-10-21T21:00:00,3.27,-1.05,0.0,-7.18
2016-10-28T21:00:00,4.76,-1.05,0.0,-5.68
2016-11-04T21:00:00,8.41,2.6,7.3,-2.02
2016-11-11T22:00:00,10.3,2.6,7.3,-0.12
2016-11-18T22:00:00,13.5,2.6,7.3,3.09
2016-11-25T22:00:00,16.24,2.6,7.3,5.84
2016-12-02T22:00:00,17.14,2.6,7.3,6.75
2016-12-09T22:00:00,18.58,2.6,7.3,8.2
2016-12-16T22:00:00,18.58,4.73,7.3,6.06
2016-12-23T22:00:00,18.58,5.16,7.3,6.5
2016-12-30T22:00:00,18.8,5.16,7.3,6.27
2017-01-06T22:00:00,21.47,7.83,12.64,3.59
2017-01-13T22:00:00,21.47,11.2,12.64,6.97
2017-01-20T22:00:00,23.32,11.2,12.64,8.83
2017-01-27T22:00:00,23.32,13.87,12.64,6.15
2017-02-03T22:00:00,23.32,14.51,12.64,6.8
2017-02-10T22:00:00,24.46,15.65,14.92,5.65
2017-02-17T22:00:00,24.68,15.41,14.92,5.42
2017-02-24T22:00:00,24.43,15.41,14.92,5.66
2017-03-03T22:00:00,24.43,15.41,14.92,5.46
2017-03-10T22:00:00,24.32,15.41,14.92,5.56
2017-03-17T21:00:00,24.32,15.93,14.92,5.03
2017-03-24T21:00:00,24.32,15.93,14.92,5.91
2017-03-31T21:00:00,24.32,17.61,14.92,4.22
2017-04-07T21:00:00,24.32,17.61,14.92,3.14
2017-04-14T21:00:00,24.32,20.16,14.92,5.7
2017-04-21T21:00:00,24.32,20.16,14.92,7.4
2017-04-28T21:00:00,25.95,20.16,14.92,9.04
2017-05-05T21:00:00,25.52,20.57,14.92,8.62
2017-05-12T21:00:00,24.98,20.57,14.92,8.09
2017-05-19T21:00:00,24.98,20.57,14.92,6.9
2017-05-26T21:00:00,25.09,20.57,14.92,6.78
2017-06-02T21:00:00,26.05,20.57,14.92,5.81
2017-06-09T21:00:00,26.05,21.6,14.92,6.85
2017-06-16T21:00:00,26.05,21.6,14.92,6.82
2017-06-23T21:00:00,29.38,24.93,21.58,10.16
2017-06-30T21:00:00,30.04,24.25,21.58,10.83
2017-07-07T21:00:00,30.51,24.25,21.58,11.31
2017-07-14T21:00:00,30.51,26.18,21.58,9.37
2017-07-21T21:00:00,29.84,26.83,21.58,10.03
2017-07-28T21:00:00,30.47,27.46,22.84,9.39
2017-08-04T21:00:00,32.14,29.13,26.18,7.71
2017-08-11T21:00:00,33.08,29.13,26.18,6.76
2017-08-18T21:00:00,32.99,29.2,26.18,6.84
2017-08-25T21:00:00,32.99,30.34,26.18,7.99
2017-09-01T21:00:00,33.21,30.34,26.18,8.22
2017-09-08T21:00:00,38.8,35.93,37.36,13.82
2017-09-15T21:00:00,39.12,35.59,37.36,14.15
2017-09-22T21:00:00,38.75,35.94,37.36,13.79
2017-09-29T21:00:00,36.45,38.22,37.36,11.5
2017-10-06T21:00:00,35.55,39.1,37.36,12.39
2017-10-13T21:00:00,34.85,39.1,37.36,13.08
2017-10-20T21:00:00,34.85,39.4,37.36,12.77
2017-10-27T21:00:00,34.85,39.4,37.36,12.69
2017-11-03T21:00:00,34.85,39.4,37.36,13.13
2017-11-10T22:00:00,34.85,39.4,37.36,12.33
2017-11-17T22:00:00,34.85,39.76,37.36,12.7
2017-11-24T22:00:00,34.85,41.59,37.36,14.54
2017-12-01T22:00:00,35.04,41.38,37.36,14.74
2017-12-08T22:00:00,33.79,42.61,37.36,13.5
2017-12-15T22:00:00,33.79,43.45,37.36,14.35
2017-12-22T22:00:00,33.79,43.99,37.36,14.9
2017-12-29T22:00:00,34.6,43.16,37.36,15.72
2018-01-05T22:00:00,33.95,43.16,37.36,15.08
2018-01-12T22:00:00,33.95,43.79,37.36,15.72
2018-01-19T22:00:00,33.95,43.91,37.36,15.85
2018-01-26T22:00:00,33.95,43.91,37.36,17.05
2018-02-02T22:00:00,33.95,47.08,37.36,13.87
2018-02-09T22:00:00,34.78,46.23,37.36,13.03
2018-02-16T22:00:00,34.61,46.23,37.36,13.19
2018-02-23T22:00:00,37.28,48.9,42.7,10.51
2018-03-02T22:00:00,37.28,50.53,42.7,12.15
2018-03-09T22:00:00,37.28,50.53,42.7,12.2
2018-03-16T21:00:00,37.28,50.53,42.7,12.45
2018-03-23T21:00:00,37.9,50.53,42.7,13.08
2018-03-30T21:00:00,38.98,50.53,42.7,14.17
2018-04-06T21:00:00,40.37,50.53,42.7,15.57
2018-04-13T21:00:00,40.37,52.11,42.7,13.98
2018-04-20T21:00:00,40.37,52.11,42.7,13.57
2018-04-27T21:00:00,42.12,52.11,42.7,11.81
2018-05-04T21:00:00,41.83,52.38,42.7,12.09
2018-05-11T21:00:00,41.1,52.38,42.7,12.81
2018-05-18T21:00:00,43.68,54.96,47.86,10.22
2018-05-25T21:00:00,43.65,54.97,47.86,10.24
2018-06-01T21:00:00,43.19,55.41,47.86,10.69
2018-06-08T21:00:00,42.99,55.21,47.46,10.88
2018-06-15T21:00:00,42.99,55.84,47.46,10.24
2018-06-22T21:00:00,43.39,56.24,48.26,10.65
2018-06-29T21:00:00,43.93,56.78,49.34,11.2
2018-07-06T21:00:00,44.99,56.78,49.34,12.27
2018-07-13T21:00:00,44.99,58.2,49.34,10.84
2018-07-20T21:00:00,44.99,58.2,49.34,10.35
2018-07-27T21:00:00,45.56,58.2,49.34,9.77
2018-08-03T21:00:00,47.68,60.32,53.58,7.64
2018-08-10T21:00:00,47.63,60.35,53.58,7.68
2018-08-17T21:00:00,46.23,61.73,53.58,9.07
2018-08-24T21:00:00,46.89,61.73,53.58,9.74
2018-08-31T21:00:00,46.83,61.77,53.58,9.69
2018-09-07T21:00:00,48.81,61.77,53.58,11.68
2018-09-14T21:00:00,49.33,61.77,53.58,12.21
2018-09-21T21:00:00,50.07,61.77,53.58,12.96
2018-09-28T21:00:00,50.63,61.77,53.58,13.53
2018-10-05T21:00:00,50.63,62.96,53.58,12.33
2018-10-12T21:00:00,50.63,62.96,53.58,12.53
2018-10-19T21:00:00,53.12,65.45,58.56,10.03
2018-10-26T21:00:00,50.8,67.75,58.56,12.34
2018-11-02T21:00:00,50.8,67.55,58.56,12.53
2018-11-09T22:00:00,50.8,69.04,58.56,11.03
2018-11-16T22:00:00,50.8,68.94,58.56,10.94
2018-11-23T22:00:00,50.8,68.94,58.56,10.85
2018-11-30T22:00:00,51.94,68.94,58.56,9.7
2018-12-07T22:00:00,52.2,68.94,58.56,9.43
2018-12-14T22:00:00,53.83,68.94,58.56,7.79
2018-12-21T22:00:00,53.83,68.94,58.56,7.61
2018-12-28T22:00:00,53.83,70.36,58.56,6.18
2019-01-04T22:00:00,53.83,71.24,58.56,7.07
2019-01-11T22:00:00,55.09,72.5,61.08,8.34
2019-01-18T22:00:00,57.42,72.5,61.08,10.68
2019-01-25T22:00:00,56.56,73.34,61.08,9.83
2019-02-01T22:00:00,55.77,73.34,61.08,9.05
2019-02-08T22:00:00,55.77,73.6,61.08,9.32
2019-02-15T22:00:00,57.07,74.9,63.68,10.63
2019-02-22T22:00:00,59.18,74.9,63.68,12.75
2019-03-01T22:00:00,56.8,77.26,63.68,10.38
2019-03-08T22:00:00,56.8,80.14,63.68,13.27
2019-03-15T21:00:00,56.8,82.15,63.68,11.25
2019-03-22T21:00:00,57.36,82.15,63.68,10.68
2019-03-29T21:00:00,57.36,82.72,63.68,11.26
2019-04-05T21:00:00,57.36,82.72,63.68,11.78
2019-04-12T21:00:00,57.36,83.43,63.68,11.06
2019-04-19T21:00:00,57.36,83.43,63.68,10.2
2019-04-26T21:00:00,57.36,84.92,63.68,11.7
2019-05-03T21:00:00,57.36,86.62,63.68,9.99
2019-05-10T21:00:00,59.27,88.53,67.5,8.07
2019-05-17T21:00:00,60.02,88.53,67.5,7.31
2019-05-24T21:00:00,61.69,88.53,67.5,5.63
2019-05-31T21:00:00,60.95,89.25,67.5,6.36
2019-06-07T21:00:00,62.06,89.25,67.5,5.24
2019-06-14T21:00:00,61.89,89.4,67.5,5.4
2019-06-21T21:00:00,61.89,89.4,67.5,5.59
2019-06-28T21:00:00,61.89,90.52,67.5,4.46
2019-07-05T21:00:00,61.89,90.37,67.5,4.32
2019-07-12T21:00:00,62.5,90.37,67.5,3.7
2019-07-19T21:00:00,62.59,90.46,67.68,3.6
2019-07-26T21:00:00,66.2,94.07,74.9,-0.02
2019-08-02T21:00:00,68.12,92.13,74.9,-1.95
2019-08-09T21:00:00,66.58,93.65,74.9,-0.42
2019-08-16T21:00:00,66.58,93.42,74.9,-0.2
2019-08-23T21:00:00,66.88,93.42,74.9,0.11
2019-08-30T21:00:00,68.8,95.34,78.74,2.04
2019-09-06T21:00:00,71.84,95.34,78.74,5.09
2019-09-13T21:00:00,71.84,95.32,78.74,5.1
2019-09-20T21:00:00,70.6,96.54,78.74,3.87
2019-09-27T21:00:00,70.01,95.95,77.56,3.29
2019-10-04T21:00:00,74.4,100.34,86.34,7.69
2019-10-11T21:00:00,77.26,97.46,86.34,10.56
2019-10-18T21:00:00,76.27,98.43,86.34,9.58
2019-10-25T21:00:00,76.72,98.43,86.34,10.04
2019-11-01T21:00:00,76.44,98.43,86.34,9.77
2019-11-08T22:00:00,76.02,98.43,86.34,10.18
2019-11-15T22:00:00,76.02,99.25,86.34,9.35
2019-11-22T22:00:00,76.02,100.61,86.34,10.72
2019-11-29T22:00:00,76.9,100.61,86.34,11.61
2019-12-06T22:00:00,79.09,100.61,86.34,13.81
2019-12-13T22:00:00,76.66,103.02,86.34,11.39
2019-12-20T22:00:00,76.66,103.7,86.34,12.08
2019-12-27T22:00:00,76.66,103.7,86.34,10.73
2020-01-03T22:00:00,76.66,104.98,86.34,12.02
2020-01-10T22:00:00,76.66,104.63,86.34,12.36
2020-01-17T22:00:00,76.66,104.63,86.34,12.23
2020-01-24T22:00:00,76.66,105.05,86.34,12.66
2020-01-31T22:00:00,76.66,105.05,86.34,11.63
2020-02-07T22:00:00,76.66,106.31,86.34,12.9
2020-02-14T22:00:00,76.66,105.39,86.34,13.81
2020-02-21T22:00:00,80.48,109.21,93.98,9.98
2020-02-28T22:00:00,81.57,108.1,93.98,8.88
2020-03-06T22:00:00,84.4,108.1,93.98,6.04
2020-03-13T21:00:00,86.14,106.34,93.98,4.29
2020-03-20T21:00:00,82.25,110.21,93.98,8.17
2020-03-27T21:00:00,81.71,110.73,93.98,7.64
2020-04-03T21:00:00,83.6,110.73,93.98,9.54
2020-04-10T21:00:00,83.16,111.15,93.98,9.11
2020-04-17T21:00:00,82.03,111.15,93.98,7.99
2020-04-24T21:00:00,81.6,111.56,93.98,8.41
2020-05-01T21:00:00,82.45,112.41,95.68,7.55
2020-05-08T21:00:00,84.46,114.42,99.7,5.53
2020-05-15T21:00:00,84.46,115.59,99.7,6.71
2020-05-22T21:00:00,84.46,117.15,99.7,8.28
2020-05-29T21:00:00,88.71,121.4,108.2,12.54
2020-06-05T21:00:00,85.55,124.54,108.2,9.39
2020-06-12T21:00:00,85.55,124.54,108.2,7.58
2020-06-19T21:00:00,85.26,124.81,108.2,7.86
2020-06-26T21:00:00,83.76,126.29,108.2,9.35
2020-07-03T21:00:00,84.42,125.61,108.2,10.02
2020-07-10T21:00:00,84.07,125.94,108.2,9.68
2020-07-17T21:00:00,85.01,126.88,110.08,10.63
2020-07-24T21:00:00,87.07,128.94,114.2,12.7
2020-07-31T21:00:00,86.86,129.13,114.2,12.5
2020-08-07T21:00:00,87.74,130.01,115.96,13.39
2020-08-14T21:00:00,87.01,130.01,115.96,12.67
2020-08-21T21:00:00,88.62,131.62,119.18,14.29
2020-08-28T21:00:00,88.62,131.3,119.18,14.6
2020-09-04T21:00:00,92.14,134.82,126.22,11.07
2020-09-11T21:00:00,92.56,134.82,126.22,10.64
2020-09-18T21:00:00,93.04,134.32,126.22,10.15
2020-09-25T21:00:00,91.92,135.42,126.22,11.26
2020-10-02T21:00:00,93.12,135.42,126.22,12.47
2020-10-09T21:00:00,91.94,136.58,126.22,11.3
2020-10-16T21:00:00,91.94,137.03,126.22,11.76
2020-10-23T21:00:00,91.94,137.9,126.22,10.88
2020-10-30T21:00:00,91.94,138.51,126.22,11.5
2020-11-06T22:00:00,93.44,140.01,129.22,13.01
2020-11-13T22:00:00,93.39,140.04,129.22,12.97
2020-11-20T22:00:00,93.81,140.04,129.22,13.4
2020-11-27T22:00:00,93.81,139.15,129.22,14.28
2020-12-04T22:00:00,93.81,140.58,129.22,12.84
2020-12-11T22:00:00,93.81,140.58,129.22,13.41
2020-12-18T22:00:00,95.09,141.86,131.78,14.7
2020-12-25T22:00:00,95.73,141.86,131.78,15.35
2021-01-01T22:00:00,95.92,141.86,131.78,15.55
2021-01-08T22:00:00,96.04,141.86,131.78,15.68
2021-01-15T22:00:00,96.57,142.39,132.84,16.22
2021-01-22T22:00:00,97.59,143.41,134.88,17.25
2021-01-29T22:00:00,98.37,142.61,134.88,18.04
2021-02-05T22:00:00,98.93,142.61,134.88,18.61
2021-02-12T22:00:00,100.56,144.24,138.14,20.25
2021-02-19T22:00:00,101.0,143.78,138.14,20.7
2021-02-26T22:00:00,101.96,143.78,138.14,21.67
2021-03-05T22:00:00,103.32,143.78,138.14,23.04
2021-03-12T22:00:00,102.76,144.32,138.14,22.49
2021-03-19T21:00:00,103.36,144.92,139.34,23.1
2021-03-26T21:00:00,104.58,144.92,139.34,24.33
2021-04-02T21:00:00,104.58,146.8,139.34,22.44
2021-04-09T21:00:00,104.48,146.88,139.34,22.53
2021-04-16T21:00:00,104.99,146.88,139.34,22.01
2021-04-23T21:00:00,104.99,146.88,139.34,22.9
2021-04-30T21:00:00,105.53,146.88,139.34,23.45
2021-05-07T21:00:00,106.84,146.88,139.34,24.77
2021-05-14T21:00:00,106.84,146.86,139.34,24.78
2021-05-21T21:00:00,107.97,146.86,139.34,25.92
2021-05-28T21:00:00,107.5,147.31,139.34,25.46
2021-06-04T21:00:00,107.7,147.31,139.34,25.25
