date,trend,signal,trend+signal,return
2021-11-26T20:00:00,0.0,0.0,0.0,0.0
2021-11-26T21:00:00,0.0,0.0,0.0,-0.2
2021-11-28T22:00:00,0.0,0.22,0.0,0.03
2021-11-28T23:00:00,0.0,0.25,0.0,-0.01
2021-11-29T00:00:00,0.06,0.31,0.12,-0.08
2021-11-29T01:00:00,0.15,0.31,0.12,-0.18
2021-11-29T02:00:00,0.11,0.31,0.12,-0.15
2021-11-29T03:00:00,0.16,0.31,0.12,-0.21
2021-11-29T04:00:00,0.09,0.36,0.12,-0.15
2021-11-29T05:00:00,0.09,0.34,0.12,-0.14
2021-11-29T06:00:00,0.09,0.32,0.12,-0.13
2021-11-29T07:00:00,0.09,0.32,0.12,-0.21
2021-11-29T08:00:00,0.21,0.44,0.36,-0.08
2021-11-29T09:00:00,0.18,0.45,0.36,-0.1
2021-11-29T10:00:00,0.32,0.59,0.64,0.05
2021-11-29T11:00:00,0.3,0.59,0.64,0.04
2021-11-29T12:00:00,0.3,0.59,0.64,0.09
2021-11-29T13:00:00,0.3,0.63,0.64,0.04
2021-11-29T14:00:00,0.3,0.63,0.64,0.05
2021-11-29T15:00:00,0.3,0.7,0.64,0.13
2021-11-29T16:00:00,0.3,0.7,0.64,0.14
2021-11-29T17:00:00,0.3,0.81,0.64,0.02
2021-11-29T18:00:00,0.37,0.81,0.64,-0.06
2021-11-29T19:00:00,0.4,0.76,0.64,-0.1
2021-11-29T20:00:00,0.34,0.8,0.64,-0.05
2021-11-29T21:00:00,0.34,0.9,0.64,-0.16
2021-11-29T22:00:00,0.34,0.9,0.64,-0.14
2021-11-29T23:00:00,0.34,0.9,0.64,-0.22
2021-11-30T00:00:00,0.34,1.14,0.64,0.03
2021-11-30T01:00:00,0.34,1.3,0.64,-0.14
2021-11-30T02:00:00,0.34,1.3,0.64,-0.14
2021-11-30T03:00:00,0.34,1.29,0.64,-0.14
2021-11-30T04:00:00,0.34,1.29,0.64,-0.13
2021-11-30T05:00:00,0.8,1.75,1.56,0.34
2021-11-30T06:00:00,0.77,1.76,1.56,0.32
2021-11-30T07:00:00,0.67,1.76,1.56,0.23
2021-11-30T08:00:00,0.76,1.85,1.74,0.33
2021-11-30T09:00:00,0.76,1.85,1.74,0.25
2021-11-30T10:00:00,0.71,1.85,1.74,0.29
2021-11-30T11:00:00,0.82,1.85,1.74,0.17
2021-11-30T12:00:00,0.94,1.85,1.74,0.04
2021-11-30T13:00:00,0.93,1.84,1.74,0.04
2021-11-30T14:00:00,0.93,1.84,1.74,0.03
2021-11-30T15:00:00,0.93,1.84,1.74,-0.19
2021-11-30T16:00:00,0.93,1.84,1.74,-0.19
2021-11-30T17:00:00,1.05,1.84,1.74,-0.32
2021-11-30T18:00:00,1.08,1.84,1.74,-0.36
2021-11-30T19:00:00,1.08,1.88,1.74,-0.31
2021-11-30T20:00:00,1.08,1.97,1.74,-0.21
2021-11-30T21:00:00,1.09,1.94,1.74,-0.19
2021-11-30T22:00:00,1.09,1.97,1.74,-0.23
2021-11-30T23:00:00,1.09,1.97,1.74,-0.31
2021-12-01T00:00:00,1.09,1.99,1.74,-0.28
2021-12-01T01:00:00,1.23,2.13,2.02,-0.43
2021-12-01T02:00:00,1.37,2.13,2.02,-0.58
2021-12-01T03:00:00,1.37,2.11,2.02,-0.59
2021-12-01T04:00:00,1.37,2.1,2.02,-0.59
2021-12-01T05:00:00,1.37,2.1,2.02,-0.57
2021-12-01T06:00:00,1.4,2.05,2.02,-0.53
2021-12-01T07:00:00,1.4,2.05,2.02,-0.5
2021-12-01T08:00:00,1.4,2.11,2.02,-0.57
2021-12-01T09:00:00,1.4,2.11,2.02,-0.57
2021-12-01T10:00:00,1.45,2.16,2.12,-0.51
2021-12-01T11:00:00,1.54,2.16,2.12,-0.41
2021-12-01T12:00:00,1.57,2.11,2.12,-0.37
2021-12-01T13:00:00,1.56,2.1,2.12,-0.37
2021-12-01T14:00:00,1.56,2.1,2.12,-0.4
2021-12-01T15:00:00,1.56,2.1,2.12,-0.54
2021-12-01T16:00:00,1.56,2.19,2.12,-0.44
2021-12-01T17:00:00,1.56,2.3,2.12,-0.32
2021-12-01T18:00:00,1.56,2.33,2.12,-0.36
2021-12-01T19:00:00,1.56,2.33,2.12,-0.28
2021-12-01T20:00:00,1.56,2.33,2.12,-0.26
2021-12-01T21:00:00,1.56,2.33,2.12,-0.24
2021-12-01T22:00:00,1.56,2.35,2.12,-0.27
2021-12-01T23:00:00,1.61,2.35,2.12,-0.33
2021-12-02T00:00:00,1.61,2.38,2.12,-0.29
2021-12-02T01:00:00,1.61,2.38,2.12,-0.36
2021-12-02T02:00:00,1.61,2.38,2.12,-0.26
2021-12-02T03:00:00,1.61,2.4,2.12,-0.29
2021-12-02T04:00:00,1.62,2.4,2.12,-0.27
2021-12-02T05:00:00,1.62,2.4,2.12,-0.27
2021-12-02T06:00:00,1.62,2.4,2.12,-0.25
2021-12-02T07:00:00,1.62,2.4,2.12,-0.26
2021-12-02T08:00:00,1.62,2.4,2.12,-0.2
2021-12-02T09:00:00,1.62,2.4,2.12,-0.11
2021-12-02T10:00:00,1.68,2.4,2.12,-0.04
2021-12-02T11:00:00,1.77,2.4,2.12,0.06
2021-12-02T12:00:00,1.81,2.34,2.12,0.11
2021-12-02T13:00:00,1.81,2.37,2.12,0.07
2021-12-02T14:00:00,2.03,2.37,2.12,-0.16
2021-12-02T15:00:00,1.98,2.4,2.12,-0.12
2021-12-02T16:00:00,1.97,2.39,2.12,-0.12
2021-12-02T17:00:00,1.92,2.39,2.12,-0.08
2021-12-02T18:00:00,1.92,2.43,2.12,-0.13
2021-12-02T19:00:00,1.88,2.43,2.12,-0.1
2021-12-02T20:00:00,1.97,2.52,2.3,-0.2
2021-12-02T21:00:00,2.01,2.52,2.3,-0.25
2021-12-02T22:00:00,2.02,2.52,2.3,-0.27
2021-12-02T23:00:00,1.98,2.52,2.3,-0.24
2021-12-03T00:00:00,1.98,2.65,2.3,-0.1
2021-12-03T01:00:00,1.98,2.52,2.3,0.02
2021-12-03T02:00:00,1.98,2.51,2.3,0.02
2021-12-03T03:00:00,1.98,2.51,2.3,-0.0
2021-12-03T04:00:00,2.03,2.51,2.3,-0.06
2021-12-03T05:00:00,2.03,2.51,2.3,-0.05
2021-12-03T06:00:00,2.03,2.51,2.3,0.05
2021-12-03T07:00:00,1.95,2.57,2.3,-0.02
2021-12-03T08:00:00,2.06,2.68,2.52,0.1
2021-12-03T09:00:00,2.13,2.68,2.52,0.18
2021-12-03T10:00:00,2.09,2.7,2.52,0.15
2021-12-03T11:00:00,2.36,2.97,3.06,-0.13
2021-12-03T12:00:00,2.33,2.98,3.06,-0.11
2021-12-03T13:00:00,2.33,3.11,3.06,0.03
2021-12-03T14:00:00,2.33,3.11,3.06,0.08
2021-12-03T15:00:00,2.33,3.18,3.06,-0.0
2021-12-03T16:00:00,2.33,3.18,3.06,0.15
2021-12-03T17:00:00,2.33,3.18,3.06,0.22
2021-12-03T18:00:00,2.36,3.13,3.06,0.26
2021-12-03T19:00:00,2.29,3.13,3.06,0.2
2021-12-03T20:00:00,2.3,3.13,3.06,0.22
2021-12-03T21:00:00,2.3,3.13,3.06,0.24
2021-12-05T22:00:00,2.34,3.13,3.06,0.19
2021-12-05T23:00:00,2.47,3.26,3.32,0.05
2021-12-06T00:00:00,2.36,3.35,3.32,0.15
2021-12-06T01:00:00,2.42,3.35,3.32,0.08
2021-12-06T02:00:00,2.41,3.35,3.32,0.08
2021-12-06T03:00:00,2.42,3.36,3.34,0.06
2021-12-06T04:00:00,2.47,3.41,3.44,-0.0
