date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,-0.29,-0.29,-0.58,-0.28
2016-09-09T21:00:00,-0.29,1.15,-0.58,-1.73
2016-09-16T21:00:00,-0.29,1.15,-0.58,-2.68
2016-09-23T21:00:00,-0.29,1.53,-0.58,-2.29
2016-09-30T21:00:00,-0.29,4.55,-0.58,-5.32
2016-10-07T21:00:00,-0.29,4.02,-0.58,-5.84
2016-10-14T21:00:00,-0.29,4.02,-0.58,-4.96
2016-10-21T21:00:00,-0.29,4.45,-0.58,-5.4
2016-10-28T21:00:00,1.87,6.61,3.74,-3.23
2016-11-04T21:00:00,5.02,9.76,10.04,-0.07
2016-11-11T22:00:00,4.17,10.59,10.04,-0.91
2016-11-18T22:00:00,5.38,11.8,12.46,0.31
2016-11-25T22:00:00,6.93,13.35,15.56,1.87
2016-12-02T22:00:00,6.72,13.35,15.56,1.67
2016-12-09T22:00:00,6.72,13.35,15.56,1.92
2016-12-16T22:00:00,8.16,14.79,18.44,0.47
2016-12-23T22:00:00,7.67,15.26,18.44,0.95
2016-12-30T22:00:00,8.4,15.99,19.9,0.21
2017-01-06T22:00:00,8.4,15.99,19.9,-1.07
2017-01-13T22:00:00,11.28,18.87,25.66,1.82
2017-01-20T22:00:00,13.08,18.87,25.66,3.63
2017-01-27T22:00:00,10.86,21.07,25.66,1.42
2017-02-03T22:00:00,11.63,21.84,27.2,2.2
2017-02-10T22:00:00,12.29,22.5,28.52,1.53
2017-02-17T22:00:00,12.8,22.5,28.52,1.01
2017-02-24T22:00:00,13.8,22.5,28.52,0.0
2017-03-03T22:00:00,14.62,21.66,28.52,-0.83
2017-03-10T22:00:00,13.42,22.84,28.52,0.36
2017-03-17T21:00:00,13.42,22.32,28.52,0.87
2017-03-24T21:00:00,13.42,21.91,28.52,1.27
2017-03-31T21:00:00,13.42,21.91,28.52,0.37
2017-04-07T21:00:00,13.42,22.49,28.52,0.96
2017-04-14T21:00:00,15.61,24.68,32.9,3.16
2017-04-21T21:00:00,16.72,23.55,32.9,4.28
2017-04-28T21:00:00,17.63,23.55,32.9,5.2
2017-05-05T21:00:00,17.63,24.36,32.9,4.38
2017-05-12T21:00:00,17.63,24.21,32.9,4.24
2017-05-19T21:00:00,19.38,24.21,32.9,2.48
2017-05-26T21:00:00,18.74,24.83,32.9,3.11
2017-06-02T21:00:00,18.74,25.59,32.9,2.34
2017-06-09T21:00:00,18.74,25.59,32.9,2.75
2017-06-16T21:00:00,18.74,25.59,32.9,2.75
2017-06-23T21:00:00,20.21,25.59,32.9,4.23
2017-06-30T21:00:00,19.66,26.12,32.9,3.69
2017-07-07T21:00:00,20.49,26.95,34.56,4.53
2017-07-14T21:00:00,20.49,28.31,34.56,3.16
2017-07-21T21:00:00,20.49,28.31,34.56,3.72
2017-07-28T21:00:00,20.88,28.31,34.56,3.32
2017-08-04T21:00:00,21.08,28.31,34.56,3.11
2017-08-11T21:00:00,21.96,29.19,36.32,2.22
2017-08-18T21:00:00,22.4,29.19,36.32,1.77
2017-08-25T21:00:00,22.13,29.44,36.32,2.03
2017-09-01T21:00:00,22.13,29.99,36.32,2.59
2017-09-08T21:00:00,22.13,33.37,36.32,5.98
2017-09-15T21:00:00,22.13,33.76,36.32,5.58
2017-09-22T21:00:00,22.13,33.76,36.32,5.62
2017-09-29T21:00:00,22.13,35.54,36.32,3.83
2017-10-06T21:00:00,21.62,35.54,36.32,4.33
2017-10-13T21:00:00,21.66,35.54,36.32,4.28
2017-10-20T21:00:00,21.66,35.72,36.32,4.09
2017-10-27T21:00:00,21.66,35.72,36.32,3.63
2017-11-03T21:00:00,21.66,36.36,36.32,4.28
2017-11-10T22:00:00,21.66,36.36,36.32,4.63
2017-11-17T22:00:00,21.66,36.46,36.32,4.74
2017-11-24T22:00:00,21.66,37.61,36.32,5.9
2017-12-01T22:00:00,21.66,37.55,36.32,5.95
2017-12-08T22:00:00,21.66,37.55,36.32,5.24
2017-12-15T22:00:00,21.7,37.55,36.32,5.19
2017-12-22T22:00:00,21.21,37.55,36.32,5.67
2017-12-29T22:00:00,21.21,37.88,36.32,5.33
2018-01-05T22:00:00,22.25,38.92,38.4,6.38
2018-01-12T22:00:00,22.94,38.92,38.4,7.08
2018-01-19T22:00:00,23.88,39.86,40.28,8.03
2018-01-26T22:00:00,24.69,39.86,40.28,8.85
2018-02-02T22:00:00,23.32,41.21,40.28,7.49
2018-02-09T22:00:00,23.32,41.21,40.28,7.78
2018-02-16T22:00:00,23.04,41.21,40.28,8.05
2018-02-23T22:00:00,24.35,42.52,42.9,6.73
2018-03-02T22:00:00,24.35,42.71,42.9,6.93
