date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.0,0.0,0.0,-1.37
2016-09-09T21:00:00,0.33,-0.35,0.0,-1.71
2016-09-16T21:00:00,1.42,-0.35,0.0,-2.81
2016-09-23T21:00:00,1.42,-0.04,0.0,-2.49
2016-09-30T21:00:00,3.03,1.57,3.22,-0.87
2016-10-07T21:00:00,3.85,0.73,3.22,-0.04
2016-10-14T21:00:00,3.34,1.22,3.22,-0.54
2016-10-21T21:00:00,4.22,1.22,3.22,0.35
2016-10-28T21:00:00,2.94,2.48,3.22,-0.92
2016-11-04T21:00:00,5.38,4.92,8.1,1.53
2016-11-11T22:00:00,9.16,8.7,15.66,5.32
2016-11-18T22:00:00,11.28,6.56,15.66,7.45
2016-11-25T22:00:00,11.89,5.93,15.66,8.07
2016-12-02T22:00:00,13.6,7.64,19.08,9.79
2016-12-09T22:00:00,15.69,7.64,19.08,11.89
2016-12-16T22:00:00,15.22,8.09,19.08,11.43
2016-12-23T22:00:00,15.21,8.09,19.08,11.43
2016-12-30T22:00:00,15.44,8.09,19.08,11.19
2017-01-06T22:00:00,17.58,10.23,23.36,9.04
2017-01-13T22:00:00,17.38,10.41,23.36,9.23
2017-01-20T22:00:00,17.38,10.82,23.36,9.65
2017-01-27T22:00:00,19.23,12.67,27.06,7.79
2017-02-03T22:00:00,18.56,13.32,27.06,8.45
2017-02-10T22:00:00,18.56,14.0,27.06,7.76
2017-02-17T22:00:00,18.56,14.0,27.06,7.09
2017-02-24T22:00:00,18.56,15.59,27.06,8.69
2017-03-03T22:00:00,19.28,14.85,27.06,9.42
2017-03-10T22:00:00,19.28,16.56,27.06,7.7
2017-03-17T21:00:00,20.54,16.56,27.06,6.43
2017-03-24T21:00:00,20.17,16.91,27.06,6.79
2017-03-31T21:00:00,20.47,16.91,27.06,6.48
2017-04-07T21:00:00,22.71,19.15,31.54,4.23
2017-04-14T21:00:00,22.42,19.42,31.54,4.51
2017-04-21T21:00:00,22.42,20.19,31.54,5.29
2017-04-28T21:00:00,23.6,20.19,31.54,6.48
2017-05-05T21:00:00,23.82,20.19,31.54,6.71
2017-05-12T21:00:00,23.82,21.79,31.54,5.1
2017-05-19T21:00:00,23.82,21.86,31.54,5.18
2017-05-26T21:00:00,24.56,21.86,31.54,4.43
2017-06-02T21:00:00,24.69,21.71,31.54,4.29
2017-06-09T21:00:00,24.69,21.71,31.54,4.74
2017-06-16T21:00:00,24.69,21.71,31.54,5.1
2017-06-23T21:00:00,24.69,21.71,31.54,6.12
2017-06-30T21:00:00,24.69,21.71,31.54,7.69
2017-07-07T21:00:00,24.69,22.81,31.54,6.58
2017-07-14T21:00:00,24.69,24.02,31.54,5.36
2017-07-21T21:00:00,25.08,23.61,31.54,4.96
2017-07-28T21:00:00,25.17,23.61,31.54,4.86
2017-08-04T21:00:00,26.57,25.01,34.34,3.45
2017-08-11T21:00:00,26.57,25.01,34.34,3.43
2017-08-18T21:00:00,26.52,25.01,34.34,3.47
2017-08-25T21:00:00,26.52,25.93,34.34,4.4
2017-09-01T21:00:00,26.52,27.3,34.34,3.02
2017-09-08T21:00:00,26.52,29.66,34.34,5.39
2017-09-15T21:00:00,26.52,29.66,34.34,6.32
2017-09-22T21:00:00,26.78,29.66,34.34,6.59
2017-09-29T21:00:00,26.82,29.6,34.34,6.64
2017-10-06T21:00:00,26.82,29.6,34.34,5.91
2017-10-13T21:00:00,26.82,31.2,34.34,7.52
2017-10-20T21:00:00,26.82,31.2,34.34,7.67
2017-10-27T21:00:00,26.82,31.2,34.34,7.98
2017-11-03T21:00:00,26.82,31.64,34.34,7.53
2017-11-10T22:00:00,28.27,31.64,34.34,6.07
2017-11-17T22:00:00,28.74,31.64,34.34,5.59
2017-11-24T22:00:00,28.13,32.23,34.34,6.19
2017-12-01T22:00:00,28.13,32.23,34.34,6.88
2017-12-08T22:00:00,28.13,33.1,34.34,6.0
2017-12-15T22:00:00,28.13,33.1,34.34,6.42
2017-12-22T22:00:00,28.13,32.64,34.34,5.97
2017-12-29T22:00:00,28.13,32.64,34.34,6.29
2018-01-05T22:00:00,28.13,34.51,34.34,4.41
2018-01-12T22:00:00,28.28,34.34,34.34,4.25
2018-01-19T22:00:00,30.05,34.34,34.34,2.47
2018-01-26T22:00:00,28.73,35.64,34.34,3.78
2018-02-02T22:00:00,29.97,36.88,36.82,2.53
2018-02-09T22:00:00,32.35,36.88,36.82,0.14
2018-02-16T22:00:00,32.35,37.36,36.82,0.63
2018-02-23T22:00:00,32.35,37.36,36.82,-0.83
2018-03-02T22:00:00,32.35,37.36,36.82,0.35
2018-03-09T22:00:00,32.35,37.36,36.82,-0.33
2018-03-16T21:00:00,32.35,37.36,36.82,-1.48
2018-03-23T21:00:00,32.35,38.87,36.82,0.04
2018-03-30T21:00:00,32.35,38.2,36.82,0.7
2018-04-06T21:00:00,32.69,37.84,36.82,1.05
2018-04-13T21:00:00,32.88,37.84,36.82,1.25
2018-04-20T21:00:00,34.0,38.96,39.06,2.38
2018-04-27T21:00:00,34.0,38.95,39.06,2.38
2018-05-04T21:00:00,34.0,38.95,39.06,2.62
2018-05-11T21:00:00,34.0,40.23,39.06,3.91
2018-05-18T21:00:00,34.0,41.51,39.06,2.62
2018-05-25T21:00:00,34.0,41.51,39.06,2.4
2018-06-01T21:00:00,34.0,41.51,39.06,2.41
2018-06-08T21:00:00,34.0,41.51,39.06,3.58
2018-06-15T21:00:00,34.0,42.1,39.06,2.98
2018-06-22T21:00:00,34.77,42.1,39.06,3.76
2018-06-29T21:00:00,34.62,42.1,39.06,3.62
2018-07-06T21:00:00,36.34,43.82,42.5,5.35
2018-07-13T21:00:00,35.62,44.52,42.5,4.64
2018-07-20T21:00:00,35.31,44.52,42.5,4.34
2018-07-27T21:00:00,35.31,44.78,42.5,4.61
2018-08-03T21:00:00,35.31,44.78,42.5,4.27
2018-08-10T21:00:00,35.31,44.78,42.5,4.3
2018-08-17T21:00:00,35.31,44.78,42.5,4.88
2018-08-24T21:00:00,35.31,44.78,42.5,4.67
2018-08-31T21:00:00,35.31,44.78,42.5,4.57
2018-09-07T21:00:00,35.31,44.78,42.5,5.5
2018-09-14T21:00:00,35.31,44.78,42.5,6.47
2018-09-21T21:00:00,36.19,44.78,42.5,7.36
2018-09-28T21:00:00,36.08,44.78,42.5,7.26
2018-10-05T21:00:00,36.08,46.17,42.5,5.86
2018-10-12T21:00:00,36.08,46.39,42.5,6.09
2018-10-19T21:00:00,36.08,46.39,42.5,5.46
2018-10-26T21:00:00,36.08,46.39,42.5,6.95
2018-11-02T21:00:00,36.08,45.93,42.5,7.4
2018-11-09T22:00:00,36.08,46.75,42.5,6.57
2018-11-16T22:00:00,36.08,46.92,42.5,6.75
2018-11-23T22:00:00,36.63,46.92,42.5,7.31
2018-11-30T22:00:00,36.63,46.92,42.5,6.58
2018-12-07T22:00:00,36.63,47.6,42.5,7.27
2018-12-14T22:00:00,36.63,49.72,42.5,5.14
2018-12-21T22:00:00,36.63,49.72,42.5,4.55
2018-12-28T22:00:00,38.29,51.38,45.82,2.88
2019-01-04T22:00:00,38.36,51.29,45.82,2.8
2019-01-11T22:00:00,38.36,52.36,45.82,3.88
2019-01-18T22:00:00,38.36,52.55,45.82,3.68
2019-01-25T22:00:00,38.36,52.55,45.82,3.62
2019-02-01T22:00:00,38.55,52.55,45.82,3.82
2019-02-08T22:00:00,39.14,52.55,45.82,4.42
2019-02-15T22:00:00,39.33,52.55,45.82,4.62
2019-02-22T22:00:00,40.43,52.55,45.82,5.73
2019-03-01T22:00:00,39.78,52.55,45.82,5.09
2019-03-08T22:00:00,39.78,52.55,45.82,5.5
2019-03-15T21:00:00,41.13,52.55,45.82,4.14
2019-03-22T21:00:00,40.32,53.34,45.82,4.94
2019-03-29T21:00:00,40.93,53.34,45.82,5.56
2019-04-05T21:00:00,41.28,53.34,45.82,5.92
2019-04-12T21:00:00,41.21,53.34,45.82,5.86
2019-04-19T21:00:00,41.21,53.63,45.82,5.56
2019-04-26T21:00:00,41.21,53.63,45.82,5.12
2019-05-03T21:00:00,41.21,53.63,45.82,4.45
2019-05-10T21:00:00,41.21,53.63,45.82,4.69
2019-05-17T21:00:00,41.21,54.31,45.82,4.0
2019-05-24T21:00:00,41.21,54.31,45.82,3.18
2019-05-31T21:00:00,41.35,54.31,45.82,3.03
2019-06-07T21:00:00,41.13,54.31,45.82,3.24
2019-06-14T21:00:00,42.04,54.31,45.82,2.32
2019-06-21T21:00:00,42.04,54.86,45.82,2.88
2019-06-28T21:00:00,42.04,54.86,45.82,3.35
2019-07-05T21:00:00,42.04,54.86,45.82,2.48
2019-07-12T21:00:00,42.04,54.89,45.82,2.52
2019-07-19T21:00:00,42.04,54.89,45.82,3.27
2019-07-26T21:00:00,42.04,56.94,45.82,1.21
2019-08-02T21:00:00,42.04,56.94,45.82,0.2
2019-08-09T21:00:00,42.04,57.66,45.82,0.93
2019-08-16T21:00:00,42.04,58.45,45.82,0.13
2019-08-23T21:00:00,43.23,59.64,48.2,1.33
2019-08-30T21:00:00,44.08,59.64,48.2,2.19
2019-09-06T21:00:00,45.46,59.64,48.2,3.58
2019-09-13T21:00:00,45.34,59.64,48.2,3.47
2019-09-20T21:00:00,45.56,59.4,48.2,3.7
2019-09-27T21:00:00,44.6,59.4,48.2,2.75
2019-10-04T21:00:00,44.6,59.4,48.2,4.39
2019-10-11T21:00:00,44.6,59.33,48.2,4.45
2019-10-18T21:00:00,44.6,59.33,48.2,4.75
2019-10-25T21:00:00,44.6,59.83,48.2,4.24
2019-11-01T21:00:00,45.65,60.88,50.3,5.3
2019-11-08T22:00:00,45.65,61.26,50.3,4.91
2019-11-15T22:00:00,45.65,61.26,50.3,4.76
2019-11-22T22:00:00,45.65,61.26,50.3,5.46
2019-11-29T22:00:00,45.65,62.14,50.3,4.57
2019-12-06T22:00:00,45.65,63.18,50.3,5.62
2019-12-13T22:00:00,45.65,63.18,50.3,5.83
2019-12-20T22:00:00,45.65,63.18,50.3,5.96
2019-12-27T22:00:00,45.65,63.18,50.3,4.89
2020-01-03T22:00:00,47.29,64.82,53.58,6.54
2020-01-10T22:00:00,47.85,64.24,53.58,7.11
2020-01-17T22:00:00,47.85,65.01,53.58,6.33
2020-01-24T22:00:00,47.85,64.59,53.58,5.92
2020-01-31T22:00:00,47.85,65.77,53.58,7.11
2020-02-07T22:00:00,47.85,65.77,53.58,7.16
2020-02-14T22:00:00,47.85,64.49,53.58,8.43
2020-02-21T22:00:00,50.79,67.43,59.46,5.48
2020-02-28T22:00:00,50.79,65.78,59.46,3.84
2020-03-06T22:00:00,50.79,69.28,59.46,7.35
2020-03-13T21:00:00,50.79,69.28,59.46,11.04
2020-03-20T21:00:00,50.79,69.28,59.46,8.45
2020-03-27T21:00:00,51.51,69.28,59.46,9.18
2020-04-03T21:00:00,51.51,69.28,59.46,9.27
2020-04-10T21:00:00,51.51,69.28,59.46,8.49
2020-04-17T21:00:00,51.51,69.24,59.46,8.46
2020-04-24T21:00:00,52.14,69.24,59.46,7.82
2020-05-01T21:00:00,52.35,69.24,59.46,7.6
2020-05-08T21:00:00,52.35,69.24,59.46,8.11
2020-05-15T21:00:00,52.35,69.24,59.46,8.53
2020-05-22T21:00:00,52.35,69.24,59.46,8.76
2020-05-29T21:00:00,52.35,69.24,59.46,10.48
2020-06-05T21:00:00,52.35,69.24,59.46,8.46
2020-06-12T21:00:00,52.35,68.77,59.46,8.0
2020-06-19T21:00:00,51.96,68.77,59.46,8.38
2020-06-26T21:00:00,51.62,68.77,59.46,8.71
2020-07-03T21:00:00,51.62,68.77,59.46,8.18
2020-07-10T21:00:00,51.62,68.77,59.46,8.27
2020-07-17T21:00:00,51.62,68.77,59.46,7.32
2020-07-24T21:00:00,51.62,68.63,59.46,7.19
2020-07-31T21:00:00,51.62,68.63,59.46,7.33
2020-08-07T21:00:00,51.62,68.63,59.46,7.98
2020-08-14T21:00:00,51.62,69.35,59.46,7.25
2020-08-21T21:00:00,51.62,69.35,59.46,6.85
2020-08-28T21:00:00,51.62,69.35,59.46,7.6
2020-09-04T21:00:00,51.7,69.35,59.46,7.51
2020-09-11T21:00:00,51.7,70.8,59.46,6.05
2020-09-18T21:00:00,51.7,71.8,59.46,7.06
2020-09-25T21:00:00,51.7,71.8,59.46,6.85
2020-10-02T21:00:00,51.99,71.8,59.46,7.15
2020-10-09T21:00:00,51.99,71.8,59.46,6.82
2020-10-16T21:00:00,52.61,71.8,59.46,6.19
2020-10-23T21:00:00,52.71,71.8,59.46,6.08
2020-10-30T21:00:00,53.84,71.8,59.46,4.94
2020-11-06T22:00:00,53.84,73.06,59.46,6.21
2020-11-13T22:00:00,53.84,73.87,59.46,5.39
2020-11-20T22:00:00,53.84,73.87,59.46,5.72
2020-11-27T22:00:00,53.84,73.75,59.46,5.83
2020-12-04T22:00:00,53.84,73.75,59.46,5.77
2020-12-11T22:00:00,53.84,74.41,59.46,5.1
2020-12-18T22:00:00,53.84,74.55,59.46,5.25
2020-12-25T22:00:00,53.84,74.55,59.46,5.04
2021-01-01T22:00:00,53.84,75.32,59.46,5.82
2021-01-08T22:00:00,53.84,75.32,59.46,5.83
2021-01-15T22:00:00,53.79,75.32,59.46,5.79
2021-01-22T22:00:00,54.64,76.17,61.16,6.65
2021-01-29T22:00:00,55.19,75.6,61.16,7.21
2021-02-05T22:00:00,55.19,75.99,61.16,6.81
2021-02-12T22:00:00,55.19,76.46,61.16,7.29
2021-02-19T22:00:00,56.24,76.46,61.16,8.35
2021-02-26T22:00:00,57.82,76.46,61.16,9.94
2021-03-05T22:00:00,58.42,75.84,61.16,10.55
2021-03-12T22:00:00,58.25,75.84,61.16,10.39
2021-03-19T21:00:00,59.16,76.75,62.98,11.31
2021-03-26T21:00:00,59.92,76.75,62.98,12.08
2021-04-02T21:00:00,59.92,77.65,62.98,11.17
2021-04-09T21:00:00,60.66,77.65,62.98,10.42
2021-04-16T21:00:00,61.34,76.95,62.98,9.73
2021-04-23T21:00:00,61.34,78.13,62.98,10.92
2021-04-30T21:00:00,61.34,78.76,62.98,10.28
2021-05-07T21:00:00,61.34,78.76,62.98,10.94
2021-05-14T21:00:00,61.34,79.01,62.98,10.68
2021-05-21T21:00:00,61.34,79.01,62.98,11.57
2021-05-28T21:00:00,61.14,79.01,62.98,11.38
2021-06-04T21:00:00,61.14,79.01,62.98,11.39
2021-06-11T21:00:00,61.14,79.01,62.98,11.92
2021-06-18T21:00:00,61.14,79.01,62.98,12.37
2021-06-25T21:00:00,61.14,79.01,62.98,12.52
2021-07-02T21:00:00,61.14,79.01,62.98,11.71
2021-07-09T21:00:00,61.14,78.93,62.98,11.64
