date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.0,0.0,0.0,1.0
2016-09-09T21:00:00,0.48,-0.5,0.0,1.49
2016-09-16T21:00:00,0.48,0.12,0.0,0.86
2016-09-23T21:00:00,0.48,0.12,0.0,1.16
2016-09-30T21:00:00,0.61,0.25,0.26,1.02
2016-10-07T21:00:00,2.67,2.31,4.38,-1.05
2016-10-14T21:00:00,5.24,4.88,9.52,1.53
2016-10-21T21:00:00,5.77,4.33,9.52,2.07
2016-10-28T21:00:00,7.98,6.54,13.94,4.29
2016-11-04T21:00:00,7.98,8.27,13.94,2.55
2016-11-11T22:00:00,7.98,8.27,13.94,0.73
2016-11-18T22:00:00,7.07,9.16,13.94,1.63
2016-11-25T22:00:00,7.07,9.16,13.94,1.41
2016-12-02T22:00:00,7.07,9.96,13.94,0.6
2016-12-09T22:00:00,7.96,9.96,13.94,-0.3
2016-12-16T22:00:00,7.73,10.17,13.94,-0.08
2016-12-23T22:00:00,7.73,10.17,13.94,-0.23
2016-12-30T22:00:00,7.73,10.17,13.94,-1.38
2017-01-06T22:00:00,9.03,11.47,16.54,-0.07
2017-01-13T22:00:00,11.34,11.47,16.54,2.25
2017-01-20T22:00:00,11.36,11.47,16.54,2.28
2017-01-27T22:00:00,11.11,11.7,16.54,2.04
2017-02-03T22:00:00,11.11,11.7,16.54,0.99
2017-02-10T22:00:00,11.35,11.44,16.54,0.74
2017-02-17T22:00:00,11.35,11.43,16.54,0.74
2017-02-24T22:00:00,11.35,11.43,16.54,0.65
2017-03-03T22:00:00,11.35,11.43,16.54,-0.12
2017-03-10T22:00:00,11.35,11.43,16.54,0.21
2017-03-17T21:00:00,11.35,11.09,16.54,0.54
2017-03-24T21:00:00,11.35,11.8,16.54,-0.18
2017-03-31T21:00:00,11.61,11.8,16.54,-0.45
2017-04-07T21:00:00,11.61,12.16,16.54,-0.08
2017-04-14T21:00:00,11.61,12.16,16.54,1.7
2017-04-21T21:00:00,11.61,13.3,16.54,0.55
2017-04-28T21:00:00,11.61,13.3,16.54,1.3
2017-05-05T21:00:00,11.61,13.52,16.54,1.07
2017-05-12T21:00:00,11.23,13.52,16.54,0.7
2017-05-19T21:00:00,11.23,15.0,16.54,2.19
2017-05-26T21:00:00,11.23,15.0,16.54,3.7
2017-06-02T21:00:00,11.23,14.05,16.54,4.64
2017-06-09T21:00:00,11.23,15.28,16.54,3.4
2017-06-16T21:00:00,11.23,16.09,16.54,4.22
2017-06-23T21:00:00,11.23,17.64,16.54,2.66
2017-06-30T21:00:00,11.23,17.64,16.54,1.27
2017-07-07T21:00:00,11.23,16.73,16.54,0.37
2017-07-14T21:00:00,11.23,17.36,16.54,1.01
2017-07-21T21:00:00,11.23,17.23,16.54,1.13
2017-07-28T21:00:00,11.65,17.23,16.54,1.56
2017-08-04T21:00:00,11.65,18.16,16.54,0.62
2017-08-11T21:00:00,11.65,18.16,16.54,-0.03
2017-08-18T21:00:00,13.37,19.88,19.98,-1.76
2017-08-25T21:00:00,15.17,19.88,19.98,-3.57
2017-09-01T21:00:00,15.76,19.27,19.98,-4.17
2017-09-08T21:00:00,15.76,20.03,19.98,-3.4
2017-09-15T21:00:00,15.76,22.06,19.98,-1.36
2017-09-22T21:00:00,15.6,22.2,19.98,-1.51
2017-09-29T21:00:00,15.6,23.59,19.98,-2.91
2017-10-06T21:00:00,15.6,24.34,19.98,-2.15
2017-10-13T21:00:00,15.6,24.34,19.98,-3.96
2017-10-20T21:00:00,15.6,24.53,19.98,-3.76
2017-10-27T21:00:00,15.6,24.53,19.98,-3.82
2017-11-03T21:00:00,15.6,24.53,19.98,-4.08
2017-11-10T22:00:00,15.6,24.53,19.98,-5.04
2017-11-17T22:00:00,15.6,24.53,19.98,-4.56
2017-11-24T22:00:00,15.6,24.53,19.98,-4.67
2017-12-01T22:00:00,16.39,25.32,21.56,-3.87
2017-12-08T22:00:00,18.68,25.32,21.56,-1.57
2017-12-15T22:00:00,17.86,26.12,21.56,-2.38
2017-12-22T22:00:00,17.86,25.96,21.56,-2.53
2017-12-29T22:00:00,17.86,25.79,21.56,-2.69
2018-01-05T22:00:00,17.86,27.42,21.56,-1.05
2018-01-12T22:00:00,18.61,26.65,21.56,-0.29
2018-01-19T22:00:00,18.31,26.93,21.56,-0.58
2018-01-26T22:00:00,18.62,27.24,22.18,-0.26
2018-02-02T22:00:00,19.29,27.91,23.52,0.42
2018-02-09T22:00:00,21.02,29.64,26.98,2.16
2018-02-16T22:00:00,20.47,30.17,26.98,1.62
2018-02-23T22:00:00,21.67,31.37,29.38,2.83
2018-03-02T22:00:00,21.67,31.37,29.38,2.99
2018-03-09T22:00:00,21.67,31.37,29.38,4.12
2018-03-16T21:00:00,21.67,31.37,29.38,2.86
2018-03-23T21:00:00,21.67,31.48,29.38,2.98
2018-03-30T21:00:00,21.67,31.48,29.38,2.56
2018-04-06T21:00:00,21.67,31.48,29.38,2.4
2018-04-13T21:00:00,21.67,31.48,29.38,1.69
2018-04-20T21:00:00,22.89,31.48,29.38,0.46
2018-04-27T21:00:00,23.74,31.48,29.38,-0.4
2018-05-04T21:00:00,24.96,31.48,29.38,-1.63
2018-05-11T21:00:00,24.78,31.64,29.38,-1.46
2018-05-18T21:00:00,24.78,32.35,29.38,-0.74
2018-05-25T21:00:00,25.58,32.35,29.38,0.07
2018-06-01T21:00:00,26.09,31.82,29.38,0.59
2018-06-08T21:00:00,26.29,31.82,29.38,0.8
2018-06-15T21:00:00,26.29,31.82,29.38,1.07
2018-06-22T21:00:00,29.37,34.9,35.54,-2.02
2018-06-29T21:00:00,29.28,34.97,35.54,-1.94
2018-07-06T21:00:00,29.92,34.31,35.54,-2.59
2018-07-13T21:00:00,29.36,34.85,35.54,-2.04
2018-07-20T21:00:00,30.04,35.53,36.9,-2.73
2018-07-27T21:00:00,31.25,36.74,39.32,-3.95
2018-08-03T21:00:00,32.68,36.74,39.32,-5.39
2018-08-10T21:00:00,32.54,36.74,39.32,-5.26
2018-08-17T21:00:00,32.17,36.74,39.32,-4.9
2018-08-24T21:00:00,32.17,36.74,39.32,-5.67
2018-08-31T21:00:00,32.17,37.39,39.32,-6.33
2018-09-07T21:00:00,32.95,37.39,39.32,-7.12
2018-09-14T21:00:00,31.95,38.37,39.32,-6.13
2018-09-21T21:00:00,32.77,39.19,40.96,-6.96
2018-09-28T21:00:00,34.82,39.19,40.96,-9.02
2018-10-05T21:00:00,33.2,40.79,40.96,-7.41
2018-10-12T21:00:00,33.2,40.79,40.96,-5.39
2018-10-19T21:00:00,31.94,42.03,40.96,-6.64
2018-10-26T21:00:00,33.97,44.06,45.02,-4.6
2018-11-02T21:00:00,36.45,46.54,49.98,-2.11
2018-11-09T22:00:00,38.23,44.74,49.98,-0.32
2018-11-16T22:00:00,37.62,45.33,49.98,-0.92
2018-11-23T22:00:00,39.89,47.6,54.52,1.36
2018-11-30T22:00:00,39.73,47.74,54.52,1.21
2018-12-07T22:00:00,39.73,48.45,54.52,0.49
2018-12-14T22:00:00,39.73,48.45,54.52,0.87
2018-12-21T22:00:00,39.73,48.45,54.52,0.9
2018-12-28T22:00:00,39.73,48.45,54.52,-0.75
2019-01-04T22:00:00,39.3,48.86,54.52,-0.33
2019-01-11T22:00:00,39.3,48.86,54.52,-1.59
2019-01-18T22:00:00,39.3,49.79,54.52,-0.65
2019-01-25T22:00:00,39.3,49.79,54.52,-0.66
2019-02-01T22:00:00,39.3,49.79,54.52,-1.5
2019-02-08T22:00:00,39.3,49.79,54.52,0.14
2019-02-15T22:00:00,39.3,50.82,54.52,-0.9
2019-02-22T22:00:00,39.57,50.82,54.52,-0.62
2019-03-01T22:00:00,39.57,50.82,54.52,0.08
2019-03-08T22:00:00,39.76,50.82,54.52,0.28
2019-03-15T21:00:00,40.91,50.82,54.52,1.44
2019-03-22T21:00:00,40.91,52.37,54.52,-0.12
2019-03-29T21:00:00,41.99,52.37,54.52,-1.21
2019-04-05T21:00:00,42.01,52.33,54.52,-1.24
2019-04-12T21:00:00,42.74,52.33,54.52,-1.98
2019-04-19T21:00:00,42.63,52.42,54.52,-1.88
2019-04-26T21:00:00,43.02,52.81,55.3,-2.28
2019-05-03T21:00:00,43.78,53.57,56.82,-3.05
2019-05-10T21:00:00,44.6,53.57,56.82,-3.88
2019-05-17T21:00:00,44.25,53.9,56.82,-3.54
2019-05-24T21:00:00,44.0,53.9,56.82,-3.3
2019-05-31T21:00:00,43.83,53.9,56.82,-3.14
2019-06-07T21:00:00,45.34,53.9,56.82,-4.66
2019-06-14T21:00:00,45.35,53.9,56.82,-4.68
2019-06-21T21:00:00,45.35,53.9,56.82,-3.73
2019-06-28T21:00:00,45.35,55.26,56.82,-5.1
2019-07-05T21:00:00,45.35,55.87,56.82,-4.48
2019-07-12T21:00:00,45.35,57.17,56.82,-3.17
2019-07-19T21:00:00,45.35,58.28,56.82,-4.29
2019-07-26T21:00:00,45.35,59.4,56.82,-5.42
2019-08-02T21:00:00,45.35,58.43,56.82,-6.38
2019-08-09T21:00:00,45.35,58.16,56.82,-6.64
2019-08-16T21:00:00,45.35,58.41,56.82,-6.9
2019-08-23T21:00:00,46.4,58.41,56.82,-7.96
2019-08-30T21:00:00,45.57,59.22,56.82,-7.14
2019-09-06T21:00:00,45.37,59.22,56.82,-6.95
2019-09-13T21:00:00,45.37,61.21,56.82,-8.95
2019-09-20T21:00:00,45.37,61.21,56.82,-8.49
2019-09-27T21:00:00,45.37,62.01,56.82,-7.68
2019-10-04T21:00:00,45.37,62.42,56.82,-8.1
2019-10-11T21:00:00,45.37,62.42,56.82,-7.87
2019-10-18T21:00:00,45.37,63.49,56.82,-8.95
2019-10-25T21:00:00,47.17,65.29,60.42,-7.14
2019-11-01T21:00:00,47.17,66.27,60.42,-8.13
2019-11-08T22:00:00,48.2,67.3,62.48,-7.09
2019-11-15T22:00:00,48.78,66.7,62.48,-6.5
2019-11-22T22:00:00,48.84,66.7,62.48,-6.43
2019-11-29T22:00:00,50.75,68.61,66.3,-4.51
2019-12-06T22:00:00,50.53,68.81,66.3,-4.72
2019-12-13T22:00:00,50.53,68.81,66.3,-4.89
2019-12-20T22:00:00,50.53,69.84,66.3,-3.85
2019-12-27T22:00:00,50.53,70.86,66.3,-4.88
2020-01-03T22:00:00,50.53,70.97,66.3,-4.76
2020-01-10T22:00:00,50.73,70.75,66.3,-4.97
2020-01-17T22:00:00,50.73,70.75,66.3,-4.44
2020-01-24T22:00:00,50.73,71.95,66.3,-5.65
2020-01-31T22:00:00,50.73,71.95,66.3,-6.19
2020-02-07T22:00:00,50.64,71.95,66.3,-6.11
2020-02-14T22:00:00,52.39,71.95,66.3,-7.87
2020-02-21T22:00:00,52.39,71.95,66.3,-7.88
2020-02-28T22:00:00,52.39,74.34,66.3,-5.48
2020-03-06T22:00:00,52.39,74.56,66.3,-5.71
2020-03-13T21:00:00,52.39,74.56,66.3,-9.1
