date,trend,signal,trend+signal,return
2018-08-20T21:00:00,0.0,0.0,0.0,0.86
2018-08-21T21:00:00,0.0,-0.28,0.0,1.04
2018-08-22T21:00:00,0.0,0.43,0.0,0.23
2018-08-23T21:00:00,0.0,1.08,0.0,0.98
2018-08-26T21:00:00,0.13,1.08,0.0,1.21
2018-08-27T21:00:00,0.25,1.08,0.0,1.43
2018-08-28T21:00:00,0.25,0.87,0.0,1.54
2018-08-29T21:00:00,0.25,1.69,0.0,0.62
2018-08-30T21:00:00,0.62,1.69,0.0,0.15
2018-09-02T21:00:00,0.83,1.28,0.0,-0.16
2018-09-03T21:00:00,1.36,1.28,0.0,-0.79
2018-09-04T21:00:00,0.65,1.79,0.0,-0.18
2018-09-05T21:00:00,0.57,1.71,-0.06,-0.2
2018-09-06T21:00:00,1.22,2.36,1.34,-0.95
2018-09-09T21:00:00,1.18,2.2,1.34,-1.01
2018-09-10T21:00:00,1.18,2.11,1.34,-1.0
2018-09-11T21:00:00,1.18,2.48,1.34,-0.53
2018-09-12T21:00:00,1.18,2.37,1.34,-0.52
2018-09-13T21:00:00,1.18,2.63,1.34,-0.88
2018-09-16T21:00:00,1.57,3.02,2.22,-0.39
2018-09-17T21:00:00,1.45,2.94,2.22,-0.41
2018-09-18T21:00:00,1.89,3.38,3.2,0.13
2018-09-19T21:00:00,2.76,4.25,5.04,1.1
2018-09-20T21:00:00,2.2,4.61,5.04,0.64
2018-09-23T21:00:00,2.2,4.61,5.04,0.26
2018-09-24T21:00:00,2.2,4.52,5.04,0.27
2018-09-25T21:00:00,2.2,4.52,5.04,0.53
2018-09-26T21:00:00,2.2,5.0,5.04,-0.05
2018-09-27T21:00:00,2.2,5.13,5.04,0.18
2018-09-30T21:00:00,2.2,5.13,5.04,0.08
2018-10-01T21:00:00,2.33,5.26,5.4,-0.15
2018-10-02T21:00:00,3.28,6.21,7.4,-1.2
2018-10-03T21:00:00,3.72,6.21,7.4,-1.74
2018-10-04T21:00:00,4.28,5.45,7.4,-2.4
2018-10-07T21:00:00,4.09,5.45,7.4,-2.31
2018-10-08T21:00:00,4.09,5.45,7.4,-1.91
2018-10-09T21:00:00,3.65,5.69,7.4,-2.25
2018-10-10T21:00:00,4.66,6.7,9.52,-1.14
2018-10-11T21:00:00,4.26,6.9,9.52,-1.44
2018-10-14T21:00:00,4.9,7.54,10.9,-0.7
2018-10-15T21:00:00,5.38,7.54,10.9,-0.12
2018-10-16T21:00:00,5.38,7.82,10.9,-0.5
2018-10-17T21:00:00,5.38,7.63,10.9,-0.59
2018-10-18T21:00:00,5.38,8.23,10.9,0.11
2018-10-21T21:00:00,5.38,8.9,10.9,-0.66
2018-10-22T21:00:00,5.28,8.8,10.9,-0.66
2018-10-23T21:00:00,5.62,8.8,10.9,-1.1
2018-10-24T21:00:00,5.56,8.66,10.9,-1.14
2018-10-25T21:00:00,5.34,8.66,10.9,-1.02
2018-10-28T21:00:00,5.34,8.66,10.9,-1.03
2018-10-29T21:00:00,5.34,9.05,10.9,-0.54
2018-10-30T21:00:00,5.34,9.05,10.9,-1.13
2018-10-31T21:00:00,7.26,10.97,14.84,0.89
2018-11-01T21:00:00,6.89,11.14,14.84,0.62
2018-11-04T22:00:00,7.29,11.54,15.74,1.12
2018-11-05T22:00:00,8.27,12.52,17.8,2.2
2018-11-06T22:00:00,8.92,11.67,17.8,2.95
2018-11-07T22:00:00,8.92,12.09,17.8,2.43
2018-11-08T22:00:00,8.92,11.9,17.8,2.34
2018-11-11T22:00:00,8.92,11.9,17.8,2.08
2018-11-12T22:00:00,8.92,12.55,17.8,2.83
2018-11-13T22:00:00,9.38,12.55,17.8,3.39
2018-11-14T22:00:00,9.71,12.55,17.8,3.82
2018-11-15T22:00:00,10.27,12.55,17.8,4.48
2018-11-18T22:00:00,9.86,12.76,17.8,4.17
2018-11-19T22:00:00,9.86,12.76,17.8,3.5
2018-11-20T22:00:00,9.03,13.39,17.8,4.23
2018-11-21T22:00:00,9.29,13.65,18.42,3.87
2018-11-22T22:00:00,9.68,14.04,19.3,3.38
2018-11-25T22:00:00,9.68,14.02,19.3,3.46
2018-11-26T22:00:00,9.68,14.2,19.3,3.74
2018-11-27T22:00:00,10.82,15.34,21.68,4.98
2018-11-28T22:00:00,10.44,15.52,21.68,4.7
2018-11-29T22:00:00,10.71,15.52,21.68,5.07
2018-12-02T22:00:00,10.71,15.38,21.68,5.11
2018-12-03T22:00:00,10.71,15.42,21.68,4.97
2018-12-04T22:00:00,10.99,15.42,21.68,4.59
2018-12-05T22:00:00,11.23,15.42,21.68,4.25
2018-12-06T22:00:00,11.2,15.42,21.68,4.18
2018-12-09T22:00:00,11.05,15.42,21.68,4.23
2018-12-10T22:00:00,11.05,15.42,21.68,4.39
2018-12-11T22:00:00,11.25,15.42,21.68,4.09
2018-12-12T22:00:00,11.09,15.42,21.68,4.15
2018-12-13T22:00:00,11.94,16.27,23.48,3.2
