date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.77,0.77,1.54,-0.78
2016-09-09T21:00:00,0.77,0.77,1.54,-1.81
2016-09-16T21:00:00,2.09,0.77,1.54,-3.14
2016-09-23T21:00:00,1.24,1.6,1.54,-2.3
2016-09-30T21:00:00,1.24,1.6,1.54,-2.16
2016-10-07T21:00:00,1.24,2.05,1.54,-2.62
2016-10-14T21:00:00,1.69,2.05,1.54,-2.16
2016-10-21T21:00:00,2.55,2.05,1.54,-1.29
2016-10-28T21:00:00,3.64,2.05,1.54,-0.19
2016-11-04T21:00:00,3.64,2.05,1.54,-0.97
2016-11-11T22:00:00,3.64,3.88,1.54,0.87
2016-11-18T22:00:00,3.64,3.88,1.54,3.69
2016-11-25T22:00:00,5.61,3.88,1.54,5.67
2016-12-02T22:00:00,7.41,3.88,1.54,7.48
2016-12-09T22:00:00,7.41,4.1,1.54,7.25
2016-12-16T22:00:00,7.41,4.1,1.54,5.43
2016-12-23T22:00:00,7.41,4.4,1.54,5.74
2016-12-30T22:00:00,7.24,4.55,1.54,5.9
2017-01-06T22:00:00,7.24,4.55,1.54,6.04
2017-01-13T22:00:00,7.24,4.55,1.54,7.17
2017-01-20T22:00:00,8.99,6.3,5.04,8.93
2017-01-27T22:00:00,8.99,7.58,5.04,7.64
2017-02-03T22:00:00,8.99,7.58,5.04,6.84
2017-02-10T22:00:00,9.94,7.58,5.04,5.88
2017-02-17T22:00:00,10.53,6.97,5.04,5.28
2017-02-24T22:00:00,11.05,6.97,5.04,4.75
2017-03-03T22:00:00,11.05,6.97,5.04,4.11
2017-03-10T22:00:00,11.73,6.97,5.04,3.42
2017-03-17T21:00:00,12.83,8.07,7.24,2.31
2017-03-24T21:00:00,12.79,8.07,7.24,2.34
2017-03-31T21:00:00,14.07,9.35,9.8,1.05
2017-04-07T21:00:00,15.38,9.35,9.8,-0.27
2017-04-14T21:00:00,14.59,9.35,9.8,0.51
2017-04-21T21:00:00,16.3,9.35,9.8,-1.21
2017-04-28T21:00:00,16.3,11.45,9.8,0.9
2017-05-05T21:00:00,16.3,11.73,9.8,0.61
2017-05-12T21:00:00,15.46,12.55,9.8,-0.22
2017-05-19T21:00:00,17.73,14.82,14.34,2.06
2017-05-26T21:00:00,17.73,14.3,14.34,2.57
2017-06-02T21:00:00,17.73,14.3,14.34,3.64
2017-06-09T21:00:00,18.83,14.3,14.34,4.75
2017-06-16T21:00:00,19.57,14.3,14.34,5.5
2017-06-23T21:00:00,21.31,14.3,14.34,7.25
2017-06-30T21:00:00,22.24,14.3,14.34,8.19
2017-07-07T21:00:00,22.03,14.3,14.34,7.99
2017-07-14T21:00:00,22.33,14.3,14.34,8.3
2017-07-21T21:00:00,22.33,14.3,14.34,8.89
2017-07-28T21:00:00,22.33,15.46,14.34,7.72
2017-08-04T21:00:00,24.79,17.92,19.26,5.25
2017-08-11T21:00:00,24.68,18.01,19.26,5.35
2017-08-18T21:00:00,25.7,18.01,19.26,4.32
2017-08-25T21:00:00,25.7,17.8,19.26,4.12
2017-09-01T21:00:00,25.7,17.8,19.26,4.13
2017-09-08T21:00:00,28.57,20.67,25.0,7.01
2017-09-15T21:00:00,30.22,20.67,25.0,8.67
2017-09-22T21:00:00,29.28,21.59,25.0,7.74
2017-09-29T21:00:00,29.28,23.4,25.0,5.92
2017-10-06T21:00:00,28.72,23.94,25.0,6.47
2017-10-13T21:00:00,30.18,23.94,25.0,5.0
2017-10-20T21:00:00,31.24,23.94,25.0,3.93
2017-10-27T21:00:00,30.55,24.61,25.0,4.61
2017-11-03T21:00:00,30.65,24.71,25.2,4.5
2017-11-10T22:00:00,33.42,27.48,30.74,1.72
2017-11-17T22:00:00,33.01,27.87,30.74,2.12
2017-11-24T22:00:00,32.21,28.65,30.74,2.91
2017-12-01T22:00:00,32.4,28.65,30.74,3.11
2017-12-08T22:00:00,33.76,28.65,30.74,4.48
2017-12-15T22:00:00,34.56,28.65,30.74,5.29
2017-12-22T22:00:00,35.06,29.15,31.74,5.8
2017-12-29T22:00:00,36.27,29.15,31.74,7.02
2018-01-05T22:00:00,35.61,29.15,31.74,6.37
2018-01-12T22:00:00,35.61,29.15,31.74,6.63
2018-01-19T22:00:00,35.61,29.15,31.74,5.85
2018-01-26T22:00:00,35.61,29.88,31.74,6.59
2018-02-02T22:00:00,35.61,29.88,31.74,4.83
2018-02-09T22:00:00,35.61,29.46,31.74,4.42
2018-02-16T22:00:00,35.61,29.46,31.74,3.77
2018-02-23T22:00:00,35.61,29.46,31.74,1.72
2018-03-02T22:00:00,33.62,31.43,31.74,3.7
2018-03-09T22:00:00,35.32,33.13,35.14,1.99
2018-03-16T21:00:00,36.19,32.24,35.14,1.11
2018-03-23T21:00:00,37.81,33.86,38.38,2.74
2018-03-30T21:00:00,38.89,33.86,38.38,3.83
2018-04-06T21:00:00,40.36,32.37,38.38,5.31
2018-04-13T21:00:00,38.48,34.23,38.38,3.44
2018-04-20T21:00:00,38.48,33.54,38.38,2.76
2018-04-27T21:00:00,39.35,33.54,38.38,1.88
2018-05-04T21:00:00,39.91,33.54,38.38,1.31
2018-05-11T21:00:00,39.27,34.16,38.38,1.94
2018-05-18T21:00:00,40.63,34.16,38.38,0.57
2018-05-25T21:00:00,40.63,34.69,38.38,1.11
2018-06-01T21:00:00,40.63,34.69,38.38,1.87
2018-06-08T21:00:00,40.63,34.62,38.38,1.93
2018-06-15T21:00:00,41.59,35.58,40.3,0.96
2018-06-22T21:00:00,41.59,35.58,40.3,-0.35
2018-06-29T21:00:00,41.59,36.08,40.3,0.16
2018-07-06T21:00:00,41.59,36.72,40.3,0.81
2018-07-13T21:00:00,41.59,36.72,40.3,0.79
2018-07-20T21:00:00,41.59,37.15,40.3,0.35
2018-07-27T21:00:00,42.12,37.15,40.3,-0.19
2018-08-03T21:00:00,44.93,39.96,45.92,-3.01
2018-08-10T21:00:00,43.92,40.95,45.92,-2.01
2018-08-17T21:00:00,42.66,40.95,45.92,-0.76
2018-08-24T21:00:00,42.66,42.11,45.92,-1.93
2018-08-31T21:00:00,42.66,43.45,45.92,-3.28
2018-09-07T21:00:00,42.66,44.53,45.92,-2.19
2018-09-14T21:00:00,42.66,46.98,45.92,0.27
2018-09-21T21:00:00,42.66,46.59,45.92,0.65
2018-09-28T21:00:00,42.66,49.32,45.92,-2.09
2018-10-05T21:00:00,43.05,49.32,45.92,-2.49
2018-10-12T21:00:00,41.35,51.0,45.92,-0.8
2018-10-19T21:00:00,41.35,52.94,45.92,-2.75
2018-10-26T21:00:00,41.35,56.07,45.92,0.39
2018-11-02T21:00:00,43.46,56.07,45.92,2.51
2018-11-09T22:00:00,44.78,54.73,45.92,3.84
2018-11-16T22:00:00,43.71,54.73,45.92,2.78
2018-11-23T22:00:00,46.02,57.04,50.54,5.1
2018-11-30T22:00:00,46.02,58.51,50.54,3.62
2018-12-07T22:00:00,46.43,58.51,50.54,3.2
2018-12-14T22:00:00,49.49,61.57,56.66,0.13
2018-12-21T22:00:00,50.36,60.68,56.66,-0.75
2018-12-28T22:00:00,51.68,60.68,56.66,-2.08
2019-01-04T22:00:00,50.41,61.93,56.66,-0.82
2019-01-11T22:00:00,50.28,61.93,56.66,-0.94
2019-01-18T22:00:00,51.38,61.93,56.66,0.17
2019-01-25T22:00:00,52.25,61.04,56.66,1.05
2019-02-01T22:00:00,50.25,63.02,56.66,-0.94
2019-02-08T22:00:00,52.67,65.44,61.5,1.49
2019-02-15T22:00:00,52.7,65.44,61.5,1.53
2019-02-22T22:00:00,52.85,65.27,61.5,1.69
2019-03-01T22:00:00,52.85,65.27,61.5,0.72
2019-03-08T22:00:00,52.85,66.49,61.5,1.95
2019-03-15T21:00:00,52.85,67.44,61.5,0.99
2019-03-22T21:00:00,53.0,67.44,61.5,0.83
2019-03-29T21:00:00,53.0,67.44,61.5,0.11
2019-04-05T21:00:00,53.0,68.15,61.5,0.83
2019-04-12T21:00:00,53.0,69.35,61.5,-0.38
2019-04-19T21:00:00,53.67,69.35,61.5,-1.06
2019-04-26T21:00:00,54.22,69.35,61.5,-1.62
2019-05-03T21:00:00,55.96,71.09,64.98,-3.37
2019-05-10T21:00:00,57.01,71.09,64.98,-4.43
2019-05-17T21:00:00,57.2,71.09,64.98,-4.63
2019-05-24T21:00:00,58.46,72.35,67.5,-5.9
2019-05-31T21:00:00,56.49,74.3,67.5,-3.94
2019-06-07T21:00:00,58.74,76.55,72.0,-6.2
2019-06-14T21:00:00,58.46,76.81,72.0,-5.93
2019-06-21T21:00:00,60.94,79.29,76.96,-3.44
2019-06-28T21:00:00,59.78,80.43,76.96,-4.59
2019-07-05T21:00:00,60.23,80.88,77.86,-4.13
2019-07-12T21:00:00,60.23,81.78,77.86,-3.22
2019-07-19T21:00:00,60.23,82.8,77.86,-4.25
2019-07-26T21:00:00,63.57,86.14,84.54,-7.6
2019-08-02T21:00:00,65.43,84.26,84.54,-9.47
2019-08-09T21:00:00,65.32,84.35,84.54,-9.37
2019-08-16T21:00:00,66.6,85.63,87.1,-10.66
2019-08-23T21:00:00,66.6,85.51,87.1,-10.77
2019-08-30T21:00:00,66.6,88.0,87.1,-8.27
2019-09-06T21:00:00,66.6,87.52,87.1,-7.8
2019-09-13T21:00:00,66.6,89.82,87.1,-10.11
2019-09-20T21:00:00,66.6,89.82,87.1,-9.23
2019-09-27T21:00:00,66.6,89.29,87.1,-9.75
2019-10-04T21:00:00,68.62,89.29,87.1,-7.72
2019-10-11T21:00:00,69.49,88.4,87.1,-6.84
2019-10-18T21:00:00,69.16,88.71,87.1,-7.16
2019-10-25T21:00:00,69.82,88.71,87.1,-6.49
2019-11-01T21:00:00,69.82,88.71,87.1,-7.2
2019-11-08T22:00:00,69.82,88.71,87.1,-6.59
2019-11-15T22:00:00,69.82,88.84,87.1,-6.73
2019-11-22T22:00:00,69.82,89.78,87.1,-5.78
2019-11-29T22:00:00,71.01,89.78,87.1,-4.58
2019-12-06T22:00:00,72.16,89.78,87.1,-3.42
2019-12-13T22:00:00,72.29,89.78,87.1,-3.28
2019-12-20T22:00:00,73.84,91.33,90.2,-1.72
2019-12-27T22:00:00,72.07,93.08,90.2,-3.48
2020-01-03T22:00:00,73.16,94.17,92.38,-2.38
2020-01-10T22:00:00,73.16,94.17,92.38,-2.23
2020-01-17T22:00:00,74.0,95.01,94.06,-3.08
2020-01-24T22:00:00,76.35,95.01,94.06,-5.44
2020-01-31T22:00:00,76.19,95.15,94.06,-5.29
2020-02-07T22:00:00,75.63,95.69,94.06,-4.74
2020-02-14T22:00:00,75.66,95.72,94.12,-4.78
2020-02-21T22:00:00,79.49,99.55,101.78,-8.62
2020-02-28T22:00:00,78.95,100.07,101.78,-8.09
2020-03-06T22:00:00,80.39,100.07,101.78,-9.54
2020-03-13T21:00:00,84.59,100.07,101.78,-13.75
2020-03-20T21:00:00,80.95,103.69,101.78,-10.12
2020-03-27T21:00:00,78.86,105.76,101.78,-12.2
2020-04-03T21:00:00,82.41,109.31,108.88,-8.64
2020-04-10T21:00:00,80.75,110.95,108.88,-10.29
2020-04-17T21:00:00,80.31,110.51,108.0,-10.72
2020-04-24T21:00:00,80.31,110.75,108.0,-10.47
2020-05-01T21:00:00,79.14,110.75,108.0,-9.31
2020-05-08T21:00:00,82.17,113.78,114.06,-12.35
2020-05-15T21:00:00,85.33,116.94,120.38,-9.18
2020-05-22T21:00:00,87.07,118.68,123.86,-7.43
2020-05-29T21:00:00,93.64,125.25,137.0,-0.85
2020-06-05T21:00:00,90.7,128.17,137.0,-3.78
2020-06-12T21:00:00,89.66,128.17,137.0,-4.81
2020-06-19T21:00:00,89.66,128.87,137.0,-4.1
2020-06-26T21:00:00,89.66,131.07,137.0,-1.89
2020-07-03T21:00:00,89.86,130.85,137.0,-1.68
2020-07-10T21:00:00,89.69,131.0,137.0,-1.84
2020-07-17T21:00:00,90.04,131.35,137.7,-1.48
2020-07-24T21:00:00,90.04,131.35,137.7,-1.91
2020-07-31T21:00:00,90.04,131.74,137.7,-2.31
2020-08-07T21:00:00,90.04,131.74,137.7,-2.69
2020-08-14T21:00:00,90.04,131.74,137.7,-3.54
2020-08-21T21:00:00,92.8,134.5,143.22,-0.77
2020-08-28T21:00:00,93.4,133.88,143.22,-0.16
2020-09-04T21:00:00,93.4,134.73,143.22,-1.02
2020-09-11T21:00:00,93.4,134.73,143.22,-1.05
2020-09-18T21:00:00,93.4,134.73,143.22,-3.39
2020-09-25T21:00:00,92.15,135.96,143.22,-2.15
2020-10-02T21:00:00,92.15,135.96,143.22,-1.42
2020-10-09T21:00:00,92.15,137.04,143.22,-2.51
2020-10-16T21:00:00,91.61,137.56,143.22,-1.98
2020-10-23T21:00:00,91.61,138.72,143.22,-3.15
2020-10-30T21:00:00,91.61,140.01,143.22,-1.85
2020-11-06T22:00:00,93.74,142.14,147.48,0.29
2020-11-13T22:00:00,94.12,141.74,147.48,0.68
2020-11-20T22:00:00,95.82,141.74,147.48,2.39
2020-11-27T22:00:00,96.05,141.49,147.48,2.63
2020-12-04T22:00:00,96.56,141.49,147.48,3.15
2020-12-11T22:00:00,96.39,141.64,147.48,2.99
2020-12-18T22:00:00,96.27,141.52,147.24,2.88
2020-12-25T22:00:00,97.1,142.35,148.9,3.72
2021-01-01T22:00:00,98.52,142.35,148.9,5.15
2021-01-08T22:00:00,97.04,143.81,148.9,3.68
2021-01-15T22:00:00,97.54,144.31,149.9,4.19
2021-01-22T22:00:00,98.47,145.24,151.76,5.13
2021-01-29T22:00:00,99.59,145.24,151.76,6.26
2021-02-05T22:00:00,99.6,145.21,151.76,6.28
2021-02-12T22:00:00,101.33,146.94,155.22,8.02
2021-02-19T22:00:00,101.63,146.62,155.22,8.33
2021-02-26T22:00:00,102.21,146.62,155.22,8.92
2021-03-05T22:00:00,102.21,146.62,155.22,9.65
2021-03-12T22:00:00,102.21,146.86,155.22,9.4
2021-03-19T21:00:00,102.21,146.86,155.22,7.89
2021-03-26T21:00:00,102.21,148.2,155.22,9.24
2021-04-02T21:00:00,102.21,149.07,155.22,8.36
2021-04-09T21:00:00,102.21,149.83,155.22,9.13
2021-04-16T21:00:00,102.21,149.83,155.22,9.3
2021-04-23T21:00:00,103.09,149.83,155.22,10.19
2021-04-30T21:00:00,103.8,149.83,155.22,10.91
2021-05-07T21:00:00,103.93,149.68,155.22,11.05
2021-05-14T21:00:00,103.93,150.84,155.22,9.88
2021-05-21T21:00:00,103.93,152.62,155.22,11.67
2021-05-28T21:00:00,103.93,153.49,155.22,10.79
2021-06-04T21:00:00,104.93,154.49,157.22,9.78
2021-06-11T21:00:00,107.19,154.49,157.22,7.51
2021-06-18T21:00:00,104.79,156.87,157.22,9.9
2021-06-25T21:00:00,105.21,157.29,158.06,9.47
2021-07-02T21:00:00,105.21,158.53,158.06,8.22
2021-07-09T21:00:00,105.21,158.38,158.06,8.08
2021-07-16T21:00:00,105.19,158.38,158.06,8.09
2021-07-23T21:00:00,105.96,159.15,159.6,7.31
2021-07-30T21:00:00,104.87,160.22,159.6,8.39
2021-08-06T21:00:00,105.03,160.38,159.92,8.22
2021-08-13T21:00:00,105.03,163.39,159.92,5.2
2021-08-20T21:00:00,105.03,166.22,159.92,8.04
2021-08-27T21:00:00,107.08,166.22,159.92,10.1
2021-09-03T21:00:00,106.59,166.69,159.92,9.62
2021-09-10T21:00:00,105.5,167.76,159.92,8.54
2021-09-17T21:00:00,105.5,167.76,159.92,8.95
2021-09-24T21:00:00,105.5,168.37,159.92,8.33
2021-10-01T21:00:00,105.5,169.42,159.92,9.39
2021-10-08T21:00:00,109.58,173.5,168.08,13.48
2021-10-15T21:00:00,110.08,172.98,168.08,13.99
2021-10-22T21:00:00,110.79,172.25,168.08,14.71
2021-10-29T21:00:00,109.6,173.42,168.08,13.53
2021-11-05T21:00:00,109.6,172.94,168.08,13.06
2021-11-12T22:00:00,110.08,172.94,168.08,12.57
2021-11-19T22:00:00,113.07,175.93,174.06,9.57
2021-11-26T22:00:00,115.08,173.9,174.06,7.55
2021-12-03T22:00:00,113.94,175.02,174.06,8.68
2021-12-10T22:00:00,113.94,175.62,174.06,8.07
2021-12-17T22:00:00,113.94,177.32,174.06,9.78
2021-12-24T22:00:00,114.83,176.41,174.06,10.68
2021-12-31T22:00:00,114.83,176.92,174.06,10.16
2022-01-07T22:00:00,114.83,176.92,174.06,9.3
2022-01-14T22:00:00,116.62,176.92,174.06,7.5
2022-01-21T22:00:00,117.85,176.92,174.06,6.26
2022-01-28T22:00:00,116.94,177.81,174.06,7.16
2022-02-04T22:00:00,116.94,177.81,174.06,7.76
2022-02-11T22:00:00,117.47,177.26,174.06,8.3
2022-02-18T22:00:00,118.63,177.26,174.06,9.47
2022-02-25T22:00:00,120.67,177.26,174.06,11.52
2022-03-04T22:00:00,122.06,177.26,174.06,12.92
2022-03-11T22:00:00,125.0,180.2,179.94,15.87
2022-03-18T21:00:00,128.29,180.2,179.94,19.17
2022-03-25T21:00:00,128.26,180.21,179.94,19.15
2022-04-01T21:00:00,128.26,180.45,179.94,19.4
2022-04-08T21:00:00,128.26,180.45,179.94,19.99
2022-04-15T21:00:00,128.26,180.88,179.94,19.55
