date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.0,0.0,0.0,0.55
2016-09-09T21:00:00,-0.17,0.15,0.0,0.39
2016-09-16T21:00:00,-0.17,1.03,0.0,-0.5
2016-09-23T21:00:00,-0.17,1.93,0.0,0.41
2016-09-30T21:00:00,-0.17,2.68,0.0,-0.35
2016-10-07T21:00:00,-0.17,2.68,0.0,-0.46
2016-10-14T21:00:00,1.04,2.68,0.0,0.76
2016-10-21T21:00:00,0.86,2.84,0.0,0.59
2016-10-28T21:00:00,2.6,4.58,3.48,2.34
2016-11-04T21:00:00,2.6,4.58,3.48,1.05
2016-11-11T22:00:00,2.6,4.58,3.48,0.09
2016-11-18T22:00:00,2.6,5.44,3.48,0.96
2016-11-25T22:00:00,3.4,6.24,5.08,1.77
2016-12-02T22:00:00,4.08,6.24,5.08,2.46
2016-12-09T22:00:00,5.47,7.63,7.86,1.06
2016-12-16T22:00:00,6.55,7.63,7.86,-0.03
2016-12-23T22:00:00,6.22,7.94,7.86,0.29
2016-12-30T22:00:00,6.54,7.94,7.86,-0.04
2017-01-06T22:00:00,8.11,9.51,11.0,1.54
2017-01-13T22:00:00,8.8,9.51,11.0,2.24
2017-01-20T22:00:00,10.52,11.23,14.44,3.97
2017-01-27T22:00:00,9.72,12.01,14.44,3.18
2017-02-03T22:00:00,9.03,12.01,14.44,2.5
2017-02-10T22:00:00,9.5,12.01,14.44,2.02
2017-02-17T22:00:00,10.45,12.01,14.44,1.06
2017-02-24T22:00:00,12.13,12.01,14.44,-0.63
2017-03-03T22:00:00,13.38,10.74,14.44,-1.89
2017-03-10T22:00:00,12.89,11.21,14.44,-1.41
2017-03-17T21:00:00,13.01,11.33,14.68,-1.54
2017-03-24T21:00:00,13.44,11.76,15.54,-1.98
2017-03-31T21:00:00,13.77,11.76,15.54,-2.32
2017-04-07T21:00:00,13.48,12.03,15.54,-2.04
2017-04-14T21:00:00,13.48,12.03,15.54,-1.75
2017-04-21T21:00:00,13.48,14.38,15.54,-4.11
2017-04-28T21:00:00,13.48,15.89,15.54,-2.59
2017-05-05T21:00:00,14.23,16.64,17.04,-3.35
2017-05-12T21:00:00,14.23,16.64,17.04,-3.62
2017-05-19T21:00:00,14.23,18.25,17.04,-2.0
2017-05-26T21:00:00,14.23,18.25,17.04,-0.9
2017-06-02T21:00:00,15.44,17.02,17.04,0.32
2017-06-09T21:00:00,15.92,16.52,17.04,0.81
2017-06-16T21:00:00,16.57,16.52,17.04,1.47
2017-06-23T21:00:00,16.51,16.56,17.04,1.42
2017-06-30T21:00:00,16.31,16.56,17.04,1.23
2017-07-07T21:00:00,16.58,16.83,17.58,1.51
2017-07-14T21:00:00,17.42,16.83,17.58,2.36
2017-07-21T21:00:00,17.78,16.45,17.58,2.73
2017-07-28T21:00:00,17.78,16.45,17.58,1.89
2017-08-04T21:00:00,18.8,16.45,17.58,0.86
2017-08-11T21:00:00,18.47,16.45,17.58,1.18
2017-08-18T21:00:00,20.07,18.05,20.78,-0.43
2017-08-25T21:00:00,21.19,16.91,20.78,-1.56
2017-09-01T21:00:00,20.81,17.27,20.78,-1.19
2017-09-08T21:00:00,20.81,18.05,20.78,-0.4
2017-09-15T21:00:00,20.81,18.05,20.78,0.4
2017-09-22T21:00:00,20.81,18.05,20.78,-0.11
2017-09-29T21:00:00,22.11,19.35,23.38,-1.42
2017-10-06T21:00:00,21.85,19.35,23.38,-1.17
2017-10-13T21:00:00,24.11,19.35,23.38,-3.44
2017-10-20T21:00:00,25.07,19.35,23.38,-4.41
2017-10-27T21:00:00,24.68,19.72,23.38,-4.03
2017-11-03T21:00:00,24.8,19.72,23.38,-4.16
2017-11-10T22:00:00,26.69,21.61,27.16,-6.06
2017-11-17T22:00:00,26.52,21.76,27.16,-5.9
2017-11-24T22:00:00,26.4,21.86,27.16,-5.79
2017-12-01T22:00:00,26.4,21.86,27.16,-5.65
2017-12-08T22:00:00,26.4,23.63,27.16,-3.87
2017-12-15T22:00:00,26.4,23.57,27.16,-3.82
2017-12-22T22:00:00,26.4,23.57,27.16,-3.49
2017-12-29T22:00:00,26.4,23.57,27.16,-3.37
2018-01-05T22:00:00,27.27,24.44,28.9,-2.49
2018-01-12T22:00:00,27.66,24.03,28.9,-2.09
2018-01-19T22:00:00,27.68,24.03,28.9,-2.06
2018-01-26T22:00:00,28.01,24.36,29.56,-1.72
2018-02-02T22:00:00,28.12,24.36,29.56,-1.6
2018-02-09T22:00:00,28.76,24.36,29.56,-0.95
2018-02-16T22:00:00,28.76,24.36,29.56,-1.5
2018-02-23T22:00:00,28.76,24.36,29.56,-2.23
2018-03-02T22:00:00,28.26,24.84,29.56,-1.74
2018-03-09T22:00:00,29.34,24.84,29.56,-2.83
2018-03-16T21:00:00,29.18,24.98,29.56,-2.68
2018-03-23T21:00:00,29.18,24.98,29.56,-2.87
2018-03-30T21:00:00,29.18,25.9,29.56,-1.94
2018-04-06T21:00:00,29.18,24.96,29.56,-1.01
2018-04-13T21:00:00,29.18,26.54,29.56,-2.6
2018-04-20T21:00:00,30.43,25.27,29.56,-3.86
2018-04-27T21:00:00,30.68,25.0,29.56,-4.12
2018-05-04T21:00:00,31.43,25.0,29.56,-4.88
2018-05-11T21:00:00,31.61,25.0,29.56,-5.07
2018-05-18T21:00:00,31.63,25.0,29.56,-5.1
2018-05-25T21:00:00,31.63,25.0,29.56,-4.4
2018-06-01T21:00:00,32.05,25.0,29.56,-3.97
2018-06-08T21:00:00,32.11,25.0,29.56,-3.9
2018-06-15T21:00:00,32.11,25.0,29.56,-3.72
2018-06-22T21:00:00,32.11,26.73,29.56,-5.46
2018-06-29T21:00:00,32.11,26.73,29.56,-5.17
2018-07-06T21:00:00,32.11,26.2,29.56,-5.69
2018-07-13T21:00:00,31.64,26.65,29.56,-5.23
2018-07-20T21:00:00,31.7,26.65,29.56,-5.3
2018-07-27T21:00:00,32.21,26.65,29.56,-5.82
2018-08-03T21:00:00,34.2,28.64,33.54,-7.82
2018-08-10T21:00:00,33.47,29.35,33.54,-7.1
2018-08-17T21:00:00,33.47,29.35,33.54,-6.88
2018-08-24T21:00:00,33.47,29.35,33.54,-7.31
2018-08-31T21:00:00,33.47,30.14,33.54,-8.11
2018-09-07T21:00:00,33.47,30.14,33.54,-8.26
2018-09-14T21:00:00,33.47,30.14,33.54,-6.98
2018-09-21T21:00:00,33.98,30.65,34.56,-7.5
2018-09-28T21:00:00,35.73,30.65,34.56,-9.26
2018-10-05T21:00:00,35.02,30.65,34.56,-8.56
2018-10-12T21:00:00,33.77,30.65,34.56,-7.32
2018-10-19T21:00:00,33.77,31.69,34.56,-8.37
2018-10-26T21:00:00,33.77,33.13,34.56,-6.92
2018-11-02T21:00:00,35.76,35.12,38.54,-4.92
2018-11-09T22:00:00,37.56,33.3,38.54,-3.11
2018-11-16T22:00:00,36.52,34.32,38.54,-4.14
2018-11-23T22:00:00,36.52,35.96,38.54,-2.49
2018-11-30T22:00:00,36.52,35.96,38.54,-3.07
2018-12-07T22:00:00,37.13,35.96,38.54,-3.69
2018-12-14T22:00:00,38.62,37.45,41.52,-5.19
2018-12-21T22:00:00,39.51,36.54,41.52,-6.09
2018-12-28T22:00:00,39.75,36.28,41.52,-6.34
2019-01-04T22:00:00,38.95,37.06,41.52,-5.55
2019-01-11T22:00:00,38.95,37.8,41.52,-6.3
2019-01-18T22:00:00,39.85,38.7,43.32,-5.39
2019-01-25T22:00:00,40.58,37.95,43.32,-4.65
2019-02-01T22:00:00,40.58,39.67,43.32,-6.38
2019-02-08T22:00:00,40.58,41.47,43.32,-4.57
2019-02-15T22:00:00,40.58,42.02,43.32,-5.13
2019-02-22T22:00:00,40.58,42.02,43.32,-5.77
2019-03-01T22:00:00,40.48,42.02,43.32,-5.68
2019-03-08T22:00:00,40.48,42.36,43.32,-5.33
2019-03-15T21:00:00,40.86,41.96,43.32,-4.94
2019-03-22T21:00:00,41.58,42.68,44.76,-5.67
2019-03-29T21:00:00,42.88,43.98,47.36,-6.98
2019-04-05T21:00:00,42.58,44.26,47.36,-6.69
