date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,-0.6,-0.6,-1.2,0.59
2016-09-09T21:00:00,-1.33,0.11,-1.2,-0.13
2016-09-16T21:00:00,-1.33,0.11,-1.2,-0.34
2016-09-23T21:00:00,-1.93,0.11,-1.2,0.25
2016-09-30T21:00:00,-0.46,1.58,1.74,-1.23
2016-10-07T21:00:00,0.8,1.58,1.74,-2.5
2016-10-14T21:00:00,0.8,2.53,1.74,-1.54
2016-10-21T21:00:00,0.8,2.53,1.74,-1.52
2016-10-28T21:00:00,0.8,4.91,1.74,0.87
2016-11-04T21:00:00,3.97,8.08,8.08,-2.31
2016-11-11T22:00:00,5.85,8.08,8.08,-4.2
2016-11-18T22:00:00,5.09,8.82,8.08,-3.45
2016-11-25T22:00:00,5.09,10.22,8.08,-2.04
2016-12-02T22:00:00,5.09,10.16,8.08,-1.99
2016-12-09T22:00:00,7.43,12.5,12.76,-4.34
2016-12-16T22:00:00,8.65,11.26,12.76,-5.57
2016-12-23T22:00:00,8.29,11.6,12.76,-5.22
2016-12-30T22:00:00,8.29,12.04,12.76,-4.77
2017-01-06T22:00:00,10.64,14.39,17.46,-2.41
2017-01-13T22:00:00,11.54,13.47,17.46,-1.5
2017-01-20T22:00:00,12.89,13.47,17.46,-0.14
2017-01-27T22:00:00,13.48,13.47,17.46,0.46
2017-02-03T22:00:00,12.02,14.91,17.46,-0.99
2017-02-10T22:00:00,12.34,14.57,17.46,-1.32
2017-02-17T22:00:00,12.33,14.56,17.46,-1.32
2017-02-24T22:00:00,14.4,16.63,21.6,-3.4
2017-03-03T22:00:00,15.81,15.2,21.6,-4.82
2017-03-10T22:00:00,14.61,16.38,21.6,-3.63
2017-03-17T21:00:00,14.61,16.32,21.6,-3.58
2017-03-24T21:00:00,14.61,16.7,21.6,-3.97
2017-03-31T21:00:00,14.61,17.53,21.6,-4.81
2017-04-07T21:00:00,13.79,18.33,21.6,-4.0
2017-04-14T21:00:00,13.44,17.98,20.9,-3.66
2017-04-21T21:00:00,16.08,20.62,26.18,-6.31
2017-04-28T21:00:00,15.1,21.58,26.18,-5.34
2017-05-05T21:00:00,15.8,22.28,27.58,-6.05
2017-05-12T21:00:00,16.87,22.28,27.58,-4.97
2017-05-19T21:00:00,18.79,22.28,27.58,-3.04
2017-05-26T21:00:00,19.95,21.1,27.58,-1.87
2017-06-02T21:00:00,20.99,20.04,27.58,-0.82
2017-06-09T21:00:00,21.57,20.04,27.58,-0.23
2017-06-16T21:00:00,21.89,20.04,27.58,0.1
2017-06-23T21:00:00,22.57,20.04,27.58,0.79
2017-06-30T21:00:00,21.96,20.04,27.58,0.19
2017-07-07T21:00:00,23.01,21.09,29.68,1.25
2017-07-14T21:00:00,24.48,22.56,32.62,2.73
2017-07-21T21:00:00,25.34,21.68,32.62,3.6
2017-07-28T21:00:00,24.24,22.76,32.62,2.51
2017-08-04T21:00:00,24.24,22.76,32.62,1.46
2017-08-11T21:00:00,24.13,22.85,32.62,1.56
2017-08-18T21:00:00,24.13,22.85,32.62,0.57
2017-08-25T21:00:00,24.13,22.85,32.62,-0.68
2017-09-01T21:00:00,24.13,24.44,32.62,0.92
2017-09-08T21:00:00,24.61,24.44,32.62,1.41
2017-09-15T21:00:00,25.33,24.44,32.62,2.14
2017-09-22T21:00:00,25.33,25.64,32.62,0.93
2017-09-29T21:00:00,27.12,25.64,32.62,-0.87
2017-10-06T21:00:00,25.74,27.0,32.62,0.5
2017-10-13T21:00:00,28.8,30.06,38.74,-2.57
2017-10-20T21:00:00,30.03,30.06,38.74,-3.81
2017-10-27T21:00:00,29.57,30.5,38.74,-3.36
2017-11-03T21:00:00,29.21,30.5,38.74,-3.01
2017-11-10T22:00:00,29.21,32.05,38.74,-4.57
2017-11-17T22:00:00,29.21,32.92,38.74,-3.69
2017-11-24T22:00:00,29.21,32.92,38.74,-3.41
2017-12-01T22:00:00,28.91,32.92,38.74,-3.7
2017-12-08T22:00:00,31.1,35.11,43.12,-1.5
2017-12-15T22:00:00,31.41,35.11,43.12,-1.18
2017-12-22T22:00:00,32.26,35.96,44.82,-0.32
2017-12-29T22:00:00,33.22,35.96,44.82,0.65
2018-01-05T22:00:00,34.46,37.2,47.3,1.9
2018-01-12T22:00:00,35.06,37.2,47.3,2.51
2018-01-19T22:00:00,36.03,37.2,47.3,3.49
2018-01-26T22:00:00,35.39,37.2,47.3,2.86
2018-02-02T22:00:00,34.89,36.7,46.3,2.37
2018-02-09T22:00:00,34.89,38.62,46.3,4.3
2018-02-16T22:00:00,34.89,39.72,46.3,3.19
2018-02-23T22:00:00,34.89,39.72,46.3,2.43
2018-03-02T22:00:00,34.19,40.4,46.3,3.12
2018-03-09T22:00:00,35.35,41.56,48.62,1.95
2018-03-16T21:00:00,35.09,41.8,48.62,2.2
2018-03-23T21:00:00,35.09,41.8,48.62,2.21
2018-03-30T21:00:00,35.64,42.35,49.72,2.77
2018-04-06T21:00:00,35.64,42.35,49.72,3.86
2018-04-13T21:00:00,35.64,44.28,49.72,1.92
2018-04-20T21:00:00,37.48,44.28,49.72,0.07
2018-04-27T21:00:00,38.39,43.35,49.72,-0.85
2018-05-04T21:00:00,39.3,43.35,49.72,-1.77
2018-05-11T21:00:00,40.03,43.35,49.72,-2.51
2018-05-18T21:00:00,40.03,43.33,49.72,-2.52
2018-05-25T21:00:00,40.03,44.13,49.72,-1.71
2018-06-01T21:00:00,40.03,43.38,49.72,-0.97
2018-06-08T21:00:00,40.03,44.46,49.72,-2.06
2018-06-15T21:00:00,40.37,44.46,49.72,-2.41
2018-06-22T21:00:00,42.5,44.46,49.72,-4.55
2018-06-29T21:00:00,41.87,45.07,49.72,-3.93
2018-07-06T21:00:00,42.85,45.07,49.72,-4.92
2018-07-13T21:00:00,42.18,45.72,49.72,-4.26
2018-07-20T21:00:00,42.23,45.77,49.82,-4.32
2018-07-27T21:00:00,42.98,46.52,51.32,-5.08
2018-08-03T21:00:00,45.49,49.03,56.34,-7.6
2018-08-10T21:00:00,44.62,49.88,56.34,-6.74
2018-08-17T21:00:00,43.93,49.88,56.34,-6.06
2018-08-24T21:00:00,43.93,50.76,56.34,-6.95
2018-08-31T21:00:00,43.93,52.03,56.34,-8.23
2018-09-07T21:00:00,43.93,52.21,56.34,-8.04
2018-09-14T21:00:00,43.93,54.05,56.34,-6.19
2018-09-21T21:00:00,43.93,54.68,56.34,-6.83
2018-09-28T21:00:00,46.65,57.4,61.78,-9.56
2018-10-05T21:00:00,45.61,58.42,61.78,-8.53
2018-10-12T21:00:00,44.32,58.42,61.78,-7.25
2018-10-19T21:00:00,44.32,59.66,61.78,-8.5
2018-10-26T21:00:00,44.32,61.5,61.78,-6.65
2018-11-02T21:00:00,45.88,61.5,61.78,-5.08
2018-11-09T22:00:00,48.1,61.5,61.78,-2.85
2018-11-16T22:00:00,46.93,62.65,61.78,-4.01
2018-11-23T22:00:00,48.76,64.48,65.44,-2.17
2018-11-30T22:00:00,48.76,65.14,65.44,-2.84
2018-12-07T22:00:00,49.77,66.15,67.46,-3.86
2018-12-14T22:00:00,51.11,66.15,67.46,-5.21
2018-12-21T22:00:00,51.45,65.79,67.46,-5.56
2018-12-28T22:00:00,51.45,66.05,67.46,-5.29
2019-01-04T22:00:00,51.45,66.05,67.46,-4.01
2019-01-11T22:00:00,50.27,67.21,67.46,-5.18
2019-01-18T22:00:00,51.51,68.45,69.94,-3.93
2019-01-25T22:00:00,52.45,67.49,69.94,-2.98
2019-02-01T22:00:00,52.45,69.69,69.94,-5.19
2019-02-08T22:00:00,52.45,71.48,69.94,-3.39
2019-02-15T22:00:00,52.45,71.48,69.94,-3.55
2019-02-22T22:00:00,52.45,72.42,69.94,-4.5
2019-03-01T22:00:00,52.77,72.42,69.94,-4.83
2019-03-08T22:00:00,52.77,73.22,69.94,-4.02
2019-03-15T21:00:00,53.19,72.78,69.94,-3.59
2019-03-22T21:00:00,53.19,73.74,69.94,-4.56
2019-03-29T21:00:00,54.53,73.74,69.94,-5.91
2019-04-05T21:00:00,54.07,74.18,69.94,-5.46
2019-04-12T21:00:00,55.2,75.31,72.2,-6.6
2019-04-19T21:00:00,55.55,74.94,72.2,-6.96
2019-04-26T21:00:00,55.67,74.94,72.2,-7.09
2019-05-03T21:00:00,56.38,75.65,73.62,-7.81
2019-05-10T21:00:00,57.57,75.65,73.62,-9.01
2019-05-17T21:00:00,57.04,76.16,73.62,-8.49
2019-05-24T21:00:00,57.29,76.16,73.62,-8.75
2019-05-31T21:00:00,57.29,78.22,73.62,-6.68
2019-06-07T21:00:00,57.29,80.81,73.62,-9.28
2019-06-14T21:00:00,57.29,82.19,73.62,-7.89
2019-06-21T21:00:00,59.21,82.19,73.62,-5.96
