date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.5,0.5,1.0,-0.51
2016-09-09T21:00:00,0.48,0.5,1.0,-0.5
2016-09-16T21:00:00,0.83,0.5,1.0,-0.86
2016-09-23T21:00:00,1.0,0.5,1.0,-1.04
2016-09-30T21:00:00,1.15,0.5,1.0,-1.2
2016-10-07T21:00:00,1.13,0.5,1.0,-1.19
2016-10-14T21:00:00,1.04,0.5,1.0,-1.11
2016-10-21T21:00:00,1.56,0.5,1.0,-1.64
2016-10-28T21:00:00,2.85,1.79,3.58,-2.94
2016-11-04T21:00:00,3.73,1.79,3.58,-3.83
2016-11-11T22:00:00,2.59,2.91,3.58,-2.7
2016-11-18T22:00:00,2.59,2.91,3.58,-2.46
2016-11-25T22:00:00,2.59,2.39,3.58,-1.95
2016-12-02T22:00:00,2.59,2.5,3.58,-2.07
2016-12-09T22:00:00,2.36,2.5,3.58,-2.29
2016-12-16T22:00:00,2.36,2.5,3.58,-2.45
2016-12-23T22:00:00,2.36,2.5,3.58,-3.21
2016-12-30T22:00:00,2.36,2.7,3.58,-3.0
2017-01-06T22:00:00,2.43,2.7,3.58,-3.08
2017-01-13T22:00:00,3.05,3.32,4.82,-3.71
2017-01-20T22:00:00,3.05,3.32,4.82,-4.36
2017-01-27T22:00:00,3.05,4.3,4.82,-3.37
2017-02-03T22:00:00,3.05,4.3,4.82,-3.1
2017-02-10T22:00:00,3.12,4.3,4.82,-3.02
2017-02-17T22:00:00,4.52,5.7,7.62,-1.61
2017-02-24T22:00:00,4.52,6.04,7.62,-1.96
2017-03-03T22:00:00,4.52,6.04,7.62,-1.89
2017-03-10T22:00:00,4.52,6.04,7.62,-2.34
2017-03-17T21:00:00,4.52,5.53,7.62,-2.84
2017-03-24T21:00:00,6.02,7.03,10.62,-1.33
2017-03-31T21:00:00,6.19,6.84,10.62,-1.15
2017-04-07T21:00:00,6.36,6.65,10.62,-0.97
2017-04-14T21:00:00,6.36,7.31,10.62,-1.64
2017-04-21T21:00:00,6.14,7.51,10.62,-1.43
2017-04-28T21:00:00,7.33,7.51,10.62,-2.63
2017-05-05T21:00:00,7.33,8.92,10.62,-1.21
2017-05-12T21:00:00,7.33,10.36,10.62,-2.66
2017-05-19T21:00:00,7.33,10.36,10.62,-2.24
2017-05-26T21:00:00,7.33,11.66,10.62,-3.55
2017-06-02T21:00:00,6.99,11.98,10.62,-3.22
2017-06-09T21:00:00,6.99,12.57,10.62,-2.62
2017-06-16T21:00:00,6.99,12.57,10.62,-3.33
2017-06-23T21:00:00,6.99,12.57,10.62,-3.73
2017-06-30T21:00:00,6.99,12.75,10.62,-3.54
2017-07-07T21:00:00,6.99,12.75,10.62,-2.77
2017-07-14T21:00:00,6.99,12.75,10.62,-3.99
2017-07-21T21:00:00,6.99,15.78,10.62,-0.95
2017-07-28T21:00:00,7.05,15.7,10.62,-0.88
2017-08-04T21:00:00,5.87,16.86,10.62,-2.05
2017-08-11T21:00:00,5.87,16.87,10.62,-2.03
2017-08-18T21:00:00,5.87,16.87,10.62,-2.38
2017-08-25T21:00:00,5.87,16.87,10.62,-1.42
2017-09-01T21:00:00,5.47,17.25,10.62,-1.81
2017-09-08T21:00:00,6.45,17.25,10.62,-0.82
2017-09-15T21:00:00,7.29,17.25,10.62,0.03
2017-09-22T21:00:00,6.27,18.25,10.62,-0.98
2017-09-29T21:00:00,6.68,18.66,11.44,-0.56
2017-10-06T21:00:00,7.43,19.41,12.94,0.2
2017-10-13T21:00:00,7.57,19.25,12.94,0.35
2017-10-20T21:00:00,8.68,20.36,15.16,1.47
2017-10-27T21:00:00,9.05,19.97,15.16,1.85
2017-11-03T21:00:00,8.97,20.03,15.16,1.78
2017-11-10T22:00:00,8.97,20.03,15.16,1.36
2017-11-17T22:00:00,8.97,20.03,15.16,1.17
2017-11-24T22:00:00,8.97,20.03,15.16,0.8
2017-12-01T22:00:00,8.97,20.83,15.16,1.61
2017-12-08T22:00:00,8.98,20.8,15.16,1.63
2017-12-15T22:00:00,9.37,20.8,15.16,2.03
2017-12-22T22:00:00,10.22,21.65,16.86,2.89
2017-12-29T22:00:00,11.03,22.46,18.48,3.71
2018-01-05T22:00:00,11.03,22.96,18.48,3.2
2018-01-12T22:00:00,11.27,22.96,18.48,2.95
2018-01-19T22:00:00,13.15,24.84,22.24,1.06
2018-01-26T22:00:00,14.37,24.84,22.24,-0.17
2018-02-02T22:00:00,14.21,24.98,22.24,-0.02
2018-02-09T22:00:00,14.25,24.98,22.24,-0.07
2018-02-16T22:00:00,14.25,24.98,22.24,0.16
2018-02-23T22:00:00,14.46,24.98,22.24,0.38
2018-03-02T22:00:00,16.15,24.98,22.24,2.08
2018-03-09T22:00:00,16.3,24.81,22.24,2.24
2018-03-16T21:00:00,15.95,25.14,22.24,1.9
2018-03-23T21:00:00,16.82,26.01,23.98,2.78
2018-03-30T21:00:00,17.05,26.01,23.98,3.02
2018-04-06T21:00:00,17.72,26.68,25.32,3.7
2018-04-13T21:00:00,18.62,26.68,25.32,4.61
2018-04-20T21:00:00,19.35,26.68,25.32,5.35
2018-04-27T21:00:00,19.85,26.68,25.32,5.86
2018-05-04T21:00:00,19.63,26.88,25.32,5.65
2018-05-11T21:00:00,19.63,26.88,25.32,4.85
2018-05-18T21:00:00,19.63,26.16,25.32,4.14
