date,trend,signal,trend+signal,return
2018-08-20T21:00:00,0.0,0.0,0.0,0.26
2018-08-21T21:00:00,0.0,0.0,0.0,0.18
2018-08-22T21:00:00,0.41,0.0,0.0,-0.33
2018-08-23T21:00:00,0.41,0.49,0.0,0.26
2018-08-26T21:00:00,0.55,0.49,0.0,0.5
2018-08-27T21:00:00,0.55,0.54,0.0,0.35
2018-08-28T21:00:00,0.55,0.54,0.0,0.27
2018-08-29T21:00:00,0.55,0.54,0.0,0.11
2018-08-30T21:00:00,0.74,0.54,0.0,-0.18
2018-09-02T21:00:00,0.59,0.49,0.0,-0.13
2018-09-03T21:00:00,0.59,0.74,0.0,-0.48
2018-09-04T21:00:00,0.45,0.74,0.0,-0.44
2018-09-05T21:00:00,0.27,0.74,0.0,-0.36
2018-09-06T21:00:00,0.44,0.74,0.0,-0.63
2018-09-09T21:00:00,0.35,0.74,0.0,-0.64
2018-09-10T21:00:00,0.5,0.89,0.4,-0.39
2018-09-11T21:00:00,0.62,0.89,0.4,-0.17
2018-09-12T21:00:00,0.63,0.68,0.4,-0.06
2018-09-13T21:00:00,0.63,0.87,0.4,-0.35
2018-09-16T21:00:00,0.63,0.87,0.4,-0.25
2018-09-17T21:00:00,0.63,0.87,0.4,-0.14
2018-09-18T21:00:00,0.63,0.87,0.4,-0.01
2018-09-19T21:00:00,0.63,0.87,0.4,0.27
2018-09-20T21:00:00,0.13,0.87,0.4,-0.13
2018-09-23T21:00:00,0.13,0.87,0.4,-0.19
2018-09-24T21:00:00,0.13,0.87,0.4,-0.19
2018-09-25T21:00:00,0.13,0.87,0.4,-0.11
2018-09-26T21:00:00,0.13,0.87,0.4,-0.27
2018-09-27T21:00:00,0.13,0.87,0.4,-0.06
2018-09-30T21:00:00,0.13,1.11,0.4,-0.4
2018-10-01T21:00:00,0.13,1.11,0.4,-0.42
2018-10-02T21:00:00,0.44,1.11,0.4,-0.83
2018-10-03T21:00:00,0.49,1.11,0.4,-0.98
2018-10-04T21:00:00,0.49,1.11,0.4,-1.08
2018-10-07T21:00:00,0.52,1.11,0.4,-1.21
2018-10-08T21:00:00,0.52,1.15,0.4,-1.07
2018-10-09T21:00:00,0.52,1.15,0.4,-1.07
2018-10-10T21:00:00,0.52,1.53,0.4,-0.59
2018-10-11T21:00:00,0.32,1.53,0.4,-0.69
2018-10-14T21:00:00,0.34,1.53,0.4,-0.57
2018-10-15T21:00:00,0.34,1.53,0.4,-0.4
2018-10-16T21:00:00,0.34,1.53,0.4,-0.61
2018-10-17T21:00:00,0.34,1.53,0.4,-0.86
2018-10-18T21:00:00,0.34,1.77,0.4,-0.52
2018-10-21T21:00:00,0.34,1.77,0.4,-0.71
2018-10-22T21:00:00,0.34,1.77,0.4,-0.62
2018-10-23T21:00:00,0.34,1.77,0.4,-0.74
2018-10-24T21:00:00,0.34,1.77,0.4,-0.73
2018-10-25T21:00:00,0.34,1.77,0.4,-0.73
2018-10-28T21:00:00,0.34,1.77,0.4,-0.94
2018-10-29T21:00:00,0.33,1.58,0.4,-1.03
2018-10-30T21:00:00,0.32,1.39,0.4,-1.12
2018-10-31T21:00:00,0.32,1.39,0.4,-0.54
2018-11-01T21:00:00,0.32,1.39,0.4,-0.65
2018-11-04T22:00:00,0.32,1.39,0.4,-0.63
2018-11-05T22:00:00,0.32,1.39,0.4,-0.46
2018-11-06T22:00:00,0.32,1.39,0.4,-0.36
2018-11-07T22:00:00,0.55,1.39,0.4,-0.69
2018-11-08T22:00:00,0.6,1.39,0.4,-0.84
2018-11-11T22:00:00,0.9,1.69,1.1,-1.24
2018-11-12T22:00:00,0.48,1.91,1.1,-0.92
2018-11-13T22:00:00,0.48,1.91,1.1,-0.86
2018-11-14T22:00:00,0.48,1.91,1.1,-0.61
2018-11-15T22:00:00,0.48,1.91,1.1,-0.48
2018-11-18T22:00:00,0.48,1.91,1.1,-0.35
2018-11-19T22:00:00,0.13,1.91,1.1,-0.6
2018-11-20T22:00:00,0.13,1.91,1.1,-0.4
2018-11-21T22:00:00,0.13,1.87,1.1,-0.46
2018-11-22T22:00:00,0.13,1.87,1.1,-0.65
2018-11-25T22:00:00,0.13,1.71,1.1,-0.71
2018-11-26T22:00:00,0.13,1.71,1.1,-0.88
2018-11-27T22:00:00,0.13,1.71,1.1,-0.54
2018-11-28T22:00:00,0.17,1.71,1.1,-0.4
2018-11-29T22:00:00,0.01,1.67,1.1,-0.46
2018-12-02T22:00:00,0.01,1.67,1.1,-0.41
2018-12-03T22:00:00,0.01,1.67,1.1,-0.42
2018-12-04T22:00:00,0.01,1.67,1.1,-0.43
2018-12-05T22:00:00,0.01,1.67,1.1,-0.62
2018-12-06T22:00:00,-0.12,1.67,1.1,-0.59
2018-12-09T22:00:00,0.02,1.67,1.1,-0.83
2018-12-10T22:00:00,-0.11,1.6,1.1,-0.8
2018-12-11T22:00:00,-0.11,1.6,1.1,-0.73
2018-12-12T22:00:00,-0.11,1.6,1.1,-0.69
2018-12-13T22:00:00,-0.11,1.87,1.1,-1.06
2018-12-16T22:00:00,-0.11,2.02,1.1,-0.81
2018-12-17T22:00:00,0.04,2.17,1.5,-0.56
2018-12-18T22:00:00,-0.1,2.11,1.5,-0.6
2018-12-19T22:00:00,-0.08,2.11,1.5,-0.48
2018-12-20T22:00:00,-0.08,2.11,1.5,-0.74
2018-12-23T22:00:00,-0.17,2.11,1.5,-0.75
2018-12-25T22:00:00,-0.17,2.11,1.5,-0.74
2018-12-26T22:00:00,-0.17,2.11,1.5,-0.63
2018-12-27T22:00:00,0.05,2.33,2.04,-0.31
2018-12-30T22:00:00,0.25,2.33,2.04,-0.01
2019-01-01T22:00:00,-0.08,2.33,2.04,-0.24
2019-01-02T22:00:00,-0.03,2.33,2.04,-0.09
2019-01-03T22:00:00,-0.03,2.62,2.04,0.3
2019-01-06T22:00:00,-0.03,2.62,2.04,0.6
2019-01-07T22:00:00,-0.03,2.62,2.04,0.52
2019-01-08T22:00:00,-0.03,2.62,2.04,0.86
2019-01-09T22:00:00,-0.03,2.62,2.04,0.93
2019-01-10T22:00:00,-0.03,2.62,2.04,0.89
2019-01-13T22:00:00,-0.03,2.62,2.04,0.87
2019-01-14T22:00:00,0.05,2.62,2.04,0.69
2019-01-15T22:00:00,0.05,2.62,2.04,0.79
2019-01-16T22:00:00,0.05,2.62,2.04,0.69
2019-01-17T22:00:00,0.05,2.62,2.04,0.47
2019-01-20T22:00:00,0.05,2.5,2.04,0.45
2019-01-21T22:00:00,-0.01,2.5,2.04,0.41
2019-01-22T22:00:00,-0.01,2.5,2.04,0.47
2019-01-23T22:00:00,-0.01,2.5,2.04,0.32
2019-01-24T22:00:00,-0.01,2.5,2.04,0.86
2019-01-27T22:00:00,-0.07,2.5,2.04,0.9
2019-01-28T22:00:00,-0.11,2.5,2.04,0.96
2019-01-29T22:00:00,0.1,2.5,2.04,1.27
2019-01-30T22:00:00,0.1,2.26,2.04,1.41
2019-01-31T22:00:00,0.1,2.52,2.04,1.05
2019-02-03T22:00:00,0.22,2.2,2.04,0.83
2019-02-04T22:00:00,0.22,2.18,2.04,0.91
2019-02-05T22:00:00,0.22,2.18,2.04,0.62
2019-02-06T22:00:00,0.22,2.18,2.04,0.57
2019-02-07T22:00:00,0.22,2.18,2.04,0.55
2019-02-10T22:00:00,0.22,2.18,2.04,0.24
2019-02-11T22:00:00,0.22,2.4,2.04,0.56
2019-02-12T22:00:00,0.38,2.56,2.46,0.3
2019-02-13T22:00:00,0.38,2.55,2.46,0.39
2019-02-14T22:00:00,0.38,2.55,2.46,0.5
2019-02-17T22:00:00,0.38,2.55,2.46,0.51
2019-02-18T22:00:00,0.38,2.75,2.46,0.81
2019-02-19T22:00:00,0.37,2.75,2.46,0.9
2019-02-20T22:00:00,0.19,2.75,2.46,0.82
2019-02-21T22:00:00,0.25,2.75,2.46,0.98
2019-02-24T22:00:00,0.24,2.74,2.54,1.07
2019-02-25T22:00:00,0.32,2.74,2.54,1.25
2019-02-26T22:00:00,0.32,2.74,2.54,1.17
2019-02-27T22:00:00,0.4,2.82,2.8,0.99
2019-02-28T22:00:00,0.4,2.82,2.8,0.75
2019-03-03T22:00:00,0.4,2.61,2.8,0.64
2019-03-04T22:00:00,0.4,2.61,2.8,0.58
2019-03-05T22:00:00,0.4,2.64,2.8,0.45
2019-03-06T22:00:00,0.4,2.79,2.8,0.2
2019-03-07T22:00:00,0.4,2.79,2.8,0.36
2019-03-10T21:00:00,0.4,2.79,2.8,0.43
2019-03-11T21:00:00,0.4,2.79,2.8,0.58
2019-03-12T21:00:00,0.4,2.79,2.8,0.85
2019-03-13T21:00:00,0.4,2.79,2.8,0.59
2019-03-14T21:00:00,0.53,2.92,3.16,0.82
2019-03-17T21:00:00,0.58,2.97,3.36,0.97
2019-03-18T21:00:00,0.46,2.97,3.36,0.95
2019-03-19T21:00:00,0.67,3.18,3.88,1.26
2019-03-20T21:00:00,0.67,3.28,3.88,1.06
2019-03-21T21:00:00,0.67,3.28,3.88,0.81
2019-03-24T21:00:00,0.41,3.34,3.88,0.97
2019-03-25T21:00:00,0.44,3.37,4.04,0.84
2019-03-26T21:00:00,0.58,3.37,4.04,0.6
2019-03-27T21:00:00,0.58,3.21,4.04,0.54
2019-03-28T21:00:00,0.58,3.21,4.04,0.6
2019-03-31T21:00:00,0.58,3.21,4.04,0.63
2019-04-01T21:00:00,0.58,3.21,4.04,0.59
2019-04-02T21:00:00,0.58,3.21,4.04,0.68
2019-04-03T21:00:00,0.58,3.21,4.04,0.58
2019-04-04T21:00:00,0.58,3.1,4.04,0.57
2019-04-07T21:00:00,0.58,3.1,4.04,0.6
2019-04-08T21:00:00,0.49,3.1,4.04,0.59
2019-04-09T21:00:00,0.49,3.1,4.04,0.66
2019-04-10T21:00:00,0.63,3.24,4.42,0.42
2019-04-11T21:00:00,0.3,3.24,4.42,0.65
2019-04-14T21:00:00,0.3,3.24,4.42,0.6
2019-04-15T21:00:00,0.3,3.24,4.42,0.5
2019-04-16T21:00:00,0.3,3.32,4.42,0.68
2019-04-17T21:00:00,0.3,3.47,4.42,0.43
2019-04-18T21:00:00,0.3,3.47,4.42,0.48
2019-04-21T21:00:00,0.3,3.47,4.42,0.42
2019-04-22T21:00:00,0.3,3.47,4.42,0.33
2019-04-23T21:00:00,0.3,3.7,4.42,0.0
2019-04-24T21:00:00,0.3,3.7,4.42,-0.06
2019-04-25T21:00:00,0.15,3.65,4.42,-0.01
2019-04-28T21:00:00,0.15,3.65,4.42,0.0
2019-04-29T21:00:00,0.15,3.65,4.42,0.14
2019-04-30T21:00:00,0.15,3.65,4.42,0.08
2019-05-01T21:00:00,0.15,3.65,4.42,-0.06
2019-05-02T21:00:00,0.15,3.65,4.42,0.11
2019-05-05T21:00:00,0.15,3.65,4.42,0.15
2019-05-06T21:00:00,0.15,3.65,4.42,0.21
2019-05-07T21:00:00,0.13,3.65,4.42,0.29
2019-05-08T21:00:00,0.13,3.65,4.42,0.15
2019-05-09T21:00:00,0.13,3.68,4.42,0.28
2019-05-12T21:00:00,0.13,4.11,4.42,-0.25
2019-05-13T21:00:00,-0.09,4.13,4.42,-0.13
2019-05-14T21:00:00,-0.23,4.13,4.42,-0.09
2019-05-15T21:00:00,-0.03,4.33,4.92,-0.39
2019-05-16T21:00:00,0.25,4.33,4.92,-0.77
2019-05-19T21:00:00,0.15,4.23,4.92,-0.77
2019-05-20T21:00:00,0.07,4.23,4.92,-0.79
2019-05-21T21:00:00,0.12,4.23,4.92,-0.94
2019-05-22T21:00:00,0.12,4.23,4.92,-1.01
