date,trend,signal,trend+signal,return
2018-08-20T21:00:00,0.0,0.0,0.0,0.47
2018-08-21T21:00:00,-0.33,0.0,0.0,0.7
2018-08-22T21:00:00,-0.33,0.0,0.0,0.85
2018-08-23T21:00:00,0.13,0.46,1.02,1.41
2018-08-26T21:00:00,0.04,0.35,1.02,1.42
2018-08-27T21:00:00,0.04,0.35,1.02,1.37
2018-08-28T21:00:00,0.04,0.62,1.02,1.74
2018-08-29T21:00:00,0.78,0.62,1.02,0.9
2018-08-30T21:00:00,0.9,0.3,1.02,0.68
2018-09-02T21:00:00,0.79,0.21,1.02,0.69
2018-09-03T21:00:00,0.79,0.21,1.02,0.69
2018-09-04T21:00:00,0.51,0.21,1.02,0.87
2018-09-05T21:00:00,1.06,0.21,1.02,0.22
2018-09-06T21:00:00,1.03,0.04,1.02,0.15
2018-09-09T21:00:00,0.9,0.04,1.02,0.18
2018-09-10T21:00:00,1.48,0.62,2.28,0.86
2018-09-11T21:00:00,1.32,0.58,2.28,0.8
2018-09-12T21:00:00,1.91,0.58,2.28,1.49
2018-09-13T21:00:00,1.91,0.64,2.28,1.33
2018-09-16T21:00:00,1.91,0.64,2.28,1.3
2018-09-17T21:00:00,1.91,1.13,2.28,1.89
2018-09-18T21:00:00,1.91,0.97,2.28,1.95
2018-09-19T21:00:00,1.91,0.97,2.28,2.44
2018-09-20T21:00:00,1.94,0.97,2.28,2.57
2018-09-23T21:00:00,2.09,0.97,2.28,2.82
2018-09-24T21:00:00,2.17,0.97,2.28,3.0
2018-09-25T21:00:00,1.9,0.97,2.28,2.83
2018-09-26T21:00:00,2.2,1.27,2.98,3.23
2018-09-27T21:00:00,2.42,1.27,2.98,3.55
2018-09-30T21:00:00,2.19,1.3,2.98,3.42
2018-10-01T21:00:00,1.79,1.3,2.98,3.12
2018-10-02T21:00:00,1.37,1.52,2.98,3.44
2018-10-03T21:00:00,1.85,2.0,4.04,2.86
2018-10-04T21:00:00,2.03,2.0,4.04,2.58
2018-10-07T21:00:00,2.47,2.0,4.04,2.04
2018-10-08T21:00:00,2.51,1.76,4.04,1.9
2018-10-09T21:00:00,3.11,1.76,4.04,1.2
2018-10-10T21:00:00,2.6,2.07,4.04,1.61
2018-10-11T21:00:00,2.6,2.01,4.04,1.57
2018-10-14T21:00:00,2.26,2.01,4.04,1.33
2018-10-15T21:00:00,2.26,2.49,4.04,1.91
2018-10-16T21:00:00,2.24,2.49,4.04,1.99
2018-10-17T21:00:00,1.5,3.03,4.04,1.35
2018-10-18T21:00:00,1.5,3.54,4.04,1.96
2018-10-21T21:00:00,1.5,3.54,4.04,1.98
2018-10-22T21:00:00,1.5,3.67,4.04,1.75
2018-10-23T21:00:00,1.5,3.67,4.04,1.43
2018-10-24T21:00:00,1.5,3.67,4.04,1.58
2018-10-25T21:00:00,1.5,3.99,4.04,1.16
2018-10-28T21:00:00,1.5,4.1,4.04,1.37
2018-10-29T21:00:00,1.5,4.53,4.04,1.9
2018-10-30T21:00:00,1.5,4.53,4.04,1.66
2018-10-31T21:00:00,1.5,4.53,4.04,2.12
2018-11-01T21:00:00,1.5,4.53,4.04,2.67
2018-11-04T22:00:00,1.5,4.48,4.04,2.62
2018-11-05T22:00:00,1.5,4.48,4.04,2.94
2018-11-06T22:00:00,1.5,4.48,4.04,3.18
2018-11-07T22:00:00,1.5,4.48,4.04,3.35
2018-11-08T22:00:00,1.5,4.82,4.04,2.91
2018-11-11T22:00:00,1.8,4.82,4.04,2.51
2018-11-12T22:00:00,1.37,5.05,4.04,2.84
2018-11-13T22:00:00,1.45,5.05,4.04,2.66
2018-11-14T22:00:00,1.07,5.05,4.04,2.94
2018-11-15T22:00:00,1.55,5.53,5.1,2.36
2018-11-18T22:00:00,1.55,5.33,5.1,2.26
2018-11-19T22:00:00,1.55,5.18,5.1,2.21
2018-11-20T22:00:00,1.55,5.18,5.1,2.64
2018-11-21T22:00:00,1.33,5.2,5.1,2.52
2018-11-22T22:00:00,1.08,5.2,5.1,2.37
2018-11-25T22:00:00,1.54,5.66,6.12,2.93
2018-11-26T22:00:00,1.4,5.6,6.12,2.89
2018-11-27T22:00:00,1.4,5.6,6.12,3.15
2018-11-28T22:00:00,1.3,5.6,6.12,3.15
2018-11-29T22:00:00,1.07,5.6,6.12,3.02
2018-12-02T22:00:00,1.07,5.65,6.12,3.17
2018-12-03T22:00:00,1.07,5.65,6.12,2.55
2018-12-04T22:00:00,1.07,5.65,6.12,2.78
2018-12-05T22:00:00,1.07,6.17,6.12,2.16
2018-12-06T22:00:00,0.98,6.06,6.12,2.15
2018-12-09T22:00:00,0.5,6.34,6.12,2.53
2018-12-10T22:00:00,0.5,6.34,6.12,2.57
2018-12-11T22:00:00,0.43,6.34,6.12,2.6
2018-12-12T22:00:00,0.62,6.53,6.6,2.89
2018-12-13T22:00:00,0.62,6.96,6.6,2.36
2018-12-16T22:00:00,0.62,6.65,6.6,2.15
2018-12-17T22:00:00,0.62,6.46,6.6,2.06
2018-12-18T22:00:00,0.62,6.53,6.6,1.89
2018-12-19T22:00:00,0.62,7.36,6.6,0.96
2018-12-20T22:00:00,0.62,6.91,6.6,0.61
2018-12-23T22:00:00,1.0,6.91,6.6,0.13
2018-12-25T22:00:00,1.0,7.93,6.6,1.25
2018-12-26T22:00:00,1.0,8.09,6.6,0.99
2018-12-27T22:00:00,1.0,8.09,6.6,0.64
2018-12-30T22:00:00,1.0,8.09,6.6,0.29
2019-01-01T22:00:00,1.0,8.09,6.6,-0.6
2019-01-02T22:00:00,1.0,8.09,6.6,-1.54
2019-01-03T22:00:00,-0.22,9.11,6.6,-0.42
2019-01-06T22:00:00,-0.22,9.11,6.6,0.06
2019-01-07T22:00:00,-0.22,9.11,6.6,-0.06
2019-01-08T22:00:00,-0.22,9.19,6.6,-0.24
2019-01-09T22:00:00,-0.22,9.39,6.6,0.06
2019-01-10T22:00:00,-0.22,9.39,6.6,0.09
2019-01-13T22:00:00,0.09,9.7,7.32,-0.32
2019-01-14T22:00:00,0.09,9.91,7.32,-0.01
2019-01-15T22:00:00,0.44,10.26,8.12,0.44
2019-01-16T22:00:00,0.44,10.06,8.12,0.54
2019-01-17T22:00:00,0.61,10.06,8.12,0.81
2019-01-20T22:00:00,0.4,10.06,8.12,0.7
2019-01-21T22:00:00,0.4,10.3,8.12,0.36
2019-01-22T22:00:00,0.4,10.3,8.12,0.65
2019-01-23T22:00:00,0.4,10.3,8.12,0.51
2019-01-24T22:00:00,0.4,10.3,8.12,0.97
2019-01-27T22:00:00,0.15,10.3,8.12,0.82
2019-01-28T22:00:00,0.14,10.3,8.12,0.91
2019-01-29T22:00:00,0.12,10.3,8.12,0.99
2019-01-30T22:00:00,0.12,10.25,8.12,0.94
2019-01-31T22:00:00,0.12,10.25,8.12,1.16
2019-02-03T22:00:00,0.12,10.25,8.12,1.29
2019-02-04T22:00:00,0.17,10.25,8.12,1.44
2019-02-05T22:00:00,0.17,10.25,8.12,1.14
2019-02-06T22:00:00,0.17,10.25,8.12,0.93
2019-02-07T22:00:00,0.17,10.25,8.12,0.86
2019-02-10T22:00:00,0.17,10.38,8.12,1.09
2019-02-11T22:00:00,0.47,10.68,8.82,1.49
2019-02-12T22:00:00,0.47,10.37,8.82,1.7
2019-02-13T22:00:00,0.47,10.37,8.82,1.34
2019-02-14T22:00:00,0.47,10.37,8.82,1.43
2019-02-17T22:00:00,0.47,10.42,8.82,1.58
2019-02-18T22:00:00,0.47,10.6,8.82,1.86
2019-02-19T22:00:00,0.68,10.6,8.82,2.17
2019-02-20T22:00:00,0.39,10.6,8.82,1.98
2019-02-21T22:00:00,0.42,10.6,8.82,2.11
2019-02-24T22:00:00,0.76,10.94,9.6,2.55
2019-02-25T22:00:00,0.41,11.09,9.6,2.3
2019-02-26T22:00:00,0.41,11.27,9.6,2.58
2019-02-27T22:00:00,0.41,11.27,9.6,2.67
2019-02-28T22:00:00,0.55,11.41,9.98,2.91
2019-03-03T22:00:00,0.22,11.41,9.98,2.68
2019-03-04T22:00:00,0.22,11.37,9.98,2.74
2019-03-05T22:00:00,0.22,11.49,9.98,2.52
2019-03-06T22:00:00,0.22,11.81,9.98,2.1
2019-03-07T22:00:00,0.22,11.81,9.98,1.88
2019-03-10T21:00:00,-0.12,11.81,9.98,2.12
2019-03-11T21:00:00,-0.12,11.81,9.98,2.38
2019-03-12T21:00:00,-0.12,11.61,9.98,2.48
2019-03-13T21:00:00,-0.12,11.61,9.98,2.7
2019-03-14T21:00:00,-0.18,11.61,9.98,2.74
2019-03-17T21:00:00,-0.18,11.61,10.08,2.84
2019-03-18T21:00:00,-0.18,11.61,10.08,2.81
2019-03-19T21:00:00,-0.18,11.61,10.08,2.52
2019-03-20T21:00:00,-0.22,11.61,10.08,2.46
2019-03-21T21:00:00,0.72,12.55,12.06,1.42
2019-03-24T21:00:00,0.42,12.65,12.06,1.62
2019-03-25T21:00:00,-0.13,12.65,12.06,2.07
2019-03-26T21:00:00,-0.13,12.65,12.06,1.74
2019-03-27T21:00:00,-0.16,12.62,12.1,1.81
2019-03-28T21:00:00,0.0,12.62,12.1,2.07
2019-03-31T21:00:00,0.21,12.62,12.1,2.38
2019-04-01T21:00:00,0.04,12.62,12.1,2.31
2019-04-02T21:00:00,0.18,12.62,12.1,2.55
2019-04-03T21:00:00,0.12,12.62,12.1,2.59
