date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.0,0.0,0.0,-0.54
2016-09-09T21:00:00,-0.59,0.57,0.0,0.04
2016-09-16T21:00:00,0.43,1.59,2.04,-0.99
2016-09-23T21:00:00,0.43,1.71,2.04,-0.86
2016-09-30T21:00:00,0.43,1.71,2.04,-0.29
2016-10-07T21:00:00,0.43,1.71,2.04,0.89
2016-10-14T21:00:00,0.43,1.37,2.04,1.22
2016-10-21T21:00:00,0.43,2.07,2.04,0.51
2016-10-28T21:00:00,0.43,3.98,2.04,-1.41
2016-11-04T21:00:00,0.43,5.02,2.04,-0.36
2016-11-11T22:00:00,0.43,7.09,2.04,1.72
2016-11-18T22:00:00,0.78,7.09,2.04,2.08
2016-11-25T22:00:00,0.69,7.16,2.04,2.0
2016-12-02T22:00:00,1.21,7.16,2.04,2.53
2016-12-09T22:00:00,1.94,7.16,2.04,3.27
2016-12-16T22:00:00,1.94,7.17,2.04,3.25
2016-12-23T22:00:00,1.94,7.17,2.04,2.45
2016-12-30T22:00:00,2.5,7.17,2.04,1.88
2017-01-06T22:00:00,3.33,7.17,2.04,1.04
2017-01-13T22:00:00,4.15,7.17,2.04,0.21
2017-01-20T22:00:00,4.15,6.91,2.04,-0.04
2017-01-27T22:00:00,4.15,6.91,2.04,-0.45
2017-02-03T22:00:00,4.15,7.96,2.04,0.61
2017-02-10T22:00:00,4.07,8.02,2.04,0.54
2017-02-17T22:00:00,4.5,8.02,2.04,0.98
2017-02-24T22:00:00,4.5,8.02,2.04,1.03
2017-03-03T22:00:00,4.5,8.02,2.04,1.26
2017-03-10T22:00:00,4.5,8.02,2.04,0.11
2017-03-17T21:00:00,5.17,7.33,2.04,-0.57
2017-03-24T21:00:00,5.17,8.78,2.04,0.89
2017-03-31T21:00:00,5.17,8.78,2.04,1.57
2017-04-07T21:00:00,4.82,9.11,2.04,1.23
2017-04-14T21:00:00,4.09,9.11,2.04,0.51
2017-04-21T21:00:00,4.09,9.61,2.04,1.02
2017-04-28T21:00:00,4.09,9.61,2.04,0.36
2017-05-05T21:00:00,4.09,10.96,2.04,1.72
2017-05-12T21:00:00,6.84,13.71,7.54,-1.04
2017-05-19T21:00:00,6.73,13.8,7.54,-0.94
2017-05-26T21:00:00,8.11,13.8,7.54,-2.33
2017-06-02T21:00:00,7.61,14.28,7.54,-1.84
2017-06-09T21:00:00,7.61,14.28,7.54,-1.34
2017-06-16T21:00:00,7.61,14.28,7.54,-1.73
2017-06-23T21:00:00,7.61,15.4,7.54,-2.86
2017-06-30T21:00:00,7.61,15.99,7.54,-2.26
2017-07-07T21:00:00,7.61,15.99,7.54,-2.26
2017-07-14T21:00:00,7.61,17.81,7.54,-4.09
2017-07-21T21:00:00,7.61,20.32,7.54,-1.57
2017-07-28T21:00:00,7.61,20.32,7.54,-1.25
2017-08-04T21:00:00,7.61,21.47,7.54,-2.41
2017-08-11T21:00:00,7.61,21.47,7.54,-2.17
2017-08-18T21:00:00,8.57,22.43,9.46,-3.14
2017-08-25T21:00:00,7.49,23.49,9.46,-2.07
2017-09-01T21:00:00,7.49,25.08,9.46,-3.67
2017-09-08T21:00:00,7.49,26.37,9.46,-2.37
2017-09-15T21:00:00,7.49,26.37,9.46,-1.45
2017-09-22T21:00:00,7.17,26.37,9.46,-1.76
2017-09-29T21:00:00,8.08,26.37,9.46,-0.84
2017-10-06T21:00:00,7.71,26.37,9.46,-1.2
2017-10-13T21:00:00,8.68,26.37,9.46,-0.22
2017-10-20T21:00:00,10.07,27.76,12.24,1.18
2017-10-27T21:00:00,10.37,27.44,12.24,1.49
2017-11-03T21:00:00,10.02,27.77,12.24,1.15
2017-11-10T22:00:00,10.73,27.77,12.24,0.43
2017-11-17T22:00:00,11.68,27.77,12.24,-0.53
2017-11-24T22:00:00,11.96,27.47,12.24,-0.82
2017-12-01T22:00:00,10.82,28.59,12.24,0.31
2017-12-08T22:00:00,10.82,28.87,12.24,0.02
2017-12-15T22:00:00,10.82,28.9,12.24,-0.02
2017-12-22T22:00:00,10.82,28.9,12.24,0.32
2017-12-29T22:00:00,10.82,28.89,12.24,0.32
2018-01-05T22:00:00,10.82,29.68,12.24,-0.48
2018-01-12T22:00:00,11.21,30.07,13.02,-0.88
2018-01-19T22:00:00,14.02,32.88,18.64,-3.7
2018-01-26T22:00:00,14.28,32.6,18.64,-3.97
2018-02-02T22:00:00,13.53,32.6,18.64,-3.23
2018-02-09T22:00:00,13.53,33.93,18.64,-4.57
2018-02-16T22:00:00,13.53,34.76,18.64,-3.73
2018-02-23T22:00:00,13.71,34.76,18.64,-3.54
2018-03-02T22:00:00,15.3,34.76,18.64,-1.94
2018-03-09T22:00:00,15.53,34.76,18.64,-1.7
2018-03-16T21:00:00,14.95,35.32,18.64,-2.27
2018-03-23T21:00:00,15.62,35.99,19.98,-1.59
2018-03-30T21:00:00,15.62,35.99,19.98,-0.98
2018-04-06T21:00:00,16.01,35.99,19.98,-0.58
2018-04-13T21:00:00,17.27,35.99,19.98,0.69
2018-04-20T21:00:00,18.6,37.32,22.64,2.03
2018-04-27T21:00:00,19.79,37.32,22.64,3.23
2018-05-04T21:00:00,19.75,37.34,22.64,3.2
2018-05-11T21:00:00,19.75,37.34,22.64,2.95
2018-05-18T21:00:00,19.75,37.34,22.64,2.22
2018-05-25T21:00:00,19.75,37.34,22.64,1.77
2018-06-01T21:00:00,19.75,37.02,22.64,1.46
2018-06-08T21:00:00,19.75,37.02,22.64,2.79
2018-06-15T21:00:00,19.75,37.92,22.64,1.88
2018-06-22T21:00:00,19.75,37.92,22.64,2.08
2018-06-29T21:00:00,19.75,37.92,22.64,1.91
2018-07-06T21:00:00,20.91,39.08,24.96,3.08
2018-07-13T21:00:00,20.01,39.96,24.96,2.19
2018-07-20T21:00:00,20.01,40.19,24.96,2.43
2018-07-27T21:00:00,20.01,40.19,24.96,2.38
2018-08-03T21:00:00,20.01,40.19,24.96,2.51
2018-08-10T21:00:00,20.01,40.19,24.96,2.64
2018-08-17T21:00:00,20.01,41.39,24.96,1.43
2018-08-24T21:00:00,21.53,41.39,24.96,-0.1
2018-08-31T21:00:00,21.61,41.29,24.96,-0.19
2018-09-07T21:00:00,21.76,41.29,24.96,-0.35
2018-09-14T21:00:00,22.66,42.19,26.76,-1.26
2018-09-21T21:00:00,22.66,44.53,26.76,1.09
2018-09-28T21:00:00,23.8,44.53,26.76,2.24
2018-10-05T21:00:00,23.71,44.6,26.76,2.16
2018-10-12T21:00:00,24.21,44.6,26.76,2.67
2018-10-19T21:00:00,24.3,44.6,26.76,2.77
2018-10-26T21:00:00,24.95,44.6,26.76,3.43
2018-11-02T21:00:00,24.95,44.6,26.76,3.68
2018-11-09T22:00:00,24.95,45.14,26.76,3.13
2018-11-16T22:00:00,25.32,45.14,26.76,2.75
2018-11-23T22:00:00,25.09,45.14,26.76,2.97
2018-11-30T22:00:00,25.09,45.14,26.76,2.13
2018-12-07T22:00:00,25.09,45.92,26.76,2.92
