date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0,0.0
2016-09-02T21:00:00,0.0,0.0,0,0.02
2016-09-09T21:00:00,0.0,0.0,0,0.05
2016-09-16T21:00:00,0.0,0.0,0,0.02
2016-09-23T21:00:00,0.0,0.0,0,0.02
2016-09-30T21:00:00,0.0,0.0,0,0.05
2016-10-07T21:00:00,0.0,0.0,0,0.06
2016-10-14T21:00:00,0.0,0.0,0,0.06
2016-10-21T21:00:00,0.0,0.0,0,0.03
2016-10-28T21:00:00,0.0,0.0,0,0.04
2016-11-04T21:00:00,0.0,0.0,0,0.07
2016-11-11T22:00:00,0.0,0.0,0,0.05
2016-11-18T22:00:00,0.0,0.0,0,0.04
2016-11-25T22:00:00,0.0,0.0,0,0.04
2016-12-02T22:00:00,0.0,0.0,0,0.09
2016-12-09T22:00:00,0.0,0.0,0,0.16
2016-12-16T22:00:00,0.0,0.0,0,0.08
2016-12-23T22:00:00,0.0,0.0,0,0.02
2016-12-30T22:00:00,0.0,0.0,0,0.0
2017-01-06T22:00:00,0.0,0.0,0,0.0
2017-01-13T22:00:00,0.0,0.0,0,0.03
2017-01-20T22:00:00,0.0,0.0,0,0.05
2017-01-27T22:00:00,0.0,0.0,0,0.03
2017-02-03T22:00:00,0.0,0.0,0,0.03
2017-02-10T22:00:00,0.0,0.0,0,0.07
2017-02-17T22:00:00,0.0,0.0,0,0.07
2017-02-24T22:00:00,0.0,0.0,0,0.1
2017-03-03T22:00:00,0.0,0.0,0,0.12
2017-03-10T22:00:00,0.0,0.0,0,0.07
2017-03-17T21:00:00,0.0,0.0,0,0.13
2017-03-24T21:00:00,0.0,0.0,0,0.18
2017-03-31T21:00:00,0.0,0.0,0,0.15
2017-04-07T21:00:00,0.04,0.0,0,0.2
2017-04-14T21:00:00,0.04,0.0,0,0.21
2017-04-21T21:00:00,0.04,0.0,0,0.25
2017-04-28T21:00:00,0.04,0.0,0,0.33
2017-05-05T21:00:00,0.04,0.0,0,0.45
2017-05-12T21:00:00,0.04,0.0,0,0.32
2017-05-19T21:00:00,0.04,0.0,0,0.46
2017-05-26T21:00:00,0.04,0.0,0,0.41
2017-06-02T21:00:00,0.04,0.0,0,0.49
2017-06-09T21:00:00,0.04,0.0,0,0.54
2017-06-16T21:00:00,0.04,0.0,0,0.53
2017-06-23T21:00:00,0.04,0.0,0,0.63
2017-06-30T21:00:00,0.04,0.0,0,0.68
2017-07-07T21:00:00,0.04,0.0,0,0.58
2017-07-14T21:00:00,0.04,0.0,0,0.62
2017-07-21T21:00:00,0.04,0.0,0,0.63
2017-07-28T21:00:00,0.04,0.0,0,0.75
2017-08-04T21:00:00,0.04,0.0,0,0.76
2017-08-11T21:00:00,0.04,0.0,0,0.82
2017-08-18T21:00:00,0.04,0.0,0,0.75
2017-08-25T21:00:00,0.04,0.0,0,0.8
2017-09-01T21:00:00,0.04,0.0,0,0.65
2017-09-08T21:00:00,0.04,0.0,0,0.72
2017-09-15T21:00:00,0.04,0.0,0,0.61
2017-09-22T21:00:00,0.04,0.0,0,0.64
2017-09-29T21:00:00,0.04,0.0,0,0.58
2017-10-06T21:00:00,0.04,0.0,0,0.6
2017-10-13T21:00:00,0.04,0.0,0,0.56
2017-10-20T21:00:00,0.04,0.0,0,0.56
2017-10-27T21:00:00,0.04,0.0,0,0.55
2017-11-03T21:00:00,0.04,0.0,0,0.55
2017-11-10T22:00:00,0.04,0.0,0,0.67
2017-11-17T22:00:00,0.04,0.0,0,0.62
2017-11-24T22:00:00,0.04,0.0,0,0.67
2017-12-01T22:00:00,0.04,0.0,0,0.58
2017-12-08T22:00:00,0.04,0.0,0,0.64
2017-12-15T22:00:00,0.04,0.0,0,0.72
2017-12-22T22:00:00,0.04,0.02,0,0.69
2017-12-29T22:00:00,0.04,0.02,0,0.74
2018-01-05T22:00:00,0.04,0.02,0,0.78
2018-01-12T22:00:00,0.04,0.1,0,0.69
2018-01-19T22:00:00,0.04,0.1,0,0.7
