date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,0.0,0.0,0.0,-1.35
2016-09-09T21:00:00,0.3,-0.32,0.0,-1.66
2016-09-16T21:00:00,1.42,-0.32,0.0,-2.79
2016-09-23T21:00:00,1.42,-0.01,0.0,-2.47
2016-09-30T21:00:00,3.06,1.63,3.28,-0.82
2016-10-07T21:00:00,3.89,0.78,3.28,0.02
2016-10-14T21:00:00,3.38,1.27,3.28,-0.48
2016-10-21T21:00:00,4.22,1.27,3.28,0.37
2016-10-28T21:00:00,2.96,2.51,3.28,-0.88
2016-11-04T21:00:00,5.43,4.98,8.22,1.6
2016-11-11T22:00:00,9.19,8.74,15.74,5.37
2016-11-18T22:00:00,11.3,6.61,15.74,7.49
2016-11-25T22:00:00,11.91,5.98,15.74,8.11
2016-12-02T22:00:00,13.66,7.73,19.24,9.87
2016-12-09T22:00:00,15.82,7.73,19.24,12.04
2016-12-16T22:00:00,15.28,8.25,19.24,11.51
2016-12-23T22:00:00,15.21,8.25,19.24,11.45
2016-12-30T22:00:00,15.46,8.25,19.24,11.19
2017-01-06T22:00:00,17.6,10.39,23.52,9.04
2017-01-13T22:00:00,17.37,10.6,23.52,9.26
2017-01-20T22:00:00,17.37,11.03,23.52,9.7
2017-01-27T22:00:00,19.24,12.9,27.26,7.82
2017-02-03T22:00:00,18.57,13.55,27.26,8.48
2017-02-10T22:00:00,18.57,14.19,27.26,7.83
2017-02-17T22:00:00,18.57,14.19,27.26,7.15
2017-02-24T22:00:00,18.57,15.81,27.26,8.78
2017-03-03T22:00:00,19.31,15.05,27.26,9.53
2017-03-10T22:00:00,19.31,16.81,27.26,7.76
2017-03-17T21:00:00,20.51,16.81,27.26,6.55
2017-03-24T21:00:00,20.08,17.22,27.26,6.97
2017-03-31T21:00:00,20.41,17.22,27.26,6.63
2017-04-07T21:00:00,20.41,19.41,27.26,4.43
2017-04-14T21:00:00,20.41,19.69,27.26,4.72
2017-04-21T21:00:00,20.41,20.49,27.26,5.53
2017-04-28T21:00:00,21.66,20.49,27.26,6.79
2017-05-05T21:00:00,22.0,20.49,27.26,7.14
2017-05-12T21:00:00,22.0,22.22,27.26,5.4
2017-05-19T21:00:00,22.0,22.43,27.26,5.62
2017-05-26T21:00:00,22.78,22.43,27.26,4.83
2017-06-02T21:00:00,22.83,22.36,27.26,4.77
2017-06-09T21:00:00,22.83,22.36,27.26,5.27
2017-06-16T21:00:00,22.83,22.36,27.26,5.62
2017-06-23T21:00:00,22.83,22.36,27.26,6.74
2017-06-30T21:00:00,22.83,22.36,27.26,8.37
2017-07-07T21:00:00,22.83,23.56,27.26,7.16
2017-07-14T21:00:00,22.83,24.73,27.26,5.98
2017-07-21T21:00:00,23.21,24.33,27.26,5.59
2017-07-28T21:00:00,23.17,24.33,27.26,5.62
2017-08-04T21:00:00,24.56,25.72,30.04,4.22
2017-08-11T21:00:00,24.56,25.72,30.04,4.26
2017-08-18T21:00:00,24.58,25.72,30.04,4.23
2017-08-25T21:00:00,24.58,26.69,30.04,5.21
2017-09-01T21:00:00,24.58,28.21,30.04,3.68
2017-09-08T21:00:00,24.58,30.64,30.04,6.12
2017-09-15T21:00:00,24.58,30.64,30.04,6.93
2017-09-22T21:00:00,24.87,30.64,30.04,7.23
2017-09-29T21:00:00,24.85,30.64,30.04,7.22
2017-10-06T21:00:00,24.85,30.64,30.04,6.5
2017-10-13T21:00:00,24.85,32.2,30.04,8.07
2017-10-20T21:00:00,24.85,32.2,30.04,8.22
2017-10-27T21:00:00,24.85,32.2,30.04,8.52
2017-11-03T21:00:00,24.85,32.63,30.04,8.08
2017-11-10T22:00:00,26.06,32.63,30.04,6.86
2017-11-17T22:00:00,26.58,32.63,30.04,6.33
2017-11-24T22:00:00,25.91,33.28,30.04,6.99
2017-12-01T22:00:00,25.91,33.28,30.04,7.57
2017-12-08T22:00:00,25.91,34.08,30.04,6.76
2017-12-15T22:00:00,25.91,34.08,30.04,7.26
2017-12-22T22:00:00,25.91,34.08,30.04,6.77
2017-12-29T22:00:00,25.91,34.08,30.04,7.12
2018-01-05T22:00:00,25.91,35.91,30.04,5.28
2018-01-12T22:00:00,26.15,35.91,30.04,5.03
2018-01-19T22:00:00,27.91,35.91,30.04,3.26
2018-01-26T22:00:00,26.56,37.24,30.04,4.6
2018-02-02T22:00:00,27.82,38.5,32.56,3.33
2018-02-09T22:00:00,27.82,38.5,32.56,0.96
2018-02-16T22:00:00,27.82,39.0,32.56,1.47
2018-02-23T22:00:00,27.82,39.0,32.56,0.1
2018-03-02T22:00:00,27.82,39.0,32.56,1.39
2018-03-09T22:00:00,27.82,39.0,32.56,0.77
2018-03-16T21:00:00,27.82,39.0,32.56,-0.34
2018-03-23T21:00:00,29.36,40.54,35.64,1.21
2018-03-30T21:00:00,29.36,39.88,35.64,1.86
2018-04-06T21:00:00,29.72,39.5,35.64,2.23
2018-04-13T21:00:00,29.84,39.5,35.64,2.36
2018-04-20T21:00:00,31.0,40.66,37.96,3.53
2018-04-27T21:00:00,31.0,40.64,37.96,3.54
2018-05-04T21:00:00,31.0,40.64,37.96,3.79
2018-05-11T21:00:00,31.0,41.92,37.96,5.08
2018-05-18T21:00:00,31.0,43.26,37.96,3.73
2018-05-25T21:00:00,31.0,43.26,37.96,3.5
2018-06-01T21:00:00,31.0,43.27,37.96,3.52
2018-06-08T21:00:00,31.0,43.27,37.96,4.73
2018-06-15T21:00:00,31.0,43.89,37.96,4.1
2018-06-22T21:00:00,31.77,43.89,37.96,4.88
2018-06-29T21:00:00,31.57,43.89,37.96,4.69
2018-07-06T21:00:00,33.3,45.62,41.42,6.43
2018-07-13T21:00:00,32.6,46.3,41.42,5.74
2018-07-20T21:00:00,32.27,46.3,41.42,5.42
2018-07-27T21:00:00,32.27,46.56,41.42,5.69
2018-08-03T21:00:00,32.27,46.56,41.42,5.36
2018-08-10T21:00:00,32.27,46.56,41.42,5.39
2018-08-17T21:00:00,32.27,46.56,41.42,5.97
2018-08-24T21:00:00,32.27,46.56,41.42,5.75
2018-08-31T21:00:00,32.27,46.56,41.42,5.65
2018-09-07T21:00:00,32.27,46.56,41.42,6.53
2018-09-14T21:00:00,32.27,46.56,41.42,7.01
2018-09-21T21:00:00,32.27,46.56,41.42,8.14
2018-09-28T21:00:00,32.25,46.56,41.42,8.13
2018-10-05T21:00:00,32.25,47.95,41.42,6.73
2018-10-12T21:00:00,32.25,48.28,41.42,7.07
2018-10-19T21:00:00,32.25,48.28,41.42,6.44
2018-10-26T21:00:00,32.25,48.28,41.42,7.62
2018-11-02T21:00:00,32.25,48.28,41.42,8.19
2018-11-09T22:00:00,32.25,49.14,41.42,7.32
2018-11-16T22:00:00,32.25,49.27,41.42,7.46
2018-11-23T22:00:00,32.25,49.27,41.42,7.97
2018-11-30T22:00:00,32.25,49.27,41.42,7.14
2018-12-07T22:00:00,32.25,49.86,41.42,7.74
2018-12-14T22:00:00,32.25,51.74,41.42,5.85
2018-12-21T22:00:00,32.25,51.74,41.42,5.24
2018-12-28T22:00:00,33.85,53.34,44.62,3.63
2019-01-04T22:00:00,33.85,53.32,44.62,3.62
2019-01-11T22:00:00,33.85,54.43,44.62,4.74
2019-01-18T22:00:00,33.85,54.59,44.62,4.57
2019-01-25T22:00:00,33.85,54.59,44.62,4.53
2019-02-01T22:00:00,34.05,54.59,44.62,4.74
2019-02-08T22:00:00,34.66,54.59,44.62,5.36
2019-02-15T22:00:00,34.85,54.59,44.62,5.56
2019-02-22T22:00:00,35.96,54.59,44.62,6.68
2019-03-01T22:00:00,35.33,54.59,44.62,6.06
2019-03-08T22:00:00,35.33,54.59,44.62,6.47
2019-03-15T21:00:00,36.71,54.59,44.62,5.08
2019-03-22T21:00:00,35.86,55.42,44.62,5.92
2019-03-29T21:00:00,36.47,55.42,44.62,6.54
2019-04-05T21:00:00,36.73,55.42,44.62,6.81
2019-04-12T21:00:00,36.68,55.42,44.62,6.77
2019-04-19T21:00:00,36.68,55.7,44.62,6.48
2019-04-26T21:00:00,36.68,55.7,44.62,6.04
2019-05-03T21:00:00,36.68,55.7,44.62,5.43
2019-05-10T21:00:00,36.68,55.7,44.62,5.7
2019-05-17T21:00:00,36.68,56.39,44.62,5.0
2019-05-24T21:00:00,36.68,57.31,44.62,4.07
2019-05-31T21:00:00,36.78,57.31,44.62,3.96
2019-06-07T21:00:00,36.42,57.31,44.62,4.31
2019-06-14T21:00:00,37.5,57.31,44.62,3.22
2019-06-21T21:00:00,37.5,57.85,44.62,3.77
2019-06-28T21:00:00,37.5,57.85,44.62,4.29
2019-07-05T21:00:00,37.5,57.85,44.62,3.77
2019-07-12T21:00:00,37.5,57.68,44.62,3.61
2019-07-19T21:00:00,37.5,57.68,44.62,4.45
2019-07-26T21:00:00,37.5,59.58,44.62,2.54
2019-08-02T21:00:00,37.5,59.58,44.62,1.69
2019-08-09T21:00:00,37.5,60.22,44.62,2.34
2019-08-16T21:00:00,37.5,61.11,44.62,1.44
2019-08-23T21:00:00,38.33,61.94,46.28,2.28
2019-08-30T21:00:00,38.92,61.94,46.28,2.88
2019-09-06T21:00:00,38.92,61.94,46.28,4.03
2019-09-13T21:00:00,38.41,61.94,46.28,3.53
2019-09-20T21:00:00,38.75,61.58,46.28,3.88
2019-09-27T21:00:00,37.79,61.58,46.28,2.93
2019-10-04T21:00:00,37.79,61.58,46.28,4.58
2019-10-11T21:00:00,37.79,61.57,46.28,4.58
2019-10-18T21:00:00,37.79,61.57,46.28,4.81
2019-10-25T21:00:00,37.79,62.07,46.28,4.3
2019-11-01T21:00:00,37.79,62.99,46.28,5.23
2019-11-08T22:00:00,37.79,63.38,46.28,4.83
2019-11-15T22:00:00,37.79,63.38,46.28,4.69
2019-11-22T22:00:00,37.79,63.38,46.28,5.45
2019-11-29T22:00:00,37.79,64.24,46.28,4.58
2019-12-06T22:00:00,37.79,64.93,46.28,5.28
2019-12-13T22:00:00,37.79,64.93,46.28,5.41
2019-12-20T22:00:00,37.79,64.93,46.28,5.4
2019-12-27T22:00:00,37.79,64.93,46.28,4.2
2020-01-03T22:00:00,37.79,66.4,46.28,5.68
2020-01-10T22:00:00,38.35,65.82,46.28,6.25
2020-01-17T22:00:00,38.35,66.54,46.28,5.52
2020-01-24T22:00:00,38.35,66.0,46.28,4.99
2020-01-31T22:00:00,38.35,67.2,46.28,6.2
2020-02-07T22:00:00,38.35,67.2,46.28,6.28
2020-02-14T22:00:00,38.35,65.66,46.28,7.81
2020-02-21T22:00:00,38.35,68.53,46.28,4.93
2020-02-28T22:00:00,38.35,68.53,46.28,3.02
2020-03-06T22:00:00,38.35,70.92,46.28,5.42
2020-03-13T21:00:00,38.35,74.39,46.28,8.9
2020-03-20T21:00:00,38.35,74.39,46.28,6.37
2020-03-27T21:00:00,39.09,74.39,46.28,7.12
2020-04-03T21:00:00,39.09,74.39,46.28,7.2
2020-04-10T21:00:00,39.09,74.39,46.28,6.41
2020-04-17T21:00:00,39.09,74.35,46.28,6.38
2020-04-24T21:00:00,39.69,74.35,46.28,5.77
2020-05-01T21:00:00,39.89,74.35,46.28,5.56
2020-05-08T21:00:00,39.89,74.35,46.28,6.06
2020-05-15T21:00:00,39.89,74.35,46.28,6.55
2020-05-22T21:00:00,39.89,74.35,46.28,6.75
2020-05-29T21:00:00,39.89,74.35,46.28,8.39
2020-06-05T21:00:00,39.89,74.35,46.28,6.39
2020-06-12T21:00:00,39.89,73.89,46.28,5.94
2020-06-19T21:00:00,39.46,73.89,46.28,6.36
2020-06-26T21:00:00,39.13,73.89,46.28,6.68
2020-07-03T21:00:00,39.13,73.89,46.28,6.13
2020-07-10T21:00:00,39.13,73.89,46.28,6.22
2020-07-17T21:00:00,39.13,73.89,46.28,5.29
2020-07-24T21:00:00,39.13,73.68,46.28,5.09
2020-07-31T21:00:00,39.13,73.68,46.28,5.13
2020-08-07T21:00:00,39.13,73.68,46.28,5.8
2020-08-14T21:00:00,39.13,74.41,46.28,5.06
2020-08-21T21:00:00,39.13,74.41,46.28,4.67
2020-08-28T21:00:00,39.13,74.41,46.28,5.42
2020-09-04T21:00:00,39.21,74.41,46.28,5.33
2020-09-11T21:00:00,39.21,75.87,46.28,3.86
2020-09-18T21:00:00,39.21,76.83,46.28,4.83
2020-09-25T21:00:00,39.21,76.83,46.28,4.65
2020-10-02T21:00:00,39.48,76.83,46.28,4.93
2020-10-09T21:00:00,39.48,76.83,46.28,4.62
2020-10-16T21:00:00,40.11,76.83,46.28,3.98
2020-10-23T21:00:00,40.19,76.83,46.28,3.89
2020-10-30T21:00:00,41.3,76.83,46.28,2.77
2020-11-06T22:00:00,41.3,78.09,46.28,4.04
2020-11-13T22:00:00,41.3,78.91,46.28,3.21
2020-11-20T22:00:00,41.3,78.91,46.28,3.51
2020-11-27T22:00:00,41.3,78.8,46.28,3.61
2020-12-04T22:00:00,41.3,78.8,46.28,3.57
2020-12-11T22:00:00,41.3,79.45,46.28,2.91
2020-12-18T22:00:00,41.3,79.6,46.28,3.07
2020-12-25T22:00:00,41.3,79.6,46.28,2.87
2021-01-01T22:00:00,41.3,80.38,46.28,3.66
2021-01-08T22:00:00,41.3,80.38,46.28,3.64
2021-01-15T22:00:00,41.25,80.38,46.28,3.6
2021-01-22T22:00:00,42.11,81.24,48.0,4.47
2021-01-29T22:00:00,42.68,80.65,48.0,5.05
2021-02-05T22:00:00,42.68,81.04,48.0,4.65
2021-02-12T22:00:00,42.68,81.53,48.0,5.15
2021-02-19T22:00:00,43.78,81.53,48.0,6.26
2021-02-26T22:00:00,45.45,81.53,48.0,7.94
2021-03-05T22:00:00,46.05,80.91,48.0,8.55
2021-03-12T22:00:00,45.93,80.91,48.0,8.44
2021-03-19T21:00:00,46.85,81.83,49.84,9.37
2021-03-26T21:00:00,47.7,81.83,49.84,10.23
2021-04-02T21:00:00,46.8,82.71,49.84,9.34
2021-04-09T21:00:00,47.62,82.71,49.84,8.51
2021-04-16T21:00:00,48.46,81.85,49.84,7.66
2021-04-23T21:00:00,48.46,83.1,49.84,8.92
2021-04-30T21:00:00,48.46,83.71,49.84,8.3
2021-05-07T21:00:00,48.46,83.71,49.84,8.97
2021-05-14T21:00:00,48.46,84.07,49.84,8.6
2021-05-21T21:00:00,48.46,84.07,49.84,9.46
2021-05-28T21:00:00,48.17,84.07,49.84,9.18
2021-06-04T21:00:00,48.17,84.07,49.84,9.31
2021-06-11T21:00:00,48.17,84.07,49.84,9.84
2021-06-18T21:00:00,48.17,84.07,49.84,10.33
2021-06-25T21:00:00,48.17,84.07,49.84,10.55
2021-07-02T21:00:00,48.17,84.07,49.84,9.78
2021-07-09T21:00:00,48.17,84.0,49.84,9.72
2021-07-16T21:00:00,48.17,84.0,49.84,10.17
2021-07-23T21:00:00,48.17,84.68,49.84,9.48
2021-07-30T21:00:00,48.17,85.2,49.84,10.01
2021-08-06T21:00:00,48.17,85.2,49.84,9.36
2021-08-13T21:00:00,48.17,85.2,49.84,9.46
2021-08-20T21:00:00,48.06,85.2,49.84,9.56
2021-08-27T21:00:00,48.06,85.2,49.84,9.41
2021-09-03T21:00:00,48.06,85.2,49.84,9.58
2021-09-10T21:00:00,48.09,85.2,49.84,9.62
2021-09-17T21:00:00,48.77,85.2,49.84,10.31
2021-09-24T21:00:00,49.1,85.2,49.84,10.65
2021-10-01T21:00:00,50.29,85.2,49.84,11.85
2021-10-08T21:00:00,50.29,85.2,49.84,13.64
2021-10-15T21:00:00,50.29,85.2,49.84,12.96
2021-10-22T21:00:00,50.29,85.2,49.84,13.26
2021-10-29T21:00:00,50.29,85.2,49.84,12.69
2021-11-05T21:00:00,50.29,85.65,49.84,13.15
2021-11-12T22:00:00,50.29,85.58,49.84,13.21
2021-11-19T22:00:00,50.29,86.16,49.84,12.62
2021-11-26T22:00:00,50.29,86.16,49.84,11.85
2021-12-03T22:00:00,50.29,86.16,49.84,12.31
2021-12-10T22:00:00,50.57,86.16,49.84,12.6
2021-12-17T22:00:00,50.57,86.16,49.84,13.28
2021-12-24T22:00:00,50.57,86.16,49.84,13.94
2021-12-31T22:00:00,50.57,86.16,49.84,14.31
2022-01-07T22:00:00,50.57,87.39,49.84,13.07
2022-01-14T22:00:00,50.57,86.96,49.84,12.65
2022-01-21T22:00:00,50.57,88.32,49.84,14.02
2022-01-28T22:00:00,50.57,88.32,49.84,13.94
2022-02-04T22:00:00,50.74,88.32,49.84,14.12
2022-02-11T22:00:00,50.74,88.32,49.84,13.87
2022-02-18T22:00:00,50.74,88.32,49.84,14.3
2022-02-25T22:00:00,50.74,88.85,49.84,13.76
2022-03-04T22:00:00,52.78,90.89,53.92,15.81
2022-03-11T22:00:00,54.29,90.89,53.92,17.33
2022-03-18T21:00:00,54.29,90.89,53.92,19.8
2022-03-25T21:00:00,54.29,90.89,53.92,20.2
2022-04-01T21:00:00,55.64,92.24,56.62,21.56
2022-04-08T21:00:00,57.55,94.15,60.44,23.48
2022-04-15T21:00:00,59.24,94.15,60.44,25.18
2022-04-22T21:00:00,60.19,94.15,60.44,26.14
2022-04-29T21:00:00,60.19,94.15,60.44,26.74
2022-05-06T21:00:00,60.19,95.13,60.44,25.75
2022-05-13T21:00:00,60.19,95.13,60.44,24.73
