date,trend,signal,trend+signal,return
2016-08-26T21:00:00,0.0,0.0,0.0,0.0
2016-09-02T21:00:00,-0.04,-0.04,-0.08,-0.03
2016-09-09T21:00:00,-0.04,-0.04,-0.08,0.54
2016-09-16T21:00:00,-0.04,0.62,-0.08,-0.13
2016-09-23T21:00:00,0.26,0.92,0.52,0.18
2016-09-30T21:00:00,0.98,0.92,0.52,0.91
2016-10-07T21:00:00,2.14,0.92,0.52,2.08
2016-10-14T21:00:00,2.38,0.66,0.52,2.33
2016-10-21T21:00:00,2.18,0.84,0.52,2.14
2016-10-28T21:00:00,1.54,0.84,0.52,1.51
2016-11-04T21:00:00,3.48,2.78,4.4,3.46
2016-11-11T22:00:00,4.42,2.78,4.4,4.41
2016-11-18T22:00:00,4.53,2.78,4.4,4.53
2016-11-25T22:00:00,3.94,2.78,4.4,3.95
2016-12-02T22:00:00,4.58,3.42,5.68,4.6
2016-12-09T22:00:00,4.58,3.42,5.68,5.57
2016-12-16T22:00:00,4.58,3.27,5.68,5.71
2016-12-23T22:00:00,4.58,3.27,5.68,5.67
2016-12-30T22:00:00,5.34,4.03,7.2,4.9
2017-01-06T22:00:00,5.34,4.03,7.2,4.14
2017-01-13T22:00:00,5.34,3.81,7.2,3.93
2017-01-20T22:00:00,5.34,4.19,7.2,4.32
2017-01-27T22:00:00,5.34,5.57,7.2,2.93
2017-02-03T22:00:00,5.34,6.35,7.2,3.72
2017-02-10T22:00:00,5.34,6.49,7.2,3.57
2017-02-17T22:00:00,5.34,7.44,7.2,2.61
2017-02-24T22:00:00,5.34,7.82,7.2,3.0
2017-03-03T22:00:00,5.34,7.82,7.2,3.16
2017-03-10T22:00:00,5.34,7.82,7.2,2.46
2017-03-17T21:00:00,5.51,7.82,7.2,2.28
2017-03-24T21:00:00,5.55,7.82,7.2,2.23
2017-03-31T21:00:00,5.04,8.31,7.2,2.73
2017-04-07T21:00:00,5.04,8.31,7.2,2.21
2017-04-14T21:00:00,4.98,8.25,7.08,2.16
2017-04-21T21:00:00,5.27,8.25,7.08,2.46
2017-04-28T21:00:00,5.81,8.25,7.08,3.01
2017-05-05T21:00:00,5.81,8.25,7.08,2.96
2017-05-12T21:00:00,7.13,8.25,7.08,1.63
2017-05-19T21:00:00,7.43,7.93,7.08,1.32
2017-05-26T21:00:00,7.49,7.85,7.08,1.25
2017-06-02T21:00:00,7.49,7.85,7.08,1.41
2017-06-09T21:00:00,7.49,7.95,7.08,1.3
2017-06-16T21:00:00,7.49,7.95,7.08,1.63
2017-06-23T21:00:00,7.49,8.67,7.08,0.9
2017-06-30T21:00:00,7.49,8.67,7.08,1.31
2017-07-07T21:00:00,7.49,8.67,7.08,0.54
2017-07-14T21:00:00,7.49,9.28,7.08,-0.08
2017-07-21T21:00:00,7.49,9.28,7.08,-0.59
2017-07-28T21:00:00,7.23,9.52,7.08,-0.34
2017-08-04T21:00:00,7.2,9.52,7.08,-0.32
2017-08-11T21:00:00,7.2,9.29,7.08,-0.1
2017-08-18T21:00:00,7.81,9.9,8.3,-0.72
2017-08-25T21:00:00,7.68,10.01,8.3,-0.6
2017-09-01T21:00:00,8.88,10.01,8.3,-1.81
2017-09-08T21:00:00,8.56,10.31,8.3,-1.5
2017-09-15T21:00:00,8.49,10.31,8.3,-1.44
2017-09-22T21:00:00,8.49,11.01,8.3,-0.73
2017-09-29T21:00:00,8.49,10.5,8.3,-0.23
2017-10-06T21:00:00,8.49,11.6,8.3,-1.34
2017-10-13T21:00:00,8.49,12.42,8.3,-0.51
2017-10-20T21:00:00,8.49,12.42,8.3,-0.24
2017-10-27T21:00:00,8.49,12.42,8.3,-0.31
2017-11-03T21:00:00,8.49,12.42,8.3,-0.61
2017-11-10T22:00:00,8.81,12.42,8.3,-0.94
2017-11-17T22:00:00,9.6,12.42,8.3,-1.74
2017-11-24T22:00:00,9.59,12.41,8.3,-1.74
2017-12-01T22:00:00,9.2,12.41,8.3,-1.36
2017-12-08T22:00:00,9.48,12.41,8.3,-1.65
2017-12-15T22:00:00,9.84,12.77,9.02,-2.02
2017-12-22T22:00:00,10.37,13.3,10.08,-2.56
2017-12-29T22:00:00,11.12,13.3,10.08,-3.32
2018-01-05T22:00:00,11.12,13.3,10.08,-3.55
2018-01-12T22:00:00,11.12,13.52,10.08,-3.78
2018-01-19T22:00:00,11.12,13.52,10.08,-4.72
2018-01-26T22:00:00,11.12,14.5,10.08,-3.73
2018-02-02T22:00:00,11.12,13.89,10.08,-3.13
2018-02-09T22:00:00,9.78,15.21,10.08,-4.46
2018-02-16T22:00:00,9.78,15.79,10.08,-3.87
2018-02-23T22:00:00,9.78,15.79,10.08,-3.89
2018-03-02T22:00:00,9.78,15.79,10.08,-4.06
2018-03-09T22:00:00,9.78,15.86,10.08,-3.98
2018-03-16T21:00:00,9.78,15.86,10.08,-4.16
2018-03-23T21:00:00,9.78,15.86,10.08,-4.34
2018-03-30T21:00:00,9.41,15.86,10.08,-3.98
2018-04-06T21:00:00,9.41,16.12,10.08,-4.25
2018-04-13T21:00:00,9.41,16.12,10.08,-3.9
2018-04-20T21:00:00,9.41,16.7,10.08,-3.31
2018-04-27T21:00:00,9.41,16.7,10.08,-2.61
2018-05-04T21:00:00,9.41,16.7,10.08,-2.42
2018-05-11T21:00:00,9.41,16.7,10.08,-1.86
2018-05-18T21:00:00,9.41,16.7,10.08,-1.87
2018-05-25T21:00:00,9.41,16.93,10.08,-2.11
2018-06-01T21:00:00,9.14,16.66,9.54,-2.37
2018-06-08T21:00:00,10.27,17.79,11.8,-1.23
2018-06-15T21:00:00,10.79,17.79,11.8,-0.7
2018-06-22T21:00:00,11.1,17.46,11.8,-0.38
2018-06-29T21:00:00,10.73,17.81,11.8,-0.74
2018-07-06T21:00:00,11.29,18.37,12.92,-0.17
2018-07-13T21:00:00,11.29,18.37,12.92,-0.37
2018-07-20T21:00:00,11.29,18.3,12.92,-0.43
2018-07-27T21:00:00,11.29,18.65,12.92,-0.07
2018-08-03T21:00:00,11.29,18.65,12.92,0.46
2018-08-10T21:00:00,11.29,18.65,12.92,0.31
2018-08-17T21:00:00,10.81,18.65,12.92,-0.16
2018-08-24T21:00:00,10.81,19.12,12.92,0.32
2018-08-31T21:00:00,10.81,19.12,12.92,0.8
2018-09-07T21:00:00,10.81,19.45,12.92,0.46
2018-09-14T21:00:00,10.81,20.14,12.92,-0.24
2018-09-21T21:00:00,10.6,20.14,12.92,-0.04
2018-09-28T21:00:00,10.6,21.25,12.92,1.08
2018-10-05T21:00:00,10.6,21.6,12.92,0.72
2018-10-12T21:00:00,10.6,21.6,12.92,0.68
2018-10-19T21:00:00,10.6,21.6,12.92,0.89
2018-10-26T21:00:00,10.6,21.6,12.92,0.5
2018-11-02T21:00:00,10.6,21.96,12.92,0.87
2018-11-09T22:00:00,10.6,22.35,12.92,0.47
2018-11-16T22:00:00,10.6,22.35,12.92,0.59
2018-11-23T22:00:00,10.78,22.35,12.92,0.4
2018-11-30T22:00:00,10.78,22.43,12.92,0.49
2018-12-07T22:00:00,10.78,22.88,12.92,0.95
2018-12-14T22:00:00,10.78,23.03,12.92,0.79
2018-12-21T22:00:00,10.78,23.03,12.92,0.27
2018-12-28T22:00:00,11.32,23.03,12.92,-0.28
2019-01-04T22:00:00,11.79,22.54,12.92,-0.76
2019-01-11T22:00:00,11.36,22.54,12.92,-0.34
2019-01-18T22:00:00,11.36,22.54,12.92,-0.67
2019-01-25T22:00:00,11.36,22.54,12.92,-0.92
2019-02-01T22:00:00,11.36,22.54,12.92,-0.41
2019-02-08T22:00:00,11.36,22.54,12.92,-0.4
2019-02-15T22:00:00,11.36,22.94,12.92,-0.81
2019-02-22T22:00:00,11.36,23.23,12.92,-0.51
2019-03-01T22:00:00,11.36,23.23,12.92,-0.09
2019-03-08T22:00:00,11.36,23.23,12.92,-0.54
2019-03-15T21:00:00,11.36,23.23,12.92,-0.56
2019-03-22T21:00:00,11.13,23.23,12.92,-0.34
2019-03-29T21:00:00,11.13,23.19,12.92,-0.31
2019-04-05T21:00:00,11.13,23.19,12.92,-0.47
2019-04-12T21:00:00,11.13,23.19,12.92,-0.33
2019-04-19T21:00:00,11.13,23.19,12.92,0.17
2019-04-26T21:00:00,11.01,23.19,12.92,0.06
2019-05-03T21:00:00,10.9,23.19,12.92,-0.04
2019-05-10T21:00:00,12.02,24.31,15.16,1.09
2019-05-17T21:00:00,11.83,24.48,15.16,0.91
2019-05-24T21:00:00,11.79,24.5,15.16,0.88
2019-05-31T21:00:00,11.79,24.5,15.16,-0.04
2019-06-07T21:00:00,11.12,24.5,15.16,0.62
2019-06-14T21:00:00,12.29,24.5,15.16,-0.56
2019-06-21T21:00:00,12.44,24.33,15.16,-0.72
2019-06-28T21:00:00,11.94,24.33,15.16,-0.23
2019-07-05T21:00:00,11.94,24.33,15.16,-0.4
2019-07-12T21:00:00,12.06,24.33,15.16,-0.27
2019-07-19T21:00:00,12.78,24.33,15.16,0.46
2019-07-26T21:00:00,13.32,24.33,15.16,1.01
2019-08-02T21:00:00,13.88,24.33,15.16,1.58
