"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"WHEAT - CHICAGO BOARD OF TRADE" ,041228 ,2004-12-28,001602 ,CBT ,00 ,001 ,  183042,   37754,   67376,   13609,  106574,   80526,  157937,  161511,   25105,   21531,  157956,   42579,   65788,    4543,   89063,   69706,  136185,  140037,   21771,   17919,   25086,    3071,    9484,    1170,   17511,   10820,   21752,   21474,    3334,    3612,   -1659,    -532,   -1321,    -453,    1353,     794,     368,    -980,   -2027,    -679,  100.0,   20.6,   36.8,    7.4,   58.2,   44.0,   86.3,   88.2,   13.7,   11.8,  100.0,   27.0,   41.6,    2.9,   56.4,   44.1,   86.2,   88.7,   13.8,   11.3,  100.0,   12.2,   37.8,    4.7,   69.8,   43.1,   86.7,   85.6,   13.3,   14.4,    256,     86,     83,     46,     52,     58,    156,    175,    250,     89,     81,     28,     48,     53,    146,    155,     98,     19,     28,     15,     21,     41,     49,     77,    30.4,    30.5,    44.0,    38.1,    30.4,    29.7,    43.7,    36.9,    33.1,    31.3,    45.1,    39.5,    33.0,    30.4,    44.8,    38.6,    60.9,    42.1,    72.0,    54.6,    60.7,    39.9,    68.8,    52.4,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,041221 ,2004-12-21,001602 ,CBT ,00 ,001 ,  184701,   38286,   68697,   14062,  105221,   79732,  157569,  162491,   27132,   22210,  160082,   43451,   67041,    4624,   87931,   69738,  136006,  141403,   24076,   18679,   24619,    3266,   10087,    1007,   17290,    9994,   21563,   21088,    3056,    3531,   -1860,    2021,   -6372,   -1057,   -1546,    6499,    -582,    -930,   -1278,    -930,  100.0,   20.7,   37.2,    7.6,   57.0,   43.2,   85.3,   88.0,   14.7,   12.0,  100.0,   27.1,   41.9,    2.9,   54.9,   43.6,   85.0,   88.3,   15.0,   11.7,  100.0,   13.3,   41.0,    4.1,   70.2,   40.6,   87.6,   85.7,   12.4,   14.3,    267,     90,     87,     49,     54,     58,    166,    180,    260,     94,     86,     32,     50,     53,    154,    162,    100,     18,     31,     12,     21,     41,     47,     78,    30.0,    30.1,    43.1,    37.8,    30.0,    29.3,    42.7,    36.6,    32.4,    31.1,    43.7,    39.2,    32.4,    30.1,    43.6,    38.2,    61.5,    40.8,    72.7,    53.7,    61.3,    38.8,    69.6,    51.8,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,041214 ,2004-12-14,001602 ,CBT ,00 ,001 ,  186561,   36265,   75069,   15119,  106767,   73233,  158151,  163421,   28410,   23140,  162366,   40622,   72522,    5702,   90841,   64992,  137165,  143216,   25201,   19150,   24195,    3488,   10392,    1572,   15926,    8241,   20986,   20205,    3209,    3990,    7572,     708,     772,    1668,    2252,    4157,    4628,    6597,    2944,     975,  100.0,   19.4,   40.2,    8.1,   57.2,   39.3,   84.8,   87.6,   15.2,   12.4,  100.0,   25.0,   44.7,    3.5,   55.9,   40.0,   84.5,   88.2,   15.5,   11.8,  100.0,   14.4,   43.0,    6.5,   65.8,   34.1,   86.7,   83.5,   13.3,   16.5,    276,     89,     97,     52,     52,     56,    165,    191,    271,     97,     95,     35,     48,     51,    154,    174,    104,     19,     35,     13,     19,     41,     47,     82,    30.2,    27.2,    42.8,    35.0,    30.2,    26.1,    42.7,    33.3,    32.5,    28.5,    43.8,    36.4,    32.5,    27.3,    43.7,    35.2,    61.1,    35.0,    72.7,    49.0,    59.9,    31.6,    67.4,    44.5,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,041207 ,2004-12-07,001602 ,CBT ,00 ,001 ,  178989,   35557,   74297,   13451,  104515,   69076,  153523,  156824,   25466,   22165,  156682,   38635,   72276,    5332,   89832,   60734,  133799,  138342,   22883,   18340,   22307,    3162,    8261,    1879,   14683,    8342,   19724,   18482,    2583,    3825,    7131,    1434,    2913,    1443,    6904,    5093,    9781,    9449,   -2650,   -2318,  100.0,   19.9,   41.5,    7.5,   58.4,   38.6,   85.8,   87.6,   14.2,   12.4,  100.0,   24.7,   46.1,    3.4,   57.3,   38.8,   85.4,   88.3,   14.6,   11.7,  100.0,   14.2,   37.0,    8.4,   65.8,   37.4,   88.4,   82.9,   11.6,   17.1,    272,     80,    104,     50,     54,     56,    160,    190,    267,     86,    101,     29,     50,     50,    147,    170,     94,     18,     29,      8,     13,     43,     34,     78,    30.7,    25.5,    44.0,    33.7,    30.7,    23.5,    43.5,    30.8,    32.8,    26.5,    45.0,    34.6,    32.8,    25.2,    45.0,    33.2,    68.0,    34.8,    77.9,    46.9,    63.2,    25.0,    68.7,    37.0,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,041130 ,2004-11-30,001602 ,CBT ,00 ,001 ,  171858,   34123,   71384,   12008,   97611,   63983,  143742,  147375,   28116,   24483,  151389,   36207,   67679,    5996,   83321,   56959,  125524,  130634,   25865,   20755,   20469,    2770,    8559,    1158,   14290,    7024,   18218,   16741,    2251,    3728,  -13310,   -4739,    7936,   -7262,    2010,  -10367,   -9991,   -9693,   -3319,   -3617,  100.0,   19.9,   41.5,    7.0,   56.8,   37.2,   83.6,   85.8,   16.4,   14.2,  100.0,   23.9,   44.7,    4.0,   55.0,   37.6,   82.9,   86.3,   17.1,   13.7,  100.0,   13.5,   41.8,    5.7,   69.8,   34.3,   89.0,   81.8,   11.0,   18.2,    247,     70,     98,     45,     48,     52,    144,    176,    238,     75,     90,     31,     44,     49,    132,    160,     86,     17,     26,      6,     14,     40,     35,     69,    29.1,    23.7,    42.6,    32.1,    29.1,    21.6,    42.3,    29.3,    30.9,    24.8,    43.0,    33.3,    30.9,    23.5,    43.0,    31.9,    66.1,    37.1,    77.2,    51.2,    63.7,    28.6,    69.2,    42.6,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,041123 ,2004-11-23,001602 ,CBT ,00 ,001 ,  185168,   38862,   63448,   19270,   95601,   74350,  153733,  157068,   31435,   28100,  166452,   39949,   59862,   15475,   82117,   66837,  137541,  142174,   28911,   24278,   18716,    1703,    6376,    1005,   13484,    7513,   16192,   14894,    2524,    3822,   11598,    3106,   -3557,    1330,    9089,    9668,   13525,    7441,   -1927,    4157,  100.0,   21.0,   34.3,   10.4,   51.6,   40.2,   83.0,   84.8,   17.0,   15.2,  100.0,   24.0,   36.0,    9.3,   49.3,   40.2,   82.6,   85.4,   17.4,   14.6,  100.0,    9.1,   34.1,    5.4,   72.0,   40.1,   86.5,   79.6,   13.5,   20.4,    263,     82,     91,     64,     51,     60,    165,    197,    255,     85,     89,     56,     50,     56,    156,    188,     94,     16,     30,     14,     12,     45,     38,     80,    26.4,    23.9,    39.2,    32.4,    26.3,    19.1,    37.9,    26.2,    27.1,    24.3,    38.9,    32.2,    27.1,    19.8,    37.9,    27.3,    63.9,    35.9,    72.3,    47.4,    61.0,    28.7,    66.6,    40.1,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,041116 ,2004-11-16,001602 ,CBT ,00 ,001 ,  173570,   35756,   67005,   17940,   86512,   64682,  140208,  149627,   33362,   23943,  160169,   37486,   64350,   14280,   77167,   61229,  128933,  139859,   31236,   20310,   13401,    1566,    5951,     364,    9345,    3453,   11275,    9768,    2126,    3633,    5514,    1717,     787,    4474,    2469,    3589,    8660,    8850,   -3146,   -3336,  100.0,   20.6,   38.6,   10.3,   49.8,   37.3,   80.8,   86.2,   19.2,   13.8,  100.0,   23.4,   40.2,    8.9,   48.2,   38.2,   80.5,   87.3,   19.5,   12.7,  100.0,   11.7,   44.4,    2.7,   69.7,   25.8,   84.1,   72.9,   15.9,   27.1,    261,     81,     93,     65,     55,     53,    172,    191,    257,     85,     91,     58,     53,     51,    165,    184,     85,      9,     31,      6,     12,     41,     27,     73,    24.6,    20.3,    35.8,    29.1,    24.6,    17.3,    35.2,    25.4,    24.7,    21.6,    36.7,    30.2,    24.7,    19.6,    36.2,    28.0,    64.6,    33.2,    75.6,    42.0,    64.0,    31.8,    74.2,    40.4,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,041109 ,2004-11-09,001602 ,CBT ,00 ,001 ,  168056,   34039,   66218,   13466,   84043,   61093,  131548,  140777,   36508,   27279,  156469,   35264,   64352,    9974,   76722,   57865,  121960,  132191,   34509,   24278,   11587,    1642,    4733,     625,    7321,    3228,    9588,    8586,    1999,    3001,    3886,   -2824,    2880,   -1268,    2928,    2729,   -1164,    4341,    5050,    -455,  100.0,   20.3,   39.4,    8.0,   50.0,   36.4,   78.3,   83.8,   21.7,   16.2,  100.0,   22.5,   41.1,    6.4,   49.0,   37.0,   77.9,   84.5,   22.1,   15.5,  100.0,   14.2,   40.8,    5.4,   63.2,   27.9,   82.7,   74.1,   17.3,   25.9,    261,     68,    104,     66,     57,     56,    166,    200,    257,     72,    100,     57,     54,     54,    161,    188,     82,      7,     29,      4,     13,     39,     24,     69,    24.5,    18.7,    35.4,    27.1,    24.5,    16.2,    35.4,    24.0,    25.6,    20.0,    37.3,    28.5,    25.6,    18.2,    37.3,    26.5,    54.9,    30.4,    71.3,    43.0,    54.1,    28.4,    68.5,    38.6,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,041102 ,2004-11-02,001602 ,CBT ,00 ,001 ,  164170,   36863,   63338,   14734,   81115,   58364,  132712,  136436,   31458,   27734,  153721,   37655,   62209,   11637,   74476,   55198,  123768,  129044,   29953,   24677,   10449,    2099,    4020,     206,    6639,    3166,    8944,    7392,    1505,    3057,    8166,    1159,    4321,     651,    1564,   -1276,    3374,    3696,    4792,    4470,  100.0,   22.5,   38.6,    9.0,   49.4,   35.6,   80.8,   83.1,   19.2,   16.9,  100.0,   24.5,   40.5,    7.6,   48.4,   35.9,   80.5,   83.9,   19.5,   16.1,  100.0,   20.1,   38.5,    2.0,   63.5,   30.3,   85.6,   70.7,   14.4,   29.3,    260,     75,     97,     65,     55,     53,    164,    196,    256,     79,     96,     55,     52,     52,    158,    185,     85,     11,     29,      6,     11,     40,     27,     71,    24.6,    16.4,    37.4,    24.2,    24.6,    14.3,    37.4,    22.0,    26.0,    17.5,    39.7,    25.5,    26.0,    16.1,    39.7,    24.2,    56.2,    26.9,    73.0,    37.4,    55.2,    26.9,    70.0,    36.7,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
"WHEAT - CHICAGO BOARD OF TRADE" ,041026 ,2004-10-26,001602 ,CBT ,00 ,001 ,  156004,   35704,   59017,   14083,   79551,   59640,  129338,  132740,   26666,   23264,  146934,   36790,   57960,   11598,   73502,   56841,  121890,  126399,   25044,   20535,    9070,    1221,    3364,     178,    6049,    2799,    7448,    6341,    1622,    2729,    1281,   -2413,     864,     -40,    2041,    -287,    -412,     537,    1693,     744,  100.0,   22.9,   37.8,    9.0,   51.0,   38.2,   82.9,   85.1,   17.1,   14.9,  100.0,   25.0,   39.4,    7.9,   50.0,   38.7,   83.0,   86.0,   17.0,   14.0,  100.0,   13.5,   37.1,    2.0,   66.7,   30.9,   82.1,   69.9,   17.9,   30.1,    251,     70,     94,     54,     56,     55,    161,    181,    249,     78,     91,     47,     52,     53,    156,    172,     81,     11,     24,      5,     14,     39,     28,     65,    25.3,    17.3,    38.2,    26.0,    25.3,    16.5,    38.2,    24.5,    26.8,    18.3,    40.5,    27.5,    26.8,    17.9,    40.5,    26.0,    59.4,    26.1,    68.3,    39.0,    58.4,    25.9,    66.7,    38.7,"(CONTRACTS OF 5,000 BUSHELS)" ,"001602" ,"CBT" ,"001"
