date,return
2020-02-19T22:00:00,0.0
2020-02-20T22:00:00,0.58
2020-02-23T22:00:00,0.36
2020-02-24T22:00:00,0.26
2020-02-25T22:00:00,-0.01
2020-02-26T22:00:00,1.08
2020-02-27T22:00:00,0.25
2020-03-01T22:00:00,0.8
2020-03-02T22:00:00,0.35
2020-03-03T22:00:00,-0.33
2020-03-04T22:00:00,0.9
2020-03-05T22:00:00,0.39
2020-03-08T21:00:00,0.78
2020-03-09T21:00:00,-1.39
2020-03-10T21:00:00,-0.1
2020-03-11T21:00:00,-0.74
2020-03-12T21:00:00,-0.72
2020-03-15T21:00:00,1.03
2020-03-16T21:00:00,-1.66
2020-03-17T21:00:00,-0.74
2020-03-18T21:00:00,-2.04
2020-03-19T21:00:00,0.04
2020-03-22T21:00:00,0.17
2020-03-23T21:00:00,0.58
2020-03-24T21:00:00,0.87
2020-03-25T21:00:00,1.38
2020-03-26T21:00:00,0.99
2020-03-29T21:00:00,-0.66
2020-03-30T21:00:00,-0.12
2020-03-31T21:00:00,-0.64
2020-04-01T21:00:00,-0.96
2020-04-02T21:00:00,-0.48
2020-04-05T21:00:00,-0.15
2020-04-06T21:00:00,0.92
2020-04-07T21:00:00,-0.32
2020-04-08T21:00:00,0.67
2020-04-09T21:00:00,0.06
2020-04-12T21:00:00,-0.35
2020-04-13T21:00:00,0.64
2020-04-14T21:00:00,-0.64
2020-04-15T21:00:00,-0.65
2020-04-16T21:00:00,0.32
2020-04-19T21:00:00,-0.07
2020-04-20T21:00:00,-0.05
2020-04-21T21:00:00,-0.31
2020-04-22T21:00:00,-0.42
2020-04-23T21:00:00,0.43
2020-04-26T21:00:00,0.06
2020-04-27T21:00:00,-0.08
2020-04-28T21:00:00,0.51
2020-04-29T21:00:00,0.7
2020-04-30T21:00:00,0.22
2020-05-03T21:00:00,-0.6
2020-05-04T21:00:00,-0.65
2020-05-05T21:00:00,-0.44
2020-05-06T21:00:00,0.35
2020-05-07T21:00:00,0.06
2020-05-10T21:00:00,-0.23
2020-05-11T21:00:00,0.38
2020-05-12T21:00:00,-0.27
2020-05-13T21:00:00,-0.13
2020-05-14T21:00:00,0.14
2020-05-17T21:00:00,0.94
2020-05-18T21:00:00,0.07
2020-05-19T21:00:00,0.48
2020-05-20T21:00:00,-0.27
2020-05-21T21:00:00,-0.44
2020-05-24T21:00:00,-0.04
2020-05-25T21:00:00,0.78
2020-05-26T21:00:00,0.24
2020-05-27T21:00:00,0.65
2020-05-28T21:00:00,0.25
2020-05-31T21:00:00,0.26
2020-06-01T21:00:00,0.3
2020-06-02T21:00:00,0.57
2020-06-03T21:00:00,0.91
2020-06-04T21:00:00,-0.41
2020-06-07T21:00:00,-0.04
2020-06-08T21:00:00,0.4
2020-06-09T21:00:00,0.31
2020-06-10T21:00:00,-0.68
2020-06-11T21:00:00,-0.36
2020-06-14T21:00:00,0.79
2020-06-15T21:00:00,-0.54
2020-06-16T21:00:00,-0.18
2020-06-17T21:00:00,-0.34
2020-06-18T21:00:00,-0.24
