date,return
2021-10-04T01:00:00,0.0
2021-10-04T05:00:00,-0.11
2021-10-04T09:00:00,0.39
2021-10-04T13:00:00,-0.09
2021-10-04T17:00:00,-0.04
2021-10-04T21:00:00,-0.05
2021-10-05T01:00:00,-0.22
2021-10-05T05:00:00,0.2
2021-10-05T09:00:00,0.05
2021-10-05T13:00:00,0.17
2021-10-05T17:00:00,-0.02
2021-10-05T21:00:00,-0.11
2021-10-06T01:00:00,-0.34
2021-10-06T05:00:00,-0.37
2021-10-06T09:00:00,0.33
2021-10-06T13:00:00,-0.08
2021-10-06T17:00:00,0.3
2021-10-06T21:00:00,0.14
2021-10-07T01:00:00,-0.03
2021-10-07T05:00:00,0.11
2021-10-07T09:00:00,0.02
2021-10-07T13:00:00,0.3
2021-10-07T17:00:00,0.01
2021-10-07T21:00:00,0.1
2021-10-08T01:00:00,-0.31
2021-10-08T05:00:00,-0.06
2021-10-08T09:00:00,0.43
2021-10-08T13:00:00,-0.28
2021-10-08T17:00:00,0.0
2021-10-10T21:00:00,0.1
2021-10-11T01:00:00,0.03
2021-10-11T05:00:00,0.32
2021-10-11T09:00:00,-0.05
2021-10-11T13:00:00,0.25
2021-10-11T17:00:00,-0.18
2021-10-11T21:00:00,-0.11
2021-10-12T01:00:00,0.13
2021-10-12T05:00:00,0.22
2021-10-12T09:00:00,-0.01
2021-10-12T13:00:00,-0.08
2021-10-12T17:00:00,-0.08
2021-10-12T21:00:00,-0.17
2021-10-13T01:00:00,-0.01
2021-10-13T05:00:00,0.28
2021-10-13T09:00:00,-0.44
2021-10-13T13:00:00,0.61
2021-10-13T17:00:00,0.05
2021-10-13T21:00:00,0.15
2021-10-14T01:00:00,-0.02
2021-10-14T05:00:00,0.34
2021-10-14T09:00:00,0.05
2021-10-14T13:00:00,-0.05
2021-10-14T17:00:00,0.04
2021-10-14T21:00:00,0.0
2021-10-15T01:00:00,0.11
2021-10-15T05:00:00,-0.07
2021-10-15T09:00:00,-0.2
2021-10-15T13:00:00,0.13
2021-10-15T17:00:00,0.07
2021-10-17T21:00:00,-0.06
2021-10-18T01:00:00,-0.11
2021-10-18T05:00:00,-0.17
2021-10-18T09:00:00,-0.07
2021-10-18T13:00:00,0.4
2021-10-18T17:00:00,-0.05
2021-10-18T21:00:00,0.2
2021-10-19T01:00:00,0.37
2021-10-19T05:00:00,0.2
2021-10-19T09:00:00,-0.14
2021-10-19T13:00:00,0.28
2021-10-19T17:00:00,-0.12
2021-10-19T21:00:00,0.03
2021-10-20T01:00:00,0.32
2021-10-20T05:00:00,-0.12
2021-10-20T09:00:00,0.04
2021-10-20T13:00:00,0.3
2021-10-20T17:00:00,-0.01
2021-10-20T21:00:00,0.18
2021-10-21T01:00:00,-0.27
2021-10-21T05:00:00,-0.25
2021-10-21T09:00:00,0.12
2021-10-21T13:00:00,-0.32
2021-10-21T17:00:00,-0.1
2021-10-21T21:00:00,0.03
2021-10-22T01:00:00,0.1
2021-10-22T05:00:00,0.39
2021-10-22T09:00:00,-0.14
2021-10-22T13:00:00,-0.4
2021-10-22T17:00:00,0.01
2021-10-24T21:00:00,0.07
2021-10-25T01:00:00,0.17
2021-10-25T05:00:00,0.15
2021-10-25T09:00:00,-0.22
2021-10-25T13:00:00,0.11
2021-10-25T17:00:00,0.04
2021-10-25T21:00:00,0.06
2021-10-26T01:00:00,0.22
2021-10-26T05:00:00,-0.13
2021-10-26T09:00:00,0.26
2021-10-26T13:00:00,-0.32
2021-10-26T17:00:00,0.07
2021-10-26T21:00:00,0.39
2021-10-27T01:00:00,-0.05
2021-10-27T05:00:00,-0.46
2021-10-27T09:00:00,0.28
2021-10-27T13:00:00,0.19
2021-10-27T17:00:00,-0.11
2021-10-27T21:00:00,-0.3
2021-10-28T01:00:00,0.16
2021-10-28T05:00:00,0.05
2021-10-28T09:00:00,-0.02
2021-10-28T13:00:00,0.46
2021-10-28T17:00:00,-0.03
2021-10-28T21:00:00,-0.17
2021-10-29T01:00:00,0.17
2021-10-29T05:00:00,-0.16
2021-10-29T09:00:00,-0.14
2021-10-29T13:00:00,-0.12
2021-10-29T17:00:00,0.08
2021-10-31T21:00:00,0.02
