date,return
2022-05-19T04:50:00,0.0
2022-05-19T04:55:00,-0.01
2022-05-19T05:00:00,0.0
2022-05-19T05:05:00,0.01
2022-05-19T05:10:00,-0.02
2022-05-19T05:15:00,0.0
2022-05-19T05:20:00,0.0
2022-05-19T05:25:00,-0.0
2022-05-19T05:30:00,-0.02
2022-05-19T05:35:00,0.01
2022-05-19T05:40:00,-0.0
2022-05-19T05:45:00,0.0
2022-05-19T05:50:00,-0.02
2022-05-19T05:55:00,-0.0
2022-05-19T06:00:00,-0.02
2022-05-19T06:05:00,0.06
2022-05-19T06:10:00,0.01
2022-05-19T06:15:00,-0.05
2022-05-19T06:20:00,-0.0
2022-05-19T06:25:00,0.02
2022-05-19T06:30:00,0.03
2022-05-19T06:35:00,-0.02
2022-05-19T06:40:00,-0.03
2022-05-19T06:45:00,0.0
2022-05-19T06:50:00,-0.02
2022-05-19T06:55:00,0.05
2022-05-19T07:00:00,0.12
2022-05-19T07:05:00,-0.0
2022-05-19T07:10:00,0.08
2022-05-19T07:15:00,0.16
2022-05-19T07:20:00,0.05
2022-05-19T07:25:00,-0.06
2022-05-19T07:30:00,0.12
2022-05-19T07:35:00,0.07
2022-05-19T07:40:00,-0.09
2022-05-19T07:45:00,-0.08
2022-05-19T07:50:00,-0.04
2022-05-19T07:55:00,0.02
2022-05-19T08:00:00,0.08
2022-05-19T08:05:00,0.04
2022-05-19T08:10:00,-0.01
2022-05-19T08:15:00,0.04
2022-05-19T08:20:00,0.16
2022-05-19T08:25:00,-0.06
2022-05-19T08:30:00,0.08
2022-05-19T08:35:00,-0.02
2022-05-19T08:40:00,0.1
2022-05-19T08:45:00,0.08
2022-05-19T08:50:00,0.16
2022-05-19T08:55:00,-0.03
2022-05-19T09:00:00,0.09
2022-05-19T09:05:00,-0.07
2022-05-19T09:10:00,-0.04
2022-05-19T09:15:00,-0.05
2022-05-19T09:20:00,-0.01
2022-05-19T09:25:00,-0.04
2022-05-19T09:30:00,0.0
2022-05-19T09:35:00,-0.02
2022-05-19T09:40:00,0.05
2022-05-19T09:45:00,0.04
2022-05-19T09:50:00,-0.09
2022-05-19T09:55:00,0.09
2022-05-19T10:00:00,-0.06
2022-05-19T10:05:00,0.04
2022-05-19T10:10:00,-0.03
2022-05-19T10:15:00,0.01
