dt,ask,bid
2022-01-02 22:00:00+00:00,0.9193,0.91754
2022-01-02 23:00:00+00:00,0.91976,0.91912
2022-01-03 00:00:00+00:00,0.91974,0.91957
2022-01-03 01:00:00+00:00,0.91922,0.91905
2022-01-03 02:00:00+00:00,0.91896,0.91878
2022-01-03 03:00:00+00:00,0.91908,0.91891
2022-01-03 04:00:00+00:00,0.91903,0.91886
2022-01-03 05:00:00+00:00,0.91899,0.91884
2022-01-03 06:00:00+00:00,0.91933,0.91915
2022-01-03 07:00:00+00:00,0.91986,0.91968
2022-01-03 08:00:00+00:00,0.9201,0.91992
2022-01-03 09:00:00+00:00,0.92012,0.91996
2022-01-03 10:00:00+00:00,0.91975,0.91959
2022-01-03 11:00:00+00:00,0.91937,0.91921
2022-01-03 12:00:00+00:00,0.91891,0.91876
2022-01-03 13:00:00+00:00,0.9188,0.91864
2022-01-03 14:00:00+00:00,0.91769,0.91751
2022-01-03 15:00:00+00:00,0.91758,0.91741
2022-01-03 16:00:00+00:00,0.91775,0.9176
2022-01-03 17:00:00+00:00,0.91786,0.91771
2022-01-03 18:00:00+00:00,0.91779,0.91763
2022-01-03 19:00:00+00:00,0.91711,0.91695
2022-01-03 20:00:00+00:00,0.91671,0.91655
2022-01-03 21:00:00+00:00,0.91665,0.91643
2022-01-03 22:00:00+00:00,0.91748,0.91604
2022-01-03 23:00:00+00:00,0.91737,0.91692
2022-01-04 00:00:00+00:00,0.9176,0.91743
2022-01-04 01:00:00+00:00,0.91793,0.91775
2022-01-04 02:00:00+00:00,0.91799,0.91783
2022-01-04 03:00:00+00:00,0.91802,0.91784
2022-01-04 04:00:00+00:00,0.91825,0.91808
2022-01-04 05:00:00+00:00,0.91805,0.91788
2022-01-04 06:00:00+00:00,0.91794,0.91778
2022-01-04 07:00:00+00:00,0.91776,0.91759
2022-01-04 08:00:00+00:00,0.91846,0.91831
2022-01-04 09:00:00+00:00,0.91914,0.91899
2022-01-04 10:00:00+00:00,0.91899,0.91884
2022-01-04 11:00:00+00:00,0.91828,0.91813
2022-01-04 12:00:00+00:00,0.91758,0.91743
2022-01-04 13:00:00+00:00,0.9174,0.91725
2022-01-04 14:00:00+00:00,0.91744,0.91718
2022-01-04 15:00:00+00:00,0.91798,0.91778
2022-01-04 16:00:00+00:00,0.91929,0.91913
2022-01-04 17:00:00+00:00,0.91938,0.91922
2022-01-04 18:00:00+00:00,0.91959,0.91943
2022-01-04 19:00:00+00:00,0.92005,0.9199
2022-01-04 20:00:00+00:00,0.92033,0.92017
2022-01-04 21:00:00+00:00,0.92011,0.91989
2022-01-04 22:00:00+00:00,0.9202,0.91853
2022-01-04 23:00:00+00:00,0.91984,0.91918
2022-01-05 00:00:00+00:00,0.91971,0.91954
2022-01-05 01:00:00+00:00,0.9196,0.91943
2022-01-05 02:00:00+00:00,0.91966,0.91949
2022-01-05 03:00:00+00:00,0.91971,0.91954
2022-01-05 04:00:00+00:00,0.91975,0.91959
2022-01-05 05:00:00+00:00,0.91952,0.91936
2022-01-05 06:00:00+00:00,0.91943,0.91926
2022-01-05 07:00:00+00:00,0.91974,0.91958
2022-01-05 08:00:00+00:00,0.92034,0.92019
2022-01-05 09:00:00+00:00,0.92107,0.9209
2022-01-05 10:00:00+00:00,0.92188,0.92173
2022-01-05 11:00:00+00:00,0.92289,0.92273
2022-01-05 12:00:00+00:00,0.92325,0.9231
2022-01-05 13:00:00+00:00,0.92282,0.92258
2022-01-05 14:00:00+00:00,0.92275,0.92259
2022-01-05 15:00:00+00:00,0.92328,0.92312
2022-01-05 16:00:00+00:00,0.92267,0.9225
2022-01-05 17:00:00+00:00,0.92277,0.92262
2022-01-05 18:00:00+00:00,0.92263,0.92245
2022-01-05 19:00:00+00:00,0.92179,0.92162
2022-01-05 20:00:00+00:00,0.92161,0.92145
2022-01-05 21:00:00+00:00,0.92136,0.92115
2022-01-05 22:00:00+00:00,0.92149,0.92071
2022-01-05 23:00:00+00:00,0.9214,0.92105
2022-01-06 00:00:00+00:00,0.92116,0.92099
2022-01-06 01:00:00+00:00,0.92092,0.92075
2022-01-06 02:00:00+00:00,0.92046,0.92029
2022-01-06 03:00:00+00:00,0.91961,0.91944
2022-01-06 04:00:00+00:00,0.9186,0.91843
2022-01-06 05:00:00+00:00,0.91776,0.9176
2022-01-06 06:00:00+00:00,0.91712,0.91696
2022-01-06 07:00:00+00:00,0.91657,0.9164
2022-01-06 08:00:00+00:00,0.91602,0.91586
2022-01-06 09:00:00+00:00,0.91528,0.91512
2022-01-06 10:00:00+00:00,0.91541,0.91526
2022-01-06 11:00:00+00:00,0.91586,0.9157
2022-01-06 12:00:00+00:00,0.9157,0.91554
2022-01-06 13:00:00+00:00,0.9148,0.91465
2022-01-06 14:00:00+00:00,0.9141,0.91385
2022-01-06 15:00:00+00:00,0.91353,0.91332
2022-01-06 16:00:00+00:00,0.91268,0.91253
2022-01-06 17:00:00+00:00,0.91177,0.91161
2022-01-06 18:00:00+00:00,0.91176,0.91161
2022-01-06 19:00:00+00:00,0.9121,0.91194
2022-01-06 20:00:00+00:00,0.91199,0.91183
2022-01-06 21:00:00+00:00,0.91178,0.91157
2022-01-06 22:00:00+00:00,0.91229,0.91082
2022-01-06 23:00:00+00:00,0.91191,0.91133
2022-01-07 00:00:00+00:00,0.91175,0.91159
2022-01-07 01:00:00+00:00,0.91171,0.91154
2022-01-07 02:00:00+00:00,0.91171,0.91154
2022-01-07 03:00:00+00:00,0.91139,0.91123
2022-01-07 04:00:00+00:00,0.9105,0.91034
2022-01-07 05:00:00+00:00,0.91047,0.91031
2022-01-07 06:00:00+00:00,0.91012,0.90995
2022-01-07 07:00:00+00:00,0.91017,0.91
2022-01-07 08:00:00+00:00,0.91001,0.90986
2022-01-07 09:00:00+00:00,0.90988,0.90973
2022-01-07 10:00:00+00:00,0.90995,0.90979
2022-01-07 11:00:00+00:00,0.91014,0.90997
2022-01-07 12:00:00+00:00,0.90992,0.90976
2022-01-07 13:00:00+00:00,0.90879,0.90857
2022-01-07 14:00:00+00:00,0.90924,0.90907
2022-01-07 15:00:00+00:00,0.90852,0.90837
2022-01-07 16:00:00+00:00,0.90826,0.9081
2022-01-07 17:00:00+00:00,0.90818,0.90802
2022-01-07 18:00:00+00:00,0.90803,0.90788
2022-01-07 19:00:00+00:00,0.90795,0.9078
2022-01-07 20:00:00+00:00,0.90783,0.90767
2022-01-07 21:00:00+00:00,0.9081,0.90768
2022-01-09 22:00:00+00:00,0.90867,0.907
2022-01-09 23:00:00+00:00,0.90845,0.90773
2022-01-10 00:00:00+00:00,0.9082,0.90799
2022-01-10 01:00:00+00:00,0.90879,0.90863
2022-01-10 02:00:00+00:00,0.90924,0.90908
2022-01-10 03:00:00+00:00,0.90932,0.90915
2022-01-10 04:00:00+00:00,0.9094,0.90924
2022-01-10 05:00:00+00:00,0.90943,0.90927
2022-01-10 06:00:00+00:00,0.90975,0.90957
2022-01-10 07:00:00+00:00,0.90953,0.90937
2022-01-10 08:00:00+00:00,0.90854,0.90838
2022-01-10 09:00:00+00:00,0.90789,0.90773
2022-01-10 10:00:00+00:00,0.9082,0.90805
2022-01-10 11:00:00+00:00,0.90836,0.9082
2022-01-10 12:00:00+00:00,0.90858,0.90843
2022-01-10 13:00:00+00:00,0.90848,0.90833
2022-01-10 14:00:00+00:00,0.90799,0.90784
2022-01-10 15:00:00+00:00,0.90782,0.90767
2022-01-10 16:00:00+00:00,0.90872,0.90856
2022-01-10 17:00:00+00:00,0.90954,0.90939
2022-01-10 18:00:00+00:00,0.90946,0.90931
2022-01-10 19:00:00+00:00,0.90913,0.90898
2022-01-10 20:00:00+00:00,0.90951,0.90936
2022-01-10 21:00:00+00:00,0.90961,0.90941
2022-01-10 22:00:00+00:00,0.91015,0.90879
2022-01-10 23:00:00+00:00,0.90979,0.90925
2022-01-11 00:00:00+00:00,0.90986,0.90968
2022-01-11 01:00:00+00:00,0.90946,0.90929
2022-01-11 02:00:00+00:00,0.90942,0.90926
2022-01-11 03:00:00+00:00,0.90973,0.90955
2022-01-11 04:00:00+00:00,0.9095,0.90934
2022-01-11 05:00:00+00:00,0.90955,0.9094
2022-01-11 06:00:00+00:00,0.9088,0.90863
2022-01-11 07:00:00+00:00,0.90883,0.90865
2022-01-11 08:00:00+00:00,0.90875,0.90859
2022-01-11 09:00:00+00:00,0.9083,0.90814
2022-01-11 10:00:00+00:00,0.90803,0.90787
2022-01-11 11:00:00+00:00,0.90751,0.90736
2022-01-11 12:00:00+00:00,0.907,0.90685
2022-01-11 13:00:00+00:00,0.90648,0.90633
2022-01-11 14:00:00+00:00,0.90615,0.90599
2022-01-11 15:00:00+00:00,0.90647,0.90631
2022-01-11 16:00:00+00:00,0.90673,0.90658
2022-01-11 17:00:00+00:00,0.90641,0.90626
2022-01-11 18:00:00+00:00,0.90646,0.90631
2022-01-11 19:00:00+00:00,0.90702,0.90686
2022-01-11 20:00:00+00:00,0.90696,0.90681
2022-01-11 21:00:00+00:00,0.90666,0.9065
2022-01-11 22:00:00+00:00,0.90706,0.90629
2022-01-11 23:00:00+00:00,0.9069,0.90645
2022-01-12 00:00:00+00:00,0.90678,0.90661
2022-01-12 01:00:00+00:00,0.90626,0.9061
2022-01-12 02:00:00+00:00,0.90582,0.90565
2022-01-12 03:00:00+00:00,0.90609,0.90593
2022-01-12 04:00:00+00:00,0.90616,0.906
2022-01-12 05:00:00+00:00,0.90606,0.9059
2022-01-12 06:00:00+00:00,0.90626,0.9061
2022-01-12 07:00:00+00:00,0.90611,0.90595
2022-01-12 08:00:00+00:00,0.90541,0.90524
2022-01-12 09:00:00+00:00,0.90492,0.90476
2022-01-12 10:00:00+00:00,0.90439,0.90424
2022-01-12 11:00:00+00:00,0.9044,0.90424
2022-01-12 12:00:00+00:00,0.90507,0.90492
2022-01-12 13:00:00+00:00,0.90653,0.90631
2022-01-12 14:00:00+00:00,0.90876,0.9086
2022-01-12 15:00:00+00:00,0.90967,0.90952
2022-01-12 16:00:00+00:00,0.90965,0.9095
2022-01-12 17:00:00+00:00,0.91018,0.91003
2022-01-12 18:00:00+00:00,0.91045,0.9103
2022-01-12 19:00:00+00:00,0.91117,0.91102
2022-01-12 20:00:00+00:00,0.91151,0.91136
2022-01-12 21:00:00+00:00,0.91124,0.91105
2022-01-12 22:00:00+00:00,0.91128,0.91043
2022-01-12 23:00:00+00:00,0.91093,0.91054
2022-01-13 00:00:00+00:00,0.91076,0.91059
2022-01-13 01:00:00+00:00,0.91051,0.91033
2022-01-13 02:00:00+00:00,0.91054,0.91037
2022-01-13 03:00:00+00:00,0.9109,0.91074
2022-01-13 04:00:00+00:00,0.91102,0.91084
2022-01-13 05:00:00+00:00,0.91094,0.91077
2022-01-13 06:00:00+00:00,0.9107,0.91053
2022-01-13 07:00:00+00:00,0.91135,0.91119
2022-01-13 08:00:00+00:00,0.91196,0.91179
2022-01-13 09:00:00+00:00,0.9123,0.91215
2022-01-13 10:00:00+00:00,0.91234,0.91218
2022-01-13 11:00:00+00:00,0.91158,0.91142
2022-01-13 12:00:00+00:00,0.91092,0.91077
2022-01-13 13:00:00+00:00,0.91065,0.91049
2022-01-13 14:00:00+00:00,0.9107,0.91055
2022-01-13 15:00:00+00:00,0.91101,0.91086
2022-01-13 16:00:00+00:00,0.91134,0.91118
2022-01-13 17:00:00+00:00,0.91083,0.91068
2022-01-13 18:00:00+00:00,0.91067,0.9105
2022-01-13 19:00:00+00:00,0.9106,0.91042
2022-01-13 20:00:00+00:00,0.91074,0.91057
2022-01-13 21:00:00+00:00,0.91128,0.91104
2022-01-13 22:00:00+00:00,0.91166,0.91053
2022-01-13 23:00:00+00:00,0.91109,0.91062
2022-01-14 00:00:00+00:00,0.91083,0.91066
2022-01-14 01:00:00+00:00,0.91033,0.91015
2022-01-14 02:00:00+00:00,0.91007,0.90989
2022-01-14 03:00:00+00:00,0.90998,0.90982
2022-01-14 04:00:00+00:00,0.9102,0.91005
2022-01-14 05:00:00+00:00,0.91031,0.91014
2022-01-14 06:00:00+00:00,0.91004,0.90989
2022-01-14 07:00:00+00:00,0.90992,0.90976
2022-01-14 08:00:00+00:00,0.90887,0.9087
2022-01-14 09:00:00+00:00,0.90787,0.90772
2022-01-14 10:00:00+00:00,0.90784,0.90769
2022-01-14 11:00:00+00:00,0.90736,0.9072
2022-01-14 12:00:00+00:00,0.90719,0.90703
2022-01-14 13:00:00+00:00,0.90679,0.90664
2022-01-14 14:00:00+00:00,0.90724,0.907
2022-01-14 15:00:00+00:00,0.90721,0.90703
2022-01-14 16:00:00+00:00,0.90671,0.90656
2022-01-14 17:00:00+00:00,0.90553,0.90538
2022-01-14 18:00:00+00:00,0.90503,0.90488
2022-01-14 19:00:00+00:00,0.90541,0.90525
2022-01-14 20:00:00+00:00,0.90572,0.90557
2022-01-14 21:00:00+00:00,0.90594,0.90464
2022-01-16 22:00:00+00:00,0.90601,0.90454
2022-01-16 23:00:00+00:00,0.90546,0.90492
2022-01-17 00:00:00+00:00,0.90459,0.90443
2022-01-17 01:00:00+00:00,0.90367,0.90345
2022-01-17 02:00:00+00:00,0.90391,0.90371
2022-01-17 03:00:00+00:00,0.90428,0.90412
2022-01-17 04:00:00+00:00,0.904,0.90384
2022-01-17 05:00:00+00:00,0.90375,0.90359
2022-01-17 06:00:00+00:00,0.90364,0.90347
2022-01-17 07:00:00+00:00,0.90381,0.90364
2022-01-17 08:00:00+00:00,0.90351,0.90334
2022-01-17 09:00:00+00:00,0.90304,0.90289
2022-01-17 10:00:00+00:00,0.90306,0.90291
2022-01-17 11:00:00+00:00,0.90362,0.90347
2022-01-17 12:00:00+00:00,0.90387,0.90372
2022-01-17 13:00:00+00:00,0.90367,0.90351
2022-01-17 14:00:00+00:00,0.90379,0.90364
2022-01-17 15:00:00+00:00,0.90316,0.90301
2022-01-17 16:00:00+00:00,0.90257,0.90242
2022-01-17 17:00:00+00:00,0.90257,0.90241
2022-01-17 18:00:00+00:00,0.90296,0.9028
2022-01-17 19:00:00+00:00,0.90289,0.90272
2022-01-17 20:00:00+00:00,0.90292,0.90276
2022-01-17 21:00:00+00:00,0.90281,0.90259
2022-01-17 22:00:00+00:00,0.90296,0.90199
2022-01-17 23:00:00+00:00,0.90264,0.90222
2022-01-18 00:00:00+00:00,0.90255,0.90239
2022-01-18 01:00:00+00:00,0.90264,0.90248
2022-01-18 02:00:00+00:00,0.90223,0.90206
2022-01-18 03:00:00+00:00,0.90101,0.90085
2022-01-18 04:00:00+00:00,0.90039,0.90023
2022-01-18 05:00:00+00:00,0.90039,0.90024
2022-01-18 06:00:00+00:00,0.90059,0.90042
2022-01-18 07:00:00+00:00,0.90061,0.90044
2022-01-18 08:00:00+00:00,0.90008,0.89992
2022-01-18 09:00:00+00:00,0.90028,0.90012
2022-01-18 10:00:00+00:00,0.89988,0.89973
2022-01-18 11:00:00+00:00,0.89885,0.8987
2022-01-18 12:00:00+00:00,0.89896,0.89881
2022-01-18 13:00:00+00:00,0.89918,0.89903
2022-01-18 14:00:00+00:00,0.89926,0.89911
2022-01-18 15:00:00+00:00,0.90009,0.89994
2022-01-18 16:00:00+00:00,0.90093,0.90077
2022-01-18 17:00:00+00:00,0.90094,0.90079
2022-01-18 18:00:00+00:00,0.90066,0.9005
2022-01-18 19:00:00+00:00,0.89934,0.89919
2022-01-18 20:00:00+00:00,0.89882,0.89866
2022-01-18 21:00:00+00:00,0.89906,0.89884
2022-01-18 22:00:00+00:00,0.89935,0.89854
2022-01-18 23:00:00+00:00,0.89859,0.89835
2022-01-19 00:00:00+00:00,0.8985,0.89832
2022-01-19 01:00:00+00:00,0.89852,0.89836
2022-01-19 02:00:00+00:00,0.89854,0.89839
2022-01-19 03:00:00+00:00,0.89853,0.89838
2022-01-19 04:00:00+00:00,0.89861,0.89845
2022-01-19 05:00:00+00:00,0.89882,0.89865
2022-01-19 06:00:00+00:00,0.89963,0.89947
2022-01-19 07:00:00+00:00,0.89947,0.89931
2022-01-19 08:00:00+00:00,0.89883,0.89868
2022-01-19 09:00:00+00:00,0.8988,0.89865
