dt,ask,bid
2022-01-02 22:00:00+00:00,0.66326,0.66136
2022-01-02 23:00:00+00:00,0.66319,0.66248
2022-01-03 00:00:00+00:00,0.66333,0.66307
2022-01-03 01:00:00+00:00,0.66315,0.66291
2022-01-03 02:00:00+00:00,0.66291,0.66268
2022-01-03 03:00:00+00:00,0.66291,0.66266
2022-01-03 04:00:00+00:00,0.66305,0.66281
2022-01-03 05:00:00+00:00,0.66306,0.6628
2022-01-03 06:00:00+00:00,0.663,0.66275
2022-01-03 07:00:00+00:00,0.66316,0.66293
2022-01-03 08:00:00+00:00,0.66321,0.66298
2022-01-03 09:00:00+00:00,0.66215,0.6619
2022-01-03 10:00:00+00:00,0.66192,0.66167
2022-01-03 11:00:00+00:00,0.66148,0.66125
2022-01-03 12:00:00+00:00,0.66142,0.66118
2022-01-03 13:00:00+00:00,0.66119,0.66096
2022-01-03 14:00:00+00:00,0.66097,0.66073
2022-01-03 15:00:00+00:00,0.66073,0.6605
2022-01-03 16:00:00+00:00,0.66079,0.66055
2022-01-03 17:00:00+00:00,0.66145,0.66121
2022-01-03 18:00:00+00:00,0.66154,0.66131
2022-01-03 19:00:00+00:00,0.66084,0.66062
2022-01-03 20:00:00+00:00,0.66045,0.6602
2022-01-03 21:00:00+00:00,0.6607,0.66042
2022-01-03 22:00:00+00:00,0.66161,0.66004
2022-01-03 23:00:00+00:00,0.66111,0.66046
2022-01-04 00:00:00+00:00,0.66077,0.66053
2022-01-04 01:00:00+00:00,0.66084,0.6606
2022-01-04 02:00:00+00:00,0.66091,0.66069
2022-01-04 03:00:00+00:00,0.66155,0.66132
2022-01-04 04:00:00+00:00,0.66213,0.66189
2022-01-04 05:00:00+00:00,0.66226,0.66203
2022-01-04 06:00:00+00:00,0.66212,0.66189
2022-01-04 07:00:00+00:00,0.66236,0.66212
2022-01-04 08:00:00+00:00,0.66227,0.66203
2022-01-04 09:00:00+00:00,0.66226,0.66202
2022-01-04 10:00:00+00:00,0.66171,0.66145
2022-01-04 11:00:00+00:00,0.66153,0.6613
2022-01-04 12:00:00+00:00,0.66087,0.66066
2022-01-04 13:00:00+00:00,0.66101,0.66078
2022-01-04 14:00:00+00:00,0.66146,0.66116
2022-01-04 15:00:00+00:00,0.66218,0.66187
2022-01-04 16:00:00+00:00,0.66278,0.66254
2022-01-04 17:00:00+00:00,0.66311,0.66288
2022-01-04 18:00:00+00:00,0.66314,0.66291
2022-01-04 19:00:00+00:00,0.66353,0.66329
2022-01-04 20:00:00+00:00,0.66365,0.6634
2022-01-04 21:00:00+00:00,0.66356,0.66326
