dt,ask,bid
2022-01-02 22:00:00+00:00,83.704,83.578
2022-01-02 23:00:00+00:00,83.71,83.667
2022-01-03 00:00:00+00:00,83.741,83.726
2022-01-03 01:00:00+00:00,83.686,83.669
2022-01-03 02:00:00+00:00,83.599,83.582
2022-01-03 03:00:00+00:00,83.57,83.554
2022-01-03 04:00:00+00:00,83.577,83.561
2022-01-03 05:00:00+00:00,83.573,83.557
2022-01-03 06:00:00+00:00,83.621,83.603
2022-01-03 07:00:00+00:00,83.663,83.645
2022-01-03 08:00:00+00:00,83.695,83.679
2022-01-03 09:00:00+00:00,83.615,83.599
2022-01-03 10:00:00+00:00,83.498,83.482
2022-01-03 11:00:00+00:00,83.413,83.397
2022-01-03 12:00:00+00:00,83.38,83.365
2022-01-03 13:00:00+00:00,83.249,83.233
2022-01-03 14:00:00+00:00,83.059,83.043
2022-01-03 15:00:00+00:00,82.927,82.911
2022-01-03 16:00:00+00:00,82.907,82.892
2022-01-03 17:00:00+00:00,82.969,82.954
2022-01-03 18:00:00+00:00,83.007,82.991
2022-01-03 19:00:00+00:00,82.957,82.942
2022-01-03 20:00:00+00:00,82.913,82.897
2022-01-03 21:00:00+00:00,82.936,82.916
2022-01-03 22:00:00+00:00,82.969,82.872
2022-01-03 23:00:00+00:00,82.971,82.94
2022-01-04 00:00:00+00:00,83.036,83.019
2022-01-04 01:00:00+00:00,83.101,83.085
2022-01-04 02:00:00+00:00,83.174,83.157
2022-01-04 03:00:00+00:00,83.31,83.293
2022-01-04 04:00:00+00:00,83.45,83.434
2022-01-04 05:00:00+00:00,83.502,83.484
2022-01-04 06:00:00+00:00,83.481,83.465
2022-01-04 07:00:00+00:00,83.442,83.427
2022-01-04 08:00:00+00:00,83.489,83.473
2022-01-04 09:00:00+00:00,83.545,83.53
2022-01-04 10:00:00+00:00,83.543,83.528
2022-01-04 11:00:00+00:00,83.59,83.574
2022-01-04 12:00:00+00:00,83.62,83.604
2022-01-04 13:00:00+00:00,83.734,83.718
2022-01-04 14:00:00+00:00,83.867,83.844
2022-01-04 15:00:00+00:00,84.051,84.027
2022-01-04 16:00:00+00:00,84.094,84.079
2022-01-04 17:00:00+00:00,84.123,84.107
2022-01-04 18:00:00+00:00,84.062,84.047
2022-01-04 19:00:00+00:00,84.069,84.054
2022-01-04 20:00:00+00:00,84.081,84.064
2022-01-04 21:00:00+00:00,84.088,84.069
2022-01-04 22:00:00+00:00,84.088,83.982
2022-01-04 23:00:00+00:00,84.107,84.072
2022-01-05 00:00:00+00:00,84.109,84.093
2022-01-05 01:00:00+00:00,83.991,83.975
2022-01-05 02:00:00+00:00,83.92,83.904
2022-01-05 03:00:00+00:00,83.904,83.886
2022-01-05 04:00:00+00:00,83.928,83.911
2022-01-05 05:00:00+00:00,83.872,83.856
2022-01-05 06:00:00+00:00,83.867,83.85
2022-01-05 07:00:00+00:00,83.926,83.91
2022-01-05 08:00:00+00:00,83.941,83.926
2022-01-05 09:00:00+00:00,83.954,83.938
2022-01-05 10:00:00+00:00,83.945,83.93
2022-01-05 11:00:00+00:00,83.945,83.929
2022-01-05 12:00:00+00:00,83.961,83.947
2022-01-05 13:00:00+00:00,84.036,84.018
2022-01-05 14:00:00+00:00,84.056,84.041
2022-01-05 15:00:00+00:00,84.147,84.133
2022-01-05 16:00:00+00:00,84.164,84.148
2022-01-05 17:00:00+00:00,84.222,84.207
2022-01-05 18:00:00+00:00,84.244,84.225
2022-01-05 19:00:00+00:00,84.05,84.031
2022-01-05 20:00:00+00:00,83.873,83.857
2022-01-05 21:00:00+00:00,83.853,83.83
2022-01-05 22:00:00+00:00,83.89,83.786
2022-01-05 23:00:00+00:00,83.85,83.819
2022-01-06 00:00:00+00:00,83.803,83.784
2022-01-06 01:00:00+00:00,83.684,83.667
2022-01-06 02:00:00+00:00,83.574,83.557
2022-01-06 03:00:00+00:00,83.422,83.407
2022-01-06 04:00:00+00:00,83.231,83.216
2022-01-06 05:00:00+00:00,83.146,83.129
2022-01-06 06:00:00+00:00,83.053,83.037
2022-01-06 07:00:00+00:00,82.97,82.954
2022-01-06 08:00:00+00:00,82.852,82.838
2022-01-06 09:00:00+00:00,82.825,82.81
2022-01-06 10:00:00+00:00,83.018,83.003
2022-01-06 11:00:00+00:00,83.054,83.038
2022-01-06 12:00:00+00:00,83.046,83.031
2022-01-06 13:00:00+00:00,82.967,82.951
2022-01-06 14:00:00+00:00,82.96,82.939
2022-01-06 15:00:00+00:00,82.881,82.862
2022-01-06 16:00:00+00:00,82.932,82.916
2022-01-06 17:00:00+00:00,83.006,82.99
2022-01-06 18:00:00+00:00,83.001,82.985
2022-01-06 19:00:00+00:00,83.05,83.034
2022-01-06 20:00:00+00:00,83.048,83.032
2022-01-06 21:00:00+00:00,83.014,82.991
2022-01-06 22:00:00+00:00,83.036,82.924
2022-01-06 23:00:00+00:00,83.007,82.962
2022-01-07 00:00:00+00:00,83.101,83.084
2022-01-07 01:00:00+00:00,83.153,83.137
2022-01-07 02:00:00+00:00,83.091,83.073
2022-01-07 03:00:00+00:00,83.067,83.051
2022-01-07 04:00:00+00:00,83.01,82.993
2022-01-07 05:00:00+00:00,83.023,83.007
2022-01-07 06:00:00+00:00,82.998,82.982
2022-01-07 07:00:00+00:00,82.927,82.911
2022-01-07 08:00:00+00:00,82.845,82.829
2022-01-07 09:00:00+00:00,82.86,82.843
2022-01-07 10:00:00+00:00,82.916,82.9
2022-01-07 11:00:00+00:00,82.886,82.871
2022-01-07 12:00:00+00:00,82.849,82.834
2022-01-07 13:00:00+00:00,82.789,82.771
2022-01-07 14:00:00+00:00,82.857,82.842
2022-01-07 15:00:00+00:00,82.872,82.856
2022-01-07 16:00:00+00:00,82.982,82.966
2022-01-07 17:00:00+00:00,83.028,83.013
2022-01-07 18:00:00+00:00,83.021,83.007
2022-01-07 19:00:00+00:00,83.036,83.021
2022-01-07 20:00:00+00:00,83.016,82.999
2022-01-07 21:00:00+00:00,83.004,82.972
2022-01-09 22:00:00+00:00,83.044,82.933
2022-01-09 23:00:00+00:00,83.019,82.979
2022-01-10 00:00:00+00:00,83.05,83.034
2022-01-10 01:00:00+00:00,83.128,83.112
2022-01-10 02:00:00+00:00,83.237,83.221
2022-01-10 03:00:00+00:00,83.268,83.251
2022-01-10 04:00:00+00:00,83.299,83.283
2022-01-10 05:00:00+00:00,83.297,83.282
2022-01-10 06:00:00+00:00,83.298,83.282
2022-01-10 07:00:00+00:00,83.327,83.312
2022-01-10 08:00:00+00:00,83.202,83.186
2022-01-10 09:00:00+00:00,83.178,83.163
2022-01-10 10:00:00+00:00,83.193,83.178
2022-01-10 11:00:00+00:00,83.034,83.019
2022-01-10 12:00:00+00:00,82.798,82.783
2022-01-10 13:00:00+00:00,82.744,82.73
2022-01-10 14:00:00+00:00,82.643,82.628
2022-01-10 15:00:00+00:00,82.488,82.473
2022-01-10 16:00:00+00:00,82.506,82.491
2022-01-10 17:00:00+00:00,82.515,82.501
2022-01-10 18:00:00+00:00,82.573,82.558
2022-01-10 19:00:00+00:00,82.603,82.587
2022-01-10 20:00:00+00:00,82.673,82.659
2022-01-10 21:00:00+00:00,82.679,82.657
2022-01-10 22:00:00+00:00,82.692,82.598
2022-01-10 23:00:00+00:00,82.74,82.706
2022-01-11 00:00:00+00:00,82.829,82.812
2022-01-11 01:00:00+00:00,82.822,82.806
2022-01-11 02:00:00+00:00,82.861,82.845
2022-01-11 03:00:00+00:00,82.955,82.94
2022-01-11 04:00:00+00:00,82.88,82.864
2022-01-11 05:00:00+00:00,82.87,82.854
2022-01-11 06:00:00+00:00,82.746,82.729
2022-01-11 07:00:00+00:00,82.782,82.766
2022-01-11 08:00:00+00:00,82.854,82.837
2022-01-11 09:00:00+00:00,82.887,82.871
2022-01-11 10:00:00+00:00,82.898,82.882
2022-01-11 11:00:00+00:00,82.859,82.843
2022-01-11 12:00:00+00:00,82.843,82.828
2022-01-11 13:00:00+00:00,82.853,82.839
2022-01-11 14:00:00+00:00,82.806,82.791
2022-01-11 15:00:00+00:00,82.873,82.855
2022-01-11 16:00:00+00:00,82.998,82.982
2022-01-11 17:00:00+00:00,83.087,83.072
2022-01-11 18:00:00+00:00,83.166,83.151
2022-01-11 19:00:00+00:00,83.181,83.166
2022-01-11 20:00:00+00:00,83.146,83.131
2022-01-11 21:00:00+00:00,83.141,83.124
2022-01-11 22:00:00+00:00,83.174,83.114
2022-01-11 23:00:00+00:00,83.17,83.146
2022-01-12 00:00:00+00:00,83.167,83.152
2022-01-12 01:00:00+00:00,83.128,83.112
2022-01-12 02:00:00+00:00,83.187,83.171
2022-01-12 03:00:00+00:00,83.262,83.247
2022-01-12 04:00:00+00:00,83.288,83.273
2022-01-12 05:00:00+00:00,83.264,83.249
2022-01-12 06:00:00+00:00,83.246,83.232
2022-01-12 07:00:00+00:00,83.177,83.161
2022-01-12 08:00:00+00:00,83.143,83.129
2022-01-12 09:00:00+00:00,83.166,83.149
2022-01-12 10:00:00+00:00,83.226,83.21
2022-01-12 11:00:00+00:00,83.231,83.216
2022-01-12 12:00:00+00:00,83.244,83.23
2022-01-12 13:00:00+00:00,83.42,83.403
2022-01-12 14:00:00+00:00,83.581,83.566
2022-01-12 15:00:00+00:00,83.547,83.532
2022-01-12 16:00:00+00:00,83.497,83.482
2022-01-12 17:00:00+00:00,83.451,83.436
2022-01-12 18:00:00+00:00,83.433,83.418
2022-01-12 19:00:00+00:00,83.428,83.411
2022-01-12 20:00:00+00:00,83.463,83.45
2022-01-12 21:00:00+00:00,83.509,83.491
2022-01-12 22:00:00+00:00,83.55,83.489
2022-01-12 23:00:00+00:00,83.532,83.503
2022-01-13 00:00:00+00:00,83.501,83.485
