dt,ask,bid
2022-01-02 22:00:00+00:00,1.06499,1.0605
2022-01-02 23:00:00+00:00,1.06425,1.0623
2022-01-03 00:00:00+00:00,1.0619,1.0614
2022-01-03 01:00:00+00:00,1.06133,1.06085
2022-01-03 02:00:00+00:00,1.06155,1.06105
2022-01-03 03:00:00+00:00,1.06152,1.06101
2022-01-03 04:00:00+00:00,1.06142,1.06095
2022-01-03 05:00:00+00:00,1.06132,1.0608
2022-01-03 06:00:00+00:00,1.06128,1.0608
2022-01-03 07:00:00+00:00,1.06166,1.0612
2022-01-03 08:00:00+00:00,1.0616,1.06116
2022-01-03 09:00:00+00:00,1.0619,1.06145
2022-01-03 10:00:00+00:00,1.06233,1.06186
2022-01-03 11:00:00+00:00,1.06153,1.06106
2022-01-03 12:00:00+00:00,1.06134,1.06086
2022-01-03 13:00:00+00:00,1.06173,1.06124
2022-01-03 14:00:00+00:00,1.06137,1.06089
2022-01-03 15:00:00+00:00,1.06084,1.06038
2022-01-03 16:00:00+00:00,1.06056,1.06009
2022-01-03 17:00:00+00:00,1.06028,1.05982
2022-01-03 18:00:00+00:00,1.0599,1.05942
2022-01-03 19:00:00+00:00,1.05962,1.05915
2022-01-03 20:00:00+00:00,1.05963,1.05913
2022-01-03 21:00:00+00:00,1.0599,1.05926
2022-01-03 22:00:00+00:00,1.06141,1.05844
2022-01-03 23:00:00+00:00,1.06048,1.05943
2022-01-04 00:00:00+00:00,1.0598,1.05931
2022-01-04 01:00:00+00:00,1.06018,1.05971
2022-01-04 02:00:00+00:00,1.06035,1.05988
2022-01-04 03:00:00+00:00,1.06105,1.06057
2022-01-04 04:00:00+00:00,1.06175,1.06129
2022-01-04 05:00:00+00:00,1.06163,1.06115
2022-01-04 06:00:00+00:00,1.06176,1.06131
2022-01-04 07:00:00+00:00,1.0617,1.06124
2022-01-04 08:00:00+00:00,1.06176,1.06127
2022-01-04 09:00:00+00:00,1.06161,1.06116
2022-01-04 10:00:00+00:00,1.06186,1.06139
2022-01-04 11:00:00+00:00,1.06264,1.06217
2022-01-04 12:00:00+00:00,1.06271,1.06225
2022-01-04 13:00:00+00:00,1.06296,1.0625
2022-01-04 14:00:00+00:00,1.06269,1.06207
2022-01-04 15:00:00+00:00,1.0627,1.06218
2022-01-04 16:00:00+00:00,1.06355,1.06312
2022-01-04 17:00:00+00:00,1.06365,1.0632
2022-01-04 18:00:00+00:00,1.06366,1.0632
2022-01-04 19:00:00+00:00,1.06376,1.06327
2022-01-04 20:00:00+00:00,1.06366,1.06315
2022-01-04 21:00:00+00:00,1.06357,1.063
2022-01-04 22:00:00+00:00,1.06504,1.06228
2022-01-04 23:00:00+00:00,1.06341,1.06254
2022-01-05 00:00:00+00:00,1.06266,1.06216
2022-01-05 01:00:00+00:00,1.06287,1.06238
2022-01-05 02:00:00+00:00,1.06331,1.06284
2022-01-05 03:00:00+00:00,1.06316,1.06269
2022-01-05 04:00:00+00:00,1.06327,1.06279
2022-01-05 05:00:00+00:00,1.06287,1.06239
2022-01-05 06:00:00+00:00,1.06306,1.0626
2022-01-05 07:00:00+00:00,1.06388,1.06342
2022-01-05 08:00:00+00:00,1.06403,1.06357
2022-01-05 09:00:00+00:00,1.06433,1.06388
2022-01-05 10:00:00+00:00,1.06476,1.06427
2022-01-05 11:00:00+00:00,1.06456,1.06409
2022-01-05 12:00:00+00:00,1.0642,1.06374
2022-01-05 13:00:00+00:00,1.06419,1.06368
2022-01-05 14:00:00+00:00,1.06375,1.06329
2022-01-05 15:00:00+00:00,1.06403,1.06356
2022-01-05 16:00:00+00:00,1.06407,1.06361
2022-01-05 17:00:00+00:00,1.06376,1.06328
2022-01-05 18:00:00+00:00,1.06399,1.06339
2022-01-05 19:00:00+00:00,1.06343,1.06289
2022-01-05 20:00:00+00:00,1.06313,1.0626
2022-01-05 21:00:00+00:00,1.06274,1.06218
2022-01-05 22:00:00+00:00,1.06323,1.06163
2022-01-05 23:00:00+00:00,1.06324,1.06247
2022-01-06 00:00:00+00:00,1.06304,1.06255
2022-01-06 01:00:00+00:00,1.0626,1.06215
2022-01-06 02:00:00+00:00,1.06271,1.06225
2022-01-06 03:00:00+00:00,1.06284,1.06239
2022-01-06 04:00:00+00:00,1.06217,1.0617
2022-01-06 05:00:00+00:00,1.06221,1.06176
2022-01-06 06:00:00+00:00,1.06232,1.06186
2022-01-06 07:00:00+00:00,1.06222,1.06174
2022-01-06 08:00:00+00:00,1.06135,1.06089
2022-01-06 09:00:00+00:00,1.06095,1.06052
2022-01-06 10:00:00+00:00,1.0606,1.06015
2022-01-06 11:00:00+00:00,1.06048,1.06001
2022-01-06 12:00:00+00:00,1.06114,1.06067
2022-01-06 13:00:00+00:00,1.06161,1.0611
2022-01-06 14:00:00+00:00,1.06172,1.06114
2022-01-06 15:00:00+00:00,1.06183,1.06121
2022-01-06 16:00:00+00:00,1.06207,1.0616
2022-01-06 17:00:00+00:00,1.06213,1.06166
2022-01-06 18:00:00+00:00,1.06242,1.06195
2022-01-06 19:00:00+00:00,1.06291,1.06241
2022-01-06 20:00:00+00:00,1.06251,1.06201
2022-01-06 21:00:00+00:00,1.062,1.06141
2022-01-06 22:00:00+00:00,1.06308,1.06029
2022-01-06 23:00:00+00:00,1.06273,1.06184
2022-01-07 00:00:00+00:00,1.06317,1.06268
2022-01-07 01:00:00+00:00,1.06275,1.06231
2022-01-07 02:00:00+00:00,1.06193,1.06146
