dt,ask,bid
2022-01-02 22:00:00+00:00,0.72707,0.72613
2022-01-02 23:00:00+00:00,0.72699,0.72677
2022-01-03 00:00:00+00:00,0.72684,0.7267
2022-01-03 01:00:00+00:00,0.72622,0.72608
2022-01-03 02:00:00+00:00,0.72532,0.72519
2022-01-03 03:00:00+00:00,0.72496,0.72482
2022-01-03 04:00:00+00:00,0.72502,0.72489
2022-01-03 05:00:00+00:00,0.72481,0.72468
2022-01-03 06:00:00+00:00,0.72508,0.72494
2022-01-03 07:00:00+00:00,0.72556,0.72543
2022-01-03 08:00:00+00:00,0.72603,0.7259
2022-01-03 09:00:00+00:00,0.72577,0.72563
2022-01-03 10:00:00+00:00,0.72535,0.72521
2022-01-03 11:00:00+00:00,0.72493,0.7248
2022-01-03 12:00:00+00:00,0.72455,0.72441
2022-01-03 13:00:00+00:00,0.72316,0.72303
2022-01-03 14:00:00+00:00,0.72071,0.72057
2022-01-03 15:00:00+00:00,0.7192,0.71907
2022-01-03 16:00:00+00:00,0.71914,0.71901
2022-01-03 17:00:00+00:00,0.71958,0.71945
2022-01-03 18:00:00+00:00,0.7199,0.71977
2022-01-03 19:00:00+00:00,0.71949,0.71935
2022-01-03 20:00:00+00:00,0.71893,0.71879
2022-01-03 21:00:00+00:00,0.71901,0.71885
2022-01-03 22:00:00+00:00,0.71924,0.71873
2022-01-03 23:00:00+00:00,0.7194,0.7192
2022-01-04 00:00:00+00:00,0.71973,0.71959
2022-01-04 01:00:00+00:00,0.72013,0.71999
2022-01-04 02:00:00+00:00,0.72,0.71987
2022-01-04 03:00:00+00:00,0.72019,0.72006
2022-01-04 04:00:00+00:00,0.72094,0.72079
2022-01-04 05:00:00+00:00,0.7213,0.72116
2022-01-04 06:00:00+00:00,0.7211,0.72098
2022-01-04 07:00:00+00:00,0.72083,0.7207
2022-01-04 08:00:00+00:00,0.72098,0.72084
2022-01-04 09:00:00+00:00,0.72119,0.72105
2022-01-04 10:00:00+00:00,0.72102,0.72088
2022-01-04 11:00:00+00:00,0.72023,0.7201
2022-01-04 12:00:00+00:00,0.71928,0.71915
2022-01-04 13:00:00+00:00,0.72011,0.71997
2022-01-04 14:00:00+00:00,0.72135,0.72119
2022-01-04 15:00:00+00:00,0.72355,0.72339
2022-01-04 16:00:00+00:00,0.72422,0.7241
2022-01-04 17:00:00+00:00,0.72417,0.72403
2022-01-04 18:00:00+00:00,0.72364,0.72351
