dt,ask,bid
2022-01-02 22:00:00+00:00,0.72199,0.72023
2022-01-02 23:00:00+00:00,0.72127,0.7206
2022-01-03 00:00:00+00:00,0.72129,0.72102
2022-01-03 01:00:00+00:00,0.72151,0.72125
2022-01-03 02:00:00+00:00,0.7214,0.72115
2022-01-03 03:00:00+00:00,0.72135,0.72108
2022-01-03 04:00:00+00:00,0.72152,0.72124
2022-01-03 05:00:00+00:00,0.72157,0.72131
2022-01-03 06:00:00+00:00,0.72127,0.72101
2022-01-03 07:00:00+00:00,0.72098,0.72074
2022-01-03 08:00:00+00:00,0.72081,0.72058
2022-01-03 09:00:00+00:00,0.71974,0.71949
2022-01-03 10:00:00+00:00,0.71976,0.71952
2022-01-03 11:00:00+00:00,0.71953,0.7193
2022-01-03 12:00:00+00:00,0.71988,0.71965
2022-01-03 13:00:00+00:00,0.71972,0.71951
2022-01-03 14:00:00+00:00,0.72034,0.72008
2022-01-03 15:00:00+00:00,0.72007,0.71983
2022-01-03 16:00:00+00:00,0.72004,0.71979
2022-01-03 17:00:00+00:00,0.72066,0.72041
2022-01-03 18:00:00+00:00,0.72081,0.72057
2022-01-03 19:00:00+00:00,0.72059,0.72035
2022-01-03 20:00:00+00:00,0.72051,0.72028
2022-01-03 21:00:00+00:00,0.7209,0.72056
2022-01-03 22:00:00+00:00,0.72148,0.72005
2022-01-03 23:00:00+00:00,0.72085,0.72019
2022-01-04 00:00:00+00:00,0.72019,0.71994
2022-01-04 01:00:00+00:00,0.71988,0.71963
2022-01-04 02:00:00+00:00,0.72008,0.71983
2022-01-04 03:00:00+00:00,0.72073,0.72048
2022-01-04 04:00:00+00:00,0.72118,0.72093
2022-01-04 05:00:00+00:00,0.72149,0.72126
2022-01-04 06:00:00+00:00,0.72138,0.72115
2022-01-04 07:00:00+00:00,0.72183,0.72159
2022-01-04 08:00:00+00:00,0.72118,0.72094
2022-01-04 09:00:00+00:00,0.72053,0.7203
2022-01-04 10:00:00+00:00,0.72012,0.71989
2022-01-04 11:00:00+00:00,0.72041,0.72019
2022-01-04 12:00:00+00:00,0.7202,0.71999
2022-01-04 13:00:00+00:00,0.72053,0.72031
2022-01-04 14:00:00+00:00,0.72106,0.72077
2022-01-04 15:00:00+00:00,0.72141,0.72115
2022-01-04 16:00:00+00:00,0.72097,0.72074
2022-01-04 17:00:00+00:00,0.72127,0.72105
2022-01-04 18:00:00+00:00,0.72122,0.72099
2022-01-04 19:00:00+00:00,0.72123,0.72099
2022-01-04 20:00:00+00:00,0.72114,0.7209
2022-01-04 21:00:00+00:00,0.72124,0.7209
