dt,ask,bid
2022-01-02 22:00:00+00:00,91.175,90.977
2022-01-02 23:00:00+00:00,91.045,90.987
2022-01-03 00:00:00+00:00,91.057,91.039
2022-01-03 01:00:00+00:00,91.043,91.025
2022-01-03 02:00:00+00:00,90.981,90.962
2022-01-03 03:00:00+00:00,90.941,90.922
2022-01-03 04:00:00+00:00,90.948,90.929
2022-01-03 05:00:00+00:00,90.945,90.927
2022-01-03 06:00:00+00:00,90.97,90.949
2022-01-03 07:00:00+00:00,90.965,90.945
2022-01-03 08:00:00+00:00,90.971,90.953
2022-01-03 09:00:00+00:00,90.886,90.868
2022-01-03 10:00:00+00:00,90.794,90.776
2022-01-03 11:00:00+00:00,90.736,90.718
2022-01-03 12:00:00+00:00,90.75,90.733
2022-01-03 13:00:00+00:00,90.619,90.602
2022-01-03 14:00:00+00:00,90.525,90.506
2022-01-03 15:00:00+00:00,90.374,90.358
2022-01-03 16:00:00+00:00,90.34,90.323
2022-01-03 17:00:00+00:00,90.399,90.382
2022-01-03 18:00:00+00:00,90.444,90.428
2022-01-03 19:00:00+00:00,90.462,90.444
2022-01-03 20:00:00+00:00,90.455,90.438
2022-01-03 21:00:00+00:00,90.485,90.462
2022-01-03 22:00:00+00:00,90.532,90.354
2022-01-03 23:00:00+00:00,90.492,90.412
2022-01-04 00:00:00+00:00,90.499,90.48
2022-01-04 01:00:00+00:00,90.536,90.517
2022-01-04 02:00:00+00:00,90.621,90.601
2022-01-04 03:00:00+00:00,90.762,90.742
2022-01-04 04:00:00+00:00,90.899,90.882
2022-01-04 05:00:00+00:00,90.965,90.947
2022-01-04 06:00:00+00:00,90.955,90.936
2022-01-04 07:00:00+00:00,90.922,90.904
2022-01-04 08:00:00+00:00,90.901,90.883
2022-01-04 09:00:00+00:00,90.902,90.885
2022-01-04 10:00:00+00:00,90.915,90.899
2022-01-04 11:00:00+00:00,91.032,91.015
2022-01-04 12:00:00+00:00,91.137,91.121
2022-01-04 13:00:00+00:00,91.273,91.258
2022-01-04 14:00:00+00:00,91.427,91.401
2022-01-04 15:00:00+00:00,91.557,91.531
2022-01-04 16:00:00+00:00,91.496,91.479
2022-01-04 17:00:00+00:00,91.502,91.484
2022-01-04 18:00:00+00:00,91.417,91.401
2022-01-04 19:00:00+00:00,91.38,91.365
2022-01-04 20:00:00+00:00,91.369,91.352
2022-01-04 21:00:00+00:00,91.398,91.374
2022-01-04 22:00:00+00:00,91.484,91.311
2022-01-04 23:00:00+00:00,91.474,91.418
2022-01-05 00:00:00+00:00,91.472,91.452
2022-01-05 01:00:00+00:00,91.348,91.329
2022-01-05 02:00:00+00:00,91.265,91.247
2022-01-05 03:00:00+00:00,91.236,91.218
2022-01-05 04:00:00+00:00,91.263,91.244
2022-01-05 05:00:00+00:00,91.219,91.2
2022-01-05 06:00:00+00:00,91.224,91.207
2022-01-05 07:00:00+00:00,91.259,91.242
2022-01-05 08:00:00+00:00,91.214,91.197
2022-01-05 09:00:00+00:00,91.148,91.131
2022-01-05 10:00:00+00:00,91.076,91.059
2022-01-05 11:00:00+00:00,90.967,90.95
2022-01-05 12:00:00+00:00,90.953,90.936
2022-01-05 13:00:00+00:00,91.079,91.056
2022-01-05 14:00:00+00:00,91.099,91.083
2022-01-05 15:00:00+00:00,91.158,91.143
2022-01-05 16:00:00+00:00,91.231,91.215
2022-01-05 17:00:00+00:00,91.287,91.271
2022-01-05 18:00:00+00:00,91.327,91.297
2022-01-05 19:00:00+00:00,91.184,91.16
2022-01-05 20:00:00+00:00,91.014,90.996
2022-01-05 21:00:00+00:00,91.028,91.003
2022-01-05 22:00:00+00:00,91.074,90.96
2022-01-05 23:00:00+00:00,91.026,90.989
2022-01-06 00:00:00+00:00,90.982,90.964
2022-01-06 01:00:00+00:00,90.876,90.858
2022-01-06 02:00:00+00:00,90.795,90.775
2022-01-06 03:00:00+00:00,90.716,90.697
2022-01-06 04:00:00+00:00,90.615,90.598
2022-01-06 05:00:00+00:00,90.607,90.587
2022-01-06 06:00:00+00:00,90.562,90.542
2022-01-06 07:00:00+00:00,90.536,90.518
2022-01-06 08:00:00+00:00,90.456,90.439
2022-01-06 09:00:00+00:00,90.493,90.474
2022-01-06 10:00:00+00:00,90.694,90.677
2022-01-06 11:00:00+00:00,90.69,90.671
2022-01-06 12:00:00+00:00,90.707,90.689
2022-01-06 13:00:00+00:00,90.717,90.698
2022-01-06 14:00:00+00:00,90.774,90.749
2022-01-06 15:00:00+00:00,90.72,90.698
2022-01-06 16:00:00+00:00,90.889,90.871
2022-01-06 17:00:00+00:00,91.047,91.031
2022-01-06 18:00:00+00:00,91.046,91.029
2022-01-06 19:00:00+00:00,91.063,91.045
2022-01-06 20:00:00+00:00,91.065,91.048
2022-01-06 21:00:00+00:00,91.066,91.04
2022-01-06 22:00:00+00:00,91.099,90.951
2022-01-06 23:00:00+00:00,91.055,90.995
2022-01-07 00:00:00+00:00,91.156,91.137
2022-01-07 01:00:00+00:00,91.214,91.197
2022-01-07 02:00:00+00:00,91.15,91.131
