dt,ask,bid
2022-01-02 22:00:00+00:00,126.396,126.196
2022-01-02 23:00:00+00:00,126.298,126.204
2022-01-03 00:00:00+00:00,126.273,126.239
2022-01-03 01:00:00+00:00,126.229,126.195
2022-01-03 02:00:00+00:00,126.141,126.106
2022-01-03 03:00:00+00:00,126.099,126.066
2022-01-03 04:00:00+00:00,126.072,126.038
2022-01-03 05:00:00+00:00,126.067,126.033
2022-01-03 06:00:00+00:00,126.146,126.113
2022-01-03 07:00:00+00:00,126.183,126.148
2022-01-03 08:00:00+00:00,126.225,126.192
2022-01-03 09:00:00+00:00,126.283,126.25
2022-01-03 10:00:00+00:00,126.195,126.16
2022-01-03 11:00:00+00:00,126.145,126.112
2022-01-03 12:00:00+00:00,126.075,126.046
2022-01-03 13:00:00+00:00,125.93,125.897
2022-01-03 14:00:00+00:00,125.704,125.668
2022-01-03 15:00:00+00:00,125.515,125.481
2022-01-03 16:00:00+00:00,125.497,125.463
2022-01-03 17:00:00+00:00,125.455,125.422
2022-01-03 18:00:00+00:00,125.507,125.474
2022-01-03 19:00:00+00:00,125.565,125.532
2022-01-03 20:00:00+00:00,125.564,125.531
2022-01-03 21:00:00+00:00,125.559,125.522
2022-01-03 22:00:00+00:00,125.664,125.464
2022-01-03 23:00:00+00:00,125.593,125.498
2022-01-04 00:00:00+00:00,125.685,125.65
2022-01-04 01:00:00+00:00,125.786,125.751
2022-01-04 02:00:00+00:00,125.872,125.834
2022-01-04 03:00:00+00:00,125.96,125.924
2022-01-04 04:00:00+00:00,126.07,126.036
2022-01-04 05:00:00+00:00,126.112,126.076
2022-01-04 06:00:00+00:00,126.103,126.07
2022-01-04 07:00:00+00:00,126.0,125.966
2022-01-04 08:00:00+00:00,126.073,126.039
2022-01-04 09:00:00+00:00,126.186,126.154
2022-01-04 10:00:00+00:00,126.284,126.252
2022-01-04 11:00:00+00:00,126.387,126.355
2022-01-04 12:00:00+00:00,126.544,126.511
2022-01-04 13:00:00+00:00,126.703,126.673
2022-01-04 14:00:00+00:00,126.818,126.772
2022-01-04 15:00:00+00:00,126.965,126.925
2022-01-04 16:00:00+00:00,126.922,126.889
2022-01-04 17:00:00+00:00,126.892,126.859
