dt,ask,bid
2022-01-02 22:00:00+00:00,1.56571,1.56384
2022-01-02 23:00:00+00:00,1.56523,1.56427
2022-01-03 00:00:00+00:00,1.56428,1.56403
2022-01-03 01:00:00+00:00,1.56458,1.56434
2022-01-03 02:00:00+00:00,1.56484,1.56459
2022-01-03 03:00:00+00:00,1.56527,1.56502
2022-01-03 04:00:00+00:00,1.56498,1.56474
2022-01-03 05:00:00+00:00,1.56466,1.56442
2022-01-03 06:00:00+00:00,1.56447,1.56422
2022-01-03 07:00:00+00:00,1.56393,1.56365
2022-01-03 08:00:00+00:00,1.5629,1.56261
2022-01-03 09:00:00+00:00,1.56405,1.5638
2022-01-03 10:00:00+00:00,1.56572,1.56548
2022-01-03 11:00:00+00:00,1.56669,1.56646
2022-01-03 12:00:00+00:00,1.56757,1.56735
2022-01-03 13:00:00+00:00,1.57014,1.56992
2022-01-03 14:00:00+00:00,1.57152,1.57126
2022-01-03 15:00:00+00:00,1.57149,1.57125
2022-01-03 16:00:00+00:00,1.57012,1.56988
2022-01-03 17:00:00+00:00,1.56854,1.5683
2022-01-03 18:00:00+00:00,1.56856,1.56832
2022-01-03 19:00:00+00:00,1.57034,1.5701
2022-01-03 20:00:00+00:00,1.57163,1.57139
2022-01-03 21:00:00+00:00,1.57152,1.57121
2022-01-03 22:00:00+00:00,1.57187,1.57043
2022-01-03 23:00:00+00:00,1.57118,1.57061
2022-01-04 00:00:00+00:00,1.571,1.57074
2022-01-04 01:00:00+00:00,1.57039,1.57013
2022-01-04 02:00:00+00:00,1.57036,1.57013
2022-01-04 03:00:00+00:00,1.56928,1.56903
2022-01-04 04:00:00+00:00,1.56766,1.56742
2022-01-04 05:00:00+00:00,1.56732,1.56708
2022-01-04 06:00:00+00:00,1.5671,1.56687
2022-01-04 07:00:00+00:00,1.56668,1.56645
2022-01-04 08:00:00+00:00,1.56647,1.56624
2022-01-04 09:00:00+00:00,1.56677,1.56653
2022-01-04 10:00:00+00:00,1.56728,1.56703
2022-01-04 11:00:00+00:00,1.567,1.56679
2022-01-04 12:00:00+00:00,1.56791,1.56767
2022-01-04 13:00:00+00:00,1.56645,1.56621
2022-01-04 14:00:00+00:00,1.56465,1.56427
2022-01-04 15:00:00+00:00,1.56228,1.56188
2022-01-04 16:00:00+00:00,1.56059,1.56036
2022-01-04 17:00:00+00:00,1.5598,1.55956
2022-01-04 18:00:00+00:00,1.55989,1.55966
2022-01-04 19:00:00+00:00,1.55931,1.55906
2022-01-04 20:00:00+00:00,1.55867,1.55841
2022-01-04 21:00:00+00:00,1.55891,1.55857
2022-01-04 22:00:00+00:00,1.56045,1.55858
2022-01-04 23:00:00+00:00,1.55925,1.55864
2022-01-05 00:00:00+00:00,1.55841,1.55817
2022-01-05 01:00:00+00:00,1.55944,1.55922
2022-01-05 02:00:00+00:00,1.56082,1.56059
2022-01-05 03:00:00+00:00,1.56161,1.56138
2022-01-05 04:00:00+00:00,1.56116,1.56092
2022-01-05 05:00:00+00:00,1.56233,1.56207
2022-01-05 06:00:00+00:00,1.56246,1.56221
2022-01-05 07:00:00+00:00,1.56198,1.56173
2022-01-05 08:00:00+00:00,1.56173,1.56148
2022-01-05 09:00:00+00:00,1.56067,1.56042
2022-01-05 10:00:00+00:00,1.56013,1.55992
2022-01-05 11:00:00+00:00,1.56004,1.55982
2022-01-05 12:00:00+00:00,1.55986,1.55964
2022-01-05 13:00:00+00:00,1.55989,1.55966
2022-01-05 14:00:00+00:00,1.56069,1.56045
2022-01-05 15:00:00+00:00,1.56003,1.55981
2022-01-05 16:00:00+00:00,1.56056,1.56033
2022-01-05 17:00:00+00:00,1.5614,1.56116
2022-01-05 18:00:00+00:00,1.56169,1.56138
2022-01-05 19:00:00+00:00,1.56426,1.56396
2022-01-05 20:00:00+00:00,1.56621,1.56599
2022-01-05 21:00:00+00:00,1.56676,1.56639
2022-01-05 22:00:00+00:00,1.56757,1.56592
2022-01-05 23:00:00+00:00,1.56688,1.5663
2022-01-06 00:00:00+00:00,1.56719,1.56692
2022-01-06 01:00:00+00:00,1.56829,1.56805
2022-01-06 02:00:00+00:00,1.57013,1.56988
2022-01-06 03:00:00+00:00,1.5724,1.57215
2022-01-06 04:00:00+00:00,1.57534,1.57507
2022-01-06 05:00:00+00:00,1.57653,1.57628
2022-01-06 06:00:00+00:00,1.57718,1.57691
2022-01-06 07:00:00+00:00,1.5774,1.57717
2022-01-06 08:00:00+00:00,1.57888,1.57864
2022-01-06 09:00:00+00:00,1.57968,1.57948
2022-01-06 10:00:00+00:00,1.57821,1.578
2022-01-06 11:00:00+00:00,1.57793,1.5777
2022-01-06 12:00:00+00:00,1.57808,1.57782
2022-01-06 13:00:00+00:00,1.57897,1.57873
2022-01-06 14:00:00+00:00,1.58031,1.57994
2022-01-06 15:00:00+00:00,1.57943,1.57913
2022-01-06 16:00:00+00:00,1.57775,1.57751
2022-01-06 17:00:00+00:00,1.57689,1.57664
2022-01-06 18:00:00+00:00,1.57621,1.57598
2022-01-06 19:00:00+00:00,1.57583,1.5756
2022-01-06 20:00:00+00:00,1.57601,1.57579
2022-01-06 21:00:00+00:00,1.57696,1.57665
2022-01-06 22:00:00+00:00,1.57809,1.57619
2022-01-06 23:00:00+00:00,1.57755,1.57679
2022-01-07 00:00:00+00:00,1.57602,1.57579
2022-01-07 01:00:00+00:00,1.57535,1.57509
2022-01-07 02:00:00+00:00,1.57597,1.57571
2022-01-07 03:00:00+00:00,1.57638,1.57612
2022-01-07 04:00:00+00:00,1.57791,1.57767
2022-01-07 05:00:00+00:00,1.57815,1.57791
2022-01-07 06:00:00+00:00,1.57869,1.57846
2022-01-07 07:00:00+00:00,1.57992,1.57966
