dt,ask,bid
2022-01-02 22:00:00+00:00,1.43827,1.43677
2022-01-02 23:00:00+00:00,1.43898,1.43851
2022-01-03 00:00:00+00:00,1.43856,1.43837
2022-01-03 01:00:00+00:00,1.43797,1.43781
2022-01-03 02:00:00+00:00,1.43792,1.43776
2022-01-03 03:00:00+00:00,1.43844,1.43826
2022-01-03 04:00:00+00:00,1.43816,1.43795
2022-01-03 05:00:00+00:00,1.43776,1.43757
2022-01-03 06:00:00+00:00,1.43817,1.438
2022-01-03 07:00:00+00:00,1.43843,1.4382
2022-01-03 08:00:00+00:00,1.43786,1.43764
2022-01-03 09:00:00+00:00,1.43885,1.43868
2022-01-03 10:00:00+00:00,1.4398,1.43965
2022-01-03 11:00:00+00:00,1.4403,1.44015
2022-01-03 12:00:00+00:00,1.44024,1.44009
2022-01-03 13:00:00+00:00,1.44232,1.44216
2022-01-03 14:00:00+00:00,1.44178,1.44159
2022-01-03 15:00:00+00:00,1.44181,1.44162
2022-01-03 16:00:00+00:00,1.4409,1.44072
2022-01-03 17:00:00+00:00,1.43965,1.4395
2022-01-03 18:00:00+00:00,1.43955,1.4394
2022-01-03 19:00:00+00:00,1.44012,1.43996
2022-01-03 20:00:00+00:00,1.44058,1.44042
2022-01-03 21:00:00+00:00,1.44035,1.44015
2022-01-03 22:00:00+00:00,1.4411,1.43968
2022-01-03 23:00:00+00:00,1.44104,1.44042
2022-01-04 00:00:00+00:00,1.44131,1.44112
2022-01-04 01:00:00+00:00,1.44155,1.44136
2022-01-04 02:00:00+00:00,1.44134,1.44115
2022-01-04 03:00:00+00:00,1.44042,1.44022
2022-01-04 04:00:00+00:00,1.43925,1.43908
2022-01-04 05:00:00+00:00,1.43865,1.43851
2022-01-04 06:00:00+00:00,1.43835,1.43817
2022-01-04 07:00:00+00:00,1.43756,1.43733
2022-01-04 08:00:00+00:00,1.43853,1.43833
2022-01-04 09:00:00+00:00,1.4399,1.43973
2022-01-04 10:00:00+00:00,1.44017,1.44001
2022-01-04 11:00:00+00:00,1.43875,1.43858
2022-01-04 12:00:00+00:00,1.4386,1.43843
2022-01-04 13:00:00+00:00,1.43703,1.43689
2022-01-04 14:00:00+00:00,1.43522,1.43498
2022-01-04 15:00:00+00:00,1.43413,1.43394
2022-01-04 16:00:00+00:00,1.43444,1.43427
2022-01-04 17:00:00+00:00,1.43393,1.43379
2022-01-04 18:00:00+00:00,1.43424,1.43407
2022-01-04 19:00:00+00:00,1.43453,1.43437
2022-01-04 20:00:00+00:00,1.43435,1.43417
2022-01-04 21:00:00+00:00,1.43412,1.43391
2022-01-04 22:00:00+00:00,1.43447,1.43298
2022-01-04 23:00:00+00:00,1.43384,1.43313
2022-01-05 00:00:00+00:00,1.43306,1.4329
2022-01-05 01:00:00+00:00,1.43389,1.4337
2022-01-05 02:00:00+00:00,1.43523,1.43505
2022-01-05 03:00:00+00:00,1.43603,1.43586
2022-01-05 04:00:00+00:00,1.43576,1.43558
2022-01-05 05:00:00+00:00,1.43648,1.43631
2022-01-05 06:00:00+00:00,1.43649,1.4363
2022-01-05 07:00:00+00:00,1.43634,1.43619
2022-01-05 08:00:00+00:00,1.43714,1.43695
2022-01-05 09:00:00+00:00,1.43737,1.43715
2022-01-05 10:00:00+00:00,1.43804,1.43786
2022-01-05 11:00:00+00:00,1.43957,1.4394
2022-01-05 12:00:00+00:00,1.43991,1.43974
2022-01-05 13:00:00+00:00,1.43923,1.43907
2022-01-05 14:00:00+00:00,1.43993,1.43977
2022-01-05 15:00:00+00:00,1.44013,1.43996
2022-01-05 16:00:00+00:00,1.43968,1.43952
2022-01-05 17:00:00+00:00,1.44072,1.44056
2022-01-05 18:00:00+00:00,1.44067,1.44045
2022-01-05 19:00:00+00:00,1.44181,1.44159
2022-01-05 20:00:00+00:00,1.44348,1.4433
2022-01-05 21:00:00+00:00,1.4432,1.44303
2022-01-05 22:00:00+00:00,1.44364,1.44254
2022-01-05 23:00:00+00:00,1.44336,1.44293
2022-01-06 00:00:00+00:00,1.44345,1.44325
2022-01-06 01:00:00+00:00,1.44425,1.44406
2022-01-06 02:00:00+00:00,1.44513,1.44495
2022-01-06 03:00:00+00:00,1.44597,1.44577
2022-01-06 04:00:00+00:00,1.44689,1.4467
2022-01-06 05:00:00+00:00,1.44674,1.44654
2022-01-06 06:00:00+00:00,1.4463,1.44608
2022-01-06 07:00:00+00:00,1.44564,1.44542
2022-01-06 08:00:00+00:00,1.4462,1.44603
2022-01-06 09:00:00+00:00,1.4458,1.44565
2022-01-06 10:00:00+00:00,1.44454,1.4444
2022-01-06 11:00:00+00:00,1.44511,1.44494
2022-01-06 12:00:00+00:00,1.44485,1.44465
2022-01-06 13:00:00+00:00,1.44413,1.44394
2022-01-06 14:00:00+00:00,1.44409,1.44388
2022-01-06 15:00:00+00:00,1.44257,1.44236
2022-01-06 16:00:00+00:00,1.43973,1.43956
2022-01-06 17:00:00+00:00,1.4376,1.43742
2022-01-06 18:00:00+00:00,1.43693,1.43676
2022-01-06 19:00:00+00:00,1.43717,1.43699
2022-01-06 20:00:00+00:00,1.43727,1.43709
2022-01-06 21:00:00+00:00,1.4375,1.43731
2022-01-06 22:00:00+00:00,1.43846,1.43705
2022-01-06 23:00:00+00:00,1.43809,1.43755
2022-01-07 00:00:00+00:00,1.43677,1.43659
2022-01-07 01:00:00+00:00,1.43613,1.43596
2022-01-07 02:00:00+00:00,1.43659,1.4364
2022-01-07 03:00:00+00:00,1.43658,1.43641
2022-01-07 04:00:00+00:00,1.43657,1.43639
2022-01-07 05:00:00+00:00,1.43663,1.43648
2022-01-07 06:00:00+00:00,1.43661,1.43643
2022-01-07 07:00:00+00:00,1.43785,1.43765
2022-01-07 08:00:00+00:00,1.43911,1.43893
2022-01-07 09:00:00+00:00,1.43901,1.43877
2022-01-07 10:00:00+00:00,1.4379,1.43767
2022-01-07 11:00:00+00:00,1.43771,1.43752
2022-01-07 12:00:00+00:00,1.43759,1.43742
2022-01-07 13:00:00+00:00,1.43704,1.43682
2022-01-07 14:00:00+00:00,1.43807,1.4379
2022-01-07 15:00:00+00:00,1.43802,1.43786
2022-01-07 16:00:00+00:00,1.43673,1.43657
2022-01-07 17:00:00+00:00,1.43639,1.43625
2022-01-07 18:00:00+00:00,1.43605,1.43589
2022-01-07 19:00:00+00:00,1.4358,1.43564
2022-01-07 20:00:00+00:00,1.43598,1.43583
