dt,ask,bid
2022-01-02 22:00:00+00:00,1.03783,1.03633
2022-01-02 23:00:00+00:00,1.03766,1.03697
2022-01-03 00:00:00+00:00,1.03741,1.03721
2022-01-03 01:00:00+00:00,1.03733,1.03714
2022-01-03 02:00:00+00:00,1.03717,1.03699
2022-01-03 03:00:00+00:00,1.03745,1.03726
2022-01-03 04:00:00+00:00,1.0375,1.03727
2022-01-03 05:00:00+00:00,1.03727,1.03706
2022-01-03 06:00:00+00:00,1.03715,1.03693
2022-01-03 07:00:00+00:00,1.03703,1.03683
2022-01-03 08:00:00+00:00,1.03632,1.03613
2022-01-03 09:00:00+00:00,1.03549,1.03532
2022-01-03 10:00:00+00:00,1.03607,1.03591
2022-01-03 11:00:00+00:00,1.03609,1.03592
2022-01-03 12:00:00+00:00,1.03672,1.03656
2022-01-03 13:00:00+00:00,1.038,1.03783
2022-01-03 14:00:00+00:00,1.03848,1.03832
2022-01-03 15:00:00+00:00,1.03799,1.03783
2022-01-03 16:00:00+00:00,1.03741,1.03726
2022-01-03 17:00:00+00:00,1.03732,1.03716
2022-01-03 18:00:00+00:00,1.03747,1.03731
2022-01-03 19:00:00+00:00,1.03757,1.03742
2022-01-03 20:00:00+00:00,1.03777,1.03763
2022-01-03 21:00:00+00:00,1.03808,1.03789
2022-01-03 22:00:00+00:00,1.0388,1.0373
2022-01-03 23:00:00+00:00,1.03826,1.03758
2022-01-04 00:00:00+00:00,1.03784,1.03764
2022-01-04 01:00:00+00:00,1.03758,1.03739
2022-01-04 02:00:00+00:00,1.03773,1.03754
2022-01-04 03:00:00+00:00,1.03801,1.03783
2022-01-04 04:00:00+00:00,1.03781,1.03763
2022-01-04 05:00:00+00:00,1.03786,1.03766
2022-01-04 06:00:00+00:00,1.03744,1.03726
2022-01-04 07:00:00+00:00,1.03754,1.03735
2022-01-04 08:00:00+00:00,1.0373,1.03713
2022-01-04 09:00:00+00:00,1.03744,1.03729
2022-01-04 10:00:00+00:00,1.03684,1.0367
