dt,ask,bid
2022-01-02 22:00:00+00:00,0.84124,0.8399
2022-01-02 23:00:00+00:00,0.84112,0.84053
2022-01-03 00:00:00+00:00,0.84079,0.84064
2022-01-03 01:00:00+00:00,0.8404,0.84023
2022-01-03 02:00:00+00:00,0.84015,0.84
2022-01-03 03:00:00+00:00,0.84045,0.84031
2022-01-03 04:00:00+00:00,0.8404,0.84024
2022-01-03 05:00:00+00:00,0.84007,0.83991
2022-01-03 06:00:00+00:00,0.83998,0.83983
2022-01-03 07:00:00+00:00,0.84017,0.84001
2022-01-03 08:00:00+00:00,0.83954,0.83938
2022-01-03 09:00:00+00:00,0.83955,0.83938
2022-01-03 10:00:00+00:00,0.84027,0.84012
2022-01-03 11:00:00+00:00,0.84052,0.84038
2022-01-03 12:00:00+00:00,0.8408,0.84066
2022-01-03 13:00:00+00:00,0.84144,0.8413
2022-01-03 14:00:00+00:00,0.84067,0.84052
2022-01-03 15:00:00+00:00,0.84011,0.83996
2022-01-03 16:00:00+00:00,0.83901,0.83887
2022-01-03 17:00:00+00:00,0.83788,0.83773
2022-01-03 18:00:00+00:00,0.83787,0.83772
2022-01-03 19:00:00+00:00,0.83796,0.8378
2022-01-03 20:00:00+00:00,0.83811,0.83796
2022-01-03 21:00:00+00:00,0.83826,0.83806
2022-01-03 22:00:00+00:00,0.83869,0.83746
2022-01-03 23:00:00+00:00,0.83847,0.83797
2022-01-04 00:00:00+00:00,0.83873,0.83858
2022-01-04 01:00:00+00:00,0.83883,0.83867
2022-01-04 02:00:00+00:00,0.83895,0.83879
2022-01-04 03:00:00+00:00,0.83911,0.83895
2022-01-04 04:00:00+00:00,0.83908,0.83893
2022-01-04 05:00:00+00:00,0.83927,0.83913
2022-01-04 06:00:00+00:00,0.83911,0.83895
2022-01-04 07:00:00+00:00,0.83786,0.8377
2022-01-04 08:00:00+00:00,0.83705,0.8369
2022-01-04 09:00:00+00:00,0.83671,0.83656
2022-01-04 10:00:00+00:00,0.83668,0.83654
2022-01-04 11:00:00+00:00,0.83613,0.836
2022-01-04 12:00:00+00:00,0.83606,0.83592
2022-01-04 13:00:00+00:00,0.83536,0.83522
2022-01-04 14:00:00+00:00,0.83483,0.83464
2022-01-04 15:00:00+00:00,0.83475,0.83458
2022-01-04 16:00:00+00:00,0.83437,0.83422
2022-01-04 17:00:00+00:00,0.83424,0.83409
2022-01-04 18:00:00+00:00,0.83434,0.83419
2022-01-04 19:00:00+00:00,0.83419,0.83404
2022-01-04 20:00:00+00:00,0.83416,0.834
2022-01-04 21:00:00+00:00,0.83434,0.83411
2022-01-04 22:00:00+00:00,0.83472,0.83386
2022-01-04 23:00:00+00:00,0.83434,0.83393
2022-01-05 00:00:00+00:00,0.83378,0.83362
2022-01-05 01:00:00+00:00,0.8337,0.83355
2022-01-05 02:00:00+00:00,0.83421,0.83406
2022-01-05 03:00:00+00:00,0.83473,0.83459
2022-01-05 04:00:00+00:00,0.83477,0.83462
