dt,ask,bid
2022-01-02 22:00:00+00:00,130.991,130.855
2022-01-02 23:00:00+00:00,130.974,130.932
2022-01-03 00:00:00+00:00,130.975,130.956
2022-01-03 01:00:00+00:00,130.911,130.892
2022-01-03 02:00:00+00:00,130.809,130.789
2022-01-03 03:00:00+00:00,130.808,130.789
2022-01-03 04:00:00+00:00,130.77,130.751
2022-01-03 05:00:00+00:00,130.744,130.725
2022-01-03 06:00:00+00:00,130.805,130.788
2022-01-03 07:00:00+00:00,130.82,130.801
2022-01-03 08:00:00+00:00,130.789,130.769
2022-01-03 09:00:00+00:00,130.749,130.731
2022-01-03 10:00:00+00:00,130.727,130.709
2022-01-03 11:00:00+00:00,130.684,130.666
2022-01-03 12:00:00+00:00,130.69,130.673
2022-01-03 13:00:00+00:00,130.68,130.661
2022-01-03 14:00:00+00:00,130.505,130.486
2022-01-03 15:00:00+00:00,130.276,130.257
2022-01-03 16:00:00+00:00,130.161,130.143
2022-01-03 17:00:00+00:00,130.121,130.103
2022-01-03 18:00:00+00:00,130.19,130.174
2022-01-03 19:00:00+00:00,130.268,130.251
2022-01-03 20:00:00+00:00,130.295,130.277
2022-01-03 21:00:00+00:00,130.317,130.298
2022-01-03 22:00:00+00:00,130.316,130.226
2022-01-03 23:00:00+00:00,130.33,130.297
2022-01-04 00:00:00+00:00,130.425,130.407
2022-01-04 01:00:00+00:00,130.49,130.472
2022-01-04 02:00:00+00:00,130.598,130.581
2022-01-04 03:00:00+00:00,130.725,130.707
2022-01-04 04:00:00+00:00,130.813,130.795
2022-01-04 05:00:00+00:00,130.864,130.846
2022-01-04 06:00:00+00:00,130.809,130.791
2022-01-04 07:00:00+00:00,130.702,130.684
2022-01-04 08:00:00+00:00,130.764,130.747
2022-01-04 09:00:00+00:00,130.875,130.858
2022-01-04 10:00:00+00:00,130.93,130.914
2022-01-04 11:00:00+00:00,130.967,130.949
2022-01-04 12:00:00+00:00,131.077,131.061
2022-01-04 13:00:00+00:00,131.174,131.156
2022-01-04 14:00:00+00:00,131.189,131.164
2022-01-04 15:00:00+00:00,131.3,131.276
2022-01-04 16:00:00+00:00,131.22,131.202
2022-01-04 17:00:00+00:00,131.201,131.183
2022-01-04 18:00:00+00:00,131.111,131.094
2022-01-04 19:00:00+00:00,131.073,131.057
2022-01-04 20:00:00+00:00,131.043,131.026
2022-01-04 21:00:00+00:00,131.075,131.046
2022-01-04 22:00:00+00:00,131.11,130.988
2022-01-04 23:00:00+00:00,131.11,131.072
2022-01-05 00:00:00+00:00,131.065,131.047
2022-01-05 01:00:00+00:00,130.976,130.958
2022-01-05 02:00:00+00:00,130.972,130.954
2022-01-05 03:00:00+00:00,131.009,130.992
2022-01-05 04:00:00+00:00,131.018,131.001
2022-01-05 05:00:00+00:00,131.028,131.01
2022-01-05 06:00:00+00:00,131.034,131.015
2022-01-05 07:00:00+00:00,131.074,131.057
2022-01-05 08:00:00+00:00,131.069,131.052
2022-01-05 09:00:00+00:00,131.007,130.988
2022-01-05 10:00:00+00:00,130.953,130.935
2022-01-05 11:00:00+00:00,130.948,130.928
2022-01-05 12:00:00+00:00,130.962,130.943
2022-01-05 13:00:00+00:00,131.063,131.045
2022-01-05 14:00:00+00:00,131.171,131.153
2022-01-05 15:00:00+00:00,131.266,131.249
2022-01-05 16:00:00+00:00,131.342,131.325
2022-01-05 17:00:00+00:00,131.486,131.469
2022-01-05 18:00:00+00:00,131.542,131.524
2022-01-05 19:00:00+00:00,131.445,131.427
2022-01-05 20:00:00+00:00,131.354,131.336
2022-01-05 21:00:00+00:00,131.355,131.331
2022-01-05 22:00:00+00:00,131.407,131.304
2022-01-05 23:00:00+00:00,131.36,131.325
2022-01-06 00:00:00+00:00,131.32,131.301
2022-01-06 01:00:00+00:00,131.224,131.205
2022-01-06 02:00:00+00:00,131.206,131.188
2022-01-06 03:00:00+00:00,131.158,131.14
2022-01-06 04:00:00+00:00,131.104,131.087
2022-01-06 05:00:00+00:00,131.072,131.054
2022-01-06 06:00:00+00:00,130.967,130.947
2022-01-06 07:00:00+00:00,130.861,130.844
2022-01-06 08:00:00+00:00,130.797,130.781
2022-01-06 09:00:00+00:00,130.825,130.808
2022-01-06 10:00:00+00:00,131.029,131.012
2022-01-06 11:00:00+00:00,131.029,131.01
2022-01-06 12:00:00+00:00,131.039,131.018
2022-01-06 13:00:00+00:00,130.99,130.97
2022-01-06 14:00:00+00:00,131.065,131.036
2022-01-06 15:00:00+00:00,130.897,130.87
2022-01-06 16:00:00+00:00,130.839,130.822
2022-01-06 17:00:00+00:00,130.871,130.855
2022-01-06 18:00:00+00:00,130.813,130.798
2022-01-06 19:00:00+00:00,130.866,130.849
2022-01-06 20:00:00+00:00,130.877,130.859
2022-01-06 21:00:00+00:00,130.895,130.872
2022-01-06 22:00:00+00:00,130.914,130.815
2022-01-06 23:00:00+00:00,130.895,130.87
