dt,ask,bid
2022-01-02 22:00:00+00:00,1.66638,1.66036
2022-01-02 23:00:00+00:00,1.66507,1.66221
2022-01-03 00:00:00+00:00,1.66099,1.66033
2022-01-03 01:00:00+00:00,1.66039,1.65973
2022-01-03 02:00:00+00:00,1.66095,1.66027
2022-01-03 03:00:00+00:00,1.66123,1.66054
2022-01-03 04:00:00+00:00,1.66086,1.6602
2022-01-03 05:00:00+00:00,1.66055,1.65985
2022-01-03 06:00:00+00:00,1.66018,1.65953
2022-01-03 07:00:00+00:00,1.66019,1.65951
2022-01-03 08:00:00+00:00,1.65906,1.65843
2022-01-03 09:00:00+00:00,1.66082,1.66022
2022-01-03 10:00:00+00:00,1.66319,1.66257
2022-01-03 11:00:00+00:00,1.66313,1.66249
2022-01-03 12:00:00+00:00,1.66344,1.66283
2022-01-03 13:00:00+00:00,1.66684,1.66618
2022-01-03 14:00:00+00:00,1.66777,1.66714
2022-01-03 15:00:00+00:00,1.66689,1.66626
2022-01-03 16:00:00+00:00,1.66501,1.6644
2022-01-03 17:00:00+00:00,1.66292,1.66228
2022-01-03 18:00:00+00:00,1.66241,1.66179
2022-01-03 19:00:00+00:00,1.66383,1.66319
2022-01-03 20:00:00+00:00,1.66506,1.66437
2022-01-03 21:00:00+00:00,1.66545,1.66459
2022-01-03 22:00:00+00:00,1.66729,1.66321
2022-01-03 23:00:00+00:00,1.66569,1.66422
2022-01-04 00:00:00+00:00,1.6646,1.66394
2022-01-04 01:00:00+00:00,1.66471,1.66408
2022-01-04 02:00:00+00:00,1.66502,1.66439
2022-01-04 03:00:00+00:00,1.66482,1.66419
2022-01-04 04:00:00+00:00,1.66433,1.66373
2022-01-04 05:00:00+00:00,1.66381,1.66316
2022-01-04 06:00:00+00:00,1.66363,1.66303
2022-01-04 07:00:00+00:00,1.663,1.66235
2022-01-04 08:00:00+00:00,1.66305,1.66239
2022-01-04 09:00:00+00:00,1.66313,1.66253
2022-01-04 10:00:00+00:00,1.66408,1.66346
2022-01-04 11:00:00+00:00,1.66484,1.6642
2022-01-04 12:00:00+00:00,1.66605,1.66541
2022-01-04 13:00:00+00:00,1.66497,1.66437
2022-01-04 14:00:00+00:00,1.66239,1.66157
2022-01-04 15:00:00+00:00,1.66025,1.65944
2022-01-04 16:00:00+00:00,1.65959,1.65901
2022-01-04 17:00:00+00:00,1.65917,1.65856
2022-01-04 18:00:00+00:00,1.65893,1.65831
2022-01-04 19:00:00+00:00,1.65848,1.65781
2022-01-04 20:00:00+00:00,1.65776,1.65711
2022-01-04 21:00:00+00:00,1.65775,1.65702
2022-01-04 22:00:00+00:00,1.66065,1.65699
2022-01-04 23:00:00+00:00,1.65771,1.65637
2022-01-05 00:00:00+00:00,1.65588,1.65521
2022-01-05 01:00:00+00:00,1.65735,1.65673
2022-01-05 02:00:00+00:00,1.65943,1.65879
2022-01-05 03:00:00+00:00,1.66008,1.65943
2022-01-05 04:00:00+00:00,1.65978,1.65913
2022-01-05 05:00:00+00:00,1.66022,1.65962
2022-01-05 06:00:00+00:00,1.66078,1.66019
2022-01-05 07:00:00+00:00,1.66155,1.66094
2022-01-05 08:00:00+00:00,1.66172,1.66112
2022-01-05 09:00:00+00:00,1.66072,1.66011
2022-01-05 10:00:00+00:00,1.66103,1.6604
2022-01-05 11:00:00+00:00,1.66053,1.65988
2022-01-05 12:00:00+00:00,1.65972,1.65906
2022-01-05 13:00:00+00:00,1.65979,1.65913
2022-01-05 14:00:00+00:00,1.65992,1.6593
2022-01-05 15:00:00+00:00,1.65984,1.65921
2022-01-05 16:00:00+00:00,1.66045,1.65984
2022-01-05 17:00:00+00:00,1.66099,1.66038
2022-01-05 18:00:00+00:00,1.66138,1.66046
2022-01-05 19:00:00+00:00,1.66339,1.66265
2022-01-05 20:00:00+00:00,1.66494,1.66428
2022-01-05 21:00:00+00:00,1.66476,1.66398
2022-01-05 22:00:00+00:00,1.66584,1.66336
2022-01-05 23:00:00+00:00,1.66557,1.6645
2022-01-06 00:00:00+00:00,1.66589,1.66524
2022-01-06 01:00:00+00:00,1.66642,1.6658
2022-01-06 02:00:00+00:00,1.66846,1.66782
2022-01-06 03:00:00+00:00,1.67104,1.67039
2022-01-06 04:00:00+00:00,1.67306,1.67243
2022-01-06 05:00:00+00:00,1.67454,1.67393
2022-01-06 06:00:00+00:00,1.67534,1.67472
2022-01-06 07:00:00+00:00,1.67529,1.67467
2022-01-06 08:00:00+00:00,1.67563,1.67503
2022-01-06 09:00:00+00:00,1.67564,1.67504
2022-01-06 10:00:00+00:00,1.67363,1.67302
2022-01-06 11:00:00+00:00,1.67325,1.6726
2022-01-06 12:00:00+00:00,1.67445,1.67379
2022-01-06 13:00:00+00:00,1.67609,1.6754
2022-01-06 14:00:00+00:00,1.67746,1.67664
2022-01-06 15:00:00+00:00,1.67677,1.67607
2022-01-06 16:00:00+00:00,1.67552,1.67488
2022-01-06 17:00:00+00:00,1.67447,1.67383
2022-01-06 18:00:00+00:00,1.67438,1.67375
2022-01-06 19:00:00+00:00,1.67476,1.67412
2022-01-06 20:00:00+00:00,1.67455,1.6739
2022-01-06 21:00:00+00:00,1.67439,1.67364
2022-01-06 22:00:00+00:00,1.67644,1.67284
2022-01-06 23:00:00+00:00,1.67592,1.67472
2022-01-07 00:00:00+00:00,1.67535,1.67465
2022-01-07 01:00:00+00:00,1.67418,1.67354
2022-01-07 02:00:00+00:00,1.67332,1.67268
2022-01-07 03:00:00+00:00,1.67303,1.67238
2022-01-07 04:00:00+00:00,1.67375,1.67305
2022-01-07 05:00:00+00:00,1.6739,1.67325
2022-01-07 06:00:00+00:00,1.67381,1.67314
2022-01-07 07:00:00+00:00,1.67462,1.67402
2022-01-07 08:00:00+00:00,1.67585,1.67524
2022-01-07 09:00:00+00:00,1.67627,1.6756
2022-01-07 10:00:00+00:00,1.67528,1.67463
2022-01-07 11:00:00+00:00,1.67447,1.67386
2022-01-07 12:00:00+00:00,1.6746,1.67397
2022-01-07 13:00:00+00:00,1.67574,1.67502
2022-01-07 14:00:00+00:00,1.6758,1.6751
2022-01-07 15:00:00+00:00,1.67798,1.67737
2022-01-07 16:00:00+00:00,1.67737,1.67677
2022-01-07 17:00:00+00:00,1.6767,1.67605
2022-01-07 18:00:00+00:00,1.67694,1.67632
2022-01-07 19:00:00+00:00,1.67692,1.67632
2022-01-07 20:00:00+00:00,1.67713,1.67643
2022-01-07 21:00:00+00:00,1.67758,1.67505
2022-01-09 22:00:00+00:00,1.67891,1.67528
2022-01-09 23:00:00+00:00,1.67736,1.67556
2022-01-10 00:00:00+00:00,1.67607,1.67538
2022-01-10 01:00:00+00:00,1.67562,1.67497
2022-01-10 02:00:00+00:00,1.67463,1.67397
2022-01-10 03:00:00+00:00,1.67443,1.67376
2022-01-10 04:00:00+00:00,1.67433,1.67367
2022-01-10 05:00:00+00:00,1.67444,1.67382
2022-01-10 06:00:00+00:00,1.67392,1.67332
2022-01-10 07:00:00+00:00,1.67214,1.67152
2022-01-10 08:00:00+00:00,1.67345,1.67282
2022-01-10 09:00:00+00:00,1.67371,1.67307
2022-01-10 10:00:00+00:00,1.67281,1.67218
2022-01-10 11:00:00+00:00,1.67339,1.67275
2022-01-10 12:00:00+00:00,1.67448,1.67384
2022-01-10 13:00:00+00:00,1.67486,1.67422
2022-01-10 14:00:00+00:00,1.67568,1.67505
2022-01-10 15:00:00+00:00,1.67789,1.67726
2022-01-10 16:00:00+00:00,1.6778,1.67714
2022-01-10 17:00:00+00:00,1.67835,1.67772
2022-01-10 18:00:00+00:00,1.67732,1.67673
2022-01-10 19:00:00+00:00,1.67679,1.67617
2022-01-10 20:00:00+00:00,1.6758,1.6752
2022-01-10 21:00:00+00:00,1.67568,1.67492
2022-01-10 22:00:00+00:00,1.67674,1.67379
2022-01-10 23:00:00+00:00,1.67563,1.67452
2022-01-11 00:00:00+00:00,1.67462,1.67393
2022-01-11 01:00:00+00:00,1.67639,1.67574
2022-01-11 02:00:00+00:00,1.67605,1.67542
2022-01-11 03:00:00+00:00,1.67531,1.67468
2022-01-11 04:00:00+00:00,1.67575,1.67514
2022-01-11 05:00:00+00:00,1.67537,1.67465
2022-01-11 06:00:00+00:00,1.67657,1.67591
2022-01-11 07:00:00+00:00,1.67623,1.6756
2022-01-11 08:00:00+00:00,1.67581,1.67515
2022-01-11 09:00:00+00:00,1.67417,1.67355
2022-01-11 10:00:00+00:00,1.67448,1.67386
2022-01-11 11:00:00+00:00,1.67649,1.67587
2022-01-11 12:00:00+00:00,1.67729,1.67663
2022-01-11 13:00:00+00:00,1.67774,1.67711
2022-01-11 14:00:00+00:00,1.67846,1.67781
2022-01-11 15:00:00+00:00,1.67851,1.67788
2022-01-11 16:00:00+00:00,1.67835,1.67775
2022-01-11 17:00:00+00:00,1.67713,1.6765
2022-01-11 18:00:00+00:00,1.67553,1.6749
2022-01-11 19:00:00+00:00,1.67557,1.67498
2022-01-11 20:00:00+00:00,1.67591,1.67529
2022-01-11 21:00:00+00:00,1.6759,1.675
2022-01-11 22:00:00+00:00,1.67683,1.67436
2022-01-11 23:00:00+00:00,1.67629,1.67511
2022-01-12 00:00:00+00:00,1.6758,1.67517
2022-01-12 01:00:00+00:00,1.67618,1.67551
2022-01-12 02:00:00+00:00,1.67601,1.67536
2022-01-12 03:00:00+00:00,1.67527,1.67466
2022-01-12 04:00:00+00:00,1.67519,1.67458
2022-01-12 05:00:00+00:00,1.67488,1.67415
2022-01-12 06:00:00+00:00,1.67429,1.67359
2022-01-12 07:00:00+00:00,1.67501,1.67435
2022-01-12 08:00:00+00:00,1.67636,1.67574
2022-01-12 09:00:00+00:00,1.67632,1.67573
2022-01-12 10:00:00+00:00,1.67571,1.67512
2022-01-12 11:00:00+00:00,1.67603,1.67538
2022-01-12 12:00:00+00:00,1.67702,1.67634
2022-01-12 13:00:00+00:00,1.67634,1.67564
2022-01-12 14:00:00+00:00,1.67312,1.67249
2022-01-12 15:00:00+00:00,1.67044,1.66985
2022-01-12 16:00:00+00:00,1.66999,1.66939
2022-01-12 17:00:00+00:00,1.67062,1.67002
2022-01-12 18:00:00+00:00,1.67196,1.67131
2022-01-12 19:00:00+00:00,1.67146,1.67087
2022-01-12 20:00:00+00:00,1.67081,1.67023
2022-01-12 21:00:00+00:00,1.67082,1.67013
2022-01-12 22:00:00+00:00,1.6736,1.67003
2022-01-12 23:00:00+00:00,1.67149,1.6705
2022-01-13 00:00:00+00:00,1.67033,1.66968
