dt,ask,bid
2022-01-02 22:00:00+00:00,1.13769,1.1369
2022-01-02 23:00:00+00:00,1.1376,1.13725
2022-01-03 00:00:00+00:00,1.13675,1.1366
2022-01-03 01:00:00+00:00,1.13598,1.13583
2022-01-03 02:00:00+00:00,1.13498,1.13483
2022-01-03 03:00:00+00:00,1.13469,1.13454
2022-01-03 04:00:00+00:00,1.13442,1.13428
2022-01-03 05:00:00+00:00,1.13395,1.13381
2022-01-03 06:00:00+00:00,1.13424,1.13411
2022-01-03 07:00:00+00:00,1.13457,1.13443
2022-01-03 08:00:00+00:00,1.13457,1.13442
2022-01-03 09:00:00+00:00,1.13492,1.13477
2022-01-03 10:00:00+00:00,1.13552,1.13539
2022-01-03 11:00:00+00:00,1.13577,1.13563
2022-01-03 12:00:00+00:00,1.13565,1.13551
2022-01-03 13:00:00+00:00,1.13548,1.13535
2022-01-03 14:00:00+00:00,1.13238,1.13224
2022-01-03 15:00:00+00:00,1.12987,1.12972
2022-01-03 16:00:00+00:00,1.1291,1.12896
2022-01-03 17:00:00+00:00,1.12859,1.12844
2022-01-03 18:00:00+00:00,1.12915,1.12901
2022-01-03 19:00:00+00:00,1.12973,1.12959
2022-01-03 20:00:00+00:00,1.12975,1.12962
2022-01-03 21:00:00+00:00,1.12978,1.12963
2022-01-03 22:00:00+00:00,1.12982,1.12939
2022-01-03 23:00:00+00:00,1.13005,1.12984
2022-01-04 00:00:00+00:00,1.13051,1.13036
2022-01-04 01:00:00+00:00,1.13066,1.13051
2022-01-04 02:00:00+00:00,1.13048,1.13034
2022-01-04 03:00:00+00:00,1.13003,1.12989
2022-01-04 04:00:00+00:00,1.1301,1.12996
2022-01-04 05:00:00+00:00,1.13041,1.13027
2022-01-04 06:00:00+00:00,1.12989,1.12975
2022-01-04 07:00:00+00:00,1.12916,1.12901
2022-01-04 08:00:00+00:00,1.12925,1.12912
2022-01-04 09:00:00+00:00,1.12978,1.12964
2022-01-04 10:00:00+00:00,1.1299,1.12976
2022-01-04 11:00:00+00:00,1.12847,1.12833
2022-01-04 12:00:00+00:00,1.12764,1.1275
2022-01-04 13:00:00+00:00,1.128,1.12787
2022-01-04 14:00:00+00:00,1.1284,1.12825
2022-01-04 15:00:00+00:00,1.13028,1.13011
2022-01-04 16:00:00+00:00,1.13006,1.12992
2022-01-04 17:00:00+00:00,1.1294,1.12926
2022-01-04 18:00:00+00:00,1.12864,1.1285
2022-01-04 19:00:00+00:00,1.12861,1.12847
2022-01-04 20:00:00+00:00,1.12862,1.12848
2022-01-04 21:00:00+00:00,1.12859,1.12843
2022-01-04 22:00:00+00:00,1.12896,1.1282
2022-01-04 23:00:00+00:00,1.12857,1.12825
2022-01-05 00:00:00+00:00,1.12808,1.12794
2022-01-05 01:00:00+00:00,1.12838,1.12823
2022-01-05 02:00:00+00:00,1.12906,1.12892
2022-01-05 03:00:00+00:00,1.12951,1.12936
2022-01-05 04:00:00+00:00,1.12923,1.12909
2022-01-05 05:00:00+00:00,1.12924,1.12911
2022-01-05 06:00:00+00:00,1.12967,1.12953
2022-01-05 07:00:00+00:00,1.12989,1.12975
2022-01-05 08:00:00+00:00,1.13032,1.13018
2022-01-05 09:00:00+00:00,1.13056,1.13041
2022-01-05 10:00:00+00:00,1.1309,1.13075
2022-01-05 11:00:00+00:00,1.1316,1.13146
2022-01-05 12:00:00+00:00,1.13139,1.13124
2022-01-05 13:00:00+00:00,1.13182,1.13168
2022-01-05 14:00:00+00:00,1.13318,1.13304
2022-01-05 15:00:00+00:00,1.1338,1.13366
2022-01-05 16:00:00+00:00,1.13342,1.13329
2022-01-05 17:00:00+00:00,1.134,1.13386
2022-01-05 18:00:00+00:00,1.13401,1.13384
2022-01-05 19:00:00+00:00,1.13221,1.13205
2022-01-05 20:00:00+00:00,1.13104,1.13088
2022-01-05 21:00:00+00:00,1.13125,1.13109
2022-01-05 22:00:00+00:00,1.13145,1.13082
