dt,ask,bid
2022-01-02 22:00:00+00:00,1.86306,1.86156
2022-01-02 23:00:00+00:00,1.86134,1.86051
2022-01-03 00:00:00+00:00,1.86053,1.86016
2022-01-03 01:00:00+00:00,1.86194,1.86155
2022-01-03 02:00:00+00:00,1.86279,1.86243
2022-01-03 03:00:00+00:00,1.86267,1.86234
2022-01-03 04:00:00+00:00,1.86238,1.86204
2022-01-03 05:00:00+00:00,1.8628,1.86239
2022-01-03 06:00:00+00:00,1.86268,1.86229
2022-01-03 07:00:00+00:00,1.86165,1.86128
2022-01-03 08:00:00+00:00,1.86194,1.8616
2022-01-03 09:00:00+00:00,1.86306,1.86273
2022-01-03 10:00:00+00:00,1.86357,1.86322
2022-01-03 11:00:00+00:00,1.86418,1.86382
2022-01-03 12:00:00+00:00,1.8646,1.86425
2022-01-03 13:00:00+00:00,1.86628,1.86594
2022-01-03 14:00:00+00:00,1.86956,1.86925
2022-01-03 15:00:00+00:00,1.87064,1.87032
2022-01-03 16:00:00+00:00,1.87158,1.87123
2022-01-03 17:00:00+00:00,1.87231,1.87198
2022-01-03 18:00:00+00:00,1.8723,1.87194
2022-01-03 19:00:00+00:00,1.87425,1.87392
2022-01-03 20:00:00+00:00,1.8754,1.87507
2022-01-03 21:00:00+00:00,1.87506,1.87465
2022-01-03 22:00:00+00:00,1.87505,1.87355
2022-01-03 23:00:00+00:00,1.87442,1.87365
2022-01-04 00:00:00+00:00,1.8731,1.87276
2022-01-04 01:00:00+00:00,1.87234,1.87197
2022-01-04 02:00:00+00:00,1.87207,1.87172
2022-01-04 03:00:00+00:00,1.87036,1.87002
2022-01-04 04:00:00+00:00,1.86841,1.86808
2022-01-04 05:00:00+00:00,1.86771,1.86736
2022-01-04 06:00:00+00:00,1.8677,1.86737
2022-01-04 07:00:00+00:00,1.86992,1.86961
2022-01-04 08:00:00+00:00,1.87161,1.8713
2022-01-04 09:00:00+00:00,1.87277,1.87245
2022-01-04 10:00:00+00:00,1.87325,1.87293
2022-01-04 11:00:00+00:00,1.87421,1.87388
2022-01-04 12:00:00+00:00,1.87528,1.87497
2022-01-04 13:00:00+00:00,1.87531,1.87501
2022-01-04 14:00:00+00:00,1.87448,1.87387
2022-01-04 15:00:00+00:00,1.87187,1.87142
2022-01-04 16:00:00+00:00,1.87066,1.87035
2022-01-04 17:00:00+00:00,1.86993,1.8696
