dt,ask,bid
2022-01-02 22:00:00+00:00,1.71108,1.70958
2022-01-02 23:00:00+00:00,1.71118,1.71063
2022-01-03 00:00:00+00:00,1.71115,1.71086
2022-01-03 01:00:00+00:00,1.71136,1.71104
2022-01-03 02:00:00+00:00,1.71164,1.71134
2022-01-03 03:00:00+00:00,1.71174,1.71147
2022-01-03 04:00:00+00:00,1.71146,1.71118
2022-01-03 05:00:00+00:00,1.71164,1.71135
2022-01-03 06:00:00+00:00,1.71226,1.71195
2022-01-03 07:00:00+00:00,1.71229,1.71202
2022-01-03 08:00:00+00:00,1.71295,1.71275
2022-01-03 09:00:00+00:00,1.71397,1.71372
2022-01-03 10:00:00+00:00,1.71378,1.71354
2022-01-03 11:00:00+00:00,1.7138,1.71352
2022-01-03 12:00:00+00:00,1.71321,1.71297
2022-01-03 13:00:00+00:00,1.71433,1.71414
2022-01-03 14:00:00+00:00,1.71574,1.71552
2022-01-03 15:00:00+00:00,1.71661,1.7164
2022-01-03 16:00:00+00:00,1.71741,1.71717
2022-01-03 17:00:00+00:00,1.71843,1.71821
2022-01-03 18:00:00+00:00,1.71827,1.71801
2022-01-03 19:00:00+00:00,1.71879,1.71851
2022-01-03 20:00:00+00:00,1.71901,1.71877
2022-01-03 21:00:00+00:00,1.71847,1.71819
2022-01-03 22:00:00+00:00,1.71948,1.71798
2022-01-03 23:00:00+00:00,1.71914,1.71843
2022-01-04 00:00:00+00:00,1.71871,1.71838
2022-01-04 01:00:00+00:00,1.71874,1.71842
2022-01-04 02:00:00+00:00,1.71831,1.71801
2022-01-04 03:00:00+00:00,1.71676,1.71654
2022-01-04 04:00:00+00:00,1.7154,1.71516
2022-01-04 05:00:00+00:00,1.71425,1.714
2022-01-04 06:00:00+00:00,1.71427,1.71402
2022-01-04 07:00:00+00:00,1.71599,1.71576
2022-01-04 08:00:00+00:00,1.71884,1.71861
2022-01-04 09:00:00+00:00,1.72125,1.72103
2022-01-04 10:00:00+00:00,1.72144,1.72122
2022-01-04 11:00:00+00:00,1.72078,1.72055
2022-01-04 12:00:00+00:00,1.72071,1.72051
2022-01-04 13:00:00+00:00,1.72027,1.72009
2022-01-04 14:00:00+00:00,1.71948,1.71903
2022-01-04 15:00:00+00:00,1.71845,1.71815
2022-01-04 16:00:00+00:00,1.71935,1.71915
2022-01-04 17:00:00+00:00,1.719,1.7188
2022-01-04 18:00:00+00:00,1.71923,1.71903
2022-01-04 19:00:00+00:00,1.71982,1.71959
2022-01-04 20:00:00+00:00,1.71967,1.71943
2022-01-04 21:00:00+00:00,1.71925,1.71894
2022-01-04 22:00:00+00:00,1.71949,1.71799
2022-01-04 23:00:00+00:00,1.7191,1.71835
2022-01-05 00:00:00+00:00,1.7191,1.71872
2022-01-05 01:00:00+00:00,1.72019,1.71986
2022-01-05 02:00:00+00:00,1.72065,1.72035
2022-01-05 03:00:00+00:00,1.72059,1.72032
2022-01-05 04:00:00+00:00,1.72018,1.71987
2022-01-05 05:00:00+00:00,1.72084,1.72056
2022-01-05 06:00:00+00:00,1.72089,1.72065
2022-01-05 07:00:00+00:00,1.72079,1.72057
2022-01-05 08:00:00+00:00,1.72206,1.72184
2022-01-05 09:00:00+00:00,1.72138,1.72116
2022-01-05 10:00:00+00:00,1.72106,1.72082
2022-01-05 11:00:00+00:00,1.72241,1.72218
2022-01-05 12:00:00+00:00,1.72344,1.72324
2022-01-05 13:00:00+00:00,1.72273,1.72241
2022-01-05 14:00:00+00:00,1.72172,1.72149
2022-01-05 15:00:00+00:00,1.7224,1.72216
2022-01-05 16:00:00+00:00,1.72354,1.72335
2022-01-05 17:00:00+00:00,1.72565,1.72542
2022-01-05 18:00:00+00:00,1.72635,1.72606
2022-01-05 19:00:00+00:00,1.72831,1.72804
2022-01-05 20:00:00+00:00,1.72976,1.72952
2022-01-05 21:00:00+00:00,1.7293,1.72902
2022-01-05 22:00:00+00:00,1.73032,1.72893
2022-01-05 23:00:00+00:00,1.72972,1.7291
2022-01-06 00:00:00+00:00,1.72934,1.72907
2022-01-06 01:00:00+00:00,1.72982,1.72953
2022-01-06 02:00:00+00:00,1.73031,1.73003
2022-01-06 03:00:00+00:00,1.73045,1.73014
2022-01-06 04:00:00+00:00,1.73052,1.73026
2022-01-06 05:00:00+00:00,1.73066,1.73041
2022-01-06 06:00:00+00:00,1.73031,1.73007
2022-01-06 07:00:00+00:00,1.7292,1.72895
2022-01-06 08:00:00+00:00,1.72886,1.72862
2022-01-06 09:00:00+00:00,1.72809,1.72788
2022-01-06 10:00:00+00:00,1.72722,1.72702
2022-01-06 11:00:00+00:00,1.72877,1.72853
2022-01-06 12:00:00+00:00,1.72902,1.72879
2022-01-06 13:00:00+00:00,1.72796,1.72767
2022-01-06 14:00:00+00:00,1.72722,1.7268
2022-01-06 15:00:00+00:00,1.72644,1.72609
2022-01-06 16:00:00+00:00,1.72413,1.72384
2022-01-06 17:00:00+00:00,1.72172,1.72147
2022-01-06 18:00:00+00:00,1.72139,1.72115
2022-01-06 19:00:00+00:00,1.72197,1.72172
2022-01-06 20:00:00+00:00,1.72238,1.72212
2022-01-06 21:00:00+00:00,1.72248,1.72222
2022-01-06 22:00:00+00:00,1.72306,1.72175
2022-01-06 23:00:00+00:00,1.72293,1.72225
2022-01-07 00:00:00+00:00,1.72172,1.72146
2022-01-07 01:00:00+00:00,1.72186,1.72157
2022-01-07 02:00:00+00:00,1.72272,1.72243
2022-01-07 03:00:00+00:00,1.72258,1.72232
2022-01-07 04:00:00+00:00,1.72219,1.72191
2022-01-07 05:00:00+00:00,1.72185,1.7216
2022-01-07 06:00:00+00:00,1.72162,1.72134
2022-01-07 07:00:00+00:00,1.72235,1.72212
2022-01-07 08:00:00+00:00,1.72338,1.72315
2022-01-07 09:00:00+00:00,1.72352,1.72325
2022-01-07 10:00:00+00:00,1.72249,1.72223
2022-01-07 11:00:00+00:00,1.72304,1.72284
2022-01-07 12:00:00+00:00,1.72323,1.72299
2022-01-07 13:00:00+00:00,1.72211,1.72184
2022-01-07 14:00:00+00:00,1.7218,1.7216
2022-01-07 15:00:00+00:00,1.72045,1.72024
2022-01-07 16:00:00+00:00,1.71852,1.71832
2022-01-07 17:00:00+00:00,1.71773,1.71752
2022-01-07 18:00:00+00:00,1.71758,1.71734
2022-01-07 19:00:00+00:00,1.71781,1.71758
2022-01-07 20:00:00+00:00,1.71837,1.71814
2022-01-07 21:00:00+00:00,1.7188,1.71814
2022-01-09 22:00:00+00:00,1.71996,1.71846
2022-01-09 23:00:00+00:00,1.71922,1.71841
2022-01-10 00:00:00+00:00,1.71882,1.71854
2022-01-10 01:00:00+00:00,1.7185,1.71821
2022-01-10 02:00:00+00:00,1.71803,1.71776
2022-01-10 03:00:00+00:00,1.71784,1.71754
2022-01-10 04:00:00+00:00,1.71771,1.7174
2022-01-10 05:00:00+00:00,1.7178,1.71753
2022-01-10 06:00:00+00:00,1.71797,1.71769
2022-01-10 07:00:00+00:00,1.71719,1.71695
2022-01-10 08:00:00+00:00,1.7168,1.71654
2022-01-10 09:00:00+00:00,1.71564,1.7154
2022-01-10 10:00:00+00:00,1.71482,1.7146
2022-01-10 11:00:00+00:00,1.71549,1.71527
2022-01-10 12:00:00+00:00,1.71716,1.71691
2022-01-10 13:00:00+00:00,1.71729,1.71707
2022-01-10 14:00:00+00:00,1.71664,1.71644
2022-01-10 15:00:00+00:00,1.71863,1.71842
2022-01-10 16:00:00+00:00,1.71997,1.71975
2022-01-10 17:00:00+00:00,1.72113,1.72091
2022-01-10 18:00:00+00:00,1.7212,1.72102
2022-01-10 19:00:00+00:00,1.72073,1.72049
2022-01-10 20:00:00+00:00,1.72116,1.72092
2022-01-10 21:00:00+00:00,1.72147,1.7212
