dt,ask,bid
2022-01-02 22:00:00+00:00,1.23414,1.23264
2022-01-02 23:00:00+00:00,1.23378,1.23303
2022-01-03 00:00:00+00:00,1.23399,1.2338
2022-01-03 01:00:00+00:00,1.23447,1.23427
2022-01-03 02:00:00+00:00,1.23465,1.23445
2022-01-03 03:00:00+00:00,1.23445,1.23427
2022-01-03 04:00:00+00:00,1.23461,1.23443
2022-01-03 05:00:00+00:00,1.23485,1.23465
2022-01-03 06:00:00+00:00,1.23479,1.2346
2022-01-03 07:00:00+00:00,1.23436,1.23418
2022-01-03 08:00:00+00:00,1.23457,1.23437
2022-01-03 09:00:00+00:00,1.23344,1.23326
2022-01-03 10:00:00+00:00,1.23326,1.23307
2022-01-03 11:00:00+00:00,1.23283,1.23265
2022-01-03 12:00:00+00:00,1.23305,1.23289
2022-01-03 13:00:00+00:00,1.23367,1.2335
2022-01-03 14:00:00+00:00,1.23539,1.23518
2022-01-03 15:00:00+00:00,1.23581,1.23562
2022-01-03 16:00:00+00:00,1.23653,1.23635
2022-01-03 17:00:00+00:00,1.23813,1.23796
2022-01-03 18:00:00+00:00,1.23839,1.23821
2022-01-03 19:00:00+00:00,1.23838,1.23818
2022-01-03 20:00:00+00:00,1.23837,1.23821
2022-01-03 21:00:00+00:00,1.2385,1.23826
2022-01-03 22:00:00+00:00,1.23937,1.23787
2022-01-03 23:00:00+00:00,1.23865,1.23798
2022-01-04 00:00:00+00:00,1.23755,1.23735
2022-01-04 01:00:00+00:00,1.23707,1.23685
2022-01-04 02:00:00+00:00,1.23708,1.23686
2022-01-04 03:00:00+00:00,1.23715,1.23694
2022-01-04 04:00:00+00:00,1.23692,1.23672
2022-01-04 05:00:00+00:00,1.23673,1.23652
2022-01-04 06:00:00+00:00,1.23647,1.23631
2022-01-04 07:00:00+00:00,1.23847,1.23831
2022-01-04 08:00:00+00:00,1.23928,1.23912
2022-01-04 09:00:00+00:00,1.24002,1.23986
2022-01-04 10:00:00+00:00,1.23943,1.23926
2022-01-04 11:00:00+00:00,1.23955,1.23939
2022-01-04 12:00:00+00:00,1.2392,1.23905
2022-01-04 13:00:00+00:00,1.23935,1.23919
2022-01-04 14:00:00+00:00,1.23954,1.23925
2022-01-04 15:00:00+00:00,1.23932,1.23906
2022-01-04 16:00:00+00:00,1.23958,1.23942
2022-01-04 17:00:00+00:00,1.2397,1.23953
2022-01-04 18:00:00+00:00,1.23978,1.23959
2022-01-04 19:00:00+00:00,1.24019,1.24003
2022-01-04 20:00:00+00:00,1.24002,1.23984
2022-01-04 21:00:00+00:00,1.23973,1.23942
2022-01-04 22:00:00+00:00,1.24014,1.23864
2022-01-04 23:00:00+00:00,1.2399,1.23919
2022-01-05 00:00:00+00:00,1.24022,1.24
2022-01-05 01:00:00+00:00,1.24051,1.24031
2022-01-05 02:00:00+00:00,1.24022,1.24003
2022-01-05 03:00:00+00:00,1.2398,1.23961
2022-01-05 04:00:00+00:00,1.2397,1.23951
2022-01-05 05:00:00+00:00,1.23949,1.23928
2022-01-05 06:00:00+00:00,1.23935,1.23917
2022-01-05 07:00:00+00:00,1.23905,1.23888
2022-01-05 08:00:00+00:00,1.23961,1.23945
2022-01-05 09:00:00+00:00,1.23954,1.23938
2022-01-05 10:00:00+00:00,1.23913,1.23897
2022-01-05 11:00:00+00:00,1.2392,1.23903
2022-01-05 12:00:00+00:00,1.24001,1.23984
2022-01-05 13:00:00+00:00,1.24069,1.24051
2022-01-05 14:00:00+00:00,1.24027,1.24012
2022-01-05 15:00:00+00:00,1.24074,1.24058
2022-01-05 16:00:00+00:00,1.24244,1.24229
2022-01-05 17:00:00+00:00,1.24432,1.24417
