dt,ask,bid
2022-01-02 22:00:00+00:00,1.98326,1.97527
2022-01-02 23:00:00+00:00,1.98,1.97622
2022-01-03 00:00:00+00:00,1.97559,1.97474
2022-01-03 01:00:00+00:00,1.976,1.97515
2022-01-03 02:00:00+00:00,1.97718,1.97633
2022-01-03 03:00:00+00:00,1.9769,1.97609
2022-01-03 04:00:00+00:00,1.97661,1.97576
2022-01-03 05:00:00+00:00,1.97687,1.97596
2022-01-03 06:00:00+00:00,1.97665,1.97583
2022-01-03 07:00:00+00:00,1.97633,1.97551
2022-01-03 08:00:00+00:00,1.97636,1.97562
2022-01-03 09:00:00+00:00,1.97824,1.97747
2022-01-03 10:00:00+00:00,1.97952,1.97877
2022-01-03 11:00:00+00:00,1.97878,1.97802
2022-01-03 12:00:00+00:00,1.9786,1.97785
2022-01-03 13:00:00+00:00,1.98115,1.98037
2022-01-03 14:00:00+00:00,1.98423,1.98343
2022-01-03 15:00:00+00:00,1.98439,1.98361
2022-01-03 16:00:00+00:00,1.98477,1.984
2022-01-03 17:00:00+00:00,1.9848,1.98403
2022-01-03 18:00:00+00:00,1.98426,1.98349
2022-01-03 19:00:00+00:00,1.98586,1.98505
2022-01-03 20:00:00+00:00,1.98698,1.98616
2022-01-03 21:00:00+00:00,1.98724,1.98595
2022-01-03 22:00:00+00:00,1.98937,1.98446
2022-01-03 23:00:00+00:00,1.98733,1.98546
2022-01-04 00:00:00+00:00,1.98477,1.98395
2022-01-04 01:00:00+00:00,1.98482,1.98403
2022-01-04 02:00:00+00:00,1.98484,1.98404
2022-01-04 03:00:00+00:00,1.9842,1.98343
2022-01-04 04:00:00+00:00,1.98362,1.98285
2022-01-04 05:00:00+00:00,1.98264,1.98187
2022-01-04 06:00:00+00:00,1.9827,1.98193
2022-01-04 07:00:00+00:00,1.98509,1.98429
2022-01-04 08:00:00+00:00,1.98683,1.98605
2022-01-04 09:00:00+00:00,1.98799,1.98725
2022-01-04 10:00:00+00:00,1.98913,1.98841
2022-01-04 11:00:00+00:00,1.99136,1.9906
2022-01-04 12:00:00+00:00,1.99268,1.99192
2022-01-04 13:00:00+00:00,1.99305,1.99232
2022-01-04 14:00:00+00:00,1.99177,1.99051
2022-01-04 15:00:00+00:00,1.98895,1.98793
2022-01-04 16:00:00+00:00,1.98935,1.98861
2022-01-04 17:00:00+00:00,1.98888,1.98815
2022-01-04 18:00:00+00:00,1.98861,1.98785
2022-01-04 19:00:00+00:00,1.98843,1.98762
2022-01-04 20:00:00+00:00,1.98757,1.98673
2022-01-04 21:00:00+00:00,1.98736,1.98618
2022-01-04 22:00:00+00:00,1.99045,1.98627
2022-01-04 23:00:00+00:00,1.98745,1.98589
2022-01-05 00:00:00+00:00,1.98628,1.98542
2022-01-05 01:00:00+00:00,1.98815,1.98734
2022-01-05 02:00:00+00:00,1.98952,1.98872
2022-01-05 03:00:00+00:00,1.98895,1.98812
2022-01-05 04:00:00+00:00,1.98852,1.98771
2022-01-05 05:00:00+00:00,1.98883,1.98808
2022-01-05 06:00:00+00:00,1.98956,1.98881
2022-01-05 07:00:00+00:00,1.99062,1.98986
2022-01-05 08:00:00+00:00,1.99139,1.99065
2022-01-05 09:00:00+00:00,1.98901,1.98827
2022-01-05 10:00:00+00:00,1.98801,1.98722
2022-01-05 11:00:00+00:00,1.98682,1.98603
2022-01-05 12:00:00+00:00,1.98647,1.98569
2022-01-05 13:00:00+00:00,1.98676,1.98585
2022-01-05 14:00:00+00:00,1.98457,1.98382
2022-01-05 15:00:00+00:00,1.98486,1.98409
2022-01-05 16:00:00+00:00,1.9877,1.98698
2022-01-05 17:00:00+00:00,1.98946,1.98869
2022-01-05 18:00:00+00:00,1.99087,1.98981
2022-01-05 19:00:00+00:00,1.99396,1.99306
2022-01-05 20:00:00+00:00,1.99519,1.99436
2022-01-05 21:00:00+00:00,1.9947,1.99355
2022-01-05 22:00:00+00:00,1.99606,1.99319
2022-01-05 23:00:00+00:00,1.99603,1.99459
2022-01-06 00:00:00+00:00,1.99573,1.99488
2022-01-06 01:00:00+00:00,1.99596,1.99517
2022-01-06 02:00:00+00:00,1.99775,1.99698
2022-01-06 03:00:00+00:00,1.99991,1.99911
2022-01-06 04:00:00+00:00,2.00107,2.00026
2022-01-06 05:00:00+00:00,2.00298,2.00221
2022-01-06 06:00:00+00:00,2.00434,2.00356
2022-01-06 07:00:00+00:00,2.00401,2.00324
2022-01-06 08:00:00+00:00,2.00317,2.00241
2022-01-06 09:00:00+00:00,2.00307,2.00236
2022-01-06 10:00:00+00:00,2.00121,2.00046
2022-01-06 11:00:00+00:00,2.00179,2.00098
2022-01-06 12:00:00+00:00,2.00386,2.00306
2022-01-06 13:00:00+00:00,2.00549,2.00444
2022-01-06 14:00:00+00:00,2.00629,2.00525
2022-01-06 15:00:00+00:00,2.00643,2.00557
2022-01-06 16:00:00+00:00,2.00652,2.00574
2022-01-06 17:00:00+00:00,2.00551,2.00474
2022-01-06 18:00:00+00:00,2.00586,2.00505
2022-01-06 19:00:00+00:00,2.00658,2.00581
2022-01-06 20:00:00+00:00,2.00657,2.00574
2022-01-06 21:00:00+00:00,2.00644,2.00528
2022-01-06 22:00:00+00:00,2.00833,2.00406
2022-01-06 23:00:00+00:00,2.00801,2.00646
2022-01-07 00:00:00+00:00,2.00762,2.00672
2022-01-07 01:00:00+00:00,2.00731,2.00651
2022-01-07 02:00:00+00:00,2.00653,2.00574
2022-01-07 03:00:00+00:00,2.00613,2.0053
2022-01-07 04:00:00+00:00,2.00651,2.00561
2022-01-07 05:00:00+00:00,2.00617,2.00535
2022-01-07 06:00:00+00:00,2.00595,2.00515
2022-01-07 07:00:00+00:00,2.00591,2.00519
2022-01-07 08:00:00+00:00,2.00687,2.00612
2022-01-07 09:00:00+00:00,2.00782,2.00698
2022-01-07 10:00:00+00:00,2.00687,2.00608
2022-01-07 11:00:00+00:00,2.00691,2.00615
2022-01-07 12:00:00+00:00,2.00729,2.00653
2022-01-07 13:00:00+00:00,2.00793,2.00701
2022-01-07 14:00:00+00:00,2.00657,2.00572
2022-01-07 15:00:00+00:00,2.00763,2.00688
2022-01-07 16:00:00+00:00,2.00621,2.00547
2022-01-07 17:00:00+00:00,2.00493,2.00413
2022-01-07 18:00:00+00:00,2.00551,2.0048
2022-01-07 19:00:00+00:00,2.00628,2.00554
2022-01-07 20:00:00+00:00,2.00686,2.00601
2022-01-07 21:00:00+00:00,2.00715,2.00408
2022-01-09 22:00:00+00:00,2.00823,2.00309
2022-01-09 23:00:00+00:00,2.00735,2.00464
2022-01-10 00:00:00+00:00,2.00656,2.00567
2022-01-10 01:00:00+00:00,2.00648,2.00567
2022-01-10 02:00:00+00:00,2.00614,2.00531
2022-01-10 03:00:00+00:00,2.00623,2.00538
2022-01-10 04:00:00+00:00,2.0066,2.00575
2022-01-10 05:00:00+00:00,2.00693,2.00612
2022-01-10 06:00:00+00:00,2.00643,2.00565
2022-01-10 07:00:00+00:00,2.00477,2.00401
2022-01-10 08:00:00+00:00,2.00663,2.00585
2022-01-10 09:00:00+00:00,2.00701,2.00626
2022-01-10 10:00:00+00:00,2.00615,2.00537
2022-01-10 11:00:00+00:00,2.00692,2.00612
2022-01-10 12:00:00+00:00,2.008,2.00719
2022-01-10 13:00:00+00:00,2.00882,2.00803
2022-01-10 14:00:00+00:00,2.00914,2.00831
2022-01-10 15:00:00+00:00,2.01018,2.00937
2022-01-10 16:00:00+00:00,2.00959,2.00878
2022-01-10 17:00:00+00:00,2.00954,2.00878
2022-01-10 18:00:00+00:00,2.0095,2.00877
2022-01-10 19:00:00+00:00,2.00932,2.00855
