dt,ask,bid
2022-01-02 22:00:00+00:00,1.35395,1.35245
2022-01-02 23:00:00+00:00,1.35296,1.35235
2022-01-03 00:00:00+00:00,1.3521,1.35188
2022-01-03 01:00:00+00:00,1.35206,1.35184
2022-01-03 02:00:00+00:00,1.35106,1.35085
2022-01-03 03:00:00+00:00,1.35022,1.35002
2022-01-03 04:00:00+00:00,1.35008,1.34987
2022-01-03 05:00:00+00:00,1.34997,1.34974
2022-01-03 06:00:00+00:00,1.35044,1.35023
2022-01-03 07:00:00+00:00,1.35054,1.35033
2022-01-03 08:00:00+00:00,1.35165,1.35147
2022-01-03 09:00:00+00:00,1.35207,1.35187
2022-01-03 10:00:00+00:00,1.35159,1.35141
2022-01-03 11:00:00+00:00,1.35138,1.35118
2022-01-03 12:00:00+00:00,1.35081,1.35064
2022-01-03 13:00:00+00:00,1.3495,1.34931
2022-01-03 14:00:00+00:00,1.34721,1.34701
2022-01-03 15:00:00+00:00,1.34511,1.34493
2022-01-03 16:00:00+00:00,1.34583,1.34564
2022-01-03 17:00:00+00:00,1.34714,1.34697
2022-01-03 18:00:00+00:00,1.34778,1.34759
2022-01-03 19:00:00+00:00,1.34833,1.34815
2022-01-03 20:00:00+00:00,1.34812,1.34794
2022-01-03 21:00:00+00:00,1.34805,1.34769
2022-01-03 22:00:00+00:00,1.34798,1.34738
2022-01-03 23:00:00+00:00,1.34824,1.34788
2022-01-04 00:00:00+00:00,1.34803,1.34782
2022-01-04 01:00:00+00:00,1.34812,1.34792
2022-01-04 02:00:00+00:00,1.34772,1.34751
2022-01-04 03:00:00+00:00,1.34689,1.34671
2022-01-04 04:00:00+00:00,1.34696,1.34676
2022-01-04 05:00:00+00:00,1.34703,1.34685
2022-01-04 06:00:00+00:00,1.34659,1.34641
2022-01-04 07:00:00+00:00,1.34792,1.34773
2022-01-04 08:00:00+00:00,1.34923,1.34904
2022-01-04 09:00:00+00:00,1.35043,1.35026
2022-01-04 10:00:00+00:00,1.35064,1.35048
2022-01-04 11:00:00+00:00,1.3497,1.34952
2022-01-04 12:00:00+00:00,1.34883,1.34865
2022-01-04 13:00:00+00:00,1.35032,1.35013
2022-01-04 14:00:00+00:00,1.35192,1.35166
2022-01-04 15:00:00+00:00,1.3541,1.35385
2022-01-04 16:00:00+00:00,1.35459,1.35442
2022-01-04 17:00:00+00:00,1.35403,1.35386
2022-01-04 18:00:00+00:00,1.35289,1.35272
2022-01-04 19:00:00+00:00,1.35312,1.35293
2022-01-04 20:00:00+00:00,1.35321,1.353
2022-01-04 21:00:00+00:00,1.35301,1.35264
2022-01-04 22:00:00+00:00,1.35315,1.35255
2022-01-04 23:00:00+00:00,1.35309,1.35275
2022-01-05 00:00:00+00:00,1.35316,1.35292
2022-01-05 01:00:00+00:00,1.35365,1.35343
2022-01-05 02:00:00+00:00,1.35357,1.35338
2022-01-05 03:00:00+00:00,1.35328,1.35309
2022-01-05 04:00:00+00:00,1.35284,1.35264
2022-01-05 05:00:00+00:00,1.35276,1.35256
2022-01-05 06:00:00+00:00,1.35329,1.35308
2022-01-05 07:00:00+00:00,1.35366,1.35347
2022-01-05 08:00:00+00:00,1.35449,1.35432
2022-01-05 09:00:00+00:00,1.35386,1.35366
2022-01-05 10:00:00+00:00,1.35352,1.35334
2022-01-05 11:00:00+00:00,1.354,1.35381
2022-01-05 12:00:00+00:00,1.35412,1.35394
2022-01-05 13:00:00+00:00,1.35464,1.35446
2022-01-05 14:00:00+00:00,1.35508,1.3549
2022-01-05 15:00:00+00:00,1.35594,1.35577
2022-01-05 16:00:00+00:00,1.3569,1.35674
2022-01-05 17:00:00+00:00,1.3583,1.35812
2022-01-05 18:00:00+00:00,1.35898,1.35877
2022-01-05 19:00:00+00:00,1.35721,1.357
2022-01-05 20:00:00+00:00,1.35547,1.35527
2022-01-05 21:00:00+00:00,1.35556,1.35518
2022-01-05 22:00:00+00:00,1.35582,1.35522
2022-01-05 23:00:00+00:00,1.3556,1.35527
2022-01-06 00:00:00+00:00,1.35505,1.35485
2022-01-06 01:00:00+00:00,1.35497,1.35476
2022-01-06 02:00:00+00:00,1.35508,1.35489
2022-01-06 03:00:00+00:00,1.35435,1.35415
2022-01-06 04:00:00+00:00,1.35324,1.35303
2022-01-06 05:00:00+00:00,1.35303,1.35283
2022-01-06 06:00:00+00:00,1.35216,1.35195
2022-01-06 07:00:00+00:00,1.35062,1.35042
2022-01-06 08:00:00+00:00,1.35023,1.35003
2022-01-06 09:00:00+00:00,1.3509,1.35072
2022-01-06 10:00:00+00:00,1.35248,1.3523
2022-01-06 11:00:00+00:00,1.35352,1.35332
2022-01-06 12:00:00+00:00,1.354,1.3538
2022-01-06 13:00:00+00:00,1.35366,1.35347
2022-01-06 14:00:00+00:00,1.35394,1.35368
2022-01-06 15:00:00+00:00,1.35315,1.35284
2022-01-06 16:00:00+00:00,1.35349,1.35331
2022-01-06 17:00:00+00:00,1.35352,1.35333
2022-01-06 18:00:00+00:00,1.35295,1.35277
2022-01-06 19:00:00+00:00,1.35294,1.35276
2022-01-06 20:00:00+00:00,1.35303,1.35283
2022-01-06 21:00:00+00:00,1.35358,1.3532
2022-01-06 22:00:00+00:00,1.35361,1.35301
2022-01-06 23:00:00+00:00,1.35355,1.35319
2022-01-07 00:00:00+00:00,1.35358,1.35334
2022-01-07 01:00:00+00:00,1.35476,1.35455
2022-01-07 02:00:00+00:00,1.35486,1.35467
2022-01-07 03:00:00+00:00,1.35485,1.35464
2022-01-07 04:00:00+00:00,1.35476,1.35453
2022-01-07 05:00:00+00:00,1.3546,1.35441
2022-01-07 06:00:00+00:00,1.3544,1.3542
2022-01-07 07:00:00+00:00,1.35408,1.35391
2022-01-07 08:00:00+00:00,1.35436,1.35419
2022-01-07 09:00:00+00:00,1.35529,1.3551
2022-01-07 10:00:00+00:00,1.35493,1.35473
2022-01-07 11:00:00+00:00,1.35496,1.35478
2022-01-07 12:00:00+00:00,1.35459,1.35441
2022-01-07 13:00:00+00:00,1.35445,1.35423
2022-01-07 14:00:00+00:00,1.35556,1.35539
2022-01-07 15:00:00+00:00,1.35688,1.35672
2022-01-07 16:00:00+00:00,1.35769,1.35752
2022-01-07 17:00:00+00:00,1.35803,1.35785
2022-01-07 18:00:00+00:00,1.35837,1.3582
2022-01-07 19:00:00+00:00,1.35926,1.35908
2022-01-07 20:00:00+00:00,1.35958,1.35939
2022-01-07 21:00:00+00:00,1.3595,1.35904
2022-01-09 22:00:00+00:00,1.35917,1.35767
2022-01-09 23:00:00+00:00,1.35921,1.35847
2022-01-10 00:00:00+00:00,1.35946,1.35923
2022-01-10 01:00:00+00:00,1.35949,1.3593
2022-01-10 02:00:00+00:00,1.35908,1.35888
2022-01-10 03:00:00+00:00,1.35853,1.35833
2022-01-10 04:00:00+00:00,1.3586,1.3584
2022-01-10 05:00:00+00:00,1.35854,1.35835
2022-01-10 06:00:00+00:00,1.35847,1.35826
2022-01-10 07:00:00+00:00,1.35872,1.35853
2022-01-10 08:00:00+00:00,1.35873,1.35854
2022-01-10 09:00:00+00:00,1.35891,1.35873
2022-01-10 10:00:00+00:00,1.35879,1.3586
2022-01-10 11:00:00+00:00,1.35855,1.35837
2022-01-10 12:00:00+00:00,1.3576,1.3574
2022-01-10 13:00:00+00:00,1.35615,1.35598
2022-01-10 14:00:00+00:00,1.35451,1.35432
2022-01-10 15:00:00+00:00,1.35529,1.35511
2022-01-10 16:00:00+00:00,1.35641,1.35624
2022-01-10 17:00:00+00:00,1.35651,1.35634
2022-01-10 18:00:00+00:00,1.3568,1.35662
2022-01-10 19:00:00+00:00,1.35699,1.3568
2022-01-10 20:00:00+00:00,1.35764,1.35744
2022-01-10 21:00:00+00:00,1.35806,1.35767
2022-01-10 22:00:00+00:00,1.35801,1.35741
2022-01-10 23:00:00+00:00,1.35811,1.35777
2022-01-11 00:00:00+00:00,1.35837,1.35814
2022-01-11 01:00:00+00:00,1.35834,1.35815
2022-01-11 02:00:00+00:00,1.35862,1.35844
2022-01-11 03:00:00+00:00,1.35925,1.35907
2022-01-11 04:00:00+00:00,1.35928,1.35909
2022-01-11 05:00:00+00:00,1.35967,1.35948
2022-01-11 06:00:00+00:00,1.35899,1.35881
2022-01-11 07:00:00+00:00,1.35935,1.35916
2022-01-11 08:00:00+00:00,1.36079,1.36059
2022-01-11 09:00:00+00:00,1.36107,1.36088
2022-01-11 10:00:00+00:00,1.36072,1.36053
2022-01-11 11:00:00+00:00,1.35941,1.35923
2022-01-11 12:00:00+00:00,1.35819,1.35802
2022-01-11 13:00:00+00:00,1.35752,1.35735
2022-01-11 14:00:00+00:00,1.35738,1.3572
2022-01-11 15:00:00+00:00,1.35932,1.35915
2022-01-11 16:00:00+00:00,1.36158,1.3614
2022-01-11 17:00:00+00:00,1.36193,1.36175
2022-01-11 18:00:00+00:00,1.36207,1.36189
2022-01-11 19:00:00+00:00,1.36262,1.36245
2022-01-11 20:00:00+00:00,1.36301,1.36282
2022-01-11 21:00:00+00:00,1.36349,1.36311
2022-01-11 22:00:00+00:00,1.36364,1.36304
2022-01-11 23:00:00+00:00,1.3635,1.36313
2022-01-12 00:00:00+00:00,1.36378,1.36357
2022-01-12 01:00:00+00:00,1.36356,1.36337
2022-01-12 02:00:00+00:00,1.364,1.3638
2022-01-12 03:00:00+00:00,1.36449,1.36429
2022-01-12 04:00:00+00:00,1.36413,1.36392
2022-01-12 05:00:00+00:00,1.36418,1.36396
2022-01-12 06:00:00+00:00,1.36385,1.36366
2022-01-12 07:00:00+00:00,1.36322,1.36302
2022-01-12 08:00:00+00:00,1.36318,1.36299
2022-01-12 09:00:00+00:00,1.36292,1.36273
2022-01-12 10:00:00+00:00,1.36282,1.36263
2022-01-12 11:00:00+00:00,1.36329,1.36312
2022-01-12 12:00:00+00:00,1.36376,1.36359
2022-01-12 13:00:00+00:00,1.36631,1.36612
2022-01-12 14:00:00+00:00,1.36827,1.36809
2022-01-12 15:00:00+00:00,1.36879,1.36861
2022-01-12 16:00:00+00:00,1.36948,1.36931
2022-01-12 17:00:00+00:00,1.37044,1.37025
2022-01-12 18:00:00+00:00,1.37052,1.37034
2022-01-12 19:00:00+00:00,1.37089,1.37071
2022-01-12 20:00:00+00:00,1.37117,1.37099
2022-01-12 21:00:00+00:00,1.37087,1.37048
2022-01-12 22:00:00+00:00,1.37087,1.37027
2022-01-12 23:00:00+00:00,1.37086,1.37055
2022-01-13 00:00:00+00:00,1.37089,1.3707
2022-01-13 01:00:00+00:00,1.37091,1.37072
2022-01-13 02:00:00+00:00,1.37145,1.37126
2022-01-13 03:00:00+00:00,1.37139,1.37119
2022-01-13 04:00:00+00:00,1.37142,1.37124
2022-01-13 05:00:00+00:00,1.37132,1.37113
2022-01-13 06:00:00+00:00,1.3711,1.37088
2022-01-13 07:00:00+00:00,1.37243,1.37224
2022-01-13 08:00:00+00:00,1.37365,1.37346
2022-01-13 09:00:00+00:00,1.3736,1.37342
2022-01-13 10:00:00+00:00,1.37421,1.37404
2022-01-13 11:00:00+00:00,1.37359,1.37341
