dt,ask,bid
2022-01-02 22:00:00+00:00,0.86582,0.8626
2022-01-02 23:00:00+00:00,0.86552,0.86399
2022-01-03 00:00:00+00:00,0.86642,0.86602
2022-01-03 01:00:00+00:00,0.8664,0.866
2022-01-03 02:00:00+00:00,0.86602,0.86562
2022-01-03 03:00:00+00:00,0.86615,0.86577
2022-01-03 04:00:00+00:00,0.86617,0.86577
2022-01-03 05:00:00+00:00,0.86618,0.86577
2022-01-03 06:00:00+00:00,0.86656,0.86618
2022-01-03 07:00:00+00:00,0.86673,0.86635
2022-01-03 08:00:00+00:00,0.86694,0.86658
2022-01-03 09:00:00+00:00,0.86671,0.86636
2022-01-03 10:00:00+00:00,0.86601,0.86566
2022-01-03 11:00:00+00:00,0.86633,0.86598
2022-01-03 12:00:00+00:00,0.86614,0.86578
2022-01-03 13:00:00+00:00,0.8657,0.86532
2022-01-03 14:00:00+00:00,0.86491,0.86451
2022-01-03 15:00:00+00:00,0.86526,0.8649
2022-01-03 16:00:00+00:00,0.86559,0.86526
2022-01-03 17:00:00+00:00,0.86607,0.86571
2022-01-03 18:00:00+00:00,0.86628,0.86591
2022-01-03 19:00:00+00:00,0.86579,0.86542
2022-01-03 20:00:00+00:00,0.86542,0.86501
2022-01-03 21:00:00+00:00,0.86527,0.86472
2022-01-03 22:00:00+00:00,0.86602,0.86392
2022-01-03 23:00:00+00:00,0.86567,0.86486
2022-01-04 00:00:00+00:00,0.86615,0.86576
2022-01-04 01:00:00+00:00,0.86614,0.86577
2022-01-04 02:00:00+00:00,0.86598,0.86562
2022-01-04 03:00:00+00:00,0.86544,0.86508
2022-01-04 04:00:00+00:00,0.86505,0.86467
2022-01-04 05:00:00+00:00,0.86504,0.86468
2022-01-04 06:00:00+00:00,0.86487,0.86452
2022-01-04 07:00:00+00:00,0.86474,0.86438
2022-01-04 08:00:00+00:00,0.86543,0.86505
2022-01-04 09:00:00+00:00,0.86612,0.86579
2022-01-04 10:00:00+00:00,0.86576,0.86543
2022-01-04 11:00:00+00:00,0.86447,0.86411
2022-01-04 12:00:00+00:00,0.8638,0.86346
2022-01-04 13:00:00+00:00,0.86338,0.86305
2022-01-04 14:00:00+00:00,0.86371,0.86321
2022-01-04 15:00:00+00:00,0.86428,0.86386
2022-01-04 16:00:00+00:00,0.86461,0.86428
2022-01-04 17:00:00+00:00,0.86462,0.86428
2022-01-04 18:00:00+00:00,0.86485,0.86449
2022-01-04 19:00:00+00:00,0.86523,0.86485
2022-01-04 20:00:00+00:00,0.86554,0.86516
2022-01-04 21:00:00+00:00,0.8655,0.86498
2022-01-04 22:00:00+00:00,0.86516,0.8635
2022-01-04 23:00:00+00:00,0.86547,0.8648
2022-01-05 00:00:00+00:00,0.86575,0.86537
2022-01-05 01:00:00+00:00,0.86558,0.8652
2022-01-05 02:00:00+00:00,0.86519,0.8648
2022-01-05 03:00:00+00:00,0.86537,0.86497
2022-01-05 04:00:00+00:00,0.86536,0.86496
2022-01-05 05:00:00+00:00,0.86551,0.86514
2022-01-05 06:00:00+00:00,0.86527,0.86491
2022-01-05 07:00:00+00:00,0.86478,0.86443
2022-01-05 08:00:00+00:00,0.86513,0.8648
2022-01-05 09:00:00+00:00,0.86574,0.8654
2022-01-05 10:00:00+00:00,0.86609,0.86574
2022-01-05 11:00:00+00:00,0.86719,0.86684
2022-01-05 12:00:00+00:00,0.86786,0.86752
2022-01-05 13:00:00+00:00,0.86735,0.867
2022-01-05 14:00:00+00:00,0.86774,0.86739
2022-01-05 15:00:00+00:00,0.868,0.86765
2022-01-05 16:00:00+00:00,0.86733,0.86699
2022-01-05 17:00:00+00:00,0.86769,0.86734
2022-01-05 18:00:00+00:00,0.86743,0.86696
2022-01-05 19:00:00+00:00,0.86707,0.86665
2022-01-05 20:00:00+00:00,0.86726,0.86686
2022-01-05 21:00:00+00:00,0.86736,0.86686
2022-01-05 22:00:00+00:00,0.86763,0.86618
2022-01-05 23:00:00+00:00,0.86704,0.86648
2022-01-06 00:00:00+00:00,0.86681,0.86642
2022-01-06 01:00:00+00:00,0.86696,0.8666
2022-01-06 02:00:00+00:00,0.86641,0.86605
2022-01-06 03:00:00+00:00,0.86553,0.86517
2022-01-06 04:00:00+00:00,0.86513,0.86477
2022-01-06 05:00:00+00:00,0.86425,0.8639
2022-01-06 06:00:00+00:00,0.86353,0.86318
2022-01-06 07:00:00+00:00,0.86317,0.86282
2022-01-06 08:00:00+00:00,0.86335,0.86301
2022-01-06 09:00:00+00:00,0.863,0.86267
2022-01-06 10:00:00+00:00,0.8634,0.86306
2022-01-06 11:00:00+00:00,0.86389,0.86354
2022-01-06 12:00:00+00:00,0.86315,0.86279
2022-01-06 13:00:00+00:00,0.86186,0.86152
2022-01-06 14:00:00+00:00,0.8612,0.86077
2022-01-06 15:00:00+00:00,0.86068,0.86026
2022-01-06 16:00:00+00:00,0.85956,0.8592
2022-01-06 17:00:00+00:00,0.85886,0.85849
2022-01-06 18:00:00+00:00,0.85849,0.85813
2022-01-06 19:00:00+00:00,0.85843,0.85807
2022-01-06 20:00:00+00:00,0.85862,0.85826
2022-01-06 21:00:00+00:00,0.85892,0.85846
2022-01-06 22:00:00+00:00,0.85947,0.85773
2022-01-06 23:00:00+00:00,0.85855,0.85792
2022-01-07 00:00:00+00:00,0.8579,0.8575
2022-01-07 01:00:00+00:00,0.85814,0.85779
2022-01-07 02:00:00+00:00,0.85886,0.85849
2022-01-07 03:00:00+00:00,0.85899,0.8586
2022-01-07 04:00:00+00:00,0.85862,0.8582
2022-01-07 05:00:00+00:00,0.85857,0.85818
2022-01-07 06:00:00+00:00,0.85858,0.8582
2022-01-07 07:00:00+00:00,0.85889,0.85855
2022-01-07 08:00:00+00:00,0.85897,0.85864
2022-01-07 09:00:00+00:00,0.85872,0.85836
2022-01-07 10:00:00+00:00,0.85857,0.85822
2022-01-07 11:00:00+00:00,0.85889,0.85856
2022-01-07 12:00:00+00:00,0.8588,0.85844
2022-01-07 13:00:00+00:00,0.858,0.85758
2022-01-07 14:00:00+00:00,0.85841,0.85801
2022-01-07 15:00:00+00:00,0.85723,0.85687
2022-01-07 16:00:00+00:00,0.85678,0.85644
2022-01-07 17:00:00+00:00,0.85699,0.85663
2022-01-07 18:00:00+00:00,0.85661,0.85627
2022-01-07 19:00:00+00:00,0.85647,0.85615
2022-01-07 20:00:00+00:00,0.85655,0.85617
2022-01-07 21:00:00+00:00,0.85755,0.85615
2022-01-09 22:00:00+00:00,0.85773,0.85574
2022-01-09 23:00:00+00:00,0.85738,0.85616
2022-01-10 00:00:00+00:00,0.85684,0.85646
2022-01-10 01:00:00+00:00,0.85675,0.85638
2022-01-10 02:00:00+00:00,0.85672,0.85633
2022-01-10 03:00:00+00:00,0.85656,0.85618
2022-01-10 04:00:00+00:00,0.85633,0.85595
2022-01-10 05:00:00+00:00,0.85622,0.85586
2022-01-10 06:00:00+00:00,0.85649,0.85613
2022-01-10 07:00:00+00:00,0.85678,0.85644
