dt,ask,bid
2022-01-02 22:00:00+00:00,0.62461,0.62176
2022-01-02 23:00:00+00:00,0.62422,0.62278
2022-01-03 00:00:00+00:00,0.6248,0.62451
2022-01-03 01:00:00+00:00,0.62498,0.62471
2022-01-03 02:00:00+00:00,0.62466,0.62439
2022-01-03 03:00:00+00:00,0.62471,0.62442
2022-01-03 04:00:00+00:00,0.62485,0.62457
2022-01-03 05:00:00+00:00,0.62489,0.62459
2022-01-03 06:00:00+00:00,0.6249,0.62461
2022-01-03 07:00:00+00:00,0.62481,0.62454
2022-01-03 08:00:00+00:00,0.62485,0.62459
2022-01-03 09:00:00+00:00,0.62372,0.62345
2022-01-03 10:00:00+00:00,0.62324,0.62298
2022-01-03 11:00:00+00:00,0.62312,0.62285
2022-01-03 12:00:00+00:00,0.62333,0.62307
2022-01-03 13:00:00+00:00,0.62296,0.62269
2022-01-03 14:00:00+00:00,0.62285,0.62257
2022-01-03 15:00:00+00:00,0.62297,0.62272
2022-01-03 16:00:00+00:00,0.62322,0.62296
2022-01-03 17:00:00+00:00,0.62399,0.62372
2022-01-03 18:00:00+00:00,0.62428,0.62403
2022-01-03 19:00:00+00:00,0.62382,0.62355
2022-01-03 20:00:00+00:00,0.62349,0.6232
2022-01-03 21:00:00+00:00,0.62358,0.62321
2022-01-03 22:00:00+00:00,0.62463,0.62227
2022-01-03 23:00:00+00:00,0.62391,0.623
2022-01-04 00:00:00+00:00,0.62364,0.62336
2022-01-04 01:00:00+00:00,0.62347,0.62321
2022-01-04 02:00:00+00:00,0.62342,0.62317
2022-01-04 03:00:00+00:00,0.62371,0.62346
2022-01-04 04:00:00+00:00,0.62376,0.6235
2022-01-04 05:00:00+00:00,0.62397,0.6237
2022-01-04 06:00:00+00:00,0.62378,0.62354
2022-01-04 07:00:00+00:00,0.62408,0.62381
2022-01-04 08:00:00+00:00,0.62393,0.62366
2022-01-04 09:00:00+00:00,0.62392,0.62367
2022-01-04 10:00:00+00:00,0.62333,0.62307
2022-01-04 11:00:00+00:00,0.62269,0.62242
2022-01-04 12:00:00+00:00,0.62202,0.62177
2022-01-04 13:00:00+00:00,0.62196,0.62172
2022-01-04 14:00:00+00:00,0.62268,0.62231
2022-01-04 15:00:00+00:00,0.6233,0.62292
2022-01-04 16:00:00+00:00,0.62329,0.62303
2022-01-04 17:00:00+00:00,0.62348,0.62323
2022-01-04 18:00:00+00:00,0.6237,0.62344
2022-01-04 19:00:00+00:00,0.62395,0.62368
2022-01-04 20:00:00+00:00,0.62412,0.62383
2022-01-04 21:00:00+00:00,0.62407,0.62374
2022-01-04 22:00:00+00:00,0.62437,0.62231
2022-01-04 23:00:00+00:00,0.62428,0.62353
2022-01-05 00:00:00+00:00,0.62464,0.62434
2022-01-05 01:00:00+00:00,0.62414,0.62387
2022-01-05 02:00:00+00:00,0.62363,0.62336
2022-01-05 03:00:00+00:00,0.62362,0.62333
2022-01-05 04:00:00+00:00,0.62368,0.62339
2022-01-05 05:00:00+00:00,0.62343,0.62316
2022-01-05 06:00:00+00:00,0.62313,0.62288
2022-01-05 07:00:00+00:00,0.62266,0.6224
2022-01-05 08:00:00+00:00,0.62276,0.62249
2022-01-05 09:00:00+00:00,0.62348,0.62323
2022-01-05 10:00:00+00:00,0.62353,0.62327
2022-01-05 11:00:00+00:00,0.62392,0.62365
2022-01-05 12:00:00+00:00,0.6244,0.62413
2022-01-05 13:00:00+00:00,0.62471,0.62442
2022-01-05 14:00:00+00:00,0.62513,0.62487
2022-01-05 15:00:00+00:00,0.62524,0.62499
2022-01-05 16:00:00+00:00,0.62526,0.625
2022-01-05 17:00:00+00:00,0.6256,0.62532
2022-01-05 18:00:00+00:00,0.62558,0.62521
2022-01-05 19:00:00+00:00,0.62438,0.62407
2022-01-05 20:00:00+00:00,0.62367,0.62339
2022-01-05 21:00:00+00:00,0.62375,0.62344
2022-01-05 22:00:00+00:00,0.62391,0.62241
2022-01-05 23:00:00+00:00,0.62344,0.62279
2022-01-06 00:00:00+00:00,0.62347,0.6232
2022-01-06 01:00:00+00:00,0.62319,0.62293
2022-01-06 02:00:00+00:00,0.62235,0.62209
2022-01-06 03:00:00+00:00,0.6215,0.62124
2022-01-06 04:00:00+00:00,0.62078,0.62052
2022-01-06 05:00:00+00:00,0.62018,0.61993
2022-01-06 06:00:00+00:00,0.61973,0.61948
2022-01-06 07:00:00+00:00,0.61984,0.61959
2022-01-06 08:00:00+00:00,0.61992,0.61969
2022-01-06 09:00:00+00:00,0.61997,0.61973
2022-01-06 10:00:00+00:00,0.621,0.62074
2022-01-06 11:00:00+00:00,0.62105,0.62078
2022-01-06 12:00:00+00:00,0.62074,0.62047
2022-01-06 13:00:00+00:00,0.62031,0.61997
2022-01-06 14:00:00+00:00,0.61973,0.61941
2022-01-06 15:00:00+00:00,0.6198,0.6195
2022-01-06 16:00:00+00:00,0.62057,0.62032
2022-01-06 17:00:00+00:00,0.62127,0.621
2022-01-06 18:00:00+00:00,0.62156,0.6213
2022-01-06 19:00:00+00:00,0.6218,0.62152
2022-01-06 20:00:00+00:00,0.62188,0.6216
2022-01-06 21:00:00+00:00,0.62196,0.62162
2022-01-06 22:00:00+00:00,0.62249,0.62068
2022-01-06 23:00:00+00:00,0.62164,0.62096
2022-01-07 00:00:00+00:00,0.6216,0.62131
2022-01-07 01:00:00+00:00,0.62199,0.62174
2022-01-07 02:00:00+00:00,0.62223,0.62197
2022-01-07 03:00:00+00:00,0.62244,0.62218
2022-01-07 04:00:00+00:00,0.62231,0.62203
2022-01-07 05:00:00+00:00,0.62225,0.622
2022-01-07 06:00:00+00:00,0.62228,0.62203
2022-01-07 07:00:00+00:00,0.62198,0.62174
2022-01-07 08:00:00+00:00,0.62158,0.62132
2022-01-07 09:00:00+00:00,0.62183,0.62157
2022-01-07 10:00:00+00:00,0.62213,0.62187
2022-01-07 11:00:00+00:00,0.62249,0.62223
2022-01-07 12:00:00+00:00,0.62259,0.62233
2022-01-07 13:00:00+00:00,0.62253,0.62223
2022-01-07 14:00:00+00:00,0.62291,0.62262
2022-01-07 15:00:00+00:00,0.62233,0.62207
2022-01-07 16:00:00+00:00,0.62255,0.62229
2022-01-07 17:00:00+00:00,0.62271,0.62244
2022-01-07 18:00:00+00:00,0.62264,0.62239
2022-01-07 19:00:00+00:00,0.62263,0.62238
2022-01-07 20:00:00+00:00,0.62244,0.62215
2022-01-07 21:00:00+00:00,0.62293,0.62193
2022-01-09 22:00:00+00:00,0.62327,0.62147
2022-01-09 23:00:00+00:00,0.62295,0.62197
2022-01-10 00:00:00+00:00,0.62279,0.6225
2022-01-10 01:00:00+00:00,0.62283,0.62258
2022-01-10 02:00:00+00:00,0.62314,0.62287
2022-01-10 03:00:00+00:00,0.62327,0.62299
2022-01-10 04:00:00+00:00,0.62329,0.62302
2022-01-10 05:00:00+00:00,0.62329,0.62303
2022-01-10 06:00:00+00:00,0.62352,0.62327
2022-01-10 07:00:00+00:00,0.62413,0.62387
2022-01-10 08:00:00+00:00,0.62363,0.62335
2022-01-10 09:00:00+00:00,0.62355,0.62327
2022-01-10 10:00:00+00:00,0.62416,0.6239
2022-01-10 11:00:00+00:00,0.62421,0.62394
2022-01-10 12:00:00+00:00,0.624,0.62374
2022-01-10 13:00:00+00:00,0.62422,0.62395
2022-01-10 14:00:00+00:00,0.62446,0.62419
2022-01-10 15:00:00+00:00,0.62439,0.62414
2022-01-10 16:00:00+00:00,0.62486,0.62459
2022-01-10 17:00:00+00:00,0.62518,0.62493
2022-01-10 18:00:00+00:00,0.62609,0.62585
2022-01-10 19:00:00+00:00,0.62639,0.62613
2022-01-10 20:00:00+00:00,0.62687,0.62662
