dt,ask,bid
2022-01-02 22:00:00+00:00,78.85,78.562
2022-01-02 23:00:00+00:00,78.785,78.649
2022-01-03 00:00:00+00:00,78.882,78.85
2022-01-03 01:00:00+00:00,78.871,78.84
2022-01-03 02:00:00+00:00,78.781,78.749
2022-01-03 03:00:00+00:00,78.758,78.727
2022-01-03 04:00:00+00:00,78.764,78.733
2022-01-03 05:00:00+00:00,78.765,78.732
2022-01-03 06:00:00+00:00,78.818,78.787
2022-01-03 07:00:00+00:00,78.828,78.796
2022-01-03 08:00:00+00:00,78.857,78.829
2022-01-03 09:00:00+00:00,78.761,78.733
2022-01-03 10:00:00+00:00,78.619,78.59
2022-01-03 11:00:00+00:00,78.596,78.567
2022-01-03 12:00:00+00:00,78.588,78.559
2022-01-03 13:00:00+00:00,78.44,78.41
2022-01-03 14:00:00+00:00,78.277,78.247
2022-01-03 15:00:00+00:00,78.191,78.161
2022-01-03 16:00:00+00:00,78.196,78.168
2022-01-03 17:00:00+00:00,78.286,78.257
2022-01-03 18:00:00+00:00,78.343,78.313
2022-01-03 19:00:00+00:00,78.315,78.283
2022-01-03 20:00:00+00:00,78.28,78.248
2022-01-03 21:00:00+00:00,78.282,78.242
2022-01-03 22:00:00+00:00,78.337,78.138
2022-01-03 23:00:00+00:00,78.303,78.233
2022-01-04 00:00:00+00:00,78.375,78.344
2022-01-04 01:00:00+00:00,78.411,78.382
2022-01-04 02:00:00+00:00,78.459,78.43
2022-01-04 03:00:00+00:00,78.552,78.523
2022-01-04 04:00:00+00:00,78.62,78.591
2022-01-04 05:00:00+00:00,78.677,78.647
2022-01-04 06:00:00+00:00,78.653,78.624
2022-01-04 07:00:00+00:00,78.619,78.59
2022-01-04 08:00:00+00:00,78.662,78.632
2022-01-04 09:00:00+00:00,78.716,78.688
2022-01-04 10:00:00+00:00,78.697,78.668
2022-01-04 11:00:00+00:00,78.697,78.667
2022-01-04 12:00:00+00:00,78.708,78.679
2022-01-04 13:00:00+00:00,78.795,78.766
2022-01-04 14:00:00+00:00,78.951,78.909
2022-01-04 15:00:00+00:00,79.114,79.072
2022-01-04 16:00:00+00:00,79.09,79.062
2022-01-04 17:00:00+00:00,79.104,79.075
2022-01-04 18:00:00+00:00,79.051,79.02
2022-01-04 19:00:00+00:00,79.056,79.025
2022-01-04 20:00:00+00:00,79.08,79.047
2022-01-04 21:00:00+00:00,79.093,79.058
2022-01-04 22:00:00+00:00,79.096,78.934
2022-01-04 23:00:00+00:00,79.137,79.082
2022-01-05 00:00:00+00:00,79.176,79.145
2022-01-05 01:00:00+00:00,79.046,79.017
2022-01-05 02:00:00+00:00,78.951,78.92
2022-01-05 03:00:00+00:00,78.946,78.915
2022-01-05 04:00:00+00:00,78.964,78.934
2022-01-05 05:00:00+00:00,78.946,78.916
2022-01-05 06:00:00+00:00,78.925,78.897
2022-01-05 07:00:00+00:00,78.907,78.878
2022-01-05 08:00:00+00:00,78.901,78.873
2022-01-05 09:00:00+00:00,78.909,78.881
2022-01-05 10:00:00+00:00,78.863,78.834
2022-01-05 11:00:00+00:00,78.879,78.847
2022-01-05 12:00:00+00:00,78.921,78.893
2022-01-05 13:00:00+00:00,78.995,78.959
2022-01-05 14:00:00+00:00,79.051,79.022
2022-01-05 15:00:00+00:00,79.112,79.083
2022-01-05 16:00:00+00:00,79.122,79.094
2022-01-05 17:00:00+00:00,79.192,79.163
2022-01-05 18:00:00+00:00,79.212,79.173
2022-01-05 19:00:00+00:00,79.06,79.025
2022-01-05 20:00:00+00:00,78.92,78.889
2022-01-05 21:00:00+00:00,78.934,78.898
2022-01-05 22:00:00+00:00,78.961,78.852
2022-01-05 23:00:00+00:00,78.9,78.861
