dt,ask,bid
2022-01-02 22:00:00+00:00,0.68468,0.68268
2022-01-02 23:00:00+00:00,0.68423,0.68318
2022-01-03 00:00:00+00:00,0.68456,0.68437
2022-01-03 01:00:00+00:00,0.68442,0.68423
2022-01-03 02:00:00+00:00,0.68353,0.68335
2022-01-03 03:00:00+00:00,0.68316,0.68298
2022-01-03 04:00:00+00:00,0.68323,0.68305
2022-01-03 05:00:00+00:00,0.68311,0.68291
2022-01-03 06:00:00+00:00,0.68338,0.6832
2022-01-03 07:00:00+00:00,0.68357,0.68339
2022-01-03 08:00:00+00:00,0.68404,0.68387
2022-01-03 09:00:00+00:00,0.6836,0.68344
2022-01-03 10:00:00+00:00,0.68294,0.68277
2022-01-03 11:00:00+00:00,0.68302,0.68285
2022-01-03 12:00:00+00:00,0.68288,0.68271
2022-01-03 13:00:00+00:00,0.68134,0.68116
2022-01-03 14:00:00+00:00,0.67916,0.67898
2022-01-03 15:00:00+00:00,0.67809,0.67792
2022-01-03 16:00:00+00:00,0.67827,0.67812
2022-01-03 17:00:00+00:00,0.67888,0.67871
2022-01-03 18:00:00+00:00,0.67946,0.67929
2022-01-03 19:00:00+00:00,0.67915,0.67897
2022-01-03 20:00:00+00:00,0.6787,0.67851
2022-01-03 21:00:00+00:00,0.67863,0.67836
2022-01-03 22:00:00+00:00,0.67906,0.67766
2022-01-03 23:00:00+00:00,0.67888,0.67842
2022-01-04 00:00:00+00:00,0.67936,0.67918
2022-01-04 01:00:00+00:00,0.6794,0.67923
2022-01-04 02:00:00+00:00,0.6792,0.67903
2022-01-04 03:00:00+00:00,0.67893,0.67877
2022-01-04 04:00:00+00:00,0.67917,0.679
2022-01-04 05:00:00+00:00,0.67959,0.67941
2022-01-04 06:00:00+00:00,0.67935,0.67918
2022-01-04 07:00:00+00:00,0.67919,0.67902
2022-01-04 08:00:00+00:00,0.67924,0.67907
2022-01-04 09:00:00+00:00,0.67949,0.67933
2022-01-04 10:00:00+00:00,0.6792,0.67903
2022-01-04 11:00:00+00:00,0.67798,0.67781
2022-01-04 12:00:00+00:00,0.67702,0.67686
2022-01-04 13:00:00+00:00,0.67759,0.67743
2022-01-04 14:00:00+00:00,0.67903,0.67878
2022-01-04 15:00:00+00:00,0.68104,0.68081
2022-01-04 16:00:00+00:00,0.68107,0.68091
2022-01-04 17:00:00+00:00,0.68091,0.68074
2022-01-04 18:00:00+00:00,0.68048,0.68031
2022-01-04 19:00:00+00:00,0.68067,0.68048
2022-01-04 20:00:00+00:00,0.68105,0.68086
2022-01-04 21:00:00+00:00,0.68102,0.68082
2022-01-04 22:00:00+00:00,0.68088,0.67983
2022-01-04 23:00:00+00:00,0.68116,0.68082
2022-01-05 00:00:00+00:00,0.68144,0.68126
2022-01-05 01:00:00+00:00,0.68107,0.6809
2022-01-05 02:00:00+00:00,0.68055,0.68037
2022-01-05 03:00:00+00:00,0.68059,0.68041
2022-01-05 04:00:00+00:00,0.68052,0.68034
2022-01-05 05:00:00+00:00,0.68035,0.68018
