dt,ask,bid
2022-01-02 22:00:00+00:00,1.2646,1.2636
2022-01-02 23:00:00+00:00,1.26524,1.26475
2022-01-03 00:00:00+00:00,1.2656,1.26536
2022-01-03 01:00:00+00:00,1.26586,1.26563
2022-01-03 02:00:00+00:00,1.267,1.26679
2022-01-03 03:00:00+00:00,1.26785,1.26762
2022-01-03 04:00:00+00:00,1.26774,1.26751
2022-01-03 05:00:00+00:00,1.26799,1.26777
2022-01-03 06:00:00+00:00,1.26805,1.26782
2022-01-03 07:00:00+00:00,1.2679,1.26769
2022-01-03 08:00:00+00:00,1.2674,1.26721
2022-01-03 09:00:00+00:00,1.26784,1.26764
2022-01-03 10:00:00+00:00,1.26805,1.26785
2022-01-03 11:00:00+00:00,1.26829,1.2681
2022-01-03 12:00:00+00:00,1.26833,1.26815
2022-01-03 13:00:00+00:00,1.27041,1.27021
2022-01-03 14:00:00+00:00,1.2733,1.27308
2022-01-03 15:00:00+00:00,1.27607,1.27584
2022-01-03 16:00:00+00:00,1.27632,1.27612
2022-01-03 17:00:00+00:00,1.27562,1.27543
2022-01-03 18:00:00+00:00,1.27498,1.27477
2022-01-03 19:00:00+00:00,1.27487,1.27466
2022-01-03 20:00:00+00:00,1.2752,1.27499
2022-01-03 21:00:00+00:00,1.27507,1.27473
2022-01-03 22:00:00+00:00,1.27526,1.27481
2022-01-03 23:00:00+00:00,1.27517,1.27487
2022-01-04 00:00:00+00:00,1.27498,1.27475
2022-01-04 01:00:00+00:00,1.27498,1.27476
2022-01-04 02:00:00+00:00,1.27498,1.27477
2022-01-04 03:00:00+00:00,1.27472,1.27451
2022-01-04 04:00:00+00:00,1.27372,1.2735
2022-01-04 05:00:00+00:00,1.27279,1.27259
2022-01-04 06:00:00+00:00,1.2731,1.27291
2022-01-04 07:00:00+00:00,1.27319,1.273
2022-01-04 08:00:00+00:00,1.27409,1.27387
2022-01-04 09:00:00+00:00,1.27456,1.27438
2022-01-04 10:00:00+00:00,1.27462,1.27444
2022-01-04 11:00:00+00:00,1.27509,1.2749
2022-01-04 12:00:00+00:00,1.27586,1.27568
2022-01-04 13:00:00+00:00,1.27422,1.27403
2022-01-04 14:00:00+00:00,1.27193,1.2717
