dt,ask,bid
2022-01-02 22:00:00+00:00,0.91225,0.91075
2022-01-02 23:00:00+00:00,0.91234,0.91168
2022-01-03 00:00:00+00:00,0.9127,0.91254
2022-01-03 01:00:00+00:00,0.91318,0.91302
2022-01-03 02:00:00+00:00,0.91389,0.91374
2022-01-03 03:00:00+00:00,0.9144,0.91423
2022-01-03 04:00:00+00:00,0.91456,0.91441
2022-01-03 05:00:00+00:00,0.91478,0.91461
2022-01-03 06:00:00+00:00,0.91443,0.91426
2022-01-03 07:00:00+00:00,0.91407,0.91391
2022-01-03 08:00:00+00:00,0.91341,0.91325
2022-01-03 09:00:00+00:00,0.91243,0.91226
2022-01-03 10:00:00+00:00,0.91254,0.91238
2022-01-03 11:00:00+00:00,0.9124,0.91225
2022-01-03 12:00:00+00:00,0.9129,0.91275
2022-01-03 13:00:00+00:00,0.91432,0.91418
2022-01-03 14:00:00+00:00,0.91702,0.91688
2022-01-03 15:00:00+00:00,0.91886,0.91872
2022-01-03 16:00:00+00:00,0.91878,0.91862
2022-01-03 17:00:00+00:00,0.91923,0.91907
2022-01-03 18:00:00+00:00,0.91885,0.91871
2022-01-03 19:00:00+00:00,0.91848,0.91834
2022-01-03 20:00:00+00:00,0.91866,0.91852
2022-01-03 21:00:00+00:00,0.91889,0.91871
2022-01-03 22:00:00+00:00,0.9198,0.9183
2022-01-03 23:00:00+00:00,0.91902,0.91835
2022-01-04 00:00:00+00:00,0.91811,0.91795
2022-01-04 01:00:00+00:00,0.91769,0.91753
2022-01-04 02:00:00+00:00,0.91802,0.91786
2022-01-04 03:00:00+00:00,0.9186,0.91844
2022-01-04 04:00:00+00:00,0.91837,0.91822
2022-01-04 05:00:00+00:00,0.91816,0.91801
2022-01-04 06:00:00+00:00,0.91826,0.91812
2022-01-04 07:00:00+00:00,0.91889,0.91873
2022-01-04 08:00:00+00:00,0.91865,0.9185
2022-01-04 09:00:00+00:00,0.91826,0.91811
2022-01-04 10:00:00+00:00,0.91774,0.91758
2022-01-04 11:00:00+00:00,0.91844,0.91829
2022-01-04 12:00:00+00:00,0.91871,0.91857
2022-01-04 13:00:00+00:00,0.91799,0.91786
2022-01-04 14:00:00+00:00,0.91702,0.91681
2022-01-04 15:00:00+00:00,0.91516,0.91498
2022-01-04 16:00:00+00:00,0.91514,0.91498
2022-01-04 17:00:00+00:00,0.91569,0.91556
2022-01-04 18:00:00+00:00,0.91643,0.91629
2022-01-04 19:00:00+00:00,0.9166,0.91646
2022-01-04 20:00:00+00:00,0.91644,0.91629
2022-01-04 21:00:00+00:00,0.91638,0.91619
2022-01-04 22:00:00+00:00,0.91687,0.91537
2022-01-04 23:00:00+00:00,0.91651,0.91589
2022-01-05 00:00:00+00:00,0.91664,0.91648
2022-01-05 01:00:00+00:00,0.91651,0.91635
2022-01-05 02:00:00+00:00,0.91639,0.91625
2022-01-05 03:00:00+00:00,0.91624,0.91608
2022-01-05 04:00:00+00:00,0.91646,0.9163
2022-01-05 05:00:00+00:00,0.91633,0.91617
2022-01-05 06:00:00+00:00,0.91587,0.91572
2022-01-05 07:00:00+00:00,0.9155,0.91533
2022-01-05 08:00:00+00:00,0.91524,0.91508
2022-01-05 09:00:00+00:00,0.91567,0.91552
2022-01-05 10:00:00+00:00,0.91559,0.91543
2022-01-05 11:00:00+00:00,0.91528,0.91513
2022-01-05 12:00:00+00:00,0.91582,0.91568
2022-01-05 13:00:00+00:00,0.9159,0.91575
2022-01-05 14:00:00+00:00,0.91541,0.91527
2022-01-05 15:00:00+00:00,0.91514,0.915
2022-01-05 16:00:00+00:00,0.91576,0.91562
2022-01-05 17:00:00+00:00,0.91605,0.91591
2022-01-05 18:00:00+00:00,0.91617,0.91598
2022-01-05 19:00:00+00:00,0.91718,0.91699
2022-01-05 20:00:00+00:00,0.91781,0.91764
2022-01-05 21:00:00+00:00,0.91762,0.91746
2022-01-05 22:00:00+00:00,0.91769,0.91628
2022-01-05 23:00:00+00:00,0.9176,0.91693
2022-01-06 00:00:00+00:00,0.91803,0.91788
2022-01-06 01:00:00+00:00,0.91762,0.91746
2022-01-06 02:00:00+00:00,0.91729,0.91714
2022-01-06 03:00:00+00:00,0.91757,0.91742
2022-01-06 04:00:00+00:00,0.91777,0.91761
2022-01-06 05:00:00+00:00,0.91795,0.9178
2022-01-06 06:00:00+00:00,0.91834,0.9182
2022-01-06 07:00:00+00:00,0.91933,0.9192
2022-01-06 08:00:00+00:00,0.91944,0.9193
2022-01-06 09:00:00+00:00,0.91901,0.91887
2022-01-06 10:00:00+00:00,0.91852,0.91837
2022-01-06 11:00:00+00:00,0.9182,0.91805
2022-01-06 12:00:00+00:00,0.91842,0.91827
2022-01-06 13:00:00+00:00,0.91875,0.9186
2022-01-06 14:00:00+00:00,0.91805,0.91787
2022-01-06 15:00:00+00:00,0.91888,0.91869
2022-01-06 16:00:00+00:00,0.91966,0.91951
2022-01-06 17:00:00+00:00,0.92026,0.92011
2022-01-06 18:00:00+00:00,0.92131,0.92117
2022-01-06 19:00:00+00:00,0.92206,0.9219
2022-01-06 20:00:00+00:00,0.9221,0.92195
2022-01-06 21:00:00+00:00,0.92159,0.92136
2022-01-06 22:00:00+00:00,0.92193,0.92086
2022-01-06 23:00:00+00:00,0.92161,0.92131
2022-01-07 00:00:00+00:00,0.92162,0.92147
2022-01-07 01:00:00+00:00,0.9213,0.92114
2022-01-07 02:00:00+00:00,0.92132,0.92117
2022-01-07 03:00:00+00:00,0.92139,0.92124
2022-01-07 04:00:00+00:00,0.92143,0.92128
2022-01-07 05:00:00+00:00,0.92128,0.92114
2022-01-07 06:00:00+00:00,0.92142,0.92129
2022-01-07 07:00:00+00:00,0.92124,0.92109
2022-01-07 08:00:00+00:00,0.92076,0.92061
2022-01-07 09:00:00+00:00,0.92101,0.92086
2022-01-07 10:00:00+00:00,0.92119,0.92103
2022-01-07 11:00:00+00:00,0.92171,0.92156
2022-01-07 12:00:00+00:00,0.92238,0.92222
2022-01-07 13:00:00+00:00,0.92261,0.92243
2022-01-07 14:00:00+00:00,0.92191,0.92176
2022-01-07 15:00:00+00:00,0.92055,0.9204
2022-01-07 16:00:00+00:00,0.91969,0.91955
2022-01-07 17:00:00+00:00,0.91909,0.91895
2022-01-07 18:00:00+00:00,0.91901,0.91886
2022-01-07 19:00:00+00:00,0.91875,0.9186
2022-01-07 20:00:00+00:00,0.91849,0.91833
2022-01-07 21:00:00+00:00,0.91853,0.91829
2022-01-09 22:00:00+00:00,0.91957,0.91819
2022-01-09 23:00:00+00:00,0.91925,0.91861
2022-01-10 00:00:00+00:00,0.91896,0.9188
2022-01-10 01:00:00+00:00,0.91899,0.91884
2022-01-10 02:00:00+00:00,0.91952,0.91937
2022-01-10 03:00:00+00:00,0.92017,0.92003
2022-01-10 04:00:00+00:00,0.92031,0.92017
2022-01-10 05:00:00+00:00,0.92053,0.92038
2022-01-10 06:00:00+00:00,0.92071,0.92057
2022-01-10 07:00:00+00:00,0.92073,0.92058
2022-01-10 08:00:00+00:00,0.92085,0.9207
2022-01-10 09:00:00+00:00,0.92072,0.92057
2022-01-10 10:00:00+00:00,0.92142,0.92127
2022-01-10 11:00:00+00:00,0.92185,0.92169
2022-01-10 12:00:00+00:00,0.92277,0.92262
2022-01-10 13:00:00+00:00,0.92446,0.92431
2022-01-10 14:00:00+00:00,0.926,0.92586
2022-01-10 15:00:00+00:00,0.92587,0.92571
