dt,ask,bid
2022-01-02 22:00:00+00:00,115.162,115.08
2022-01-02 23:00:00+00:00,115.144,115.116
2022-01-03 00:00:00+00:00,115.231,115.217
2022-01-03 01:00:00+00:00,115.24,115.227
2022-01-03 02:00:00+00:00,115.258,115.244
2022-01-03 03:00:00+00:00,115.283,115.27
2022-01-03 04:00:00+00:00,115.285,115.272
2022-01-03 05:00:00+00:00,115.305,115.29
2022-01-03 06:00:00+00:00,115.338,115.324
2022-01-03 07:00:00+00:00,115.314,115.299
2022-01-03 08:00:00+00:00,115.278,115.265
2022-01-03 09:00:00+00:00,115.215,115.202
2022-01-03 10:00:00+00:00,115.123,115.109
2022-01-03 11:00:00+00:00,115.068,115.055
2022-01-03 12:00:00+00:00,115.086,115.073
2022-01-03 13:00:00+00:00,115.104,115.089
2022-01-03 14:00:00+00:00,115.254,115.24
2022-01-03 15:00:00+00:00,115.312,115.298
2022-01-03 16:00:00+00:00,115.289,115.276
2022-01-03 17:00:00+00:00,115.307,115.295
2022-01-03 18:00:00+00:00,115.301,115.288
2022-01-03 19:00:00+00:00,115.316,115.302
2022-01-03 20:00:00+00:00,115.335,115.321
2022-01-03 21:00:00+00:00,115.354,115.34
2022-01-03 22:00:00+00:00,115.361,115.308
2022-01-03 23:00:00+00:00,115.343,115.318
2022-01-04 00:00:00+00:00,115.376,115.361
2022-01-04 01:00:00+00:00,115.418,115.404
2022-01-04 02:00:00+00:00,115.536,115.523
2022-01-04 03:00:00+00:00,115.685,115.672
2022-01-04 04:00:00+00:00,115.769,115.755
2022-01-04 05:00:00+00:00,115.774,115.76
2022-01-04 06:00:00+00:00,115.779,115.766
2022-01-04 07:00:00+00:00,115.755,115.741
2022-01-04 08:00:00+00:00,115.805,115.792
2022-01-04 09:00:00+00:00,115.844,115.831
2022-01-04 10:00:00+00:00,115.873,115.86
2022-01-04 11:00:00+00:00,116.06,116.046
2022-01-04 12:00:00+00:00,116.255,116.242
2022-01-04 13:00:00+00:00,116.29,116.276
2022-01-04 14:00:00+00:00,116.272,116.252
2022-01-04 15:00:00+00:00,116.171,116.156
2022-01-04 16:00:00+00:00,116.116,116.103
2022-01-04 17:00:00+00:00,116.17,116.156
2022-01-04 18:00:00+00:00,116.161,116.146
2022-01-04 19:00:00+00:00,116.137,116.124
2022-01-04 20:00:00+00:00,116.119,116.105
2022-01-04 21:00:00+00:00,116.139,116.122
2022-01-04 22:00:00+00:00,116.163,116.101
2022-01-04 23:00:00+00:00,116.184,116.165
2022-01-05 00:00:00+00:00,116.195,116.181
2022-01-05 01:00:00+00:00,116.074,116.06
2022-01-05 02:00:00+00:00,116.009,115.995
2022-01-05 03:00:00+00:00,115.992,115.978
2022-01-05 04:00:00+00:00,116.038,116.025
2022-01-05 05:00:00+00:00,116.038,116.024
2022-01-05 06:00:00+00:00,116.002,115.988
2022-01-05 07:00:00+00:00,116.009,115.995
2022-01-05 08:00:00+00:00,115.964,115.951
2022-01-05 09:00:00+00:00,115.881,115.868
2022-01-05 10:00:00+00:00,115.805,115.793
2022-01-05 11:00:00+00:00,115.714,115.7
2022-01-05 12:00:00+00:00,115.753,115.739
2022-01-05 13:00:00+00:00,115.823,115.808
2022-01-05 14:00:00+00:00,115.762,115.749
2022-01-05 15:00:00+00:00,115.78,115.768
2022-01-05 16:00:00+00:00,115.878,115.866
2022-01-05 17:00:00+00:00,115.96,115.947
2022-01-05 18:00:00+00:00,116.011,115.995
2022-01-05 19:00:00+00:00,116.113,116.098
2022-01-05 20:00:00+00:00,116.14,116.127
2022-01-05 21:00:00+00:00,116.116,116.101
2022-01-05 22:00:00+00:00,116.147,116.095
2022-01-05 23:00:00+00:00,116.13,116.113
2022-01-06 00:00:00+00:00,116.108,116.094
2022-01-06 01:00:00+00:00,115.998,115.985
2022-01-06 02:00:00+00:00,115.927,115.913
2022-01-06 03:00:00+00:00,115.904,115.89
2022-01-06 04:00:00+00:00,115.879,115.865
2022-01-06 05:00:00+00:00,115.893,115.881
2022-01-06 06:00:00+00:00,115.873,115.86
2022-01-06 07:00:00+00:00,115.894,115.881
2022-01-06 08:00:00+00:00,115.816,115.801
2022-01-06 09:00:00+00:00,115.757,115.744
2022-01-06 10:00:00+00:00,115.828,115.815
2022-01-06 11:00:00+00:00,115.829,115.814
2022-01-06 12:00:00+00:00,115.824,115.811
2022-01-06 13:00:00+00:00,115.779,115.767
2022-01-06 14:00:00+00:00,115.786,115.77
2022-01-06 15:00:00+00:00,115.749,115.731
2022-01-06 16:00:00+00:00,115.77,115.756
2022-01-06 17:00:00+00:00,115.807,115.794
2022-01-06 18:00:00+00:00,115.841,115.827
2022-01-06 19:00:00+00:00,115.909,115.896
2022-01-06 20:00:00+00:00,115.923,115.909
2022-01-06 21:00:00+00:00,115.883,115.866
2022-01-06 22:00:00+00:00,115.881,115.822
2022-01-06 23:00:00+00:00,115.876,115.856
2022-01-07 00:00:00+00:00,115.945,115.93
2022-01-07 01:00:00+00:00,115.927,115.913
2022-01-07 02:00:00+00:00,115.89,115.877
2022-01-07 03:00:00+00:00,115.881,115.867
2022-01-07 04:00:00+00:00,115.903,115.89
2022-01-07 05:00:00+00:00,115.919,115.906
2022-01-07 06:00:00+00:00,115.934,115.921
2022-01-07 07:00:00+00:00,115.904,115.891
2022-01-07 08:00:00+00:00,115.833,115.82
2022-01-07 09:00:00+00:00,115.83,115.817
2022-01-07 10:00:00+00:00,115.841,115.827
2022-01-07 11:00:00+00:00,115.817,115.803
2022-01-07 12:00:00+00:00,115.833,115.82
2022-01-07 13:00:00+00:00,115.846,115.825
2022-01-07 14:00:00+00:00,115.765,115.753
2022-01-07 15:00:00+00:00,115.677,115.664
2022-01-07 16:00:00+00:00,115.639,115.627
2022-01-07 17:00:00+00:00,115.631,115.619
2022-01-07 18:00:00+00:00,115.605,115.592
2022-01-07 19:00:00+00:00,115.577,115.564
2022-01-07 20:00:00+00:00,115.575,115.561
2022-01-07 21:00:00+00:00,115.57,115.551
2022-01-09 22:00:00+00:00,115.65,115.577
2022-01-09 23:00:00+00:00,115.632,115.61
2022-01-10 00:00:00+00:00,115.618,115.603
2022-01-10 01:00:00+00:00,115.625,115.61
2022-01-10 02:00:00+00:00,115.732,115.718
2022-01-10 03:00:00+00:00,115.803,115.789
2022-01-10 04:00:00+00:00,115.808,115.795
2022-01-10 05:00:00+00:00,115.816,115.803
2022-01-10 06:00:00+00:00,115.798,115.784
2022-01-10 07:00:00+00:00,115.79,115.777
2022-01-10 08:00:00+00:00,115.72,115.707
2022-01-10 09:00:00+00:00,115.666,115.652
2022-01-10 10:00:00+00:00,115.619,115.605
2022-01-10 11:00:00+00:00,115.424,115.41
2022-01-10 12:00:00+00:00,115.269,115.255
2022-01-10 13:00:00+00:00,115.338,115.325
2022-01-10 14:00:00+00:00,115.369,115.354
2022-01-10 15:00:00+00:00,115.216,115.203
2022-01-10 16:00:00+00:00,115.129,115.115
2022-01-10 17:00:00+00:00,115.116,115.102
2022-01-10 18:00:00+00:00,115.182,115.168
2022-01-10 19:00:00+00:00,115.221,115.208
2022-01-10 20:00:00+00:00,115.241,115.227
2022-01-10 21:00:00+00:00,115.231,115.214
2022-01-10 22:00:00+00:00,115.239,115.184
2022-01-10 23:00:00+00:00,115.272,115.251
2022-01-11 00:00:00+00:00,115.292,115.278
2022-01-11 01:00:00+00:00,115.329,115.315
2022-01-11 02:00:00+00:00,115.354,115.34
2022-01-11 03:00:00+00:00,115.37,115.356
2022-01-11 04:00:00+00:00,115.303,115.289
2022-01-11 05:00:00+00:00,115.27,115.255
2022-01-11 06:00:00+00:00,115.248,115.234
2022-01-11 07:00:00+00:00,115.238,115.223
2022-01-11 08:00:00+00:00,115.294,115.281
2022-01-11 09:00:00+00:00,115.365,115.352
2022-01-11 10:00:00+00:00,115.425,115.411
2022-01-11 11:00:00+00:00,115.423,115.409
2022-01-11 12:00:00+00:00,115.466,115.452
2022-01-11 13:00:00+00:00,115.579,115.566
2022-01-11 14:00:00+00:00,115.589,115.575
2022-01-11 15:00:00+00:00,115.497,115.483
2022-01-11 16:00:00+00:00,115.429,115.415
2022-01-11 17:00:00+00:00,115.442,115.429
2022-01-11 18:00:00+00:00,115.41,115.397
2022-01-11 19:00:00+00:00,115.37,115.357
2022-01-11 20:00:00+00:00,115.324,115.311
2022-01-11 21:00:00+00:00,115.302,115.286
2022-01-11 22:00:00+00:00,115.339,115.292
2022-01-11 23:00:00+00:00,115.34,115.321
2022-01-12 00:00:00+00:00,115.295,115.281
2022-01-12 01:00:00+00:00,115.286,115.272
2022-01-12 02:00:00+00:00,115.337,115.322
2022-01-12 03:00:00+00:00,115.365,115.351
2022-01-12 04:00:00+00:00,115.39,115.375
2022-01-12 05:00:00+00:00,115.367,115.352
2022-01-12 06:00:00+00:00,115.347,115.332
2022-01-12 07:00:00+00:00,115.377,115.363
2022-01-12 08:00:00+00:00,115.39,115.376
2022-01-12 09:00:00+00:00,115.358,115.343
2022-01-12 10:00:00+00:00,115.42,115.406
2022-01-12 11:00:00+00:00,115.426,115.411
2022-01-12 12:00:00+00:00,115.418,115.405
2022-01-12 13:00:00+00:00,115.305,115.277
2022-01-12 14:00:00+00:00,115.162,115.148
2022-01-12 15:00:00+00:00,114.96,114.946
2022-01-12 16:00:00+00:00,114.791,114.778
2022-01-12 17:00:00+00:00,114.617,114.604
2022-01-12 18:00:00+00:00,114.586,114.572
2022-01-12 19:00:00+00:00,114.481,114.461
2022-01-12 20:00:00+00:00,114.487,114.473
2022-01-12 21:00:00+00:00,114.598,114.582
2022-01-12 22:00:00+00:00,114.685,114.649
2022-01-12 23:00:00+00:00,114.682,114.664
2022-01-13 00:00:00+00:00,114.655,114.641
2022-01-13 01:00:00+00:00,114.594,114.579
2022-01-13 02:00:00+00:00,114.622,114.607
2022-01-13 03:00:00+00:00,114.583,114.569
2022-01-13 04:00:00+00:00,114.569,114.556
2022-01-13 05:00:00+00:00,114.558,114.545
2022-01-13 06:00:00+00:00,114.607,114.593
2022-01-13 07:00:00+00:00,114.507,114.492
2022-01-13 08:00:00+00:00,114.457,114.444
2022-01-13 09:00:00+00:00,114.535,114.522
2022-01-13 10:00:00+00:00,114.53,114.516
2022-01-13 11:00:00+00:00,114.508,114.493
2022-01-13 12:00:00+00:00,114.406,114.392
2022-01-13 13:00:00+00:00,114.309,114.295
2022-01-13 14:00:00+00:00,114.285,114.272
2022-01-13 15:00:00+00:00,114.206,114.192
2022-01-13 16:00:00+00:00,114.084,114.07
2022-01-13 17:00:00+00:00,114.06,114.046
2022-01-13 18:00:00+00:00,114.116,114.102
2022-01-13 19:00:00+00:00,114.106,114.092
2022-01-13 20:00:00+00:00,114.118,114.103
2022-01-13 21:00:00+00:00,114.161,114.142
2022-01-13 22:00:00+00:00,114.217,114.155
2022-01-13 23:00:00+00:00,114.159,114.143
