,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2011-01-03,-0.22,0.28,0.33,0.29,-0.38,0.21,-0.52,-0.24,0.05,0.18
2011-01-04,-0.79,-0.02,-1.31,0.05,1.19,0.51,0.08,-0.48,0.29,0.48
2011-01-05,0.15,1.07,-1.25,-0.55,0.26,0.73,-0.87,-0.62,0.31,0.77
2011-01-06,-0.32,0.15,0.3,-0.98,-0.04,0.24,0.16,0.19,0.04,0.26
2011-01-07,0.08,0.27,-0.28,-0.9,0.44,-0.09,0.15,0.37,0.03,-0.08
2011-01-10,0.04,-0.29,-0.12,0.38,0.1,-0.32,0.43,0.51,-0.46,-0.27
2011-01-11,-0.77,0.5,-0.54,0.37,0.35,0.19,-0.55,-0.27,0.56,0.17
2011-01-12,0.43,-0.1,0.18,0.72,0.53,-0.61,-0.29,-0.13,-0.1,-0.62
2011-01-13,-0.28,-0.79,-0.08,1.55,0.13,-0.38,-0.16,0.68,-0.26,-0.4
2011-01-14,-0.82,-0.02,0.2,0.37,0.41,0.16,0.1,-0.54,-0.03,0.17
2011-01-17,0.3,0.09,-0.26,-0.8,0.11,-0.04,0.13,0.55,-0.05,-0.04
2011-01-18,0.42,-0.69,-0.07,0.56,0.32,-0.24,-0.05,-0.27,0.23,-0.21
2011-01-19,-0.02,-0.69,0.81,0.53,0.05,-0.21,0.55,-0.61,-0.21,-0.19
2011-01-20,-0.78,0.56,-0.71,0.74,0.06,0.66,-0.59,-0.99,0.31,0.74
2011-01-21,-0.18,-0.0,0.58,0.73,0.25,-0.59,0.12,-0.34,-0.1,-0.47
2011-01-24,0.78,-0.25,0.54,-0.28,-0.39,-0.39,-0.22,0.51,-0.04,-0.26
2011-01-25,-0.18,-0.46,0.7,0.26,-1.28,0.03,0.29,0.71,0.03,-0.09
2011-01-26,0.03,0.04,-0.14,-0.01,0.57,-0.2,-0.15,0.33,-0.2,-0.26
2011-01-27,-0.58,0.29,-0.25,0.4,0.18,0.12,-0.78,0.14,0.25,0.23
2011-01-28,0.31,-0.77,0.51,-0.89,-0.38,0.11,1.16,0.31,-0.45,0.09
2011-01-31,0.57,-0.27,-0.66,0.51,0.81,-0.45,-0.4,0.09,0.16,-0.35
2011-02-01,0.65,0.29,0.16,0.22,0.02,-0.79,0.07,0.35,-0.11,-0.86
2011-02-02,0.05,0.47,-0.39,0.02,0.51,0.22,-0.11,-0.97,0.04,0.16
2011-02-03,0.83,-0.12,-0.4,-1.17,-0.13,0.27,0.16,0.25,0.07,0.24
2011-02-04,0.11,0.71,-0.85,-0.15,0.11,0.27,-0.48,-0.22,0.22,0.28
2011-02-07,0.0,-0.32,0.24,0.14,0.04,0.01,-0.22,0.03,0.1,-0.02
2011-02-08,0.18,-0.44,-0.85,0.4,-0.23,0.06,0.0,0.79,0.03,0.05
2011-02-09,-0.35,0.04,0.52,0.76,0.12,-0.17,-0.11,-0.5,-0.18,-0.12
2011-02-10,-0.27,0.45,-0.68,-0.45,0.59,0.57,-0.56,-0.54,0.27,0.61
2011-02-11,-0.06,1.1,-0.25,-0.16,-0.41,0.13,-0.07,-0.34,-0.15,0.21
2011-02-14,0.33,-0.14,0.35,-0.34,0.19,-0.19,0.05,-0.1,0.03,-0.18
2011-02-15,-0.61,0.04,0.45,0.1,0.72,0.15,-0.48,-0.61,0.12,0.11
2011-02-16,0.41,0.21,0.54,0.34,-0.56,-0.29,-0.22,0.08,-0.16,-0.34
2011-02-17,0.52,-0.39,0.69,-0.12,0.1,-0.41,0.05,0.18,-0.17,-0.45
2011-02-18,0.04,-0.54,0.33,0.42,0.29,-0.24,-0.09,0.13,-0.08,-0.26
2011-02-21,-0.38,0.38,-0.28,-0.07,-0.12,0.08,0.04,0.22,0.01,0.11
2011-02-22,-0.7,-0.41,1.39,0.24,-0.15,0.32,0.96,-2.08,-0.03,0.46
2011-02-23,0.08,-0.16,0.38,0.49,0.21,-0.35,0.05,-0.41,0.0,-0.31
2011-02-24,0.4,0.45,0.45,0.09,-0.83,-0.34,0.5,-0.09,-0.31,-0.33
2011-02-25,0.75,0.36,-0.43,-0.59,-0.35,-0.18,0.08,0.42,0.16,-0.22
2011-02-28,0.08,0.52,-0.32,0.1,0.71,-0.21,-0.41,-0.02,-0.15,-0.29
2011-03-01,-0.35,-0.14,0.25,-0.02,0.28,0.17,0.12,-0.55,0.04,0.21
2011-03-02,0.18,-0.03,0.39,0.51,0.2,-0.21,-0.23,-0.8,0.18,-0.2
2011-03-03,-0.1,0.29,-0.82,0.99,-0.18,0.2,-0.62,-0.18,0.28,0.15
2011-03-04,-0.13,-0.21,0.78,0.1,-0.12,-0.03,0.12,-0.5,0.03,-0.05
2011-03-07,-0.22,0.1,-0.04,-0.11,-0.43,0.1,0.22,0.05,0.24,0.1
2011-03-08,-0.01,0.44,-0.8,-0.29,-0.06,0.19,-0.36,0.61,0.06,0.22
2011-03-09,0.01,0.25,0.58,-0.06,0.2,-0.05,-0.19,-0.51,-0.13,-0.09
2011-03-10,-0.6,-0.36,0.22,-0.38,-0.47,0.48,0.18,0.31,0.12,0.5
2011-03-11,0.84,-0.28,-0.33,0.24,-0.46,-0.59,0.87,0.49,-0.17,-0.61
2011-03-14,-0.55,-0.1,0.35,0.18,0.56,-0.05,0.02,-0.45,0.08,-0.03
2011-03-15,-1.63,-0.93,1.38,0.5,-0.2,0.35,1.67,-0.7,-0.88,0.44
2011-03-16,-0.74,-0.53,1.09,-0.74,-0.32,0.02,1.6,-0.49,0.05,0.05
2011-03-17,-0.69,0.44,0.87,0.68,0.46,-0.35,0.67,-1.87,0.07,-0.3
2011-03-18,1.41,-0.3,-0.63,0.91,0.31,-0.32,-2.76,1.68,0.09,-0.37
2011-03-21,0.84,0.45,-0.94,-0.09,0.18,-0.3,-0.53,0.36,0.35,-0.32
2011-03-22,0.3,-0.5,-0.0,-0.36,0.24,-0.1,-0.05,0.53,0.09,-0.14
2011-03-23,0.54,0.13,-0.39,-0.63,-0.66,0.22,0.29,0.24,0.04,0.22
2011-03-24,0.57,0.4,-0.31,0.39,-1.09,-0.3,-0.41,0.96,0.1,-0.32
2011-03-25,0.8,-0.44,-1.1,-0.42,-0.27,0.26,-0.2,0.93,0.16,0.28
2011-03-28,0.0,0.24,0.56,0.32,-0.13,-0.08,-0.43,-0.29,-0.16,-0.03
2011-03-29,0.43,0.33,-0.48,0.13,0.06,0.03,-1.14,0.65,0.06,-0.07
2011-03-30,0.21,0.2,0.02,-0.08,0.23,-0.08,-0.76,0.7,-0.24,-0.2
2011-03-31,0.04,0.09,-0.04,0.27,-0.27,0.11,-0.29,-0.09,0.14,0.04
2011-04-01,0.44,0.66,-0.78,0.44,0.4,-0.16,-1.39,0.68,-0.12,-0.17
2011-04-04,-0.37,-0.33,0.17,-0.06,0.19,0.12,0.2,0.04,0.03,0.02
2011-04-05,-0.34,0.39,-0.26,0.04,1.15,0.01,-1.05,0.07,-0.02,0.02
2011-04-06,0.77,-0.08,0.35,0.43,-0.18,-0.42,-1.24,1.17,-0.38,-0.42
2011-04-07,0.18,0.15,0.17,-0.32,-0.19,-0.09,0.62,-0.23,-0.15,-0.14
2011-04-08,0.47,-0.2,0.68,0.82,-0.12,-0.55,-0.35,0.02,-0.24,-0.53
2011-04-11,-0.61,-0.03,0.22,-0.15,-0.07,0.13,0.49,-0.35,0.22,0.13
2011-04-12,-0.75,-0.92,1.05,0.19,-0.73,-0.18,1.21,0.38,-0.12,-0.13
2011-04-13,0.62,0.01,-0.04,-0.38,-0.04,-0.17,-0.47,0.74,-0.15,-0.12
2011-04-14,0.01,-0.26,0.09,-0.04,0.18,-0.38,0.06,0.22,0.5,-0.39
2011-04-15,0.1,0.08,-0.12,-0.6,-0.31,-0.13,0.33,0.67,0.14,-0.15
2011-04-18,-0.15,-0.19,-0.04,-0.96,0.13,0.39,1.18,-0.79,0.02,0.41
2011-04-19,-0.02,0.75,-0.61,0.59,0.14,-0.19,-0.1,-0.5,0.13,-0.19
2011-04-20,1.2,-0.37,0.7,0.67,-0.15,-0.71,-0.76,0.52,-0.32,-0.79
2011-04-21,0.04,-0.38,-0.07,-0.08,0.45,-0.28,0.65,0.03,-0.04,-0.31
2011-04-22,-0.11,-0.17,0.02,0.1,-0.05,-0.03,0.01,0.19,0.04,0.01
2011-04-25,-0.18,-0.18,0.6,0.19,-0.18,0.03,0.03,-0.26,-0.08,0.05
2011-04-26,0.29,-0.05,0.37,0.11,-0.48,-0.37,0.01,0.51,0.0,-0.38
2011-04-27,0.6,-0.09,-0.22,0.79,0.69,-0.27,-1.11,0.02,-0.1,-0.3
2011-04-28,0.45,-0.23,0.01,0.15,-0.09,-0.1,0.72,-0.89,0.1,-0.12
2011-04-29,0.03,0.21,0.63,-0.54,0.06,-0.41,-0.01,0.63,-0.16,-0.44
2011-05-02,-0.15,-0.41,0.16,0.27,-0.18,0.16,0.07,-0.29,0.22,0.15
2011-05-03,-0.7,0.07,0.81,0.27,-0.81,0.32,0.69,-0.77,-0.17,0.3
