,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02,0.66,0.64,0.63,0.62,0.7,0.69,0.69,1.19,0.7,0.68
2018-01-03,0.66,0.52,0.79,0.57,0.79,0.49,0.51,0.65,0.46,0.5
2018-01-04,0.58,0.54,0.51,0.64,0.5,0.53,0.67,0.99,0.47,0.53
2018-01-05,0.62,1.29,0.59,0.64,0.56,0.51,0.68,0.66,0.48,0.51
2018-01-08,0.53,0.57,0.5,0.69,0.54,0.46,0.58,0.59,0.54,0.48
2018-01-09,0.6,0.6,0.72,0.5,0.55,0.57,1.0,0.69,0.48,0.55
2018-01-10,0.77,1.41,0.89,0.77,0.89,0.85,1.28,1.07,0.7,0.83
2018-01-11,0.8,0.74,0.72,0.91,0.66,0.7,0.73,0.93,0.58,0.71
2018-01-12,0.93,0.81,0.93,1.24,1.37,0.88,0.81,1.03,0.75,0.89
2018-01-15,0.69,0.61,0.68,0.66,0.59,0.71,0.65,0.77,0.62,0.7
2018-01-16,0.52,0.65,0.75,0.64,0.49,0.53,0.73,0.7,0.47,0.53
2018-01-17,0.95,1.39,0.87,0.99,1.09,1.02,1.08,1.08,0.84,1.0
2018-01-18,0.67,0.83,0.77,0.61,0.65,0.71,0.67,0.81,0.56,0.71
2018-01-19,0.61,0.8,0.82,0.57,0.63,0.66,0.77,0.63,0.56,0.64
2018-01-22,0.53,0.52,0.57,0.53,0.85,0.54,0.71,0.72,0.46,0.54
2018-01-23,0.85,0.63,0.61,0.54,0.69,0.64,0.9,0.7,0.53,0.63
2018-01-24,0.91,0.9,1.12,0.9,1.37,1.12,0.91,1.53,0.82,1.13
2018-01-25,1.02,0.88,1.65,1.1,1.31,1.18,0.92,1.02,0.85,1.17
2018-01-26,1.13,0.77,0.91,0.84,1.14,1.02,1.18,0.85,0.78,1.01
2018-01-29,0.54,0.58,0.62,0.69,0.78,0.6,0.59,0.64,0.52,0.6
2018-01-30,0.72,0.59,0.76,0.72,1.09,0.78,0.85,0.78,0.62,0.78
2018-01-31,0.97,0.79,0.9,0.7,0.9,0.73,1.0,1.13,0.66,0.74
2018-02-01,0.97,0.61,0.74,0.86,0.83,0.72,0.77,0.76,0.58,0.73
2018-02-02,0.94,0.92,0.77,0.81,0.78,1.05,0.8,0.88,0.69,1.07
2018-02-05,1.04,1.04,1.2,0.88,1.21,0.9,1.59,0.94,0.82,0.9
2018-02-06,1.05,0.88,1.17,0.99,1.06,0.83,1.42,1.38,0.79,0.84
2018-02-07,0.95,0.79,1.03,0.95,0.94,0.98,1.24,1.49,0.77,0.97
2018-02-08,1.08,0.88,1.38,0.89,1.61,0.85,1.37,1.2,0.94,0.86
2018-02-09,1.09,1.16,1.02,0.94,1.73,0.83,1.5,1.03,0.85,0.83
2018-02-12,0.69,0.56,0.57,0.53,0.61,0.49,0.59,0.6,0.53,0.49
2018-02-13,0.86,0.76,0.78,0.77,0.74,0.68,1.19,0.84,0.62,0.66
2018-02-14,1.36,0.93,0.9,0.98,1.07,1.26,1.3,1.27,0.91,1.26
2018-02-15,0.91,0.72,0.81,0.53,0.73,0.66,0.84,0.65,0.57,0.66
2018-02-16,0.76,0.66,0.67,0.81,0.71,0.86,0.78,0.68,0.61,0.88
2018-02-19,0.42,0.39,0.46,0.39,0.42,0.51,0.5,0.51,0.38,0.5
2018-02-20,0.67,0.56,0.66,0.53,0.78,0.61,0.56,0.58,0.48,0.63
2018-02-21,0.99,0.53,0.53,0.52,0.73,0.67,0.69,0.71,0.51,0.67
2018-02-22,0.65,0.87,0.68,0.59,0.78,0.75,0.91,0.67,0.57,0.75
2018-02-23,0.65,1.02,0.65,0.59,0.73,0.6,0.7,0.96,0.61,0.6
2018-02-26,0.68,0.73,0.62,0.57,0.77,0.69,0.68,0.74,0.61,0.69
2018-02-27,0.68,0.57,0.66,0.67,0.71,0.78,0.64,0.66,0.55,0.81
2018-02-28,0.78,0.71,0.83,0.62,1.15,0.63,1.22,0.72,0.65,0.62
2018-03-01,0.77,0.76,0.75,0.78,0.68,0.71,1.06,1.02,0.59,0.7
2018-03-02,0.72,0.94,0.93,0.79,0.68,0.62,1.04,0.98,0.66,0.61
2018-03-05,0.7,1.04,0.76,0.8,0.93,0.61,1.02,0.71,0.6,0.62
2018-03-06,0.86,0.83,0.79,0.66,0.71,0.74,0.97,0.97,0.64,0.73
2018-03-07,0.87,0.95,0.96,0.62,0.73,0.59,0.9,0.68,0.7,0.6
2018-03-08,0.71,0.8,0.83,0.99,0.76,0.63,0.7,0.72,0.56,0.71
2018-03-09,0.91,0.8,0.63,0.63,0.68,0.57,1.11,0.65,0.54,0.61
2018-03-12,0.46,0.57,0.52,0.47,0.55,0.47,0.6,0.64,0.43,0.44
2018-03-13,0.83,1.41,0.75,0.77,0.85,0.71,1.14,0.91,0.63,0.71
2018-03-14,0.82,0.54,0.63,0.58,0.58,0.49,0.8,0.54,0.52,0.49
2018-03-15,0.87,0.82,0.66,0.57,0.73,0.68,0.86,0.75,0.61,0.69
2018-03-16,1.1,0.64,0.62,0.59,0.69,0.65,0.9,0.93,0.57,0.65
2018-03-19,0.67,0.66,0.64,0.73,1.2,0.62,0.98,0.79,0.57,0.63
2018-03-20,0.61,0.64,0.6,0.76,0.62,0.58,0.77,0.79,0.54,0.59
2018-03-21,1.02,1.12,0.73,0.71,0.83,0.93,0.91,0.98,0.68,0.93
2018-03-22,1.16,0.83,0.76,0.78,0.95,0.74,1.15,0.77,0.68,0.76
2018-03-23,0.75,0.93,0.74,0.65,0.65,0.6,0.91,0.84,0.55,0.61
2018-03-26,0.81,0.9,0.78,0.9,0.81,0.66,1.25,0.93,0.65,0.67
2018-03-27,0.91,0.67,0.66,0.66,0.98,0.7,0.83,0.62,0.63,0.7
2018-03-28,0.79,0.76,0.95,0.74,0.75,0.81,1.23,0.79,0.75,0.83
2018-03-29,0.62,0.61,0.5,0.55,0.72,0.48,0.65,0.67,0.47,0.48
2018-03-30,0.42,0.38,0.44,0.33,0.37,0.33,0.4,0.4,0.31,0.32
2018-04-02,0.61,0.59,0.46,0.46,0.52,0.45,0.97,0.47,0.41,0.45
2018-04-03,0.84,1.23,0.85,0.78,0.71,0.67,1.11,1.12,0.63,0.66
2018-04-04,0.86,0.82,0.8,0.63,0.67,0.58,1.02,0.88,0.63,0.58
2018-04-05,0.62,0.66,0.5,0.48,0.69,0.57,0.58,0.66,0.44,0.57
