,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2007-01-01,0.1,0.05,0.09,-0.03,-0.03,0.09,0.09,-0.04,0.0,-0.02,0.0,0.07,0.03,0.04,0.0,-0.02,-0.04,-0.01,0.0,-0.04,-0.01,-0.01,-0.06,0.05,0.0,0.04,0.02,0.01,0.04,0.04,-0.07,0.01,-0.04,0,-0.02,0,0.0,-0.07,0,-0.01,0.0,-0.07,0.0,-0.01,0.0
2007-01-02,0.82,0.43,0.89,0.69,0.51,0.62,0.85,-0.38,0.07,-0.13,-0.19,0.45,0.27,-0.29,0.53,0.13,-0.18,0.6,0.38,0.25,0.34,0.57,-0.11,0.71,0.31,0.78,0.58,0.42,0.52,0.74,-0.2,0.29,-0.09,0,0.15,0,0.32,-0.19,0,0.06,-0.03,-0.41,0.04,-0.17,-0.25
2007-01-03,0.05,0.41,-0.5,-0.16,-0.55,-0.32,-0.6,0.34,-0.55,-0.22,-0.38,-0.9,-0.56,-0.16,-0.13,0.24,0.32,-0.68,-0.34,-0.73,-0.51,-0.79,-0.52,-0.47,-0.1,-1.01,-0.68,-1.06,-0.84,-1.12,0.39,0.6,0.95,0,0.39,0,-0.07,0.73,0,0.17,0.66,1.01,0.11,0.45,0.28
2007-01-04,-0.53,-0.23,-0.84,-1.15,0.29,-0.67,-0.83,0.27,-0.32,-0.62,-0.15,-0.62,-0.87,0.2,-0.3,-0.1,-0.23,-0.65,-0.92,0.5,-0.48,-0.65,0.4,-0.12,0.17,-0.44,-0.72,0.71,-0.27,-0.44,-0.33,-0.83,-0.53,0,-1.41,0,-1.12,0.45,0,-0.44,0.32,0.62,-0.0,-0.27,0.17
2007-01-05,-1.09,-0.42,-0.7,-1.07,1.08,-0.77,-0.73,0.68,0.39,0.0,0.35,-0.29,-0.68,0.05,-0.98,-0.38,0.1,-0.6,-0.97,1.14,-0.63,-0.63,0.02,-1.06,-0.4,-0.68,-1.06,1.06,-0.71,-0.71,-0.33,-2.1,-1.45,0,-2.1,0,-1.75,0.37,0,-0.32,-0.37,0.32,0.03,-0.36,-0.0
2007-01-08,0.27,0.21,0.15,0.22,-0.09,0.18,0.1,-0.05,-0.1,-0.02,-0.07,-0.06,0.01,-0.03,0.22,0.16,-0.32,0.11,0.2,-0.14,0.14,0.06,0.26,0.51,0.48,0.4,0.5,0.16,0.43,0.35,0.07,0.36,0.31,0,0.32,0,0.2,0.03,0,0.04,0.15,0.11,0.06,0.13,0.12
2007-01-09,0.22,0.44,0.08,0.55,-0.34,-0.06,0.05,0.23,-0.14,0.32,-0.28,-0.36,0.11,-0.25,0.01,0.22,-0.25,-0.14,0.32,-0.54,-0.27,-0.17,0.06,0.28,0.49,0.14,0.6,-0.27,0.01,0.11,0.46,0.55,0.77,0,0.88,0,0.38,0.5,0,0.6,0.17,0.4,0.03,0.49,-0.1
2007-01-10,-0.67,-0.03,-0.4,-0.19,0.34,-0.44,-0.41,0.64,0.26,0.44,0.21,-0.38,-0.21,-0.11,-0.73,-0.07,-0.1,-0.47,-0.27,0.18,-0.51,-0.49,0.01,-0.64,0.02,-0.38,-0.19,0.27,-0.42,-0.4,0.2,-0.9,-0.27,0,-0.46,0,-0.66,0.43,0,0.23,-0.25,0.4,0.02,0.2,-0.03
2007-01-11,0.76,0.69,0.44,1.2,-0.04,1.03,0.45,-0.08,-0.32,0.43,0.26,-0.24,0.49,-0.79,-0.03,-0.1,-0.99,-0.35,0.37,-0.78,0.23,-0.34,0.21,0.98,0.9,0.66,1.41,0.22,1.25,0.67,0.72,0.74,0.68,0,1.18,0,0.44,-0.34,0,0.14,0.32,0.23,-0.01,0.73,0.57
2007-01-12,-0.28,0.19,0.38,0.2,0.34,0.22,0.35,0.45,0.65,0.49,0.5,0.19,0.05,-0.11,-0.4,0.06,-0.48,0.25,0.1,0.21,0.1,0.23,0.34,0.08,0.53,0.72,0.57,0.69,0.58,0.71,-0.13,-0.59,-0.15,0,-0.11,0,0.04,-0.05,0,0.0,-0.63,-0.18,0.01,-0.14,-0.13
2007-01-15,-0.17,0.03,-0.06,-0.02,-0.64,-0.14,-0.05,0.2,0.09,0.14,0.02,-0.11,-0.06,0.14,-0.01,0.19,-0.16,0.08,0.13,-0.5,0.01,0.1,0.31,0.15,0.34,0.24,0.28,-0.33,0.16,0.25,0.0,0.5,0.7,0,0.64,0,0.58,0.18,0,0.13,-0.1,0.09,-0.0,0.03,-0.06
2007-01-16,0.54,-0.16,-0.07,0.08,0.52,-0.26,-0.11,-0.67,-0.61,-0.48,-0.8,0.08,0.25,0.0,0.49,-0.19,0.02,-0.11,0.04,0.54,-0.29,-0.15,-0.04,0.48,-0.21,-0.11,0.03,0.54,-0.3,-0.16,0.13,-0.03,-0.73,0,-0.52,0,-0.7,0.11,0,0.32,0.66,-0.04,0.04,0.18,-0.14
2007-01-17,0.17,0.34,0.44,0.42,0.34,0.29,0.41,0.18,0.27,0.24,0.12,0.1,0.06,-0.28,-0.08,0.09,-0.27,0.19,0.15,0.04,0.04,0.15,0.02,0.19,0.37,0.46,0.43,0.31,0.31,0.43,0.0,-0.13,0.05,0,0.12,0,0.12,0.05,0,0.13,-0.24,-0.06,0.03,0.01,-0.12
2007-01-18,0.52,0.38,0.5,0.89,0.04,0.38,0.42,-0.14,-0.02,0.36,-0.15,0.11,0.49,-0.22,0.3,0.15,-0.02,0.28,0.66,-0.18,0.15,0.2,-0.19,0.32,0.18,0.31,0.68,-0.16,0.18,0.23,0.39,0.49,0.36,0,0.85,0,0.39,0.01,0,0.5,0.09,-0.03,0.08,0.46,-0.05
2007-01-19,-0.11,0.18,0.0,0.09,-0.03,0.09,0.04,0.29,0.12,0.12,0.21,-0.18,-0.12,-0.03,-0.2,0.11,-0.01,-0.09,-0.04,-0.09,0.0,-0.06,-0.06,-0.17,0.12,-0.06,-0.01,-0.06,0.03,-0.02,0.0,-0.11,0.17,0,0.02,0,0.05,0.09,0,-0.06,-0.15,0.14,-0.04,-0.01,0.06
2007-01-22,0.61,-0.13,-0.29,0.14,-0.79,-0.17,-0.22,-0.74,-0.9,-0.5,-0.78,-0.15,0.26,0.12,0.73,-0.03,-0.21,-0.18,0.24,-0.64,-0.06,-0.1,0.32,0.93,0.17,0.03,0.45,-0.44,0.15,0.11,0.39,1.38,0.62,0,0.89,0,0.55,0.03,0,0.3,0.83,0.07,-0.09,0.35,0.07
2007-01-23,0.52,0.12,0.63,0.64,0.37,0.42,0.66,-0.39,0.09,0.11,-0.12,0.49,0.47,-0.09,0.48,0.07,0.34,0.57,0.55,0.26,0.36,0.6,-0.4,0.14,-0.24,0.22,0.24,-0.08,0.01,0.25,0.06,0.21,-0.17,0,0.31,0,0.34,-0.28,0,0.21,-0.12,-0.51,-0.03,-0.02,-0.23
2007-01-24,-1.57,-1.03,-1.37,-1.82,-1.34,-1.32,-1.43,0.55,0.21,-0.21,0.25,-0.35,-0.77,1.04,-0.57,0.0,0.17,-0.38,-0.8,-0.32,-0.32,-0.43,0.85,-0.74,-0.18,-0.53,-0.96,-0.49,-0.48,-0.59,-0.45,-0.24,0.3,0,-0.47,0,-0.1,0.31,0,-0.48,-0.15,0.4,0.05,-0.37,0.11
2007-01-25,-0.69,-0.98,-1.01,-0.99,-0.46,-0.96,-1.05,-0.3,-0.33,-0.31,-0.27,-0.03,-0.02,0.75,0.06,-0.22,-0.03,-0.26,-0.24,0.29,-0.21,-0.3,0.79,0.09,-0.2,-0.24,-0.23,0.37,-0.19,-0.28,0.0,-0.22,-0.57,0,-0.59,0,-0.59,-0.02,0,-0.04,0.36,0.07,0.04,0.05,0.09
2007-01-26,-0.2,0.49,0.11,0.3,0.08,0.15,0.09,0.7,0.31,0.54,0.35,-0.38,-0.15,-0.15,-0.42,0.28,0.13,-0.1,0.12,-0.11,-0.06,-0.12,-0.34,-0.53,0.15,-0.22,-0.0,-0.24,-0.18,-0.25,0.26,-0.28,0.4,0,0.25,0,0.01,0.35,0,0.19,-0.29,0.4,0.02,0.26,0.07
2007-01-29,0.14,-0.16,-0.14,0.08,-0.22,-0.15,-0.18,-0.3,-0.28,-0.07,-0.29,0.02,0.23,0.47,0.62,0.29,0.25,0.34,0.54,0.28,0.32,0.29,0.23,0.37,0.05,0.09,0.27,0.04,0.08,0.05,0.19,0.33,0.03,0,0.25,0,0.01,-0.01,0,0.2,0.32,0.02,0.04,0.24,0.07
2007-01-30,-0.31,-0.15,-0.01,-0.1,1.22,-0.1,0.04,0.15,0.3,0.21,0.21,0.14,0.05,0.09,-0.23,-0.06,-0.0,0.06,-0.01,1.25,-0.03,0.1,0.06,-0.25,-0.07,0.05,-0.0,1.24,-0.04,0.09,0.0,-1.46,-1.31,0,-1.24,0,-1.13,-0.04,0,0.03,-0.34,-0.18,-0.04,-0.1,-0.12
2007-01-31,0.39,-0.01,0.58,-0.21,0.12,0.54,0.6,-0.38,0.18,-0.53,0.14,0.57,-0.19,-0.1,0.29,-0.1,0.38,0.47,-0.29,0.07,0.42,0.48,-0.47,-0.07,-0.46,0.11,-0.64,-0.27,0.06,0.13,-0.77,0.19,-0.18,0,-0.36,0,0.39,-0.53,0,-0.71,-0.2,-0.58,-0.02,-0.77,-0.07
2007-02-01,-0.26,-0.4,-0.42,-0.25,0.92,-0.5,-0.39,-0.14,-0.15,-0.07,-0.23,-0.01,0.14,0.26,0.04,-0.12,-0.16,-0.11,0.04,1.23,-0.19,-0.08,0.48,0.21,0.03,0.05,0.18,1.38,-0.03,0.09,0.13,-1.17,-1.3,0,-1.19,0,-1.29,0.09,0,0.2,0.11,-0.02,-0.03,0.09,-0.12
2007-02-02,0.62,0.47,0.17,0.4,0.29,0.18,0.13,-0.16,-0.45,-0.19,-0.45,-0.31,-0.08,-0.58,0.01,-0.1,-0.42,-0.43,-0.19,-0.33,-0.43,-0.47,-0.18,0.46,0.33,0.0,0.24,0.1,0.0,-0.04,0.19,0.36,0.21,0,0.15,0,-0.11,0.3,0,0.22,0.49,0.35,0.04,0.28,0.05
2007-02-05,-0.02,0.16,0.15,-0.49,0.18,0.04,0.13,0.18,0.16,-0.44,0.05,-0.01,-0.65,-0.38,-0.4,-0.21,0.05,-0.23,-0.85,-0.21,-0.34,-0.25,-0.44,-0.45,-0.28,-0.29,-0.92,-0.27,-0.39,-0.3,-0.64,-0.19,-0.02,0,-0.65,0,-0.04,0.11,0,-0.52,-0.14,0.03,0.03,-0.61,-0.09
2007-02-06,0.18,-0.44,0.24,0.06,0.77,0.14,0.25,-0.62,0.07,-0.12,-0.03,0.68,0.49,0.17,0.36,-0.27,-0.1,0.44,0.21,0.97,0.34,0.44,0.3,0.48,-0.13,0.54,0.35,1.06,0.45,0.54,-0.19,-0.59,-1.19,0,-0.73,0,-0.53,-0.58,0,-0.1,-0.07,-0.68,0.0,-0.19,-0.1
2007-02-07,0.37,0.3,0.2,0.62,-0.79,0.14,0.15,-0.08,-0.15,0.26,-0.22,-0.08,0.37,0.04,0.42,0.33,0.23,0.25,0.7,-0.74,0.19,0.2,-0.18,0.2,0.08,0.03,0.46,-0.95,-0.03,-0.02,0.39,1.15,1.07,0,1.41,0,0.94,0.15,0,0.48,0.2,0.13,0.05,0.46,-0.01
2007-02-08,0.23,0.68,0.37,0.63,0.68,0.38,0.35,0.45,0.14,0.42,0.15,-0.31,-0.05,-0.11,0.1,0.58,0.8,0.26,0.52,0.55,0.26,0.23,-0.93,-0.7,-0.27,-0.56,-0.31,-0.29,-0.55,-0.59,0.26,-0.42,0.02,0,0.0,0,-0.31,0.3,0,0.27,-0.11,0.34,0.03,0.3,0.03
2007-02-09,-1.51,-0.51,-0.66,-0.08,-0.46,-0.59,-0.64,1.02,0.86,1.46,0.93,-0.16,0.5,0.4,-1.13,-0.13,0.26,-0.28,0.31,-0.05,-0.21,-0.25,0.19,-1.37,-0.34,-0.52,0.07,-0.33,-0.45,-0.5,0.58,-1.08,-0.07,0,0.4,0,-0.18,0.09,0,0.52,-0.89,0.13,-0.03,0.56,0.04
2007-02-12,-0.4,-0.18,-0.55,-0.45,-0.67,-0.1,-0.55,0.21,-0.15,-0.07,0.31,-0.37,-0.28,0.37,-0.03,0.19,-0.14,-0.19,-0.07,-0.3,0.27,-0.19,0.5,0.1,0.33,-0.06,0.05,-0.17,0.4,-0.06,0.06,0.26,0.49,0,0.2,0,0.11,-0.08,0,-0.37,0.15,0.37,0.0,0.1,0.46
2007-02-13,0.3,0.51,1.03,0.37,-0.04,1.07,1.02,0.19,0.76,0.13,0.8,0.54,-0.09,-0.46,-0.19,0.01,0.57,0.56,-0.09,-0.48,0.6,0.55,-1.04,-0.73,-0.55,0.0,-0.64,-1.05,0.04,-0.0,-0.58,0.3,0.52,0,0.41,0,1.05,-0.58,0,-0.67,-0.75,-0.53,0.0,-0.63,0.05
2007-02-14,0.47,-0.05,0.52,0.21,-0.04,0.22,0.53,-0.52,0.04,-0.26,-0.25,0.56,0.25,0.19,0.64,0.15,-0.1,0.7,0.4,0.18,0.41,0.71,0.28,0.76,0.25,0.8,0.5,0.28,0.51,0.81,-0.32,0.48,-0.05,0,0.21,0,0.53,-0.27,0,-0.01,-0.05,-0.57,-0.01,-0.31,-0.3
2007-02-15,-0.21,-0.34,0.0,-1.16,0.14,-0.13,0.06,-0.14,0.22,-0.98,0.08,0.36,-0.83,-0.02,-0.16,-0.34,0.68,0.02,-1.21,0.06,-0.11,0.08,-0.66,-0.88,-1.02,-0.66,-1.84,-0.63,-0.79,-0.59,-1.16,-0.26,-0.4,0,-1.21,0,0.04,-0.22,0,-1.04,-0.28,-0.42,-0.06,-1.24,-0.2
2007-02-16,0.37,0.37,0.37,0.48,-0.22,0.17,0.33,0.01,0.01,0.07,-0.2,-0.0,0.08,-0.35,0.01,0.02,0.1,0.01,0.1,-0.54,-0.19,-0.03,-0.4,-0.03,-0.03,-0.03,0.05,-0.59,-0.24,-0.07,0.13,0.56,0.57,0,0.66,0,0.52,0.21,0,0.3,0.03,0.04,0.04,0.14,-0.17
2007-02-19,-0.18,-0.21,-0.17,-0.03,-0.38,-0.07,-0.19,-0.03,0.01,0.13,0.1,0.04,0.15,0.16,-0.01,-0.02,0.1,0.03,0.14,-0.22,0.12,0.0,0.05,-0.13,-0.19,-0.12,-0.0,-0.37,-0.03,-0.14,0.13,0.24,0.2,0,0.37,0,0.23,-0.13,0,0.03,0.02,-0.02,0.02,0.14,0.11
2007-02-20,0.52,0.34,0.01,0.37,-0.01,0.07,0.01,-0.18,-0.51,-0.1,-0.46,-0.32,0.05,-0.12,0.39,0.18,-0.33,-0.13,0.26,-0.14,-0.08,-0.13,0.18,0.7,0.53,0.19,0.58,0.18,0.24,0.19,0.39,0.52,0.34,0,0.41,0,0.01,0.27,0,0.34,0.5,0.32,0.0,0.39,0.05
2007-02-21,-0.19,0.77,0.69,1.44,-0.01,0.7,0.69,0.99,0.89,1.63,0.9,-0.1,0.66,-0.66,-0.85,0.11,0.06,0.01,0.79,-0.62,0.02,0.01,-0.73,-0.94,0.04,-0.06,0.69,-0.69,-0.05,-0.06,0.78,-0.25,0.74,0,1.4,0,0.63,0.1,0,0.74,-0.88,0.11,0.0,0.75,0.01
