,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2013-01-01,0.94923,0.79287,6.91723,93.759,1.08491,1.12858,0.89204,0.83539,7.28946,98.82,1.18876,8.72489,118.271,1.54583,1.46704,1.22577,0.83423,10.6934,144.957,1.67751,1.74433,1.37906,1.85184,1.75871,1.46904,12.81744,173.81,2.01056,2.08996,1.65298,13.55956,0.87466,0.73069,6.3746,86.446,1.03973,0.82208,0.70259,6.13067,83.121,1.06376,0.88875,7.7543,105.143,1.26484
2013-01-02,1.03404,0.95785,8.10983,91.031,1.25679,1.27774,1.04632,0.92608,7.84079,88.025,1.23542,8.47124,95.187,1.26235,1.30546,1.209,0.81238,10.24097,115.081,1.58695,1.61333,1.32124,1.5545,1.60803,1.48834,12.61843,141.707,1.95389,1.98779,1.62799,11.23135,0.82316,0.76175,6.45539,72.445,1.01708,0.83285,0.74931,6.34758,71.279,0.98856,0.915,7.75108,87.052,1.22107
2013-01-03,1.03487,0.96718,8.13054,91.482,1.26161,1.28294,1.049,0.93485,7.85813,88.415,1.23996,8.40455,94.618,1.25083,1.29427,1.20966,0.81049,10.16748,114.467,1.57778,1.6045,1.31182,1.54263,1.59637,1.49223,12.53883,141.168,1.94575,1.9788,1.61777,11.24721,0.81993,0.76683,6.44208,72.533,1.01674,0.83115,0.75408,6.3354,71.316,0.98634,0.92223,7.75098,87.175,1.2234
2013-01-04,1.03323,0.96906,8.10562,91.871,1.26279,1.2837,1.04575,0.93791,7.84506,88.884,1.24304,8.36847,94.776,1.2476,1.28897,1.20893,0.81187,10.11615,114.572,1.5756,1.60185,1.30513,1.53651,1.58734,1.48886,12.45882,141.103,1.94045,1.97296,1.60737,11.32231,0.81838,0.76728,6.42082,72.774,1.01698,0.82839,0.75465,6.31449,71.516,0.98803,0.92623,7.75107,87.76,1.22748
2013-01-07,1.03479,0.96923,8.13099,92.291,1.25844,1.28887,1.04904,0.93651,7.85599,89.162,1.24538,8.38919,95.149,1.24703,1.29068,1.20894,0.81322,10.13984,115.011,1.56859,1.60798,1.30821,1.5331,1.58674,1.48625,12.46511,141.433,1.92882,1.9759,1.60822,11.35086,0.82237,0.77062,6.46062,73.227,1.02421,0.83352,0.75172,6.30753,71.593,0.98663,0.92392,7.75087,87.979,1.22883
2013-01-08,1.03564,0.96857,8.13791,91.779,1.25489,1.29052,1.04989,0.93527,7.85849,88.607,1.24596,8.39946,94.715,1.24801,1.29248,1.20876,0.81463,10.15273,114.474,1.56579,1.61033,1.30984,1.53207,1.58665,1.48388,12.46557,140.566,1.92227,1.97694,1.60823,11.27516,0.82513,0.77197,6.48261,73.102,1.02816,0.83635,0.75059,6.30619,71.103,0.98635,0.92281,7.75124,87.393,1.22917
2013-01-09,1.03731,0.97235,8.14711,91.897,1.25368,1.29046,1.05101,0.93734,7.85387,88.59,1.24417,8.38031,94.564,1.24328,1.28982,1.20893,0.81495,10.13127,114.315,1.55884,1.60465,1.30695,1.5256,1.58278,1.48343,12.43127,140.253,1.91275,1.96893,1.60365,11.28058,0.82733,0.7755,6.4965,73.279,1.02886,0.83805,0.75338,6.31264,71.204,0.98701,0.92501,7.75172,87.443,1.22796
2013-01-10,1.04035,0.97185,8.17887,93.232,1.25315,1.29292,1.05511,0.93316,7.86592,89.631,1.24247,8.42621,96.039,1.24578,1.29746,1.21104,0.81796,10.20274,116.313,1.56177,1.612,1.31621,1.52285,1.58593,1.48002,12.47287,142.168,1.90874,1.97049,1.60907,11.39436,0.83078,0.77538,6.52996,74.429,1.03216,0.8424,0.75111,6.32669,72.121,0.98548,0.91998,7.7517,88.327,1.22525
2013-01-11,1.03957,0.96562,8.19016,94.088,1.25642,1.29313,1.05658,0.92946,7.8804,90.518,1.24441,8.47971,97.366,1.25942,1.30909,1.21606,0.82429,10.31538,118.45,1.58238,1.62864,1.33072,1.52787,1.58744,1.47585,12.51247,143.712,1.92018,1.97611,1.61419,11.48462,0.82743,0.76849,6.51947,74.88,1.02929,0.84106,0.74665,6.33307,72.725,0.98368,0.91417,7.75181,89.024,1.22399
2013-01-14,1.03912,0.96827,8.18225,94.37,1.25563,1.29366,1.05544,0.93236,7.87477,90.781,1.24531,8.45104,97.504,1.26661,1.31596,1.22666,0.83031,10.36463,119.518,1.59034,1.63915,1.33696,1.52537,1.5847,1.47761,12.48085,143.895,1.91562,1.97363,1.60994,11.5298,0.82733,0.77127,6.51696,75.161,1.03025,0.84065,0.74834,6.32457,72.92,0.98447,0.91736,7.7523,89.382,1.22575
2013-01-15,1.03918,0.97908,8.18426,94.032,1.25562,1.29409,1.05568,0.94199,7.87463,90.473,1.24496,8.36221,96.145,1.26317,1.31248,1.2364,0.82991,10.33838,118.865,1.58639,1.63471,1.33361,1.52201,1.58185,1.48958,12.45746,143.087,1.91098,1.96925,1.60693,11.48649,0.82773,0.77944,6.52008,74.919,1.03069,0.84103,0.75628,6.32621,72.68,0.98448,0.92708,7.75231,89.048,1.22541
2013-01-16,1.04101,0.98339,8.1881,93.402,1.25728,1.29379,1.05622,0.94498,7.86679,89.78,1.24317,8.32589,94.992,1.25866,1.31004,1.23767,0.82924,10.30601,117.579,1.58262,1.62805,1.3294,1.51754,1.57951,1.49288,12.42831,141.86,1.90842,1.96383,1.60319,11.41129,0.8277,0.78207,6.51266,74.282,1.02905,0.84009,0.76034,6.32902,72.207,0.98544,0.93112,7.75218,88.462,1.22485
2013-01-17,1.04026,0.98289,8.17638,93.948,1.25863,1.29111,1.05469,0.94543,7.86106,90.393,1.2408,8.3148,95.623,1.26344,1.31506,1.24264,0.83327,10.33451,118.82,1.59084,1.6317,1.33307,1.51732,1.57766,1.49156,12.40297,142.589,1.90868,1.95808,1.59987,11.4977,0.82642,0.78168,6.49798,74.811,1.02577,0.8382,0.76176,6.3344,72.825,0.98617,0.93237,7.75239,89.135,1.22385
2013-01-18,1.04068,0.9823,8.15968,94.662,1.25837,1.28991,1.05251,0.94395,7.83584,90.93,1.23897,8.30023,96.301,1.26867,1.32017,1.24688,0.8377,10.3448,120.067,1.59571,1.63607,1.33438,1.51414,1.57637,1.48844,12.35064,143.339,1.9042,1.95285,1.59313,11.60283,0.82739,0.78074,6.4842,75.225,1.02541,0.83641,0.76192,6.32502,73.388,0.98938,0.93403,7.75253,89.952,1.22568
2013-01-21,1.04338,0.98121,8.14872,94.418,1.25722,1.29082,1.05105,0.94044,7.812,90.506,1.23781,8.30616,96.196,1.26623,1.3214,1.2427,0.84017,10.32248,119.586,1.59249,1.63498,1.33141,1.50702,1.57307,1.47904,12.28479,142.374,1.89474,1.94643,1.58452,11.58551,0.82965,0.78054,6.4802,75.097,1.02653,0.83583,0.76009,6.31257,73.132,0.99246,0.9334,7.75293,89.822,1.22818
2013-01-22,1.04648,0.9816,8.17295,94.055,1.25655,1.29418,1.05412,0.93785,7.81119,89.87,1.23687,8.32797,95.769,1.26303,1.322,1.23995,0.84065,10.32651,118.746,1.58692,1.63485,1.33186,1.5021,1.57295,1.47455,12.28191,141.248,1.88761,1.94435,1.58406,11.50569,0.83267,0.78128,6.50414,74.882,1.02982,0.83888,0.75823,6.31445,72.668,0.99259,0.93101,7.75333,89.209,1.22788
2013-01-23,1.05065,0.98104,8.18417,93.484,1.25385,1.29544,1.05557,0.93388,7.78869,89.025,1.23266,8.34117,95.268,1.2616,1.32539,1.2372,0.84039,10.32326,117.899,1.58149,1.63377,1.33148,1.50113,1.57677,1.47251,12.28495,140.259,1.8815,1.94438,1.58449,11.42021,0.83814,0.78266,6.52742,74.525,1.03312,0.84189,0.75735,6.31786,72.153,0.99547,0.92952,7.75326,88.544,1.2272
2013-01-24,1.05109,0.97581,8.142,93.91,1.24986,1.28971,1.05016,0.92852,7.74433,89.365,1.22661,8.3394,96.284,1.27106,1.336,1.24022,0.84372,10.34536,119.378,1.58784,1.63869,1.33436,1.50628,1.58264,1.47039,12.25847,141.462,1.88148,1.94166,1.58112,11.54096,0.84157,0.78119,6.51718,75.152,1.03221,0.8406,0.75686,6.31355,72.839,1.00113,0.9297,7.75316,89.478,1.22802
2013-01-25,1.04923,0.9681,8.09271,94.647,1.24647,1.2859,1.04369,0.92252,7.71441,90.255,1.2258,8.36452,97.782,1.28587,1.34848,1.24432,0.84981,10.40352,121.658,1.60278,1.65403,1.34175,1.51307,1.58733,1.46357,12.24426,143.241,1.88542,1.94564,1.5791,11.69407,0.84181,0.77649,6.49398,75.932,1.03188,0.83752,0.75248,6.2912,73.623,1.0051,0.92702,7.75378,90.672,1.2325
2013-01-28,1.04874,0.96526,8.07558,94.652,1.24892,1.28836,1.0412,0.92017,7.70088,90.257,1.22833,8.36623,98.067,1.29239,1.35554,1.24783,0.85577,10.4369,122.349,1.6142,1.66474,1.34558,1.51045,1.58367,1.45829,12.19984,143.072,1.88666,1.94604,1.573,11.72479,0.83977,0.77265,6.46452,75.784,1.03137,0.83349,0.74939,6.2691,73.477,1.0072,0.92709,7.75586,90.933,1.23713
2013-01-29,1.0489,0.96495,8.10199,94.729,1.24875,1.29108,1.04437,0.91947,7.72985,90.34,1.23091,8.4012,98.2,1.28896,1.35258,1.24408,0.85588,10.44603,122.112,1.6101,1.66452,1.34647,1.50518,1.57988,1.45225,12.20269,142.661,1.87982,1.94416,1.57295,11.69536,0.83977,0.77262,6.48875,75.862,1.03389,0.83642,0.74708,6.2759,73.368,1.00366,0.92345,7.75816,90.73,1.23614
2013-01-30,1.04584,0.95707,8.10086,95.016,1.24832,1.28973,1.04417,0.91478,7.74218,90.843,1.23286,8.46937,99.258,1.29558,1.35581,1.23981,0.85773,10.49846,123.034,1.61834,1.67087,1.35321,1.51094,1.58058,1.44547,12.23954,143.511,1.88721,1.9487,1.57765,11.72551,0.83731,0.7661,6.48656,76.018,1.03239,0.83607,0.74191,6.28149,73.662,1.0021,0.91607,7.75834,90.969,1.23508
