,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02,0.33,-0.33,-1.12,-0.51,0.14,-0.56,-1.14,-0.66,-1.45,-0.85,-0.89,-0.8,-0.21,0.29,0.63,-0.08,0.77,-0.84,-0.25,0.43,-0.27,-0.86,-0.5,-0.17,-0.84,-1.62,-1.02,-0.36,-1.06,-1.63,0.61,0.19,-0.47,-1.26,-0.66,-0.7,-1.28,0.23,-0.57,0.04,1.5,0.82,0.02,0.62,0.59
2015-01-05,-0.1,0.25,0.12,-0.59,0.18,0.43,0.12,0.33,0.2,-0.51,0.52,-0.13,-0.85,-0.3,-0.39,-0.05,0.18,-0.19,-0.9,-0.11,0.13,-0.19,-0.47,-0.57,-0.23,-0.36,-1.11,-0.3,-0.04,-0.35,-0.72,-0.27,0.07,-0.06,-0.78,0.27,-0.06,-0.18,-0.32,-1.04,-0.2,0.13,-0.0,-0.72,0.32
2015-01-06,0.63,0.29,-0.04,-1.03,-0.98,-0.14,-0.01,-0.32,-0.65,-1.65,-0.79,-0.34,-1.34,-0.34,0.28,-0.04,0.31,-0.38,-1.38,-1.33,-0.5,-0.36,-0.63,-0.02,-0.34,-0.68,-1.67,-1.61,-0.8,-0.66,-1.0,1.63,1.29,0.96,-0.06,0.82,0.98,0.46,0.13,-0.9,0.63,0.32,-0.02,-1.02,-0.15
2015-01-07,-0.24,0.37,-0.04,0.63,-0.37,0.34,-0.05,0.61,0.19,0.87,0.58,-0.41,0.27,-0.38,-0.61,-0.01,-0.18,-0.42,0.25,-0.72,-0.05,-0.43,-0.22,-0.44,0.15,-0.25,0.4,-0.58,0.13,-0.26,0.67,0.12,0.74,0.32,0.98,0.7,0.31,0.03,-0.38,0.29,-0.19,0.42,0.01,0.68,0.4
2015-01-08,0.67,0.91,0.54,0.93,0.03,0.42,0.59,0.24,-0.13,0.24,-0.25,-0.37,-0.03,-0.97,-0.28,-0.0,-0.24,-0.4,-0.04,-0.92,-0.51,-0.38,-0.68,-0.04,0.23,-0.14,0.21,-0.69,-0.26,-0.14,0.35,0.65,0.96,0.56,0.9,0.44,0.56,0.52,0.12,0.47,0.09,0.37,-0.01,0.35,-0.12
2015-01-09,1.3,0.62,1.01,0.07,0.88,0.77,1.03,-0.67,-0.29,-1.22,-0.53,0.38,-0.55,-0.61,0.68,-0.01,-0.06,0.39,-0.55,0.28,0.15,0.41,-0.51,0.74,0.07,0.45,-0.5,0.3,0.21,0.47,-0.94,0.41,-0.23,0.15,-0.81,-0.09,0.17,-0.14,0.24,-0.7,0.27,-0.4,-0.02,-0.96,-0.26
2015-01-12,0.27,-0.54,-0.67,-0.64,0.19,-0.61,-0.66,-0.81,-0.93,-0.91,-0.88,-0.13,-0.15,0.54,0.82,0.0,-0.12,-0.13,-0.1,0.72,-0.08,-0.13,0.63,0.88,0.07,-0.04,-0.03,0.83,0.01,-0.04,0.01,0.1,-0.73,-0.86,-0.83,-0.81,-0.85,0.07,-0.05,-0.05,0.94,0.12,-0.0,0.0,0.05
2015-01-13,-0.05,0.63,0.1,-0.25,0.67,0.04,0.1,0.68,0.16,-0.21,0.05,-0.52,-0.88,-0.62,-0.67,-0.0,-0.44,-0.51,-0.88,0.05,-0.6,-0.51,-0.18,-0.23,0.45,-0.07,-0.43,0.52,-0.16,-0.07,-0.37,-0.73,-0.07,-0.6,-0.94,-0.65,-0.59,0.61,0.09,-0.27,-0.16,0.52,0.0,-0.37,-0.09
2015-01-14,-0.25,-0.34,-0.2,-0.7,0.03,-0.15,-0.22,-0.1,0.06,-0.46,0.14,0.14,-0.36,0.35,0.1,-0.01,-0.36,0.16,-0.35,0.42,0.21,0.15,0.71,0.45,0.36,0.5,-0.01,0.75,0.56,0.49,-0.52,-0.3,-0.4,-0.24,-0.77,-0.21,-0.26,-0.21,-0.05,-0.57,-0.04,-0.12,0.01,-0.5,0.07
2015-01-15,0.94,-16.91,0.8,-0.18,-0.48,0.23,0.82,-17.69,-0.13,-1.1,-0.72,21.36,20.17,-2.09,-1.22,-18.78,-1.03,-1.33,-2.3,-2.63,-1.91,-1.31,-1.15,-0.23,-17.96,-0.33,-1.3,-1.71,-0.92,-0.32,-0.99,1.46,-16.45,1.32,0.33,0.8,1.34,-17.1,0.6,-0.4,0.11,-17.61,-0.02,-1.0,-0.61
2015-01-16,0.25,2.14,0.07,1.24,0.5,0.14,0.09,1.86,-0.21,0.97,-0.14,-2.04,-0.96,-0.67,-0.36,1.85,-0.37,-0.58,0.57,-0.11,-0.51,-0.56,-0.35,-0.05,1.92,-0.28,0.96,0.24,-0.22,-0.26,1.28,-0.26,1.56,-0.53,0.76,-0.46,-0.51,2.02,-0.06,1.21,0.18,2.06,-0.02,1.26,0.04
