,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,0.53,0.56,0.62,0.54,0.96,0.59,0.84,0.7,0.51,0.57
2020-01-03,0.77,0.61,0.63,0.56,0.73,0.65,0.99,0.76,0.53,0.58
2020-01-06,0.62,0.45,0.49,0.5,0.85,0.47,0.89,0.53,0.44,0.44
2020-01-07,1.02,0.55,0.56,0.55,0.77,0.56,0.63,0.66,0.5,0.59
2020-01-08,0.77,0.67,0.85,0.7,0.77,0.65,1.43,0.98,0.67,0.63
2020-01-09,0.49,0.57,0.6,0.45,0.77,0.57,0.55,0.75,0.43,0.48
2020-01-10,0.79,0.5,0.49,0.43,0.55,0.42,0.43,0.58,0.4,0.41
2020-01-13,0.45,0.43,0.57,0.41,0.7,0.37,0.54,0.51,0.37,0.36
2020-01-14,0.46,0.38,0.58,0.43,0.63,0.36,0.48,0.52,0.38,0.35
2020-01-15,0.5,0.39,0.56,0.42,0.47,0.36,0.43,0.57,0.34,0.37
2020-01-16,0.57,0.38,0.45,0.41,0.57,0.39,0.44,0.72,0.34,0.38
2020-01-17,0.51,0.41,0.49,0.44,0.71,0.45,0.5,0.54,0.4,0.44
2020-01-20,0.42,0.31,0.3,0.26,0.42,0.27,0.28,0.43,0.25,0.27
2020-01-21,0.59,0.39,0.41,0.39,0.71,0.36,0.61,0.44,0.42,0.37
2020-01-22,0.49,0.92,0.62,0.46,0.95,0.45,0.5,0.5,0.42,0.44
2020-01-23,0.77,0.57,0.51,0.67,0.54,0.46,0.8,0.74,0.5,0.46
2020-01-24,0.56,0.39,0.4,0.42,0.82,0.4,0.71,0.46,0.39,0.4
2020-01-27,0.87,0.51,0.61,0.47,0.61,0.45,0.58,0.78,0.49,0.48
2020-01-28,0.5,0.55,0.71,0.41,0.68,0.4,0.57,0.52,0.39,0.39
