,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2022-01-03,-0.57,-0.37,-0.34,-0.16,0.13,0.57,0.33,-0.28,0.13,0.56
2022-01-04,0.62,0.27,0.25,-0.23,0.27,-0.08,-0.93,0.27,-0.31,-0.13
2022-01-05,-0.18,-0.32,-0.06,0.31,0.27,0.03,0.04,-0.04,-0.11,0.06
2022-01-06,-0.66,0.52,-0.29,0.08,0.06,0.18,0.48,-0.56,-0.03,0.23
2022-01-07,-0.09,0.37,-0.04,0.26,0.11,-0.34,-0.08,0.1,0.08,-0.38
2022-01-10,0.12,-0.09,-0.85,-0.18,0.09,0.19,0.57,-0.08,0.08,0.15
2022-01-11,0.2,0.54,0.1,0.06,0.15,-0.37,-0.45,0.01,0.13,-0.36
2022-01-12,0.49,0.0,0.5,0.08,-0.05,-0.55,0.02,0.37,-0.24,-0.62
2022-01-13,-0.19,-0.25,0.27,0.01,-0.09,-0.04,0.35,0.14,-0.09,-0.11
2022-01-14,-0.75,0.02,0.0,-0.04,0.1,0.4,0.36,-0.63,0.19,0.36
2022-01-17,-0.01,0.32,0.01,0.03,-0.13,0.03,-0.3,-0.12,0.05,0.13
2022-01-18,-0.15,0.28,-0.14,-0.55,-0.14,0.25,0.27,-0.13,0.04,0.26
2022-01-19,0.24,-0.17,0.04,0.01,-0.04,-0.14,0.11,0.06,0.05,-0.17
2022-01-20,0.28,0.11,-0.08,-0.3,-0.08,0.09,0.22,-0.35,0.09,0.03
2022-01-21,-0.68,-0.59,0.71,0.41,-0.27,0.09,0.5,-0.55,0.27,0.1
2022-01-24,-0.19,-0.22,-0.01,0.06,-0.26,0.25,-0.04,-0.02,0.19,0.25
2022-01-25,0.19,0.09,-0.53,-0.2,0.18,0.04,0.13,-0.18,0.23,0.05
2022-01-26,-0.11,0.11,-0.35,-0.17,0.12,0.42,-0.34,-0.21,0.11,0.43
2022-01-27,-0.58,0.0,-0.2,-0.29,-0.01,0.63,-0.01,-0.46,0.23,0.68
2022-01-28,-0.45,-0.15,0.13,0.18,0.37,0.12,0.26,-0.47,-0.12,0.14
2022-01-31,0.73,0.09,0.07,0.42,-0.07,-0.52,-0.31,0.03,-0.01,-0.45
2022-02-01,0.5,-0.27,0.29,-0.09,0.15,-0.43,-0.06,0.58,-0.19,-0.47
2022-02-02,-0.02,0.0,0.14,0.16,0.27,-0.21,0.08,-0.23,-0.03,-0.17
2022-02-03,-0.13,-0.21,-0.35,1.15,0.03,-0.11,-0.7,0.35,0.12,-0.16
2022-02-04,-0.59,-0.37,-0.29,0.53,-0.15,0.46,0.17,-0.41,0.24,0.39
2022-02-07,0.51,0.5,0.02,-0.41,-0.22,-0.26,-0.02,0.15,-0.05,-0.22
2022-02-08,0.37,-0.24,-0.07,-0.19,0.15,0.03,-0.37,0.32,-0.07,0.05
2022-02-09,0.35,0.12,-0.09,-0.12,-0.26,-0.13,-0.17,0.37,0.09,-0.18
2022-02-10,-0.03,-0.29,0.04,0.16,0.34,0.07,-0.33,0.05,-0.15,0.14
2022-02-11,-0.42,0.04,0.19,-0.64,0.18,0.11,0.7,-0.36,0.03,0.17
