,AUD_CAD,AUD_CHF,AUD_HKD,AUD_JPY,AUD_NZD,AUD_SGD,AUD_USD,CAD_CHF,CAD_HKD,CAD_JPY,CAD_SGD,CHF_HKD,CHF_JPY,EUR_AUD,EUR_CAD,EUR_CHF,EUR_GBP,EUR_HKD,EUR_JPY,EUR_NZD,EUR_SGD,EUR_USD,GBP_AUD,GBP_CAD,GBP_CHF,GBP_HKD,GBP_JPY,GBP_NZD,GBP_SGD,GBP_USD,HKD_JPY,NZD_CAD,NZD_CHF,NZD_HKD,NZD_JPY,NZD_SGD,NZD_USD,SGD_CHF,SGD_HKD,SGD_JPY,USD_CAD,USD_CHF,USD_HKD,USD_JPY,USD_SGD
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,-0.41,0.02,-0.37,-0.46,0.07,-0.17,-0.37,0.39,0.04,0.01,0.24,-0.38,-0.31,0.02,-0.39,-0.02,0.6,-0.35,-0.42,0.15,-0.16,-0.35,-0.53,-0.98,-0.61,-0.95,-1.03,-0.53,-0.74,-0.94,-0.08,-0.55,0.02,-0.46,-0.54,-0.27,-0.47,0.18,-0.23,-0.28,-0.04,0.38,-0.03,-0.08,0.13
2020-01-03,-0.51,-0.52,-0.76,-1.07,-0.08,-0.41,-0.64,-0.03,-0.26,-0.56,0.07,-0.22,-0.53,0.51,0.02,-0.02,0.39,-0.27,-0.56,0.45,0.08,-0.12,0.21,-0.32,-0.38,-0.58,-0.87,0.11,-0.29,-0.45,-0.29,-0.42,-0.45,-0.69,-0.98,-0.4,-0.56,-0.07,-0.33,-0.59,0.13,0.09,-0.15,-0.42,0.2
2020-01-06,-0.2,-0.29,-0.15,0.43,-0.19,-0.04,-0.02,-0.09,0.09,0.64,0.16,0.15,0.73,0.29,0.1,0.01,-0.35,0.14,0.59,0.1,0.26,0.27,0.68,0.42,0.36,0.48,1.09,0.5,0.58,0.59,0.59,0.0,-0.08,0.1,0.63,0.17,0.19,-0.27,-0.11,0.47,-0.18,-0.28,-0.12,0.46,-0.02
2020-01-07,-0.72,-0.81,-0.9,-0.91,-0.58,-0.97,-1.01,-0.05,-0.17,-0.18,-0.26,-0.1,-0.12,0.63,-0.1,-0.17,-0.0,-0.28,-0.26,0.08,-0.35,-0.39,0.64,-0.08,-0.16,-0.25,-0.28,0.09,-0.32,-0.37,-0.02,-0.15,-0.24,-0.33,-0.35,-0.4,-0.44,0.2,0.07,0.06,0.29,0.21,0.11,0.1,0.04
2020-01-08,0.24,0.32,-0.1,0.6,-0.14,0.01,-0.02,0.11,-0.31,0.34,-0.2,-0.41,0.25,-0.41,-0.16,-0.05,-0.21,-0.47,0.24,-0.52,-0.36,-0.42,-0.23,0.03,0.13,-0.25,0.39,-0.34,-0.14,-0.24,0.67,0.37,0.48,0.06,0.71,0.16,0.12,0.29,-0.14,0.54,0.27,0.37,-0.05,0.63,0.07
2020-01-09,0.03,-0.15,-0.2,0.29,0.39,-0.07,-0.11,-0.17,-0.23,0.29,-0.1,-0.06,0.45,0.11,0.14,-0.03,0.23,-0.09,0.42,0.51,0.03,0.01,-0.11,-0.11,-0.27,-0.32,0.18,0.29,-0.21,-0.22,0.5,-0.38,-0.55,-0.6,-0.13,-0.48,-0.5,-0.06,-0.13,0.38,0.13,-0.04,-0.1,0.4,0.03
2020-01-10,0.59,0.56,0.59,0.58,0.28,0.41,0.61,-0.01,0.01,-0.01,-0.15,0.04,0.02,-0.47,0.1,0.09,0.17,0.11,0.13,-0.18,-0.05,0.14,-0.64,-0.06,-0.08,-0.05,-0.06,-0.35,-0.23,-0.04,-0.04,0.28,0.28,0.3,0.27,0.14,0.33,0.15,0.18,0.15,-0.04,-0.06,-0.01,-0.04,-0.19
2020-01-13,0.02,-0.22,0.1,0.44,0.12,-0.09,0.04,-0.21,0.1,0.42,-0.11,0.31,0.63,0.09,0.16,-0.04,0.54,0.18,0.53,0.2,0.0,0.13,-0.46,-0.43,-0.78,-0.34,-0.02,-0.5,-0.53,-0.39,0.33,-0.03,-0.39,-0.08,0.24,-0.27,-0.13,-0.1,0.21,0.52,-0.04,-0.25,0.06,0.38,-0.16
2020-01-14,0.04,-0.36,0.05,0.04,0.24,0.01,0.03,-0.39,0.02,-0.01,-0.02,0.41,0.39,-0.06,-0.02,-0.39,-0.32,0.0,-0.0,0.18,-0.04,-0.07,0.29,0.31,-0.09,0.31,0.3,0.48,0.28,0.24,-0.02,-0.18,-0.58,-0.17,-0.18,-0.21,-0.25,-0.37,0.05,0.02,0.04,-0.34,0.06,0.05,0.03
